scene,global_vehicle_id,frame_start,frame_end,visible_frame_count,gap_frame_count,source_tracker_count,detector_source_usage,entry_type,exit_type,known_evidence_satisfied,heldout_evidence_result,risk_flags,tracker_merge_count,atomic_tracklet_count
GM_RM011,GM_RM011:GV001,0,35,35,1,10,"{""YOLO26l"":35}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,5
GM_RM011,GM_RM011:GV002,0,59,45,15,11,"{""YOLO11l"":45}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,"[""long_gap_recovery""]",1,3
GM_RM011,GM_RM011:GV003,39,55,17,0,7,"{""YOLO11l"":17}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,1
GM_RM011,GM_RM011:GV004,88,151,60,4,8,"{""YOLO26l"":60}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],1,2
GM_RM011,GM_RM011:GV005,110,292,111,72,25,"{""YOLO11l"":48,""YOLO26l"":63}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,"[""long_gap_recovery""]",4,12
GM_RM011,GM_RM011:GV006,116,166,50,1,10,"{""YOLO26l"":50}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],1,2
GM_RM011,GM_RM011:GV007,243,315,57,16,18,"{""YOLO26l"":46,""YOLO11l"":11}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,"[""long_gap_recovery""]",1,3
GM_RM017,GM_RM017:GV001,118,164,47,0,4,"{""YOLO26l"":47}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,1
GM_RM017,GM_RM017:GV002,145,185,41,0,5,"{""YOLO26l"":41}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,1
GM_RM017,GM_RM017:GV003,151,200,50,0,5,"{""YOLO26l"":50}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,1
GM_RM017,GM_RM017:GV004,162,214,53,0,5,"{""YOLO26l"":53}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,1
GM_RM019,GM_RM019:GV001,0,14,15,0,8,"{""YOLO11l"":15}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,1
GM_RM019,GM_RM019:GV002,5,43,39,0,6,"{""YOLO11l"":39}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,1
GM_RM019,GM_RM019:GV003,45,100,50,6,13,"{""YOLO11l"":10,""YOLO26l"":40}",interior_birth_or_prior_occlusion,interior_death_or_long_unobserved,pending_evidence_evaluation,pending_evidence_evaluation,[],2,3
GM_RM019,GM_RM019:GV004,51,141,43,48,12,"{""YOLO11l"":43}",interior_birth_or_prior_occlusion,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,"[""long_gap_recovery""]",2,6
GM_RM019,GM_RM019:GV005,98,183,51,35,15,"{""YOLO11l"":29,""YOLO26l"":22}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,"[""long_gap_recovery""]",2,5
GM_RM019,GM_RM019:GV006,149,170,22,0,4,"{""YOLO26l"":22}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,1
