scene,global_vehicle_id,frame_index,atomic_tracklet_id,observation_id,selected_detection_source,bbox,lifecycle_state,is_interpolated_gap,source_tracker_ids,incoming_edge_id,transition_evidence_summary,identity_confidence_or_stability,review_flags,notes
GM_RM011,GM_RM011:GV001,0,GM_RM011:AT0033,GM_RM011:YOLO26l:GM_RM011_000000_001,YOLO26l,"[4.132,292.04,493.018,597.389]",birth_or_entry,false,"[""YOLO11l:botsort:bs_0002"",""YOLO11l:bytetrack:bt_0002"",""YOLO26l:botsort:bs_0001"",""YOLO26l:bytetrack:bt_0001""]",,birth_or_entry,stable,[],selected from provenance-preserving alternative cluster
GM_RM011,GM_RM011:GV001,1,GM_RM011:AT0033,GM_RM011:YOLO26l:GM_RM011_000001_001,YOLO26l,"[3.125,289.141,505.305,597.294]",active_visible,false,"[""YOLO11l:botsort:bs_0002"",""YOLO11l:bytetrack:bt_0002"",""YOLO26l:botsort:bs_0001"",""YOLO26l:bytetrack:bt_0001""]",,birth_or_entry,stable,[],selected from provenance-preserving alternative cluster
GM_RM011,GM_RM011:GV001,2,GM_RM011:AT0033,GM_RM011:YOLO26l:GM_RM011_000002_001,YOLO26l,"[3.295,279.753,519.276,596.977]",active_visible,false,"[""YOLO11l:botsort:bs_0002"",""YOLO11l:bytetrack:bt_0002"",""YOLO26l:botsort:bs_0001"",""YOLO26l:bytetrack:bt_0001""]",,birth_or_entry,stable,[],selected from provenance-preserving alternative cluster
GM_RM011,GM_RM011:GV001,3,GM_RM011:AT0033,GM_RM011:YOLO26l:GM_RM011_000003_001,YOLO26l,"[2.344,242.918,525.607,597.111]",active_visible,false,"[""YOLO11l:botsort:bs_0002"",""YOLO11l:bytetrack:bt_0002"",""YOLO26l:botsort:bs_0001"",""YOLO26l:bytetrack:bt_0001""]",,birth_or_entry,stable,[],selected from provenance-preserving alternative cluster
GM_RM011,GM_RM011:GV001,4,GM_RM011:AT0033,GM_RM011:YOLO26l:GM_RM011_000004_001,YOLO26l,"[3.366,199.798,559.398,594.92]",active_visible,false,"[""YOLO26l:botsort:bs_0001"",""YOLO26l:bytetrack:bt_0001""]",,birth_or_entry,stable,[],selected from provenance-preserving alternative cluster
GM_RM011,GM_RM011:GV001,5,GM_RM011:AT0033,GM_RM011:YOLO26l:GM_RM011_000005_001,YOLO26l,"[7.923,233.077,580.078,595.423]",active_visible,false,"[""YOLO26l:botsort:bs_0001"",""YOLO26l:bytetrack:bt_0001""]",,birth_or_entry,stable,[],selected from provenance-preserving alternative cluster
GM_RM011,GM_RM011:GV001,6,GM_RM011:AT0033,GM_RM011:YOLO26l:GM_RM011_000006_001,YOLO26l,"[14.002,265.071,602.215,597.379]",active_visible,false,"[""YOLO26l:botsort:bs_0001"",""YOLO26l:bytetrack:bt_0001""]",,birth_or_entry,stable,[],selected from provenance-preserving alternative cluster
GM_RM011,GM_RM011:GV001,7,GM_RM011:AT0033,GM_RM011:YOLO26l:GM_RM011_000007_001,YOLO26l,"[3.265,308.796,581.527,598.024]",active_visible,false,"[""YOLO26l:botsort:bs_0001"",""YOLO26l:bytetrack:bt_0001""]",,birth_or_entry,stable,[],selected from provenance-preserving alternative cluster
GM_RM011,GM_RM011:GV001,8,GM_RM011:AT0033,GM_RM011:YOLO26l:GM_RM011_000008_001,YOLO26l,"[9.065,309.388,604.393,597.619]",active_visible,false,"[""YOLO11l:botsort:bs_0007"",""YOLO11l:bytetrack:bt_0007"",""YOLO26l:botsort:bs_0001"",""YOLO26l:bytetrack:bt_0001""]",,birth_or_entry,stable,[],selected from provenance-preserving alternative cluster
GM_RM011,GM_RM011:GV001,9,GM_RM011:AT0033,GM_RM011:YOLO26l:GM_RM011_000009_001,YOLO26l,"[8.623,306.67,603.278,597.894]",active_visible,false,"[""YOLO11l:botsort:bs_0007"",""YOLO11l:bytetrack:bt_0007"",""YOLO26l:botsort:bs_0001"",""YOLO26l:bytetrack:bt_0001""]",,birth_or_entry,stable,[],selected from provenance-preserving alternative cluster
GM_RM011,GM_RM011:GV001,10,GM_RM011:AT0033,GM_RM011:YOLO26l:GM_RM011_000010_002,YOLO26l,"[39.757,289.333,650.536,597.693]",active_visible,false,"[""YOLO11l:botsort:bs_0007"",""YOLO11l:bytetrack:bt_0007"",""YOLO26l:botsort:bs_0001"",""YOLO26l:bytetrack:bt_0001""]",,birth_or_entry,stable,[],selected from provenance-preserving alternative cluster
GM_RM011,GM_RM011:GV001,11,GM_RM011:AT0033,GM_RM011:YOLO26l:GM_RM011_000011_002,YOLO26l,"[67.034,239.828,675.419,598.705]",active_visible,false,"[""YOLO26l:botsort:bs_0001"",""YOLO26l:bytetrack:bt_0001""]",,birth_or_entry,stable,[],selected from provenance-preserving alternative cluster
GM_RM011,GM_RM011:GV001,12,GM_RM011:AT0033,GM_RM011:YOLO26l:GM_RM011_000012_001,YOLO26l,"[118.625,236.026,729.059,598.625]",active_visible,false,"[""YOLO26l:botsort:bs_0001"",""YOLO26l:bytetrack:bt_0001""]",,birth_or_entry,stable,[],selected from provenance-preserving alternative cluster
