scene,atomic_tracklet_id,frame_start,frame_end,frame_count,observation_count,source_track_ids,detector_sources,entry_boundary_state,exit_boundary_state,split_reason,known_identity_constraints,purity_risk,notes
GM_RM011,GM_RM011:AT0001,0,4,5,5,"[""YOLO11l:botsort:bs_0001"",""YOLO11l:bytetrack:bt_0001"",""YOLO26l:botsort:bs_0002"",""YOLO26l:bytetrack:bt_0002""]","[""YOLO11l""]",right,right,tracker_seed_start,[],boundary,seed=YOLO11l:botsort:bs_0001;credible=5;coverage_score=600
GM_RM011,GM_RM011:AT0002,0,4,5,5,"[""YOLO11l:botsort:bs_0002"",""YOLO11l:bytetrack:bt_0002"",""YOLO26l:botsort:bs_0001"",""YOLO26l:bytetrack:bt_0001""]","[""YOLO11l""]",bottom,right+bottom,tracker_seed_start,[],boundary,seed=YOLO11l:botsort:bs_0002;credible=2;coverage_score=300
GM_RM011,GM_RM011:AT0037,0,4,5,5,"[""YOLO11l:botsort:bs_0001"",""YOLO11l:bytetrack:bt_0001"",""YOLO26l:botsort:bs_0002"",""YOLO26l:bytetrack:bt_0002""]","[""YOLO26l""]",right,right,tracker_seed_start,[],boundary,seed=YOLO26l:botsort:bs_0002;credible=5;coverage_score=600
GM_RM011,GM_RM011:AT0033,0,13,14,14,"[""YOLO11l:botsort:bs_0002"",""YOLO11l:botsort:bs_0007"",""YOLO11l:botsort:bs_0015"",""YOLO11l:bytetrack:bt_0002"",""YOLO11l:bytetrack:bt_0007"",""YOLO11l:bytetrack:bt_0015"",""YOLO26l:botsort:bs_0001"",""YOLO26l:bytetrack:bt_0001""]","[""YOLO26l""]",left+bottom,bottom,tracker_seed_start,[],boundary,seed=YOLO26l:botsort:bs_0001;credible=14;coverage_score=1600
GM_RM011,GM_RM011:AT0063,5,5,1,1,[],"[""YOLO26l""]",right,right,supplement_singleton,[],boundary,seed=untracked;credible=0;coverage_score=0
GM_RM011,GM_RM011:AT0064,5,12,7,7,"[""YOLO26l:botsort:bs_0001"",""YOLO26l:botsort:bs_0004"",""YOLO26l:bytetrack:bt_0001"",""YOLO26l:bytetrack:bt_0004""]","[""YOLO11l""]",left,right+bottom,local_overlap_fragment_union,[],boundary_or_split,seed=local_supplement_chain|local_supplement_chain;credible=0;coverage_score=0
GM_RM011,GM_RM011:AT0065,7,7,1,1,"[""YOLO26l:botsort:bs_0001"",""YOLO26l:bytetrack:bt_0001""]","[""YOLO11l""]",left,left,supplement_singleton,[],boundary,seed=untracked;credible=0;coverage_score=0
GM_RM011,GM_RM011:AT0066,7,10,4,4,[],"[""YOLO11l""]",interior,interior,local_high_confidence_continuity,[],review_split,seed=local_supplement_chain;credible=0;coverage_score=0
GM_RM011,GM_RM011:AT0003,8,10,3,3,"[""YOLO11l:botsort:bs_0007"",""YOLO11l:bytetrack:bt_0007"",""YOLO26l:botsort:bs_0001"",""YOLO26l:bytetrack:bt_0001""]","[""YOLO11l""]",left,left,tracker_seed_start,[],boundary,seed=YOLO11l:botsort:bs_0007;credible=2;coverage_score=260
GM_RM011,GM_RM011:AT0067,9,9,1,1,[],"[""YOLO26l""]",bottom,bottom,supplement_singleton,[],boundary,seed=untracked;credible=0;coverage_score=0
GM_RM011,GM_RM011:AT0038,10,11,2,2,"[""YOLO26l:botsort:bs_0004"",""YOLO26l:bytetrack:bt_0004""]","[""YOLO26l""]",right+bottom,right+bottom,tracker_seed_start,[],boundary,seed=YOLO26l:botsort:bs_0004;credible=2;coverage_score=0
GM_RM011,GM_RM011:AT0069,13,13,1,1,[],"[""YOLO26l""]",bottom,bottom,supplement_singleton,[],boundary,seed=untracked;credible=0;coverage_score=0
