scene,frame_index,observation_alternative_cluster,detection_id,detector_source,source_detection_id,bbox,confidence,class,normalized_or_raw,image_path,feature_reference,existing_tracker_ids,cluster_size,selected_as_primary,selection_status,audit_notes
GM_RM011,0,GM_RM011:F000:ALT001,GM_RM011:YOLO11l:GM_RM011_000000_001,YOLO11l,GM_RM011_000000_001,"[711.513,318.622,799.758,508.34]",0.853646,car,normalized_active,D:\profile\research\data\GM_RM011\GM_RM011_frames\000000.png,,"[""YOLO11l:botsort:bs_0001"",""YOLO11l:bytetrack:bt_0001"",""YOLO26l:botsort:bs_0002"",""YOLO26l:bytetrack:bt_0002""]",2,false,retained_unselected,
GM_RM011,0,GM_RM011:F000:ALT001,GM_RM011:YOLO26l:GM_RM011_000000_002,YOLO26l,GM_RM011_000000_002,"[711.966,318.575,799.695,507.148]",0.8481,car,normalized_active,D:\profile\research\data\GM_RM011\GM_RM011_frames\000000.png,GM_RM011__frame_0__det_ignored_GM_RM011_000000_002__row_000002,"[""YOLO11l:botsort:bs_0001"",""YOLO11l:bytetrack:bt_0001"",""YOLO26l:botsort:bs_0002"",""YOLO26l:bytetrack:bt_0002""]",2,true,selected,
GM_RM011,0,GM_RM011:F000:ALT002,GM_RM011:YOLO11l:GM_RM011_000000_002,YOLO11l,GM_RM011_000000_002,"[60.063,289.951,644.866,592.773]",0.52555,car,normalized_active,D:\profile\research\data\GM_RM011\GM_RM011_frames\000000.png,,"[""YOLO11l:botsort:bs_0002"",""YOLO11l:bytetrack:bt_0002"",""YOLO26l:botsort:bs_0001"",""YOLO26l:bytetrack:bt_0001""]",2,false,retained_unselected,
GM_RM011,0,GM_RM011:F000:ALT002,GM_RM011:YOLO26l:GM_RM011_000000_001,YOLO26l,GM_RM011_000000_001,"[4.132,292.04,493.018,597.389]",0.915507,car,normalized_active,D:\profile\research\data\GM_RM011\GM_RM011_frames\000000.png,GM_RM011__frame_0__det_ignored_GM_RM011_000000_001__row_000001,"[""YOLO11l:botsort:bs_0002"",""YOLO11l:bytetrack:bt_0002"",""YOLO26l:botsort:bs_0001"",""YOLO26l:bytetrack:bt_0001""]",2,true,selected,
GM_RM011,1,GM_RM011:F001:ALT001,GM_RM011:YOLO11l:GM_RM011_000001_001,YOLO11l,GM_RM011_000001_001,"[736.191,336.693,799.779,501.586]",0.781098,car,normalized_active,D:\profile\research\data\GM_RM011\GM_RM011_frames\000001.png,,"[""YOLO11l:botsort:bs_0001"",""YOLO11l:bytetrack:bt_0001"",""YOLO26l:botsort:bs_0002"",""YOLO26l:bytetrack:bt_0002""]",2,false,retained_unselected,
GM_RM011,1,GM_RM011:F001:ALT001,GM_RM011:YOLO26l:GM_RM011_000001_002,YOLO26l,GM_RM011_000001_002,"[735.623,337.14,799.701,501.566]",0.845268,car,normalized_active,D:\profile\research\data\GM_RM011\GM_RM011_frames\000001.png,GM_RM011__frame_1__det_ignored_GM_RM011_000001_002__row_000004,"[""YOLO11l:botsort:bs_0001"",""YOLO11l:bytetrack:bt_0001"",""YOLO26l:botsort:bs_0002"",""YOLO26l:bytetrack:bt_0002""]",2,true,selected,
GM_RM011,1,GM_RM011:F001:ALT002,GM_RM011:YOLO11l:GM_RM011_000001_002,YOLO11l,GM_RM011_000001_002,"[118.375,287.475,695.213,590.74]",0.340539,car,normalized_active,D:\profile\research\data\GM_RM011\GM_RM011_frames\000001.png,,"[""YOLO11l:botsort:bs_0002"",""YOLO11l:bytetrack:bt_0002"",""YOLO26l:botsort:bs_0001"",""YOLO26l:bytetrack:bt_0001""]",2,false,retained_unselected,
GM_RM011,1,GM_RM011:F001:ALT002,GM_RM011:YOLO26l:GM_RM011_000001_001,YOLO26l,GM_RM011_000001_001,"[3.125,289.141,505.305,597.294]",0.914152,car,normalized_active,D:\profile\research\data\GM_RM011\GM_RM011_frames\000001.png,GM_RM011__frame_1__det_ignored_GM_RM011_000001_001__row_000003,"[""YOLO11l:botsort:bs_0002"",""YOLO11l:bytetrack:bt_0002"",""YOLO26l:botsort:bs_0001"",""YOLO26l:bytetrack:bt_0001""]",2,true,selected,
GM_RM011,2,GM_RM011:F002:ALT001,GM_RM011:YOLO11l:GM_RM011_000002_001,YOLO11l,GM_RM011_000002_001,"[744.97,341.324,799.794,484.851]",0.834533,car,normalized_active,D:\profile\research\data\GM_RM011\GM_RM011_frames\000002.png,,"[""YOLO11l:botsort:bs_0001"",""YOLO11l:bytetrack:bt_0001"",""YOLO26l:botsort:bs_0002"",""YOLO26l:bytetrack:bt_0002""]",2,false,retained_unselected,
GM_RM011,2,GM_RM011:F002:ALT001,GM_RM011:YOLO26l:GM_RM011_000002_002,YOLO26l,GM_RM011_000002_002,"[744.735,338.461,799.704,484.25]",0.807826,car,normalized_active,D:\profile\research\data\GM_RM011\GM_RM011_frames\000002.png,GM_RM011__frame_2__det_ignored_GM_RM011_000002_002__row_000006,"[""YOLO11l:botsort:bs_0001"",""YOLO11l:bytetrack:bt_0001"",""YOLO26l:botsort:bs_0002"",""YOLO26l:bytetrack:bt_0002""]",2,true,selected,
