scene,atomic_tracklet_id,frame_start,frame_end,frame_count,assigned_canonical_vehicle_ids,p1c_global_vehicle_ids,source_track_ids,detector_sources,split_reason,primary_fragmentation_cause,secondary_causes,identity_purity_necessity,benchmark_evidence,recommended_future_mechanism,notes
GM_RM011,GM_RM011:AT0001,0,4,5,,,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,YOLO11l,tracker_seed_start,non_vehicle_contamination,,necessary_for_identity_purity,Canonical assignment from all selected observations in GM_RM011:AT0001; P1-D lifecycle context retained.,Build longer identity-pure multi-frame observation entities before global association.,Benchmark attribution; not a runtime split rule.
GM_RM011,GM_RM011:AT0002,0,4,5,,,YOLO11l:botsort:bs_0002;YOLO11l:bytetrack:bt_0002;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,YOLO11l,tracker_seed_start,non_vehicle_contamination,,necessary_for_identity_purity,Canonical assignment from all selected observations in GM_RM011:AT0002; P1-D lifecycle context retained.,Build longer identity-pure multi-frame observation entities before global association.,Benchmark attribution; not a runtime split rule.
GM_RM011,GM_RM011:AT0037,0,4,5,GM_RM011:PV002,GM_RM011:GV002,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,YOLO26l,tracker_seed_start,tracker_local_break,,observation_layer_fragmentation_not_intrinsically_required,Canonical assignment from all selected observations in GM_RM011:AT0037; P1-D lifecycle context retained.,Build longer identity-pure multi-frame observation entities before global association.,Benchmark attribution; not a runtime split rule.
GM_RM011,GM_RM011:AT0033,0,13,14,GM_RM011:PV001,GM_RM011:GV001,YOLO11l:botsort:bs_0002;YOLO11l:botsort:bs_0007;YOLO11l:botsort:bs_0015;YOLO11l:bytetrack:bt_0002;YOLO11l:bytetrack:bt_0007;YOLO11l:bytetrack:bt_0015;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,YOLO26l,tracker_seed_start,tracker_local_break,over_fragmentation,observation_layer_fragmentation_not_intrinsically_required,Canonical assignment from all selected observations in GM_RM011:AT0033; P1-D lifecycle context retained.,Build longer identity-pure multi-frame observation entities before global association.,Benchmark attribution; not a runtime split rule.
GM_RM011,GM_RM011:AT0063,5,5,1,,,,YOLO26l,supplement_singleton,non_vehicle_contamination,,necessary_for_identity_purity,Canonical assignment from all selected observations in GM_RM011:AT0063; P1-D lifecycle context retained.,Build longer identity-pure multi-frame observation entities before global association.,Benchmark attribution; not a runtime split rule.
GM_RM011,GM_RM011:AT0064,5,12,7,,,YOLO26l:botsort:bs_0001;YOLO26l:botsort:bs_0004;YOLO26l:bytetrack:bt_0001;YOLO26l:bytetrack:bt_0004,YOLO11l,local_overlap_fragment_union,non_vehicle_contamination,,necessary_for_identity_purity,Canonical assignment from all selected observations in GM_RM011:AT0064; P1-D lifecycle context retained.,Build longer identity-pure multi-frame observation entities before global association.,Benchmark attribution; not a runtime split rule.
GM_RM011,GM_RM011:AT0065,7,7,1,,,YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,YOLO11l,supplement_singleton,non_vehicle_contamination,,necessary_for_identity_purity,Canonical assignment from all selected observations in GM_RM011:AT0065; P1-D lifecycle context retained.,Build longer identity-pure multi-frame observation entities before global association.,Benchmark attribution; not a runtime split rule.
GM_RM011,GM_RM011:AT0066,7,10,4,,,,YOLO11l,local_high_confidence_continuity,non_vehicle_contamination,,necessary_for_identity_purity,Canonical assignment from all selected observations in GM_RM011:AT0066; P1-D lifecycle context retained.,Build longer identity-pure multi-frame observation entities before global association.,Benchmark attribution; not a runtime split rule.
GM_RM011,GM_RM011:AT0003,8,10,3,,,YOLO11l:botsort:bs_0007;YOLO11l:bytetrack:bt_0007;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,YOLO11l,tracker_seed_start,non_vehicle_contamination,,necessary_for_identity_purity,Canonical assignment from all selected observations in GM_RM011:AT0003; P1-D lifecycle context retained.,Build longer identity-pure multi-frame observation entities before global association.,Benchmark attribution; not a runtime split rule.
GM_RM011,GM_RM011:AT0067,9,9,1,,,,YOLO26l,supplement_singleton,non_vehicle_contamination,,necessary_for_identity_purity,Canonical assignment from all selected observations in GM_RM011:AT0067; P1-D lifecycle context retained.,Build longer identity-pure multi-frame observation entities before global association.,Benchmark attribution; not a runtime split rule.
