scene,frame_index,detector_source,source_detection_id,bbox,confidence,assigned_canonical_vehicle_id,assignment_status,observation_role,vehicle_completeness,subject_purity,overlapping_vehicle_ids,p1c_observation_id,source_tracker_ids,benchmark_evidence,notes
GM_RM011,0,YOLO11l,GM_RM011_000000_001,"[711.513,318.622,799.758,508.34]",0.853646,GM_RM011:PV002,duplicate_observation_same_vehicle,usable_auxiliary_observation,complete_visible_subject,single_vehicle,GM_RM011:PV002,,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,Additional same-frame observation of the same canonical vehicle; preserved but not preferred.,normalization_action=keep_without_grouping_context;suppression_reason=;benchmark_only=true
GM_RM011,0,YOLO11l,GM_RM011_000000_002,"[60.063,289.951,644.866,592.773]",0.525550,GM_RM011:PV001,duplicate_observation_same_vehicle,usable_auxiliary_observation,complete_visible_subject,single_vehicle,GM_RM011:PV001,,YOLO11l:botsort:bs_0002;YOLO11l:bytetrack:bt_0002;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,Additional same-frame observation of the same canonical vehicle; preserved but not preferred.,normalization_action=keep_without_grouping_context;suppression_reason=;benchmark_only=true
GM_RM011,0,YOLO26l,GM_RM011_000000_001,"[4.132,292.04,493.018,597.389]",0.915507,GM_RM011:PV001,correct_vehicle_observation,preferred_subject_observation,complete_visible_subject,single_vehicle,GM_RM011:PV001,GM_RM011:YOLO26l:GM_RM011_000000_001,YOLO11l:botsort:bs_0002;YOLO11l:bytetrack:bt_0002;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,Highest-quality provenance-preserving observation for this canonical vehicle and frame.,normalization_action=keep_without_grouping_context;suppression_reason=;benchmark_only=true
GM_RM011,0,YOLO26l,GM_RM011_000000_002,"[711.966,318.575,799.695,507.148]",0.848100,GM_RM011:PV002,correct_vehicle_observation,preferred_subject_observation,complete_visible_subject,single_vehicle,GM_RM011:PV002,GM_RM011:YOLO26l:GM_RM011_000000_002,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,Highest-quality provenance-preserving observation for this canonical vehicle and frame.,normalization_action=keep_without_grouping_context;suppression_reason=;benchmark_only=true
GM_RM011,1,YOLO11l,GM_RM011_000001_001,"[736.191,336.693,799.779,501.586]",0.781098,GM_RM011:PV002,duplicate_observation_same_vehicle,usable_auxiliary_observation,complete_visible_subject,single_vehicle,GM_RM011:PV002,,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,Additional same-frame observation of the same canonical vehicle; preserved but not preferred.,normalization_action=keep_without_grouping_context;suppression_reason=;benchmark_only=true
GM_RM011,1,YOLO11l,GM_RM011_000001_002,"[118.375,287.475,695.213,590.74]",0.340539,GM_RM011:PV001,duplicate_observation_same_vehicle,usable_auxiliary_observation,complete_visible_subject,single_vehicle,GM_RM011:PV001,,YOLO11l:botsort:bs_0002;YOLO11l:bytetrack:bt_0002;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,Additional same-frame observation of the same canonical vehicle; preserved but not preferred.,normalization_action=keep_without_grouping_context;suppression_reason=;benchmark_only=true
GM_RM011,1,YOLO26l,GM_RM011_000001_001,"[3.125,289.141,505.305,597.294]",0.914152,GM_RM011:PV001,correct_vehicle_observation,preferred_subject_observation,complete_visible_subject,single_vehicle,GM_RM011:PV001,GM_RM011:YOLO26l:GM_RM011_000001_001,YOLO11l:botsort:bs_0002;YOLO11l:bytetrack:bt_0002;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,Highest-quality provenance-preserving observation for this canonical vehicle and frame.,normalization_action=keep_without_grouping_context;suppression_reason=;benchmark_only=true
GM_RM011,1,YOLO26l,GM_RM011_000001_002,"[735.623,337.14,799.701,501.566]",0.845268,GM_RM011:PV002,correct_vehicle_observation,preferred_subject_observation,complete_visible_subject,single_vehicle,GM_RM011:PV002,GM_RM011:YOLO26l:GM_RM011_000001_002,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,Highest-quality provenance-preserving observation for this canonical vehicle and frame.,normalization_action=keep_without_grouping_context;suppression_reason=;benchmark_only=true
GM_RM011,2,YOLO11l,GM_RM011_000002_001,"[744.97,341.324,799.794,484.851]",0.834533,GM_RM011:PV002,duplicate_observation_same_vehicle,usable_auxiliary_observation,complete_visible_subject,single_vehicle,GM_RM011:PV002,,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,Additional same-frame observation of the same canonical vehicle; preserved but not preferred.,normalization_action=keep_without_grouping_context;suppression_reason=;benchmark_only=true
GM_RM011,2,YOLO11l,GM_RM011_000002_002,"[176.402,278.54,726.892,593.971]",0.375008,GM_RM011:PV001,partial_vehicle_observation,usable_auxiliary_observation,partial_visible_subject,single_vehicle,GM_RM011:PV001,,YOLO11l:botsort:bs_0002;YOLO11l:bytetrack:bt_0002;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,Detection matches one canonical vehicle but covers only a partial visible subject region.,normalization_action=keep_without_grouping_context;suppression_reason=;benchmark_only=true
GM_RM011,2,YOLO26l,GM_RM011_000002_001,"[3.295,279.753,519.276,596.977]",0.933461,GM_RM011:PV001,correct_vehicle_observation,preferred_subject_observation,complete_visible_subject,single_vehicle,GM_RM011:PV001,GM_RM011:YOLO26l:GM_RM011_000002_001,YOLO11l:botsort:bs_0002;YOLO11l:bytetrack:bt_0002;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,Highest-quality provenance-preserving observation for this canonical vehicle and frame.,normalization_action=keep_without_grouping_context;suppression_reason=;benchmark_only=true
GM_RM011,2,YOLO26l,GM_RM011_000002_002,"[744.735,338.461,799.704,484.25]",0.807826,GM_RM011:PV002,correct_vehicle_observation,preferred_subject_observation,complete_visible_subject,single_vehicle,GM_RM011:PV002,GM_RM011:YOLO26l:GM_RM011_000002_002,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,Highest-quality provenance-preserving observation for this canonical vehicle and frame.,normalization_action=keep_without_grouping_context;suppression_reason=;benchmark_only=true
GM_RM011,3,YOLO11l,GM_RM011_000003_001,"[735.242,300.056,799.701,436.991]",0.852833,GM_RM011:PV002,duplicate_observation_same_vehicle,usable_auxiliary_observation,complete_visible_subject,single_vehicle,GM_RM011:PV002,,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,Additional same-frame observation of the same canonical vehicle; preserved but not preferred.,normalization_action=keep_review_context;suppression_reason=;benchmark_only=true
GM_RM011,3,YOLO11l,GM_RM011_000003_002,"[179.195,239.614,745.663,593.12]",0.280512,GM_RM011:PV001,partial_vehicle_observation,usable_auxiliary_observation,partial_visible_subject,single_vehicle,GM_RM011:PV001,,YOLO11l:botsort:bs_0002;YOLO11l:bytetrack:bt_0002;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,Detection matches one canonical vehicle but covers only a partial visible subject region.,normalization_action=keep_review_context;suppression_reason=;benchmark_only=true
GM_RM011,3,YOLO26l,GM_RM011_000003_001,"[2.344,242.918,525.607,597.111]",0.922680,GM_RM011:PV001,correct_vehicle_observation,preferred_subject_observation,complete_visible_subject,single_vehicle,GM_RM011:PV001,GM_RM011:YOLO26l:GM_RM011_000003_001,YOLO11l:botsort:bs_0002;YOLO11l:bytetrack:bt_0002;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,Highest-quality provenance-preserving observation for this canonical vehicle and frame.,normalization_action=keep_without_grouping_context;suppression_reason=;benchmark_only=true
GM_RM011,3,YOLO26l,GM_RM011_000003_002,"[735.832,299.045,799.7,434.54]",0.848637,GM_RM011:PV002,correct_vehicle_observation,preferred_subject_observation,complete_visible_subject,single_vehicle,GM_RM011:PV002,GM_RM011:YOLO26l:GM_RM011_000003_002,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,Highest-quality provenance-preserving observation for this canonical vehicle and frame.,normalization_action=keep_without_grouping_context;suppression_reason=;benchmark_only=true
GM_RM011,4,YOLO11l,GM_RM011_000004_001,"[740.427,261.288,799.705,414.666]",0.743659,GM_RM011:PV002,duplicate_observation_same_vehicle,usable_auxiliary_observation,complete_visible_subject,single_vehicle,GM_RM011:PV002,,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,Additional same-frame observation of the same canonical vehicle; preserved but not preferred.,normalization_action=keep_with_partial_full_context;suppression_reason=;benchmark_only=true
GM_RM011,4,YOLO11l,GM_RM011_000004_002,"[257.46,196.775,795.068,594.446]",0.327188,GM_RM011:PV002,mixed_subject_observation,diagnostic_only,mixed_or_overwide,mixed_subjects,GM_RM011:PV002;GM_RM011:PV001,,YOLO11l:botsort:bs_0002;YOLO11l:bytetrack:bt_0002,Detection overlaps multiple canonical subjects: GM_RM011:PV002;GM_RM011:PV001.,normalization_action=keep_with_partial_full_context;suppression_reason=;benchmark_only=true
GM_RM011,4,YOLO26l,GM_RM011_000004_001,"[3.366,199.798,559.398,594.92]",0.889553,GM_RM011:PV001,correct_vehicle_observation,preferred_subject_observation,complete_visible_subject,single_vehicle,GM_RM011:PV001,GM_RM011:YOLO26l:GM_RM011_000004_001,YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,Highest-quality provenance-preserving observation for this canonical vehicle and frame.,normalization_action=keep_without_grouping_context;suppression_reason=;benchmark_only=true
GM_RM011,4,YOLO26l,GM_RM011_000004_002,"[740.317,261.573,799.713,413.463]",0.746585,GM_RM011:PV002,correct_vehicle_observation,preferred_subject_observation,complete_visible_subject,single_vehicle,GM_RM011:PV002,GM_RM011:YOLO26l:GM_RM011_000004_002,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,Highest-quality provenance-preserving observation for this canonical vehicle and frame.,normalization_action=keep_without_grouping_context;suppression_reason=;benchmark_only=true
GM_RM011,5,YOLO11l,GM_RM011_000005_001,"[1.212,231.221,673.658,315.737]",0.276353,GM_RM011:PV001,partial_vehicle_observation,usable_auxiliary_observation,partial_visible_subject,single_vehicle,GM_RM011:PV001,,YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,Detection matches one canonical vehicle but covers only a partial visible subject region.,normalization_action=keep_without_grouping_context;suppression_reason=;benchmark_only=true
