scene,frame_index,runtime_observation_id,detector_source,source_detection_id,bbox,confidence,class,source_tracker_ids,appearance_feature_reference,color_feature_reference,boundary_contact,runtime_quality_features,provenance,notes
GM_RM011,0,GM_RM011:YOLO11l:GM_RM011_000000_001,YOLO11l,GM_RM011_000000_001,"[711.513,318.622,799.758,508.34]",0.853646,car,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,GM_RM011:YOLO11l:GM_RM011_000000_001:gray_histogram_8+edge_density,GM_RM011:YOLO11l:GM_RM011_000000_001:color_hsv_mean,right,"{""area_ratio"":0.0348785,""aspect_ratio"":0.46514,""color_hsv_mean"":[0.603644,0.056052,0.597752],""gray_histogram_8"":[0.0,0.0,0.220719,0.249519,0.142136,0.070647,0.191619,0.125361],""edge_density"":0.079606,""area_plausibility"":1.0,""aspect_plausibility"":0.25,""structure_support"":0.99507,""tracker_support"":1.0,""vehicle_likeness"":0.844648}",normalized_detection:YOLO11l:GM_RM011_000000_001,p1c_local_cluster=GM_RM011:F000:ALT001;normalization_action=keep_without_grouping_context;suppression_reason=;no_benchmark_input=true
GM_RM011,0,GM_RM011:YOLO11l:GM_RM011_000000_002,YOLO11l,GM_RM011_000000_002,"[60.063,289.951,644.866,592.773]",0.525550,car,YOLO11l:botsort:bs_0002;YOLO11l:bytetrack:bt_0002;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,GM_RM011:YOLO11l:GM_RM011_000000_002:gray_histogram_8+edge_density,GM_RM011:YOLO11l:GM_RM011_000000_002:color_hsv_mean,none,"{""area_ratio"":0.3689406,""aspect_ratio"":1.93117,""color_hsv_mean"":[0.662402,0.044769,0.830531],""gray_histogram_8"":[0.0,0.001568,0.055812,0.073831,0.073002,0.113565,0.085177,0.597044],""edge_density"":0.025088,""area_plausibility"":1.0,""aspect_plausibility"":1.0,""structure_support"":0.313602,""tracker_support"":1.0,""vehicle_likeness"":0.756319}",normalized_detection:YOLO11l:GM_RM011_000000_002,p1c_local_cluster=GM_RM011:F000:ALT002;normalization_action=keep_without_grouping_context;suppression_reason=;no_benchmark_input=true
GM_RM011,0,GM_RM011:YOLO26l:GM_RM011_000000_001,YOLO26l,GM_RM011_000000_001,"[4.132,292.04,493.018,597.389]",0.915507,car,YOLO11l:botsort:bs_0002;YOLO11l:bytetrack:bt_0002;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,GM_RM011:YOLO26l:GM_RM011_000000_001:gray_histogram_8+edge_density,GM_RM011:YOLO26l:GM_RM011_000000_001:color_hsv_mean,bottom,"{""area_ratio"":0.3110017,""aspect_ratio"":1.60107,""color_hsv_mean"":[0.715897,0.030647,0.881502],""gray_histogram_8"":[0.0,0.0,0.000603,0.015032,0.074344,0.162909,0.103396,0.643716],""edge_density"":0.025673,""area_plausibility"":1.0,""aspect_plausibility"":1.0,""structure_support"":0.320913,""tracker_support"":1.0,""vehicle_likeness"":0.889782}",normalized_detection:YOLO26l:GM_RM011_000000_001,p1c_local_cluster=GM_RM011:F000:ALT002;normalization_action=keep_without_grouping_context;suppression_reason=;no_benchmark_input=true
GM_RM011,0,GM_RM011:YOLO26l:GM_RM011_000000_002,YOLO26l,GM_RM011_000000_002,"[711.966,318.575,799.695,507.148]",0.848100,car,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,GM_RM011:YOLO26l:GM_RM011_000000_002:gray_histogram_8+edge_density,GM_RM011:YOLO26l:GM_RM011_000000_002:color_hsv_mean,right,"{""area_ratio"":0.0344655,""aspect_ratio"":0.46523,""color_hsv_mean"":[0.603416,0.055952,0.597899],""gray_histogram_8"":[0.0,0.0,0.220866,0.249033,0.142348,0.070841,0.190885,0.126028],""edge_density"":0.079666,""area_plausibility"":1.0,""aspect_plausibility"":0.25,""structure_support"":0.995829,""tracker_support"":1.0,""vehicle_likeness"":0.842854}",normalized_detection:YOLO26l:GM_RM011_000000_002,p1c_local_cluster=GM_RM011:F000:ALT001;normalization_action=keep_without_grouping_context;suppression_reason=;no_benchmark_input=true
GM_RM011,1,GM_RM011:YOLO11l:GM_RM011_000001_001,YOLO11l,GM_RM011_000001_001,"[736.191,336.693,799.779,501.586]",0.781098,car,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,GM_RM011:YOLO11l:GM_RM011_000001_001:gray_histogram_8+edge_density,GM_RM011:YOLO11l:GM_RM011_000001_001:color_hsv_mean,right,"{""area_ratio"":0.0218444,""aspect_ratio"":0.38564,""color_hsv_mean"":[0.623474,0.058559,0.572711],""gray_histogram_8"":[0.0,0.0,0.285322,0.252083,0.107765,0.069413,0.184186,0.101231],""edge_density"":0.063068,""area_plausibility"":1.0,""aspect_plausibility"":0.25,""structure_support"":0.788352,""tracker_support"":1.0,""vehicle_likeness"":0.795176}",normalized_detection:YOLO11l:GM_RM011_000001_001,p1c_local_cluster=GM_RM011:F001:ALT001;normalization_action=keep_without_grouping_context;suppression_reason=;no_benchmark_input=true
GM_RM011,1,GM_RM011:YOLO11l:GM_RM011_000001_002,YOLO11l,GM_RM011_000001_002,"[118.375,287.475,695.213,590.74]",0.340539,car,YOLO11l:botsort:bs_0002;YOLO11l:bytetrack:bt_0002;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,GM_RM011:YOLO11l:GM_RM011_000001_002:gray_histogram_8+edge_density,GM_RM011:YOLO11l:GM_RM011_000001_002:color_hsv_mean,none,"{""area_ratio"":0.3644468,""aspect_ratio"":1.90209,""color_hsv_mean"":[0.653583,0.042901,0.827534],""gray_histogram_8"":[0.0,0.000895,0.049964,0.088764,0.069221,0.105058,0.098918,0.58718],""edge_density"":0.023659,""area_plausibility"":1.0,""aspect_plausibility"":1.0,""structure_support"":0.295739,""tracker_support"":1.0,""vehicle_likeness"":0.691272}",normalized_detection:YOLO11l:GM_RM011_000001_002,p1c_local_cluster=GM_RM011:F001:ALT002;normalization_action=keep_without_grouping_context;suppression_reason=;no_benchmark_input=true
GM_RM011,1,GM_RM011:YOLO26l:GM_RM011_000001_001,YOLO26l,GM_RM011_000001_001,"[3.125,289.141,505.305,597.294]",0.914152,car,YOLO11l:botsort:bs_0002;YOLO11l:bytetrack:bt_0002;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,GM_RM011:YOLO26l:GM_RM011_000001_001:gray_histogram_8+edge_density,GM_RM011:YOLO26l:GM_RM011_000001_001:color_hsv_mean,bottom,"{""area_ratio"":0.3223916,""aspect_ratio"":1.62965,""color_hsv_mean"":[0.70795,0.032752,0.867816],""gray_histogram_8"":[0.0,0.0,0.000925,0.016816,0.078912,0.183539,0.129152,0.590657],""edge_density"":0.023381,""area_plausibility"":1.0,""aspect_plausibility"":1.0,""structure_support"":0.292256,""tracker_support"":1.0,""vehicle_likeness"":0.885882}",normalized_detection:YOLO26l:GM_RM011_000001_001,p1c_local_cluster=GM_RM011:F001:ALT002;normalization_action=keep_without_grouping_context;suppression_reason=;no_benchmark_input=true
GM_RM011,1,GM_RM011:YOLO26l:GM_RM011_000001_002,YOLO26l,GM_RM011_000001_002,"[735.623,337.14,799.701,501.566]",0.845268,car,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,GM_RM011:YOLO26l:GM_RM011_000001_002:gray_histogram_8+edge_density,GM_RM011:YOLO26l:GM_RM011_000001_002:color_hsv_mean,right,"{""area_ratio"":0.0219502,""aspect_ratio"":0.3897,""color_hsv_mean"":[0.623474,0.058559,0.572711],""gray_histogram_8"":[0.0,0.0,0.285322,0.252083,0.107765,0.069413,0.184186,0.101231],""edge_density"":0.063068,""area_plausibility"":1.0,""aspect_plausibility"":0.25,""structure_support"":0.788352,""tracker_support"":1.0,""vehicle_likeness"":0.816993}",normalized_detection:YOLO26l:GM_RM011_000001_002,p1c_local_cluster=GM_RM011:F001:ALT001;normalization_action=keep_without_grouping_context;suppression_reason=;no_benchmark_input=true
GM_RM011,2,GM_RM011:YOLO11l:GM_RM011_000002_001,YOLO11l,GM_RM011_000002_001,"[744.97,341.324,799.794,484.851]",0.834533,car,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,GM_RM011:YOLO11l:GM_RM011_000002_001:gray_histogram_8+edge_density,GM_RM011:YOLO11l:GM_RM011_000002_001:color_hsv_mean,right,"{""area_ratio"":0.0163931,""aspect_ratio"":0.38198,""color_hsv_mean"":[0.649895,0.058865,0.548531],""gray_histogram_8"":[0.0,0.0,0.337374,0.233333,0.099242,0.090404,0.195581,0.044066],""edge_density"":0.067424,""area_plausibility"":1.0,""aspect_plausibility"":0.25,""structure_support"":0.842803,""tracker_support"":1.0,""vehicle_likeness"":0.819877}",normalized_detection:YOLO11l:GM_RM011_000002_001,p1c_local_cluster=GM_RM011:F002:ALT001;normalization_action=keep_without_grouping_context;suppression_reason=;no_benchmark_input=true
GM_RM011,2,GM_RM011:YOLO11l:GM_RM011_000002_002,YOLO11l,GM_RM011_000002_002,"[176.402,278.54,726.892,593.971]",0.375008,car,YOLO11l:botsort:bs_0002;YOLO11l:bytetrack:bt_0002;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,GM_RM011:YOLO11l:GM_RM011_000002_002:gray_histogram_8+edge_density,GM_RM011:YOLO11l:GM_RM011_000002_002:color_hsv_mean,none,"{""area_ratio"":0.3617527,""aspect_ratio"":1.7452,""color_hsv_mean"":[0.643353,0.041649,0.824881],""gray_histogram_8"":[0.0,0.00337,0.054337,0.090928,0.053663,0.098683,0.128298,0.57072],""edge_density"":0.023219,""area_plausibility"":1.0,""aspect_plausibility"":1.0,""structure_support"":0.290237,""tracker_support"":1.0,""vehicle_likeness"":0.702331}",normalized_detection:YOLO11l:GM_RM011_000002_002,p1c_local_cluster=GM_RM011:F002:ALT002;normalization_action=keep_without_grouping_context;suppression_reason=;no_benchmark_input=true
