atlas_version,window_id,case_id,scene,canonical_vehicle_id,sar_frame,coordinate_system,source_role,review_status,label,subtype,geometry_type,points,confidence,notes
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,330,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,BACKGROUND_STRUCTURE,vertical_line,polyline,"1085.984,985.790;1085.984,1105.790",0.0,vertical bright structure retained as background counterexample
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,330,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,BACKGROUND_STRUCTURE,fan_arc,polyline,"905.984,1062.790;1050.984,1074.790;1195.984,1085.790",0.0,fan-arc structure retained as background counterexample
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,334,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,BACKGROUND_STRUCTURE,vertical_line,polyline,"1112.382,985.473;1112.382,1105.473",0.0,vertical bright structure retained as background counterexample
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,334,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,BACKGROUND_STRUCTURE,fan_arc,polyline,"932.382,1062.473;1077.382,1074.473;1222.382,1085.473",0.0,fan-arc structure retained as background counterexample
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,339,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,BACKGROUND_STRUCTURE,vertical_line,polyline,"1146.398,980.798;1146.398,1100.798",0.0,vertical bright structure retained as background counterexample
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,339,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,BACKGROUND_STRUCTURE,fan_arc,polyline,"966.398,1057.798;1111.398,1069.798;1256.398,1080.798",0.0,fan-arc structure retained as background counterexample
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,344,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,BACKGROUND_STRUCTURE,vertical_line,polyline,"1175.293,984.731;1175.293,1104.731",0.0,vertical bright structure retained as background counterexample
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,344,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,BACKGROUND_STRUCTURE,fan_arc,polyline,"995.293,1061.731;1140.293,1073.731;1285.293,1084.731",0.0,fan-arc structure retained as background counterexample
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,350,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,BACKGROUND_STRUCTURE,vertical_line,polyline,"1212.320,979.422;1212.320,1099.422",0.0,vertical bright structure retained as background counterexample
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,350,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,BACKGROUND_STRUCTURE,fan_arc,polyline,"1032.320,1056.422;1177.320,1068.422;1322.320,1079.422",0.0,fan-arc structure retained as background counterexample
