atlas_version,window_id,case_id,scene,canonical_vehicle_id,sar_frame,coordinate_system,source_role,review_status,label,component_id,geometry_type,points,length_px,confidence,notes
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,330,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,0,free_polyline,"1102.984,1002.790;1106.984,1102.790",100.080,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,330,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,1,free_polyline,"890.984,1084.790;975.984,1060.790;1070.984,1052.790;1172.984,1068.790;1215.984,1090.790",335.208,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,330,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,2,free_polyline,"1178.984,982.790;1216.984,992.790;1226.984,1076.790",123.887,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,334,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,0,free_polyline,"1122.382,992.473;1128.382,1110.473",118.152,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,334,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,1,free_polyline,"913.382,1083.473;995.382,1063.473;1093.382,1055.473;1203.382,1070.473;1243.382,1092.473",339.399,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,334,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,2,free_polyline,"1207.382,974.473;1255.382,996.473;1259.382,1076.473",132.901,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,339,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,0,free_polyline,"1119.398,987.798;1123.398,1113.798",126.063,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,339,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,1,free_polyline,"946.398,1085.798;1033.398,1062.798;1121.398,1056.798;1221.398,1066.798;1281.398,1089.798",342.949,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,339,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,2,free_polyline,"1253.398,997.798;1299.398,1017.798;1301.398,1097.798",130.185,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,344,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,0,free_polyline,"1138.293,987.731;1142.293,1121.731",134.060,0.0,actual current-frame background line/arc/hotspot/clutter control
