case_id,frame,point_id,point_role,background_subtype,coordinate_family,channel,sar_display_x,sar_display_y,gt_local_x,gt_local_y,optical_proxy_local_x,optical_proxy_local_y,world_stabilized_x,world_stabilized_y,family_transformed_x,family_transformed_y,inverse_recovered_x,inverse_recovered_y,inverse_point_error_px,inside_image,inside_valid_source,raw_gray_value,channel_raw_value,legacy_full_frame_value,valid_fan_per_frame_value,window_frozen_valid_value,local_target_matched_background_value,in_skeleton_mask,in_background_mask,in_unresolved_mask,used_for_statistics,conclusion_ids,experiment_semantics
PV002_337_341,339,skeleton_left,skeleton,,RAW_SAR_DISPLAY,gradient_magnitude_sobel,977.398,1051.798,-133.9999999999999,46.0,-131.72291989899998,15.750394337999978,965.3654816131592,1051.7698359559774,977.398,1051.798,977.398,1051.798,0.0,true,true,57.000000000,54.589374542,0.619628906,0.600585938,0.614746094,0.411865234,true,false,false,true,C02;C03;C05;C06,image_geometry_synchronized_coordinate_stack
PV002_337_341,339,skeleton_mid,skeleton,,RAW_SAR_DISPLAY,gradient_magnitude_sobel,1124.7113149462652,1063.798,13.313314946265336,58.0,15.590395047265247,27.75039433799998,1112.6787965594244,1063.7698359559774,1124.7113149462652,1063.798,1124.7113149462652,1063.798,0.0,true,true,50.000000000,51.244510651,0.581542969,0.563964844,0.577148438,0.383544922,true,false,false,true,C02;C03;C05;C06,image_geometry_synchronized_coordinate_stack
PV002_337_341,339,skeleton_right,skeleton,,RAW_SAR_DISPLAY,gradient_magnitude_sobel,1271.398,1049.798,160.0,44.0,162.2770801009999,13.750394337999978,1259.365481613159,1049.7698359559774,1271.398,1049.798,1271.398,1049.798,0.0,true,true,43.000000000,14.560219765,0.165283203,0.160278320,0.164062500,0.072570801,true,false,true,true,C02;C03;C05;C06,image_geometry_synchronized_coordinate_stack
PV002_337_341,339,seed_mid,seed,,RAW_SAR_DISPLAY,gradient_magnitude_sobel,1124.2780842267819,1063.798,12.880084226781946,58.0,15.157164327781857,27.75039433799998,1112.245565839941,1063.7698359559774,1124.2780842267819,1063.798,1124.2780842267819,1063.798,0.0,true,true,48.000000000,39.824615479,0.452148438,0.438232422,0.448730469,0.286621094,true,true,false,true,C02,image_geometry_synchronized_coordinate_stack
PV002_337_341,339,background_vertical_line,background,vertical_line,RAW_SAR_DISPLAY,gradient_magnitude_sobel,1121.398,1050.798,10.0,45.0,12.27708010099991,14.750394337999978,1109.365481613159,1050.7698359559774,1121.398,1050.798,1121.398,1050.798,0.0,true,true,46.000000000,14.212670326,0.161376953,0.156372070,0.160156250,0.069641113,false,true,false,true,C02;C03;C05;C06,image_geometry_synchronized_coordinate_stack
PV002_337_341,339,background_fan_arc,background,fan_arc,RAW_SAR_DISPLAY,gradient_magnitude_sobel,1114.6949897931902,1057.2550234231915,3.296989793190278,51.45702342319146,5.574069894190188,21.207417761191437,1102.6624714063494,1057.226859379169,1114.6949897931902,1057.2550234231915,1114.6949897931902,1057.2550234231915,0.0,true,true,51.000000000,23.409399033,0.265625000,0.257568359,0.263671875,0.147583008,false,true,false,true,C02;C03;C05;C06,image_geometry_synchronized_coordinate_stack
PV002_337_341,339,background_clutter,background,clutter,RAW_SAR_DISPLAY,gradient_magnitude_sobel,1299.7711990345065,1032.7259613802617,188.37319903450657,26.92796138026165,190.65027913550648,-3.3216442817383722,1287.7386806476657,1032.697797336239,1299.7711990345065,1032.7259613802617,1299.7711990345065,1032.7259613802617,0.0,true,true,57.000000000,91.706054688,1.000000000,1.000000000,1.000000000,0.726562500,false,true,true,true,C02;C03;C05;C06,image_geometry_synchronized_coordinate_stack
PV002_337_341,339,unresolved_centroid,unresolved,,RAW_SAR_DISPLAY,gradient_magnitude_sobel,1268.898,1054.048,157.5,48.25,159.7770801009999,18.00039433799998,1256.865481613159,1054.0198359559774,1268.898,1054.048,1268.898,1054.048,0.0,true,true,64.000000000,42.449970245,0.481933594,0.467041016,0.478271484,0.309082031,false,false,true,false,C02;C03;C05;C06,image_geometry_synchronized_coordinate_stack
PV002_337_341,339,gt_center,coordinate_reference,,RAW_SAR_DISPLAY,gradient_magnitude_sobel,1111.398,1005.798,0.0,0.0,2.2770801009999104,-30.24960566200002,1099.365481613159,1005.7698359559774,1111.398,1005.798,1111.398,1005.798,0.0,true,true,52.000000000,46.690471649,0.529785156,0.513671875,0.525878906,0.344970703,false,false,false,false,C02,image_geometry_synchronized_coordinate_stack
PV002_337_341,339,optical_proxy_center,coordinate_reference,,RAW_SAR_DISPLAY,gradient_magnitude_sobel,1109.120919899,1036.047605662,-2.2770801009999104,30.24960566200002,0.0,0.0,1097.0884015121592,1036.0194416179775,1109.120919899,1036.047605662,1109.120919899,1036.047605662,0.0,true,true,139.000000000,268.246154785,1.000000000,1.000000000,1.000000000,1.000000000,false,false,false,false,C02,image_geometry_synchronized_coordinate_stack
