atlas_version,window_id,case_id,scene,canonical_vehicle_id,sar_frame,coordinate_system,source_role,review_status,label,geometry_type,points,point_count,length_px,confidence,notes
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,330,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,MAIN_RESPONSE_SKELETON,free_polyline,"938.984,1045.790;980.984,1044.790;1022.984,1037.790;1072.984,1030.790;1132.984,1030.790;1178.984,1039.790",6,241.951,0.7,"right-half main band is visible but weak; vertical line and fan arc are background/mixed, not part of the target response."
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,330,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,HIGH_CONFIDENCE_RESPONSE_SEED,free_polyline_seed,"1020.984,1037.790;1075.984,1030.790;1128.984,1030.790",3,108.444,0.8,short visually clearest segment only; not required to be centered
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,334,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,MAIN_RESPONSE_SKELETON,free_polyline,"959.382,1048.473;1001.382,1046.473;1049.382,1041.473;1101.382,1037.473;1165.382,1036.473;1213.382,1044.473",6,255.131,0.7,main band lengthens and remains slightly sloped; upper-left component exists but is not a hard positive.
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,334,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,HIGH_CONFIDENCE_RESPONSE_SEED,free_polyline_seed,"1059.382,1041.473;1109.382,1037.473;1161.382,1037.473",3,102.160,0.8,short visually clearest segment only; not required to be centered
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,339,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,MAIN_RESPONSE_SKELETON,free_polyline,"977.398,1051.798;1019.398,1053.798;1067.398,1058.798;1121.398,1063.798;1183.398,1063.798;1237.398,1056.798;1271.398,1049.798",7,295.703,0.9,strong lower bright band appears and broadens; central vertical streak is a background/mixed crossing.
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,339,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,HIGH_CONFIDENCE_RESPONSE_SEED,free_polyline_seed,"1067.398,1058.798;1119.398,1063.798;1181.398,1063.798",3,114.240,0.95,short visually clearest segment only; not required to be centered
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,344,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,MAIN_RESPONSE_SKELETON,free_polyline,"992.293,1053.731;1032.293,1056.731;1082.293,1061.731;1134.293,1066.731;1192.293,1067.731;1252.293,1061.731;1294.293,1051.731",7,304.083,0.9,"broadest response in PV002; target-like lower band and fan/background arc overlap, so right side remains unresolved."
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,344,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,HIGH_CONFIDENCE_RESPONSE_SEED,free_polyline_seed,"1082.293,1061.731;1136.293,1066.731;1192.293,1067.731",3,110.240,0.95,short visually clearest segment only; not required to be centered
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,350,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,MAIN_RESPONSE_SKELETON,free_polyline,"1039.320,1056.422;1081.320,1059.422;1135.320,1064.422;1193.320,1066.422;1255.320,1062.422;1305.320,1052.422",6,267.492,0.9,late PV002 response remains lower and shorter; central vertical streak and right clutter are controls rather than positives.
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,350,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,HIGH_CONFIDENCE_RESPONSE_SEED,free_polyline_seed,"1135.320,1064.422;1193.320,1066.422;1255.320,1062.422",3,120.163,0.95,short visually clearest segment only; not required to be centered
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,360,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,MAIN_RESPONSE_SKELETON,free_polyline,"969.560,975.827;1007.560,973.827;1051.560,968.827;1097.560,963.827;1139.560,964.827;1173.560,974.827",6,206.059,0.7,short sloped main response with a separate right-lower hot region; right-lower hot region is unresolved/background-adjacent.
