case_id,frame,coordinate_family,propagation_mode,primitive_id,direction,ordinal,geometry,geometry_raw,length,width,mean_intensity,median_intensity,local_contrast,ridge_response,local_orientation,fan_radial_relation,fan_tangential_relation,temporal_support,world_stable_recurrence,shortest_seed_path,crosses_confirmed_background,enters_ambiguity_zone,state,state_reason
PV002_337_341,337,GT_ALIGNED_RESEARCH_STACK,SINGLE_FRAME_SPATIAL,PV002_337_341_337_GT_SEED,seed,0,"1108.601,1063.685;1132.578,1064.737","1108.601,1063.685;1132.578,1064.737",24.000000,3.000000,41.305233,41.000000,4.044746,2.013128,79.083340,15.850233,17.600447,0.046914,0.514987,PV002_337_341_337_GT_SEED,false,false,CONFIRMED_SEED,R2 confirmed seed point expanded only along the frozen local seed tangent
PV002_337_341,337,GT_ALIGNED_RESEARCH_STACK,SINGLE_FRAME_SPATIAL,PV002_337_341_337_GT_LEFT01,left,1,"1108.601,1063.685;1096.613,1063.159","1108.601,1063.685;1096.613,1063.159",12.000000,4.000000,41.509434,41.000000,3.282518,2.802610,66.965634,13.792603,16.690784,-0.021730,0.391788,PV002_337_341_337_GT_SEED>PV002_337_341_337_GT_LEFT01,true,false,BACKGROUND_BLOCKED,candidate segment touches or crosses the frozen vertical-background barrier
PV002_337_341,337,GT_ALIGNED_RESEARCH_STACK,SINGLE_FRAME_SPATIAL,PV002_337_341_337_GT_RIGHT01,right,1,"1132.578,1064.737;1144.567,1065.262","1132.578,1064.737;1144.567,1065.262",12.000000,2.000000,43.915493,44.000000,4.321541,2.950089,179.682328,17.780764,18.674717,0.214282,0.615143,PV002_337_341_337_GT_SEED>PV002_337_341_337_GT_RIGHT01,false,false,SUPPORTED_EXTENSION,connected local structure passes independent structure and temporal/background gates
PV002_337_341,337,GT_ALIGNED_RESEARCH_STACK,SINGLE_FRAME_SPATIAL,PV002_337_341_337_GT_RIGHT02,right,2,"1144.567,1065.262;1156.555,1065.788","1144.567,1065.262;1156.555,1065.788",12.000000,4.000000,43.735849,43.000000,4.404787,2.528114,85.694984,16.500445,20.545379,0.082970,0.398347,PV002_337_341_337_GT_SEED>PV002_337_341_337_GT_RIGHT01>PV002_337_341_337_GT_RIGHT02,false,false,TEMPORALLY_UNSUPPORTED,candidate lacks the frozen combination of structural continuity and temporal support
PV002_337_341,338,GT_ALIGNED_RESEARCH_STACK,SINGLE_FRAME_SPATIAL,PV002_337_341_338_GT_SEED,seed,0,"1108.601,1063.685;1132.578,1064.737","1116.598,1067.292;1140.575,1068.344",24.000000,3.000000,44.982558,45.000000,3.991676,2.869390,67.025369,15.200514,18.103002,0.046914,0.418015,PV002_337_341_338_GT_SEED,false,false,CONFIRMED_SEED,R2 confirmed seed point expanded only along the frozen local seed tangent
PV002_337_341,338,GT_ALIGNED_RESEARCH_STACK,SINGLE_FRAME_SPATIAL,PV002_337_341_338_GT_LEFT01,left,1,"1108.601,1063.685;1096.613,1063.159","1116.598,1067.292;1104.610,1066.766",12.000000,8.000000,43.825472,44.000000,3.510925,2.687792,85.230478,11.628033,15.748185,-0.021730,0.390880,PV002_337_341_338_GT_SEED>PV002_337_341_338_GT_LEFT01,true,false,BACKGROUND_BLOCKED,candidate segment touches or crosses the frozen vertical-background barrier
PV002_337_341,338,GT_ALIGNED_RESEARCH_STACK,SINGLE_FRAME_SPATIAL,PV002_337_341_338_GT_RIGHT01,right,1,"1132.578,1064.737;1144.567,1065.262","1140.575,1068.344;1152.564,1068.869",12.000000,3.000000,47.314554,47.000000,3.817898,2.686684,65.865524,16.045797,16.222748,0.214282,0.624742,PV002_337_341_338_GT_SEED>PV002_337_341_338_GT_RIGHT01,false,false,BACKGROUND_SUSPECT_WORLD_STABLE,world-stable recurrence exceeds target-aligned recurrence by the frozen margin
PV002_337_341,339,GT_ALIGNED_RESEARCH_STACK,SINGLE_FRAME_SPATIAL,PV002_337_341_339_GT_SEED,seed,0,"1108.601,1063.685;1132.578,1064.737","1124.278,1063.798;1148.255,1064.850",24.000000,2.000000,53.811047,53.000000,3.903746,2.818655,1.048072,17.692158,15.517002,0.046914,0.491255,PV002_337_341_339_GT_SEED,false,false,CONFIRMED_SEED,R2 confirmed seed point expanded only along the frozen local seed tangent
PV002_337_341,339,GT_ALIGNED_RESEARCH_STACK,SINGLE_FRAME_SPATIAL,PV002_337_341_339_GT_LEFT01,left,1,"1108.601,1063.685;1096.613,1063.159","1124.278,1063.798;1112.290,1063.272",12.000000,1.000000,49.933962,50.000000,3.777836,2.863363,167.847380,15.200549,12.456793,-0.021730,0.328266,PV002_337_341_339_GT_SEED>PV002_337_341_339_GT_LEFT01,true,false,BACKGROUND_BLOCKED,candidate segment touches or crosses the frozen vertical-background barrier
PV002_337_341,339,GT_ALIGNED_RESEARCH_STACK,SINGLE_FRAME_SPATIAL,PV002_337_341_339_GT_RIGHT01,right,1,"1132.578,1064.737;1144.567,1065.262","1148.255,1064.850;1160.244,1065.375",12.000000,1.000000,54.342723,53.000000,5.093651,3.934074,1.288568,24.656305,17.996737,0.214282,0.610609,PV002_337_341_339_GT_SEED>PV002_337_341_339_GT_RIGHT01,false,false,SUPPORTED_EXTENSION,connected local structure passes independent structure and temporal/background gates
PV002_337_341,339,GT_ALIGNED_RESEARCH_STACK,SINGLE_FRAME_SPATIAL,PV002_337_341_339_GT_RIGHT02,right,2,"1144.567,1065.262;1156.555,1065.788","1160.244,1065.375;1172.232,1065.901",12.000000,3.000000,50.099057,50.000000,3.866806,2.891447,166.994031,16.864606,11.536194,0.082970,0.400498,PV002_337_341_339_GT_SEED>PV002_337_341_339_GT_RIGHT01>PV002_337_341_339_GT_RIGHT02,false,false,SUPPORTED_EXTENSION,connected local structure passes independent structure and temporal/background gates
PV002_337_341,339,GT_ALIGNED_RESEARCH_STACK,SINGLE_FRAME_SPATIAL,PV002_337_341_339_GT_RIGHT03,right,3,"1156.555,1065.788;1168.543,1066.314","1172.232,1065.901;1184.220,1066.427",12.000000,3.000000,49.169014,50.000000,3.770031,2.394478,160.501985,15.938899,12.000000,0.021426,0.326395,PV002_337_341_339_GT_SEED>PV002_337_341_339_GT_RIGHT01>PV002_337_341_339_GT_RIGHT02>PV002_337_341_339_GT_RIGHT03,false,false,PROBABLE_EXTENSION,connected structure is plausible but does not satisfy both independent support families
