asset_id,asset_category,scene,path_or_source,format,coordinate_frame,units,time_base,availability,quality,deployment_usable,gt_dependent,verified_content,missing_fields,scientific_role,notes
G0A001,final_optical_frames,"GM_RM011;GM_RM017;GM_RM019",D:/profile/research/data/<scene>/<scene>_frames/*.png,PNG,optical_display_px,px,optical_frame_index_and_24_fps,AVAILABLE_NOW,final_contiguous_frames,true,false,"368 frames per scene; 800x600; filenames contiguous; source-container pixel equivalence audited",hardware_timestamp;camera_calibration,"direct multi-view position scale visibility truncation and pose observation","Corrected G0 primary input"
G0A002,final_optical_source_containers,"GM_RM011;GM_RM017;GM_RM019",D:/profile/research/data/mp4/<scene>_C.MP4,MP4,optical_display_px,px,container_24_fps,AVAILABLE_NOW,source_container_confirmed,true,false,"24 fps and 368 frames per scene; sampled decoded frames equal PNG",shared_clock_start;per_frame_timestamp,"frame-rate and image-lineage evidence","Does not prove cross-device common start"
G0A003,final_sar_gray_frames,"GM_RM011;GM_RM017;GM_RM019",D:/profile/research/data/<scene>/<scene>_SARframes_gray/*.png,PNG,sar_display_px,px,sar_frame_index_and_50_fps,AVAILABLE_NOW,final_contiguous_grayscale_frames,true,false,"766 frames per scene; 2308x1334; filenames contiguous; source-container pixel equivalence audited",upstream_imaging_lineage_not_required_by_corrected_G0,"direct SAR context and local-response observation","Corrected G0 primary input; pre-imaging data outside scope"
G0A004,final_sar_gray_source_containers,"GM_RM011;GM_RM017;GM_RM019",D:/profile/research/data/mp4/<scene>_0_R_1.MP4,MP4,sar_display_px,px,container_50_fps,AVAILABLE_NOW,source_container_confirmed,true,false,"50 fps and 766 frames per scene; sampled decoded frames equal PNG",shared_clock_start;per_frame_timestamp,"frame-rate and image-lineage evidence","Gray source defines the operational SAR time base"
G0A005,optical_identity_and_observation_lifecycle,"GM_RM011;GM_RM017;GM_RM019",manifests/oty2/oty2_p1e_canonical_vehicle_frame_states.csv,CSV,optical_identity_and_frame_state,"identity;frame;px",optical_frame_index,AVAILABLE_NOW_RESEARCH_AUDIT,research_benchmark_with_user_confirmed_relations,false,false,"8096 rows; 22 canonical vehicles; visibility lifecycle and reference boxes",deployment_identity_source,"same-vehicle multi-view linkage and observation lifecycle","Tracker or benchmark fields are not automatic deployment identity truth"
G0A006,research_sar_gt_geometry,"GM_RM011;GM_RM017;GM_RM019",manifests/oty2/oty2_s0_sar_gt_quality_audit.csv,CSV,sar_display_rotated_box,"px;deg",sar_frame_index,AVAILABLE_NOW_RESEARCH_ONLY,quality_and_identity_audited,false,true,"442 rows; 18 canonical vehicles; center radius azimuth size angle GT quality and identity status",deployment_target_geometry,"open-book geometry discovery validation and counterfactual audit","GT is not a response mask and is forbidden at deployment"
G0A007,operational_cross_modal_time_mapping,"GM_RM011;GM_RM017;GM_RM019","manifests/oty2/oty2_p0_hard_sync_optical_to_sar.csv;manifests/oty2/oty2_p0_hard_sync_sar_to_optical.csv",CSV,operational_time,"frame;s",common_frame_0_assumption_with_24_50_fps,AVAILABLE_BUT_COMMON_START_UNFROZEN,deterministic_and_internally_consistent,conditional,false,"all optical and SAR gray frame indices mapped; source FPS confirmed",public_clock;hardware_trigger;per_frame_timestamp,"post-imaging frame join","Usable operationally for this audit but not hardware-sync truth"
G0A008,sar_display_coordinate_contract,"GM_RM011;GM_RM017;GM_RM019","docs/OTY2_S0_SAR_COORDINATE_AND_GRID_CONTRACT.md;manifests/oty2/oty2_s0_sar_coordinate_contract.csv",MD_CSV,sar_display_and_fan_polar,"px;deg",frame_independent,AVAILABLE_NOW_FROZEN,reproducible_display_geometry,true,false,"2308x1334; origin 1154.0 1330.6; radius 1332.7; x/y to radius/azimuth formulas",none_for_display_relation,"exact final-image coordinate conversion","Does not claim complete upstream sensor geometry"
G0A009,sar_display_grid_scale,all_scenes,"docs/reviews/OTY2_SAR_ROUTE_ERRORS_AND_OMISSIONS_DEEP_REVIEW_20260718.md;docs/OTY2_RESEARCH_CONCLUSION_STATUS_REGISTER_20260718.md",MD,sar_reconstruction_display_grid,m_per_px,frame_independent,AVAILABLE_WITH_BOUNDARY,current_correction_authoritative,conditional,false,"0.03 m/px accepted for vehicle dimensions physical spacing search range and cross-frame movement on the display grid",independent_range_or_azimuth_resolution,"metric display-grid quantities","Not 3 cm independent resolution PSF width or component resolving power"
G0A010,static_vehicle_acquisition_fact,"GM_RM011;GM_RM017;GM_RM019",docs/OTY2_RSA2_O2_R1_STATIC_SCENE_CAUSAL_CORRECTION.md,MD,world_state,static_fact,all_frames,AVAILABLE_NOW_USER_CONFIRMED,acquisition_design_fact,conceptual,false,"all vehicles static; world position and heading fixed; vehicle world speed zero",metric_world_coordinates,"causal interpretation of image-domain changes","Platform-induced apparent change replaces vehicle-motion wording"
