control_id,forward_case_id,scene,canonical_vehicle_id,control_type,control_center_x_px,control_center_y_px,control_radius_px,control_theta_deg,control_width_px,control_height_px,control_angle_deg,control_inside_forward_domain,control_excluded,scientific_role
G1C0001,G1F0001,GM_RM017,GM_RM017:PV002,SHIFTED_GT_POSITION,1253.833000,754.750000,584.439775,9.835399,154.423000,74.500000,0.000000,false,true,O2-provenance-matched GT x+260/y-250 wrong-distance control
G1C0002,G1F0001,GM_RM017,GM_RM017:PV002,ROTATED_90_DEG,993.833000,1004.750000,363.086000,-26.175777,154.423000,74.500000,90.000000,false,true,same-center 90-degree heading control
G1C0003,G1F0001,GM_RM017,GM_RM017:PV002,SAME_SIZE_WRONG_RADIAL_POSITION,905.607856,825.261315,563.086000,-26.175777,154.423000,74.500000,0.000000,false,true,same-size location shifted +200 px radially
G1C0004,G1F0001,GM_RM017,GM_RM017:PV002,NEIGHBOR_VEHICLE_SWAP,826.984,944.068,506.307,-40.232079,148.297000,65.897000,-1.000000,false,true,neighbor=GM_RM017:PV003
G1C0005,G1F0002,GM_RM017,GM_RM017:PV002,SHIFTED_GT_POSITION,1387.160000,758.930000,617.389808,22.188469,149.050000,69.700000,178.000000,false,true,O2-provenance-matched GT x+260/y-250 wrong-distance control
G1C0006,G1F0002,GM_RM017,GM_RM017:PV002,ROTATED_90_DEG,1127.160000,1008.930000,322.788000,-4.769685,149.050000,69.700000,268.000000,false,true,same-center 90-degree heading control
G1C0007,G1F0002,GM_RM017,GM_RM017:PV002,SAME_SIZE_WRONG_RADIAL_POSITION,1110.529869,809.622418,522.788000,-4.769685,149.050000,69.700000,178.000000,false,true,same-size location shifted +200 px radially
G1C0008,G1F0002,GM_RM017,GM_RM017:PV002,NEIGHBOR_VEHICLE_SWAP,960.692,941.628,434.358,-26.426067,162.983000,71.403000,177.000000,false,true,neighbor=GM_RM017:PV003
G1C0009,G1F0002,GM_RM017,GM_RM017:PV002,NEIGHBOR_VEHICLE_SWAP,794.761,880.110,576.189,-38.570279,139.497000,74.206000,-5.000000,false,true,neighbor=GM_RM017:PV004
G1C0010,G1F0003,GM_RM017,GM_RM017:PV002,SHIFTED_GT_POSITION,1510.587000,758.787000,673.887524,31.947983,162.497000,71.039000,-3.000000,true,false,O2-provenance-matched GT x+260/y-250 wrong-distance control
