window_id,scene,optical_frame,sar_frame,canonical_vehicle_id,optical_center_u_px,optical_effective_scale_px,optical_boundary_contacts,sar_theta_deg,sar_radius_px,optical_left_to_right_order,sar_theta_negative_to_positive_order,order_consistent,apparent_scale_large_to_small_order,sar_radius_near_to_far_order,scale_radius_relation,shared_platform_interpretation,remaining_limit
G1R1EB01,GM_RM017,164,342,GM_RM017:PV004,50.656000,76.388766,L,-38.570279,576.189000,PV004;PV003;PV002,PV004;PV003;PV002,true,PV002;PV003;PV004,PV002;PV003;PV004,ALIGNED_IN_THIS_WINDOW,All are side-dominant; PV002 is nearest while the optical and theta orders agree.,apparent scale remains pose- and truncation-sensitive; no absolute-radius rule is inferred
G1R1EB01,GM_RM017,164,342,GM_RM017:PV003,162.715000,141.815037,none,-26.426067,434.358000,PV004;PV003;PV002,PV004;PV003;PV002,true,PV002;PV003;PV004,PV002;PV003;PV004,ALIGNED_IN_THIS_WINDOW,All are side-dominant; PV002 is nearest while the optical and theta orders agree.,apparent scale remains pose- and truncation-sensitive; no absolute-radius rule is inferred
G1R1EB01,GM_RM017,164,342,GM_RM017:PV002,381.879500,165.049268,none,-4.769685,322.788000,PV004;PV003;PV002,PV004;PV003;PV002,true,PV002;PV003;PV004,PV002;PV003;PV004,ALIGNED_IN_THIS_WINDOW,All are side-dominant; PV002 is nearest while the optical and theta orders agree.,apparent scale remains pose- and truncation-sensitive; no absolute-radius rule is inferred
G1R1EB02,GM_RM017,173,361,GM_RM017:PV004,157.554500,105.836523,none,-26.994208,503.450000,PV004;PV003;PV002,PV004;PV003;PV002,true,PV002;PV003;PV004,PV002;PV003;PV004,ALIGNED_IN_THIS_WINDOW,Shared platform time does not imply one vehicle-local phase: PV002 is departing while PV003/PV004 still approach their minima.,apparent scale remains pose- and truncation-sensitive; no absolute-radius rule is inferred
G1R1EB02,GM_RM017,173,361,GM_RM017:PV003,329.357000,148.093963,none,-9.235176,393.452000,PV004;PV003;PV002,PV004;PV003;PV002,true,PV002;PV003;PV004,PV002;PV003;PV004,ALIGNED_IN_THIS_WINDOW,Shared platform time does not imply one vehicle-local phase: PV002 is departing while PV003/PV004 still approach their minima.,apparent scale remains pose- and truncation-sensitive; no absolute-radius rule is inferred
G1R1EB02,GM_RM017,173,361,GM_RM017:PV002,620.881000,181.698180,none,16.706284,335.995000,PV004;PV003;PV002,PV004;PV003;PV002,true,PV002;PV003;PV004,PV002;PV003;PV004,ALIGNED_IN_THIS_WINDOW,Shared platform time does not imply one vehicle-local phase: PV002 is departing while PV003/PV004 still approach their minima.,apparent scale remains pose- and truncation-sensitive; no absolute-radius rule is inferred
G1R1EB03,GM_RM017,181,378,GM_RM017:PV004,291.628500,115.358373,none,-14.080183,465.534000,PV004;PV003;PV002,PV004;PV003;PV002,true,PV003;PV002;PV004,PV002;PV003;PV004,CONTRADICTED_OR_POSE_TRUNCATION_SENSITIVE,"PV003 is near its minimum, PV002 is already farther again, and PV004 remains farther; order remains stable.",apparent scale remains pose- and truncation-sensitive; no absolute-radius rule is inferred
G1R1EB03,GM_RM017,181,378,GM_RM017:PV003,495.251500,156.150727,none,6.131045,387.387000,PV004;PV003;PV002,PV004;PV003;PV002,true,PV003;PV002;PV004,PV002;PV003;PV004,CONTRADICTED_OR_POSE_TRUNCATION_SENSITIVE,"PV003 is near its minimum, PV002 is already farther again, and PV004 remains farther; order remains stable.",apparent scale remains pose- and truncation-sensitive; no absolute-radius rule is inferred
G1R1EB03,GM_RM017,181,378,GM_RM017:PV002,733.561000,116.081450,R,31.927206,377.714000,PV004;PV003;PV002,PV004;PV003;PV002,true,PV003;PV002;PV004,PV002;PV003;PV004,CONTRADICTED_OR_POSE_TRUNCATION_SENSITIVE,"PV003 is near its minimum, PV002 is already farther again, and PV004 remains farther; order remains stable.",apparent scale remains pose- and truncation-sensitive; no absolute-radius rule is inferred
G1R1EB04,GM_RM011,117,244,GM_RM011:PV007,45.288500,88.729551,L,-41.025713,162.359000,PV007;PV006,PV007;PV006,true,PV006;PV007,PV006;PV007,ALIGNED_IN_THIS_WINDOW,Both are end-on/oblique-front; left-right order remains useful despite different clipping.,apparent scale remains pose- and truncation-sensitive; no absolute-radius rule is inferred
G1R1EB04,GM_RM011,117,244,GM_RM011:PV006,190.246500,344.298567,LB,-16.511624,131.392000,PV007;PV006,PV007;PV006,true,PV006;PV007,PV006;PV007,ALIGNED_IN_THIS_WINDOW,Both are end-on/oblique-front; left-right order remains useful despite different clipping.,apparent scale remains pose- and truncation-sensitive; no absolute-radius rule is inferred
G1R1EB05,GM_RM011,125,261,GM_RM011:PV007,149.226500,304.249878,LB,-23.292910,148.521000,PV007;PV006,PV007;PV006,true,PV006;PV007,PV006;PV007,ALIGNED_IN_THIS_WINDOW,Pair order agrees; apparent-scale versus radius is locally aligned but pose and bottom clipping remain confounders.,apparent scale remains pose- and truncation-sensitive; no absolute-radius rule is inferred
G1R1EB05,GM_RM011,125,261,GM_RM011:PV006,437.429000,377.588094,B,10.003139,136.429000,PV007;PV006,PV007;PV006,true,PV006;PV007,PV006;PV007,ALIGNED_IN_THIS_WINDOW,Pair order agrees; apparent-scale versus radius is locally aligned but pose and bottom clipping remain confounders.,apparent scale remains pose- and truncation-sensitive; no absolute-radius rule is inferred
G1R1EB06,GM_RM011,134,280,GM_RM011:PV007,318.499000,416.630881,B,-22.127108,193.977000,PV007;PV006,PV007;PV006,true,PV007;PV006,PV006;PV007,CONTRADICTED_OR_POSE_TRUNCATION_SENSITIVE,"Order agrees but apparent-scale/radius ordering is contradicted, showing that frontal pose and clipping cannot be ignored.",apparent scale remains pose- and truncation-sensitive; no absolute-radius rule is inferred
G1R1EB06,GM_RM011,134,280,GM_RM011:PV006,671.460000,278.054268,RB,31.815939,150.837000,PV007;PV006,PV007;PV006,true,PV007;PV006,PV006;PV007,CONTRADICTED_OR_POSE_TRUNCATION_SENSITIVE,"Order agrees but apparent-scale/radius ordering is contradicted, showing that frontal pose and clipping cannot be ignored.",apparent scale remains pose- and truncation-sensitive; no absolute-radius rule is inferred
G1R1EB07,GM_RM011,151,315,GM_RM011:PV008,603.040500,361.954473,RB,17.494264,140.361000,PV008;PV007,PV008;PV007,true,PV008;PV007,PV008;PV007,ALIGNED_IN_THIS_WINDOW,PV008 remains left of PV007 in both modalities; corrected directions are nearly equal and do not separate identity.,apparent scale remains pose- and truncation-sensitive; no absolute-radius rule is inferred
G1R1EB07,GM_RM011,151,315,GM_RM011:PV007,744.646500,157.345850,R,43.076411,166.419000,PV008;PV007,PV008;PV007,true,PV008;PV007,PV008;PV007,ALIGNED_IN_THIS_WINDOW,PV008 remains left of PV007 in both modalities; corrected directions are nearly equal and do not separate identity.,apparent scale remains pose- and truncation-sensitive; no absolute-radius rule is inferred
