record_type,road_control_id,reference_sar_frame,current_sar_frame,optical_empty_confirmation,world_registration_status,world_registration_method,registration_landmarks,registration_translation_px,registration_uncertainty_px,frame_registration_uncertainty_px,road_definition_uncertainty_px,landmark_residual_median_px,landmark_residual_p90_px,landmark_loo_translation_radius_px,vehicle_posthoc_validation_max_px,vehicle_posthoc_cross_axis_max_px,road_axis_deg,virtual_box_center,virtual_box_L/W,v_points_to_fan_origin_check,near_sign_dot_to_origin,radius/theta,radius_px,theta_deg,valid_patch_ratio,peak_v,peak_v_over_half_width,near_minus_far_raw,near_minus_far_sigma4,near_minus_far_sigma10,near_minus_far_sigma20,u_coverage_range,u_span_px,length_termination_status,registration_sensitivity_peak_range,registration_sensitivity_can_enter_vehicle_interval,cross_frame_consistency,physical_interpretation,evidence_limit
WORLD_REGISTERED_EMPTY_ROAD_COUNTERFACTUAL,RC1,361,341,optical 195/200/205/210: PV004 remains the rightmost trailing sedan while the immediately preceding roadside slot is exposed and vehicle-free,WORLD_REGISTERED_ROAD_CONTROL,SAR361 six manually declared non-collinear static landmarks; sequential fixed-reference-template local tracking through every SAR frame; componentwise median 2D translation; no vehicle-seeded search; vehicle GT only posthoc validation,L1_UPPER_LEFT_ARC_CROSS;L2_UPPER_LEFT_SHORT_RETURN;L3_UPPER_MID_ARC;L4_RIGHT_VERTICAL_POLE;L5_LOWER_CROSS;L6_LOWER_DIAGONAL,"[-128.500,0.000]",16.181,15.815,3.423,2.309,10.505,0.500,15.815,2.009,-2.639,"[634.651,812.971]","[162.681,74.774]",PASS,0.737794,"[733.255,-45.095]",733.255,-45.095,0.999850,-61.500,-1.644957,-1.521221,0.104360,0.204972,0.282601,"[-56.5,-39.5]",18.000,ENDS_INSIDE_VIRTUAL_LENGTH,"[-1.671704,-1.190253]",NO,base target-range 0/14; raw near>far 0/14; median peak -1.672; coherent uncertainty perturbation at most 0/14 target-range frames,ROAD_RESPONSE_PRESENT_WITHOUT_REPLICATED_VEHICLE_BOX_NEAR_SIDE_LOCK; supports VEHICLE_NEIGHBORHOOD_SPECIFIC_CONTRAST,GM17 only; optical supplies empty-road semantics but not SAR pixels; reference road locus is manual research geometry extrapolated beyond PV004; registration uncertainty is explicit; does not separate vehicle body from vehicle-ground interaction and is not runtime input
WORLD_REGISTERED_EMPTY_ROAD_COUNTERFACTUAL,RC1,361,342,optical 195/200/205/210: PV004 remains the rightmost trailing sedan while the immediately preceding roadside slot is exposed and vehicle-free,WORLD_REGISTERED_ROAD_CONTROL,SAR361 six manually declared non-collinear static landmarks; sequential fixed-reference-template local tracking through every SAR frame; componentwise median 2D translation; no vehicle-seeded search; vehicle GT only posthoc validation,L1_UPPER_LEFT_ARC_CROSS;L2_UPPER_LEFT_SHORT_RETURN;L3_UPPER_MID_ARC;L4_RIGHT_VERTICAL_POLE;L5_LOWER_CROSS;L6_LOWER_DIAGONAL,"[-121.500,1.000]",14.257,13.840,3.423,3.809,13.840,0.500,9.665,3.312,-2.639,"[641.651,813.971]","[162.681,74.774]",PASS,0.741709,"[727.604,-44.762]",727.604,-44.762,0.999884,-61.500,-1.644957,-1.523335,0.040055,0.176214,0.354999,"[-57.5,-38.5]",20.000,ENDS_INSIDE_VIRTUAL_LENGTH,"[-1.805440,-1.110012]",NO,base target-range 0/14; raw near>far 0/14; median peak -1.672; coherent uncertainty perturbation at most 0/14 target-range frames,ROAD_RESPONSE_PRESENT_WITHOUT_REPLICATED_VEHICLE_BOX_NEAR_SIDE_LOCK; supports VEHICLE_NEIGHBORHOOD_SPECIFIC_CONTRAST,GM17 only; optical supplies empty-road semantics but not SAR pixels; reference road locus is manual research geometry extrapolated beyond PV004; registration uncertainty is explicit; does not separate vehicle body from vehicle-ground interaction and is not runtime input
WORLD_REGISTERED_EMPTY_ROAD_COUNTERFACTUAL,RC1,361,343,optical 195/200/205/210: PV004 remains the rightmost trailing sedan while the immediately preceding roadside slot is exposed and vehicle-free,WORLD_REGISTERED_ROAD_CONTROL,SAR361 six manually declared non-collinear static landmarks; sequential fixed-reference-template local tracking through every SAR frame; componentwise median 2D translation; no vehicle-seeded search; vehicle GT only posthoc validation,L1_UPPER_LEFT_ARC_CROSS;L2_UPPER_LEFT_SHORT_RETURN;L3_UPPER_MID_ARC;L4_RIGHT_VERTICAL_POLE;L5_LOWER_CROSS;L6_LOWER_DIAGONAL,"[-114.500,0.000]",16.755,16.402,3.423,1.781,5.212,0.500,16.402,2.629,-2.639,"[648.651,812.971]","[162.681,74.774]",PASS,0.746948,"[723.407,-44.312]",723.407,-44.312,1.000000,-61.500,-1.644957,-1.733463,-0.026483,0.078184,0.197171,"[-57.5,-39.5]",19.000,ENDS_INSIDE_VIRTUAL_LENGTH,"[-1.805440,-1.136759]",NO,base target-range 0/14; raw near>far 0/14; median peak -1.672; coherent uncertainty perturbation at most 0/14 target-range frames,ROAD_RESPONSE_PRESENT_WITHOUT_REPLICATED_VEHICLE_BOX_NEAR_SIDE_LOCK; supports VEHICLE_NEIGHBORHOOD_SPECIFIC_CONTRAST,GM17 only; optical supplies empty-road semantics but not SAR pixels; reference road locus is manual research geometry extrapolated beyond PV004; registration uncertainty is explicit; does not separate vehicle body from vehicle-ground interaction and is not runtime input
WORLD_REGISTERED_EMPTY_ROAD_COUNTERFACTUAL,RC1,361,347,optical 195/200/205/210: PV004 remains the rightmost trailing sedan while the immediately preceding roadside slot is exposed and vehicle-free,WORLD_REGISTERED_ROAD_CONTROL,SAR361 six manually declared non-collinear static landmarks; sequential fixed-reference-template local tracking through every SAR frame; componentwise median 2D translation; no vehicle-seeded search; vehicle GT only posthoc validation,L1_UPPER_LEFT_ARC_CROSS;L2_UPPER_LEFT_SHORT_RETURN;L3_UPPER_MID_ARC;L4_RIGHT_VERTICAL_POLE;L5_LOWER_CROSS;L6_LOWER_DIAGONAL,"[-89.500,-1.000]",15.452,15.068,3.423,2.422,6.460,0.500,15.068,3.297,-2.639,"[673.651,811.971]","[162.681,74.774]",PASS,0.764172,"[706.903,-42.806]",706.903,-42.806,1.000000,-62.500,-1.671704,-2.437428,0.044934,0.047793,-0.068119,"[-56.5,-37.5]",20.000,ENDS_INSIDE_VIRTUAL_LENGTH,"[-1.671704,-0.842539]",NO,base target-range 0/14; raw near>far 0/14; median peak -1.672; coherent uncertainty perturbation at most 0/14 target-range frames,ROAD_RESPONSE_PRESENT_WITHOUT_REPLICATED_VEHICLE_BOX_NEAR_SIDE_LOCK; supports VEHICLE_NEIGHBORHOOD_SPECIFIC_CONTRAST,GM17 only; optical supplies empty-road semantics but not SAR pixels; reference road locus is manual research geometry extrapolated beyond PV004; registration uncertainty is explicit; does not separate vehicle body from vehicle-ground interaction and is not runtime input
WORLD_REGISTERED_EMPTY_ROAD_COUNTERFACTUAL,RC1,361,348,optical 195/200/205/210: PV004 remains the rightmost trailing sedan while the immediately preceding roadside slot is exposed and vehicle-free,WORLD_REGISTERED_ROAD_CONTROL,SAR361 six manually declared non-collinear static landmarks; sequential fixed-reference-template local tracking through every SAR frame; componentwise median 2D translation; no vehicle-seeded search; vehicle GT only posthoc validation,L1_UPPER_LEFT_ARC_CROSS;L2_UPPER_LEFT_SHORT_RETURN;L3_UPPER_MID_ARC;L4_RIGHT_VERTICAL_POLE;L5_LOWER_CROSS;L6_LOWER_DIAGONAL,"[-82.000,-0.500]",19.694,19.394,3.423,3.511,19.394,0.500,8.783,2.615,-2.639,"[681.151,812.471]","[162.681,74.774]",PASS,0.768898,"[701.458,-42.384]",701.458,-42.384,1.000000,-63.500,-1.698451,-2.498844,-0.044841,-0.105314,-0.200004,"[-55.5,-37.5]",19.000,ENDS_INSIDE_VIRTUAL_LENGTH,"[-1.698451,-0.976275]",NO,base target-range 0/14; raw near>far 0/14; median peak -1.672; coherent uncertainty perturbation at most 0/14 target-range frames,ROAD_RESPONSE_PRESENT_WITHOUT_REPLICATED_VEHICLE_BOX_NEAR_SIDE_LOCK; supports VEHICLE_NEIGHBORHOOD_SPECIFIC_CONTRAST,GM17 only; optical supplies empty-road semantics but not SAR pixels; reference road locus is manual research geometry extrapolated beyond PV004; registration uncertainty is explicit; does not separate vehicle body from vehicle-ground interaction and is not runtime input
WORLD_REGISTERED_EMPTY_ROAD_COUNTERFACTUAL,RC1,361,349,optical 195/200/205/210: PV004 remains the rightmost trailing sedan while the immediately preceding roadside slot is exposed and vehicle-free,WORLD_REGISTERED_ROAD_CONTROL,SAR361 six manually declared non-collinear static landmarks; sequential fixed-reference-template local tracking through every SAR frame; componentwise median 2D translation; no vehicle-seeded search; vehicle GT only posthoc validation,L1_UPPER_LEFT_ARC_CROSS;L2_UPPER_LEFT_SHORT_RETURN;L3_UPPER_MID_ARC;L4_RIGHT_VERTICAL_POLE;L5_LOWER_CROSS;L6_LOWER_DIAGONAL,"[-75.000,0.000]",12.164,11.673,3.423,2.288,11.673,1.000,11.664,6.400,-2.639,"[688.151,812.971]","[162.681,74.774]",PASS,0.773317,"[696.387,-41.986]",696.387,-41.986,1.000000,-66.500,-1.778693,-2.653976,0.050864,0.058257,0.003748,"[-56.5,-36.5]",21.000,ENDS_INSIDE_VIRTUAL_LENGTH,"[-1.778693,-0.922781]",NO,base target-range 0/14; raw near>far 0/14; median peak -1.672; coherent uncertainty perturbation at most 0/14 target-range frames,ROAD_RESPONSE_PRESENT_WITHOUT_REPLICATED_VEHICLE_BOX_NEAR_SIDE_LOCK; supports VEHICLE_NEIGHBORHOOD_SPECIFIC_CONTRAST,GM17 only; optical supplies empty-road semantics but not SAR pixels; reference road locus is manual research geometry extrapolated beyond PV004; registration uncertainty is explicit; does not separate vehicle body from vehicle-ground interaction and is not runtime input
WORLD_REGISTERED_EMPTY_ROAD_COUNTERFACTUAL,RC1,361,360,optical 195/200/205/210: PV004 remains the rightmost trailing sedan while the immediately preceding roadside slot is exposed and vehicle-free,WORLD_REGISTERED_ROAD_CONTROL,SAR361 six manually declared non-collinear static landmarks; sequential fixed-reference-template local tracking through every SAR frame; componentwise median 2D translation; no vehicle-seeded search; vehicle GT only posthoc validation,L1_UPPER_LEFT_ARC_CROSS;L2_UPPER_LEFT_SHORT_RETURN;L3_UPPER_MID_ARC;L4_RIGHT_VERTICAL_POLE;L5_LOWER_CROSS;L6_LOWER_DIAGONAL,"[-6.000,0.000]",5.938,4.853,3.423,0.000,0.000,0.000,4.853,4.606,-2.639,"[757.151,812.971]","[162.681,74.774]",PASS,0.820778,"[652.249,-37.476]",652.249,-37.476,1.000000,-61.500,-1.644957,-2.325123,-0.005919,0.193567,0.432603,"[-58.5,-37.5]",22.000,ENDS_INSIDE_VIRTUAL_LENGTH,"[-1.805440,-1.484473]",NO,base target-range 0/14; raw near>far 0/14; median peak -1.672; coherent uncertainty perturbation at most 0/14 target-range frames,ROAD_RESPONSE_PRESENT_WITHOUT_REPLICATED_VEHICLE_BOX_NEAR_SIDE_LOCK; supports VEHICLE_NEIGHBORHOOD_SPECIFIC_CONTRAST,GM17 only; optical supplies empty-road semantics but not SAR pixels; reference road locus is manual research geometry extrapolated beyond PV004; registration uncertainty is explicit; does not separate vehicle body from vehicle-ground interaction and is not runtime input
WORLD_REGISTERED_EMPTY_ROAD_COUNTERFACTUAL,RC1,361,361,optical 195/200/205/210: PV004 remains the rightmost trailing sedan while the immediately preceding roadside slot is exposed and vehicle-free,WORLD_REGISTERED_ROAD_CONTROL,SAR361 six manually declared non-collinear static landmarks; sequential fixed-reference-template local tracking through every SAR frame; componentwise median 2D translation; no vehicle-seeded search; vehicle GT only posthoc validation,L1_UPPER_LEFT_ARC_CROSS;L2_UPPER_LEFT_SHORT_RETURN;L3_UPPER_MID_ARC;L4_RIGHT_VERTICAL_POLE;L5_LOWER_CROSS;L6_LOWER_DIAGONAL,"[0.000,0.000]",3.965,2.000,3.423,0.000,0.000,0.000,0.000,0.000,-2.639,"[763.151,812.971]","[162.681,74.774]",PASS,0.824949,"[648.616,-37.056]",648.616,-37.056,1.000000,-62.500,-1.671704,-1.764515,0.084411,0.243862,0.459804,"[-56.5,-37.5]",20.000,ENDS_INSIDE_VIRTUAL_LENGTH,"[-1.778693,-1.564715]",NO,base target-range 0/14; raw near>far 0/14; median peak -1.672; coherent uncertainty perturbation at most 0/14 target-range frames,ROAD_RESPONSE_PRESENT_WITHOUT_REPLICATED_VEHICLE_BOX_NEAR_SIDE_LOCK; supports VEHICLE_NEIGHBORHOOD_SPECIFIC_CONTRAST,GM17 only; optical supplies empty-road semantics but not SAR pixels; reference road locus is manual research geometry extrapolated beyond PV004; registration uncertainty is explicit; does not separate vehicle body from vehicle-ground interaction and is not runtime input
WORLD_REGISTERED_EMPTY_ROAD_COUNTERFACTUAL,RC1,361,362,optical 195/200/205/210: PV004 remains the rightmost trailing sedan while the immediately preceding roadside slot is exposed and vehicle-free,WORLD_REGISTERED_ROAD_CONTROL,SAR361 six manually declared non-collinear static landmarks; sequential fixed-reference-template local tracking through every SAR frame; componentwise median 2D translation; no vehicle-seeded search; vehicle GT only posthoc validation,L1_UPPER_LEFT_ARC_CROSS;L2_UPPER_LEFT_SHORT_RETURN;L3_UPPER_MID_ARC;L4_RIGHT_VERTICAL_POLE;L5_LOWER_CROSS;L6_LOWER_DIAGONAL,"[6.000,0.000]",6.980,6.083,3.423,0.000,0.000,0.000,6.083,3.453,-2.639,"[769.151,812.971]","[162.681,74.774]",PASS,0.829122,"[645.018,-36.630]",645.018,-36.630,1.000000,-61.500,-1.644957,-2.281258,0.121108,0.234614,0.369000,"[-57.5,-37.5]",21.000,ENDS_INSIDE_VIRTUAL_LENGTH,"[-1.805440,-1.457726]",NO,base target-range 0/14; raw near>far 0/14; median peak -1.672; coherent uncertainty perturbation at most 0/14 target-range frames,ROAD_RESPONSE_PRESENT_WITHOUT_REPLICATED_VEHICLE_BOX_NEAR_SIDE_LOCK; supports VEHICLE_NEIGHBORHOOD_SPECIFIC_CONTRAST,GM17 only; optical supplies empty-road semantics but not SAR pixels; reference road locus is manual research geometry extrapolated beyond PV004; registration uncertainty is explicit; does not separate vehicle body from vehicle-ground interaction and is not runtime input
WORLD_REGISTERED_EMPTY_ROAD_COUNTERFACTUAL,RC1,361,370,optical 195/200/205/210: PV004 remains the rightmost trailing sedan while the immediately preceding roadside slot is exposed and vehicle-free,WORLD_REGISTERED_ROAD_CONTROL,SAR361 six manually declared non-collinear static landmarks; sequential fixed-reference-template local tracking through every SAR frame; componentwise median 2D translation; no vehicle-seeded search; vehicle GT only posthoc validation,L1_UPPER_LEFT_ARC_CROSS;L2_UPPER_LEFT_SHORT_RETURN;L3_UPPER_MID_ARC;L4_RIGHT_VERTICAL_POLE;L5_LOWER_CROSS;L6_LOWER_DIAGONAL,"[62.000,-1.000]",6.876,5.963,3.423,3.217,4.562,2.000,5.963,3.905,-2.639,"[825.151,811.971]","[162.681,74.774]",PASS,0.868296,"[614.099,-32.378]",614.099,-32.378,1.000000,-66.500,-1.778693,-3.002861,-0.080170,-0.031212,0.064975,"[-54.5,-34.5]",21.000,ENDS_INSIDE_VIRTUAL_LENGTH,"[-1.778693,-1.591462]",NO,base target-range 0/14; raw near>far 0/14; median peak -1.672; coherent uncertainty perturbation at most 0/14 target-range frames,ROAD_RESPONSE_PRESENT_WITHOUT_REPLICATED_VEHICLE_BOX_NEAR_SIDE_LOCK; supports VEHICLE_NEIGHBORHOOD_SPECIFIC_CONTRAST,GM17 only; optical supplies empty-road semantics but not SAR pixels; reference road locus is manual research geometry extrapolated beyond PV004; registration uncertainty is explicit; does not separate vehicle body from vehicle-ground interaction and is not runtime input
