case_id,scene,canonical_vehicle_id,benchmark_role,optical_frame,sar_frame,pairing_basis,pairing_assumption_status,alpha_deg,beta_deg,radius_px,theta_deg,u_axis_deg,rho_axis_deg,tau_axis_deg,gt_quality_status,identity_link_confidence,optical_pose_review,optical_pose_source,optical_visibility_state,optical_truncation,optical_occlusion,sar_gt_valid_fraction,local_patch_valid_fraction,near_origin_state,fan_or_invalid_boundary_state,background_competition,continuous_window_id,grammar_eligibility,lineage_eligibility,identifiability_status,ineligibility_reason,sar_gray_path,optical_path,evidence_role,gt_usage_boundary
ELIG_GM_RM011_PV001_S0000,GM_RM011,GM_RM011:PV001,development,0,0,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,86.983562,3.016438,87.434544,-8.983562,-12.000000,81.016438,-8.983562,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.866319,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000000.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000000.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0001,GM_RM011,GM_RM011:PV001,development,0,1,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,86.845467,3.154533,87.109316,-4.845467,-8.000000,85.154533,-4.845467,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.864803,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000001.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000000.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0002,GM_RM011,GM_RM011:PV001,development,1,2,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,85.452995,4.547005,88.959502,-3.452995,-8.000000,86.547005,-3.452995,diagnostic_only,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.873206,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000002.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000001.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0003,GM_RM011,GM_RM011:PV001,development,1,3,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,87.705239,2.294761,83.865255,-2.294761,0.000000,87.705239,-2.294761,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.850000,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000003.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000001.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0004,GM_RM011,GM_RM011:PV001,development,2,4,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,85.368717,4.631283,82.831570,-1.631283,3.000000,88.368717,-1.631283,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.845058,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000004.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000002.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0005,GM_RM011,GM_RM011:PV001,development,2,5,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,87.388174,2.611826,83.831169,-1.611826,1.000000,88.388174,-1.611826,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.848843,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000005.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000002.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0006,GM_RM011,GM_RM011:PV001,development,3,6,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,88.060355,1.939645,82.809136,-0.939645,1.000000,89.060355,-0.939645,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.844676,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000006.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000003.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0007,GM_RM011,GM_RM011:PV001,development,3,7,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,88.071567,1.928433,83.809003,-0.928433,1.000000,89.071567,-0.928433,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.848843,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000007.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000003.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0008,GM_RM011,GM_RM011:PV001,development,4,8,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,88.093205,1.906795,85.808746,-0.906795,1.000000,89.093205,-0.906795,usable,moderate,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.857187,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000008.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000004.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0009,GM_RM011,GM_RM011:PV001,development,4,9,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,88.093205,1.906795,85.808746,-0.906795,1.000000,89.093205,-0.906795,usable,moderate,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.857187,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000009.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000004.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
