scene,canonical_vehicle_id,benchmark_role,optical_frame_index,optical_time_sec,sar_frame_index,sar_time_sec,sar_gt_available,sar_gt_id,sar_gt_bbox,optical_visibility_state,optical_full_vehicle_visible,optical_reference_bbox,mapping_basis,identity_link_evidence,identity_link_status,identity_link_confidence,source_optical_bbox,source_optical_bbox_best_canonical_iou,multi_vehicle_competition,thread_quality_status,notes
GM_RM011,GM_RM011:PV001,development,0,0.000000000,0,0.000000000,true,GM_RM011|000000|GM_RM011|000000.png|000000.png|1|O1:car:0.95,"[1140.347,1244.238,136.103,69.358,-12.000]",partial_visible,false,"[4.132,292.040,493.018,597.389]",P0 fixed 24/50 common-start operational assumption; P1-E benchmark identity only,P1-E detection overlap=0.886; assignment=duplicate_observation_same_vehicle; observation_role=usable_auxiliary_observation; source=YOLO11l,linked_detection_overlap_high,high,"[1.669,291.281,644.477,599.315]",0.885845,true,linked,GT absence is not interpreted as no SAR response; no sparse interpolation was performed
GM_RM011,GM_RM011:PV002,development,0,0.000000000,0,0.000000000,true,GM_RM011|000000|GM_RM011|000000.png|000000.png|2|O2:car:0.87,"[1272.217,1152.230,145.119,70.695,48.000]",partial_visible,false,"[711.966,318.575,799.695,507.148]",P0 fixed 24/50 common-start operational assumption; P1-E benchmark identity only,P1-E detection overlap=0.977; assignment=duplicate_observation_same_vehicle; observation_role=usable_auxiliary_observation; source=YOLO11l,linked_detection_overlap_high,high,"[710.731,319.801,799.548,509.427]",0.977185,true,linked,GT absence is not interpreted as no SAR response; no sparse interpolation was performed
GM_RM011,GM_RM011:PV001,development,0,0.000000000,1,0.020000000,true,GM_RM011|000001|GM_RM011|000001.png|000000.png|1|O1:car:0.95,"[1146.642,1243.802,143.942,75.440,-8.000]",partial_visible,false,"[4.132,292.040,493.018,597.389]",P0 fixed 24/50 common-start operational assumption; P1-E benchmark identity only,P1-E detection overlap=0.886; assignment=duplicate_observation_same_vehicle; observation_role=usable_auxiliary_observation; source=YOLO11l,linked_detection_overlap_high,high,"[1.669,291.281,644.477,599.315]",0.885845,true,linked,GT absence is not interpreted as no SAR response; no sparse interpolation was performed
GM_RM011,GM_RM011:PV002,development,0,0.000000000,1,0.020000000,true,GM_RM011|000001|GM_RM011|000001.png|000000.png|2|O2:car:0.87,"[1282.522,1152.115,80.740,149.827,-40.000]",partial_visible,false,"[711.966,318.575,799.695,507.148]",P0 fixed 24/50 common-start operational assumption; P1-E benchmark identity only,P1-E detection overlap=0.977; assignment=duplicate_observation_same_vehicle; observation_role=usable_auxiliary_observation; source=YOLO11l,linked_detection_overlap_high,high,"[710.731,319.801,799.548,509.427]",0.977185,true,linked,GT absence is not interpreted as no SAR response; no sparse interpolation was performed
GM_RM011,GM_RM011:PV001,development,1,0.041666667,2,0.040000000,true,GM_RM011|000002|GM_RM011|000002.png|000001.png|1|O1:car:0.96,"[1148.642,1241.802,143.942,75.440,-8.000]",partial_visible,false,"[3.125,289.141,505.305,597.294]",P0 fixed 24/50 common-start operational assumption; P1-E benchmark identity only,P1-E detection overlap=0.801; assignment=duplicate_observation_same_vehicle; observation_role=usable_auxiliary_observation; source=YOLO11l,linked_detection_overlap_high,high,"[1.679,289.085,699.715,598.995]",0.800922,true,linked,GT absence is not interpreted as no SAR response; no sparse interpolation was performed
GM_RM011,GM_RM011:PV002,development,1,0.041666667,2,0.040000000,true,GM_RM011|000002|GM_RM011|000002.png|000001.png|2|O2:car:0.86,"[1286.522,1150.115,78.740,147.827,-30.000]",partial_visible,false,"[735.623,337.140,799.701,501.566]",P0 fixed 24/50 common-start operational assumption; P1-E benchmark identity only,P1-E detection overlap=0.974; assignment=correct_vehicle_observation; observation_role=preferred_subject_observation; source=YOLO26l,linked_detection_overlap_high,high,"[734.415,337.671,799.555,501.970]",0.973777,true,linked,GT absence is not interpreted as no SAR response; no sparse interpolation was performed
GM_RM011,GM_RM011:PV001,development,1,0.041666667,3,0.060000000,true,GM_RM011|000003|GM_RM011|000003.png|000001.png|1|O1:car:0.96,"[1150.642,1246.802,133.942,65.440,0.000]",partial_visible,false,"[3.125,289.141,505.305,597.294]",P0 fixed 24/50 common-start operational assumption; P1-E benchmark identity only,P1-E detection overlap=0.801; assignment=duplicate_observation_same_vehicle; observation_role=usable_auxiliary_observation; source=YOLO11l,linked_detection_overlap_high,high,"[1.679,289.085,699.715,598.995]",0.800922,true,linked,GT absence is not interpreted as no SAR response; no sparse interpolation was performed
GM_RM011,GM_RM011:PV002,development,1,0.041666667,3,0.060000000,true,GM_RM011|000003|GM_RM011|000003.png|000001.png|2|O2:car:0.86,"[1292.522,1152.115,74.740,143.827,-30.000]",partial_visible,false,"[735.623,337.140,799.701,501.566]",P0 fixed 24/50 common-start operational assumption; P1-E benchmark identity only,P1-E detection overlap=0.974; assignment=correct_vehicle_observation; observation_role=preferred_subject_observation; source=YOLO26l,linked_detection_overlap_high,high,"[734.415,337.671,799.555,501.970]",0.973777,true,linked,GT absence is not interpreted as no SAR response; no sparse interpolation was performed
GM_RM011,GM_RM011:PV001,development,2,0.083333333,4,0.080000000,true,GM_RM011|000004|GM_RM011|000004.png|000002.png|1|O1:car:0.96,"[1151.642,1247.802,133.942,65.440,3.000]",partial_visible,false,"[3.295,279.753,519.276,596.977]",P0 fixed 24/50 common-start operational assumption; P1-E benchmark identity only,P1-E detection overlap=0.745; assignment=partial_vehicle_observation; observation_role=usable_auxiliary_observation; source=YOLO11l,linked_detection_overlap_high,high,"[2.379,278.506,729.620,599.001]",0.744997,true,linked,GT absence is not interpreted as no SAR response; no sparse interpolation was performed
GM_RM011,GM_RM011:PV002,development,2,0.083333333,4,0.080000000,true,GM_RM011|000004|GM_RM011|000004.png|000002.png|2|O2:car:0.81,"[1294.522,1151.115,78.740,147.827,-30.000]",partial_visible,false,"[744.735,338.461,799.704,484.250]",P0 fixed 24/50 common-start operational assumption; P1-E benchmark identity only,P1-E detection overlap=0.972; assignment=correct_vehicle_observation; observation_role=preferred_subject_observation; source=YOLO26l,linked_detection_overlap_high,high,"[744.312,339.301,799.566,486.081]",0.972038,true,linked,GT absence is not interpreted as no SAR response; no sparse interpolation was performed
