scene,canonical_vehicle_id,benchmark_role,sar_gt_id,optical_frame_index,sar_frame_index,optical_center_x_px,sar_gt_center_x_px,sar_gt_center_y_px,sar_theta_deg,sar_radius_px,anchor_quality_status,anchor_identity_confidence,model_fit_membership,old_mapping_pred_theta_deg,old_mapping_error_deg,refit_linear_pred_theta_deg,refit_linear_error_deg,vehicle_holdout_pred_theta_deg,vehicle_holdout_error_deg,vehicle_holdout_tangential_error_px,vehicle_holdout_tangential_error_meter,error_to_typical_vehicle_width_ratio,mapping_coordinate_domain,mapping_status,notes
GM_RM011,GM_RM011:PV001,development,GM_RM011|000010|GM_RM011|000010.png|000005.png|1|O1:car:0.84,5,10,294.000500,1149.642,1243.802,-2.874323000,86.907000,gold,high,development_vehicle_leave_one_out_evaluation,-14.683983642,-11.809660642,-12.768766404,-9.894443404,-13.438102995,-10.563779995,16.023282,,0.123311,display_fan_azimuth_deg,MAPPING_BLOCKED,meter error intentionally blank because the upstream metric imaging grid is unresolved
GM_RM017,GM_RM017:PV002,development,GM_RM017|000321|gm_rm017_00025,154,321,154.305000,993.833,1004.750,-26.175777000,363.086000,usable,high,development_vehicle_leave_one_out_evaluation,-26.909491203,-0.733714203,-25.297672460,0.878104540,,,,,,display_fan_azimuth_deg,MAPPING_BLOCKED,meter error intentionally blank because the upstream metric imaging grid is unresolved
GM_RM017,GM_RM017:PV002,development,GM_RM017|000323|gm_rm017_00027,155,323,176.777500,1010.317,1004.063,-23.750482000,356.751000,usable,high,development_vehicle_leave_one_out_evaluation,-24.942801377,-1.192319377,-23.282175602,0.468306398,,,,,,display_fan_azimuth_deg,MAPPING_BLOCKED,meter error intentionally blank because the upstream metric imaging grid is unresolved
GM_RM017,GM_RM017:PV002,development,GM_RM017|000325|gm_rm017_00029,156,325,199.480000,1021.685,1008.302,-22.319926000,348.401000,usable,high,development_vehicle_leave_one_out_evaluation,-22.955983008,-0.636057008,-21.246050675,1.073875325,,,,,,display_fan_azimuth_deg,MAPPING_BLOCKED,meter error intentionally blank because the upstream metric imaging grid is unresolved
GM_RM017,GM_RM017:PV002,development,GM_RM017|000327|gm_rm017_00031,157,327,222.742500,1031.899,1008.267,-20.746883000,344.684000,usable,high,development_vehicle_leave_one_out_evaluation,-20.920156016,-0.173273016,-19.159700885,1.587182115,,,,,,display_fan_azimuth_deg,MAPPING_BLOCKED,meter error intentionally blank because the upstream metric imaging grid is unresolved
GM_RM017,GM_RM017:PV002,development,GM_RM017|000329|gm_rm017_00033,158,329,244.703000,1047.415,1009.202,-18.347034000,338.610000,usable,high,development_vehicle_leave_one_out_evaluation,-18.998274074,-0.651240074,-17.190123902,1.156910098,,,,,,display_fan_azimuth_deg,MAPPING_BLOCKED,meter error intentionally blank because the upstream metric imaging grid is unresolved
GM_RM017,GM_RM017:PV002,development,GM_RM017|000331|gm_rm017_00036,159,331,266.762000,1060.746,1009.975,-16.217108000,333.911000,usable,high,development_vehicle_leave_one_out_evaluation,-17.067771865,-0.850663865,-15.211712724,1.005395276,,,,,,display_fan_azimuth_deg,MAPPING_BLOCKED,meter error intentionally blank because the upstream metric imaging grid is unresolved
GM_RM017,GM_RM017:PV002,development,GM_RM017|000333|gm_rm017_00038,160,333,289.649000,1073.125,1009.103,-14.120205000,331.513000,usable,high,development_vehicle_leave_one_out_evaluation,-15.064806905,-0.944601905,-13.159040498,0.961164502,,,,,,display_fan_azimuth_deg,MAPPING_BLOCKED,meter error intentionally blank because the upstream metric imaging grid is unresolved
GM_RM017,GM_RM017:PV002,development,GM_RM017|000335|gm_rm017_00039,161,335,312.384000,1084.338,1004.145,-12.045642000,333.805000,usable,high,development_vehicle_leave_one_out_evaluation,-13.075144286,-1.029502286,-11.120000736,0.925641264,,,,,,display_fan_azimuth_deg,MAPPING_BLOCKED,meter error intentionally blank because the upstream metric imaging grid is unresolved
GM_RM017,GM_RM017:PV002,development,GM_RM017|000337|gm17supp_000162_000337_det2,162,337,335.702000,1095.721,1005.685,-10.168835000,330.100000,usable,high,development_vehicle_leave_one_out_evaluation,-11.034460189,-0.865625189,-9.028673303,1.140161697,,,,,,display_fan_azimuth_deg,MAPPING_BLOCKED,meter error intentionally blank because the upstream metric imaging grid is unresolved
GM_RM017,GM_RM017:PV002,development,GM_RM017|000340|gm_rm017_00046,163,340,358.458000,1115.084,1010.773,-6.937548000,322.186000,usable,high,development_vehicle_leave_one_out_evaluation,-9.042959747,-2.105411747,-6.987750108,-0.050202108,,,,,,display_fan_azimuth_deg,MAPPING_BLOCKED,meter error intentionally blank because the upstream metric imaging grid is unresolved
GM_RM017,GM_RM017:PV002,development,GM_RM017|000342|gm_rm017_00048,164,342,381.879500,1127.160,1008.930,-4.769685000,322.788000,usable,high,development_vehicle_leave_one_out_evaluation,-6.993217806,-2.223532806,-4.887140044,-0.117455044,,,,,,display_fan_azimuth_deg,MAPPING_BLOCKED,meter error intentionally blank because the upstream metric imaging grid is unresolved
GM_RM017,GM_RM017:PV002,development,GM_RM017|000344|gm_rm017_00052,165,344,407.281000,1140.293,1009.731,-2.446095000,321.162000,usable,high,development_vehicle_leave_one_out_evaluation,-4.770195373,-2.324100373,-2.608949213,-0.162854213,,,,,,display_fan_azimuth_deg,MAPPING_BLOCKED,meter error intentionally blank because the upstream metric imaging grid is unresolved
GM_RM017,GM_RM017:PV002,development,GM_RM017|000346|gm_rm017_00054,166,346,432.540500,1156.725,1010.950,0.488432000,319.662000,usable,high,development_vehicle_leave_one_out_evaluation,-2.559600126,-3.048032126,-0.343493973,-0.831925973,,,,,,display_fan_azimuth_deg,MAPPING_BLOCKED,meter error intentionally blank because the upstream metric imaging grid is unresolved
GM_RM017,GM_RM017:PV002,development,GM_RM017|000348|gm_rm017_00058,167,348,458.019500,1164.610,1011.088,1.901916000,319.688000,usable,high,development_vehicle_leave_one_out_evaluation,-0.329795250,-2.231711250,1.941647620,0.039731620,,,,,,display_fan_azimuth_deg,MAPPING_BLOCKED,meter error intentionally blank because the upstream metric imaging grid is unresolved
GM_RM017,GM_RM017:PV002,development,GM_RM017|000350|gm_rm017_00060,168,350,483.579000,1177.320,1004.422,4.089387000,327.011000,usable,high,development_vehicle_leave_one_out_evaluation,1.907054617,-2.182332383,4.234009037,0.144622037,,,,,,display_fan_azimuth_deg,MAPPING_BLOCKED,meter error intentionally blank because the upstream metric imaging grid is unresolved
GM_RM017,GM_RM017:PV002,development,GM_RM017|000352|gm_rm017_00063,169,352,510.116500,1190.333,1009.353,6.452726000,323.295000,usable,high,development_vehicle_leave_one_out_evaluation,4.229494544,-2.223231456,6.614084590,0.161358590,,,,,,display_fan_azimuth_deg,MAPPING_BLOCKED,meter error intentionally blank because the upstream metric imaging grid is unresolved
GM_RM017,GM_RM017:PV002,development,GM_RM017|000354|gm_rm017_00068,170,354,537.767500,1206.250,1010.062,9.258196000,324.769000,usable,high,development_vehicle_leave_one_out_evaluation,6.649382869,-2.608813131,9.094026903,-0.164169097,,,,,,display_fan_azimuth_deg,MAPPING_BLOCKED,meter error intentionally blank because the upstream metric imaging grid is unresolved
