segment_id,scene,canonical_vehicle_id,benchmark_role,vehicle_research_role,sar_frame_start,sar_frame_end,frame_span,gt_frame_count,gt_row_count,eligible_frame_count,missing_frame_count,maximum_internal_gap,gt_quality_distribution,optical_visibility_distribution,pose_distribution,multi_vehicle_competition_count,mapping_anchor_count,preselected_12_count,structure_frame_coverage,segment_eligibility,exclusion_reason,recommended_usage,segmentation_rule
S0MV-GM_RM011-PV001-SEG01,GM_RM011,GM_RM011:PV001,development,structure_development,0,36,37,37,61,36,0,1,diagnostic_only:1;gold:2;usable:58,full_visible:2;partial_visible:59,left_side_dominant:2;pose_unstable:59,53,0,0,0.972972973,true,,s1l_development_sequence,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM011-PV001-SEG02,GM_RM011,GM_RM011:PV001,development,structure_development,58,58,1,1,1,0,0,0,diagnostic_only:1,partial_visible:1,pose_unstable:1,1,0,0,0.000000000,false,fewer_than_3_structure_eligible_gt_frames;structure_eligible_coverage_below_0p5,exclude,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM011-PV002-SEG01,GM_RM011,GM_RM011:PV002,development,structure_development,0,7,8,8,8,7,0,1,diagnostic_only:1;usable:7,partial_visible:8,pose_unstable:8,8,0,0,0.875000000,true,,s1l_development_sequence,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM011-PV003-SEG01,GM_RM011,GM_RM011:PV003,heldout_validation,diagnostic_only,58,58,1,1,1,1,0,0,usable:1,partial_visible:1,pose_unstable:1,1,0,0,1.000000000,false,fewer_than_3_structure_eligible_gt_frames,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM011-PV003-SEG02,GM_RM011,GM_RM011:PV003,heldout_validation,diagnostic_only,73,73,1,1,1,1,0,0,usable:1,partial_visible:1,pose_unstable:1,1,0,0,1.000000000,false,fewer_than_3_structure_eligible_gt_frames,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM011-PV005-SEG01,GM_RM011,GM_RM011:PV005,development,structure_development,244,244,1,1,1,1,0,0,usable:1,partial_visible:1,pose_unstable:1,1,0,0,1.000000000,false,fewer_than_3_structure_eligible_gt_frames,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM011-PV005-SEG02,GM_RM011,GM_RM011:PV005,development,structure_development,250,271,22,21,21,2,1,2,diagnostic_only:19;usable:2,partial_visible:21,pose_unstable:21,21,0,0,0.095238095,false,fewer_than_3_structure_eligible_gt_frames;structure_eligible_coverage_below_0p5,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM011-PV006-SEG01,GM_RM011,GM_RM011:PV006,development,structure_development,244,244,1,1,1,1,0,0,usable:1,partial_visible:1,pose_unstable:1,1,0,0,1.000000000,false,fewer_than_3_structure_eligible_gt_frames,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM011-PV006-SEG02,GM_RM011,GM_RM011:PV006,development,structure_development,250,284,35,35,36,3,0,1,diagnostic_only:33;usable:3,full_visible:10;partial_visible:26,pose_unstable:36,36,0,0,0.085714286,false,structure_eligible_coverage_below_0p5,diagnostic_only,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM011-PV007-SEG01,GM_RM011,GM_RM011:PV007,development,structure_development,244,244,1,1,1,1,0,0,usable:1,partial_visible:1,pose_unstable:1,1,0,0,1.000000000,false,fewer_than_3_structure_eligible_gt_frames,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM011-PV007-SEG02,GM_RM011,GM_RM011:PV007,development,structure_development,250,284,35,35,46,3,0,1,diagnostic_only:43;usable:3,partial_visible:46,pose_unstable:46,46,0,0,0.085714286,false,structure_eligible_coverage_below_0p5,diagnostic_only,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM011-PV007-SEG03,GM_RM011,GM_RM011:PV007,development,structure_development,315,315,1,1,1,1,0,0,usable:1,partial_visible:1,pose_unstable:1,1,0,0,1.000000000,false,fewer_than_3_structure_eligible_gt_frames,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM011-PV008-SEG01,GM_RM011,GM_RM011:PV008,heldout_validation,structure_heldout_validation,281,284,4,4,4,1,0,1,diagnostic_only:3;usable:1,partial_visible:4,pose_unstable:4,4,0,0,0.250000000,false,fewer_than_3_structure_eligible_gt_frames;structure_eligible_coverage_below_0p5,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM011-PV008-SEG02,GM_RM011,GM_RM011:PV008,heldout_validation,structure_heldout_validation,315,315,1,1,1,1,0,0,usable:1,partial_visible:1,pose_unstable:1,1,0,0,1.000000000,false,fewer_than_3_structure_eligible_gt_frames,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM011-PV008-SEG03,GM_RM011,GM_RM011:PV008,heldout_validation,structure_heldout_validation,335,335,1,1,1,1,0,0,usable:1,partial_visible:1,pose_unstable:1,1,0,0,1.000000000,false,fewer_than_3_structure_eligible_gt_frames,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
