record_id,source_file,source_script,source_function,selection_rule,selection_limit,sampling_rule,scene,canonical_vehicle_id,sar_frame_index,gt_quality_status,benchmark_role,mapping_anchor_eligible,s1l_structure_eligible,selected_as_preview,selected_as_pilot,selected_as_formal_input,semantic_interpretation,notes
S0MV-PREVIEW-001,manifests/oty2/oty2_s0m_s1l_frame_eligibility_ledger.csv,tools/diagnostics/run_oty2_s0m_mask_anchor_pose_mapping_audit.py,select_s1l_candidates,"first restrict to mapping-anchor-eligible rows, then choose theta/radius ordered representatives per vehicle",up_to_4_per_mapping_eligible_vehicle,"sort(center_theta_deg,center_radius_px); choose indices 0,round((n-1)/3),round(2*(n-1)/3),n-1",GM_RM017,GM_RM017:PV002,321,usable,development,true,true,true,false,false,"representative preview, not the full eligible set","deterministic quantile-like sampling; not head(12), [:12], random sampling, or a continuous-thread definition"
S0MV-PREVIEW-002,manifests/oty2/oty2_s0m_s1l_frame_eligibility_ledger.csv,tools/diagnostics/run_oty2_s0m_mask_anchor_pose_mapping_audit.py,select_s1l_candidates,"first restrict to mapping-anchor-eligible rows, then choose theta/radius ordered representatives per vehicle",up_to_4_per_mapping_eligible_vehicle,"sort(center_theta_deg,center_radius_px); choose indices 0,round((n-1)/3),round(2*(n-1)/3),n-1",GM_RM017,GM_RM017:PV002,333,usable,development,true,true,true,false,false,"representative preview, not the full eligible set","deterministic quantile-like sampling; not head(12), [:12], random sampling, or a continuous-thread definition"
S0MV-PREVIEW-003,manifests/oty2/oty2_s0m_s1l_frame_eligibility_ledger.csv,tools/diagnostics/run_oty2_s0m_mask_anchor_pose_mapping_audit.py,select_s1l_candidates,"first restrict to mapping-anchor-eligible rows, then choose theta/radius ordered representatives per vehicle",up_to_4_per_mapping_eligible_vehicle,"sort(center_theta_deg,center_radius_px); choose indices 0,round((n-1)/3),round(2*(n-1)/3),n-1",GM_RM017,GM_RM017:PV002,348,usable,development,true,true,true,false,false,"representative preview, not the full eligible set","deterministic quantile-like sampling; not head(12), [:12], random sampling, or a continuous-thread definition"
S0MV-PREVIEW-004,manifests/oty2/oty2_s0m_s1l_frame_eligibility_ledger.csv,tools/diagnostics/run_oty2_s0m_mask_anchor_pose_mapping_audit.py,select_s1l_candidates,"first restrict to mapping-anchor-eligible rows, then choose theta/radius ordered representatives per vehicle",up_to_4_per_mapping_eligible_vehicle,"sort(center_theta_deg,center_radius_px); choose indices 0,round((n-1)/3),round(2*(n-1)/3),n-1",GM_RM017,GM_RM017:PV002,360,usable,development,true,true,true,false,false,"representative preview, not the full eligible set","deterministic quantile-like sampling; not head(12), [:12], random sampling, or a continuous-thread definition"
S0MV-PREVIEW-005,manifests/oty2/oty2_s0m_s1l_frame_eligibility_ledger.csv,tools/diagnostics/run_oty2_s0m_mask_anchor_pose_mapping_audit.py,select_s1l_candidates,"first restrict to mapping-anchor-eligible rows, then choose theta/radius ordered representatives per vehicle",up_to_4_per_mapping_eligible_vehicle,"sort(center_theta_deg,center_radius_px); choose indices 0,round((n-1)/3),round(2*(n-1)/3),n-1",GM_RM017,GM_RM017:PV003,338,usable,heldout_validation,true,true,true,false,false,"representative preview, not the full eligible set","deterministic quantile-like sampling; not head(12), [:12], random sampling, or a continuous-thread definition"
S0MV-PREVIEW-006,manifests/oty2/oty2_s0m_s1l_frame_eligibility_ledger.csv,tools/diagnostics/run_oty2_s0m_mask_anchor_pose_mapping_audit.py,select_s1l_candidates,"first restrict to mapping-anchor-eligible rows, then choose theta/radius ordered representatives per vehicle",up_to_4_per_mapping_eligible_vehicle,"sort(center_theta_deg,center_radius_px); choose indices 0,round((n-1)/3),round(2*(n-1)/3),n-1",GM_RM017,GM_RM017:PV003,356,usable,heldout_validation,true,true,true,false,false,"representative preview, not the full eligible set","deterministic quantile-like sampling; not head(12), [:12], random sampling, or a continuous-thread definition"
S0MV-PREVIEW-007,manifests/oty2/oty2_s0m_s1l_frame_eligibility_ledger.csv,tools/diagnostics/run_oty2_s0m_mask_anchor_pose_mapping_audit.py,select_s1l_candidates,"first restrict to mapping-anchor-eligible rows, then choose theta/radius ordered representatives per vehicle",up_to_4_per_mapping_eligible_vehicle,"sort(center_theta_deg,center_radius_px); choose indices 0,round((n-1)/3),round(2*(n-1)/3),n-1",GM_RM017,GM_RM017:PV003,373,usable,heldout_validation,true,true,true,false,false,"representative preview, not the full eligible set","deterministic quantile-like sampling; not head(12), [:12], random sampling, or a continuous-thread definition"
S0MV-PREVIEW-008,manifests/oty2/oty2_s0m_s1l_frame_eligibility_ledger.csv,tools/diagnostics/run_oty2_s0m_mask_anchor_pose_mapping_audit.py,select_s1l_candidates,"first restrict to mapping-anchor-eligible rows, then choose theta/radius ordered representatives per vehicle",up_to_4_per_mapping_eligible_vehicle,"sort(center_theta_deg,center_radius_px); choose indices 0,round((n-1)/3),round(2*(n-1)/3),n-1",GM_RM017,GM_RM017:PV003,392,usable,heldout_validation,true,true,true,false,false,"representative preview, not the full eligible set","deterministic quantile-like sampling; not head(12), [:12], random sampling, or a continuous-thread definition"
S0MV-PREVIEW-009,manifests/oty2/oty2_s0m_s1l_frame_eligibility_ledger.csv,tools/diagnostics/run_oty2_s0m_mask_anchor_pose_mapping_audit.py,select_s1l_candidates,"first restrict to mapping-anchor-eligible rows, then choose theta/radius ordered representatives per vehicle",up_to_4_per_mapping_eligible_vehicle,"sort(center_theta_deg,center_radius_px); choose indices 0,round((n-1)/3),round(2*(n-1)/3),n-1",GM_RM017,GM_RM017:PV004,352,usable,heldout_validation,true,true,true,false,false,"representative preview, not the full eligible set","deterministic quantile-like sampling; not head(12), [:12], random sampling, or a continuous-thread definition"
S0MV-PREVIEW-010,manifests/oty2/oty2_s0m_s1l_frame_eligibility_ledger.csv,tools/diagnostics/run_oty2_s0m_mask_anchor_pose_mapping_audit.py,select_s1l_candidates,"first restrict to mapping-anchor-eligible rows, then choose theta/radius ordered representatives per vehicle",up_to_4_per_mapping_eligible_vehicle,"sort(center_theta_deg,center_radius_px); choose indices 0,round((n-1)/3),round(2*(n-1)/3),n-1",GM_RM017,GM_RM017:PV004,365,usable,heldout_validation,true,true,true,false,false,"representative preview, not the full eligible set","deterministic quantile-like sampling; not head(12), [:12], random sampling, or a continuous-thread definition"
