edge_id,case_id,state_mode,from_node_id,to_node_id,from_sar_frame,to_sar_frame,stabilized_centroid_distance_px,mask_iou,mask_intersection_px,axis_change_deg,length_change_px,width_change_px,mean_robust_z_change,from_axis_compatibility,to_axis_compatibility,from_scale_compatibility,to_scale_compatibility,from_identity_overlap,to_identity_overlap,relation_semantics
S1D0-E-S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000303-0148--S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000304-0100,S1D0-DISCOVERY-GM_RM017-PV002,bidirectional,S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000303-0148,S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000304-0100,303,304,2.212648454060974,0.49264705882352944,134,1.32452392578125,-13.194297790527344,0.7016706466674805,-0.22308349609375,DIRECTION_COMPATIBLE,DIRECTION_COMPATIBLE,CLEARLY_INCOMPATIBLE_BACKGROUND_STRUCTURE,CLEARLY_INCOMPATIBLE_BACKGROUND_STRUCTURE,NO_OTHER_ACTIVE_SHELL_OVERLAP,NO_OTHER_ACTIVE_SHELL_OVERLAP,ADJACENT_FRAME_RELATION_NOT_WEIGHTED_SCORE
S1D0-E-S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000303-0244--S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000304-0155,S1D0-DISCOVERY-GM_RM017-PV002,bidirectional,S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000303-0244,S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000304-0155,303,304,0.6127419804724539,0.625,55,3.179830551147461,-1.4807472229003906,-0.8361196517944336,-0.8545448780059814,DIRECTION_COMPATIBLE,DIRECTION_COMPATIBLE,CLEARLY_INCOMPATIBLE_BACKGROUND_STRUCTURE,CLEARLY_INCOMPATIBLE_BACKGROUND_STRUCTURE,NO_OTHER_ACTIVE_SHELL_OVERLAP,NO_OTHER_ACTIVE_SHELL_OVERLAP,ADJACENT_FRAME_RELATION_NOT_WEIGHTED_SCORE
S1D0-E-S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000303-0373--S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000304-0270,S1D0-DISCOVERY-GM_RM017-PV002,bidirectional,S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000303-0373,S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000304-0270,303,304,11.246200016173113,0.0,0,19.005985260009766,-11.299915313720703,-12.112315654754639,-0.48905444145202637,DIRECTION_UNRESOLVED,DIRECTION_UNRESOLVED,CLEARLY_INCOMPATIBLE_BACKGROUND_STRUCTURE,CLEARLY_INCOMPATIBLE_BACKGROUND_STRUCTURE,NO_OTHER_ACTIVE_SHELL_OVERLAP,NO_OTHER_ACTIVE_SHELL_OVERLAP,ADJACENT_FRAME_RELATION_NOT_WEIGHTED_SCORE
S1D0-E-S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000303-0441--S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000304-0331,S1D0-DISCOVERY-GM_RM017-PV002,bidirectional,S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000303-0441,S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000304-0331,303,304,1.543445183320218,0.5573770491803278,136,6.546291351318359,-3.9559326171875,-2.558401107788086,-0.2708005905151367,DIRECTION_COMPATIBLE,DIRECTION_COMPATIBLE,CLEARLY_INCOMPATIBLE_BACKGROUND_STRUCTURE,CLEARLY_INCOMPATIBLE_BACKGROUND_STRUCTURE,NO_OTHER_ACTIVE_SHELL_OVERLAP,NO_OTHER_ACTIVE_SHELL_OVERLAP,ADJACENT_FRAME_RELATION_NOT_WEIGHTED_SCORE
S1D0-E-S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000303-0441--S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000304-0407,S1D0-DISCOVERY-GM_RM017-PV002,bidirectional,S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000303-0441,S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000304-0407,303,304,15.778959550369958,0.0,0,23.198589324951172,-14.946334838867188,-8.54592514038086,-0.6671650409698486,DIRECTION_COMPATIBLE,DIRECTION_COMPATIBLE,CLEARLY_INCOMPATIBLE_BACKGROUND_STRUCTURE,CLEARLY_INCOMPATIBLE_BACKGROUND_STRUCTURE,NO_OTHER_ACTIVE_SHELL_OVERLAP,NO_OTHER_ACTIVE_SHELL_OVERLAP,ADJACENT_FRAME_RELATION_NOT_WEIGHTED_SCORE
S1D0-E-S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000303-0453--S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000304-0339,S1D0-DISCOVERY-GM_RM017-PV002,bidirectional,S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000303-0453,S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000304-0339,303,304,0.8973499712048629,0.2857142857142857,8,8.130104064941406,-1.2502527236938477,-2.571573257446289,-0.4411442279815674,DIRECTION_UNRESOLVED,DIRECTION_UNRESOLVED,SCALE_UNRESOLVED,SCALE_UNRESOLVED,NO_OTHER_ACTIVE_SHELL_OVERLAP,NO_OTHER_ACTIVE_SHELL_OVERLAP,ADJACENT_FRAME_RELATION_NOT_WEIGHTED_SCORE
S1D0-E-S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000303-0453--S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000304-0346,S1D0-DISCOVERY-GM_RM017-PV002,bidirectional,S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000303-0453,S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000304-0346,303,304,19.45996184291445,0.0,0,36.869895935058594,2.8000001907348633,0.5999999046325684,0.6319515705108643,DIRECTION_UNRESOLVED,DIRECTION_UNRESOLVED,SCALE_UNRESOLVED,CLEARLY_INCOMPATIBLE_BACKGROUND_STRUCTURE,NO_OTHER_ACTIVE_SHELL_OVERLAP,NO_OTHER_ACTIVE_SHELL_OVERLAP,ADJACENT_FRAME_RELATION_NOT_WEIGHTED_SCORE
S1D0-E-S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000303-0453--S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000304-0400,S1D0-DISCOVERY-GM_RM017-PV002,bidirectional,S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000303-0453,S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000304-0400,303,304,21.5850396653176,0.0,0,27.407577514648438,0.3759598731994629,-1.290025234222412,-0.5760424137115479,DIRECTION_UNRESOLVED,DIRECTION_UNRESOLVED,SCALE_UNRESOLVED,SCALE_UNRESOLVED,NO_OTHER_ACTIVE_SHELL_OVERLAP,NO_OTHER_ACTIVE_SHELL_OVERLAP,ADJACENT_FRAME_RELATION_NOT_WEIGHTED_SCORE
S1D0-E-S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000303-0465--S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000304-0331,S1D0-DISCOVERY-GM_RM017-PV002,bidirectional,S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000303-0465,S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000304-0331,303,304,29.356244757520468,0.0,0,16.336042404174805,-1.1255321502685547,2.6136350631713867,0.13290119171142578,DIRECTION_COMPATIBLE,DIRECTION_COMPATIBLE,CLEARLY_INCOMPATIBLE_BACKGROUND_STRUCTURE,CLEARLY_INCOMPATIBLE_BACKGROUND_STRUCTURE,NO_OTHER_ACTIVE_SHELL_OVERLAP,NO_OTHER_ACTIVE_SHELL_OVERLAP,ADJACENT_FRAME_RELATION_NOT_WEIGHTED_SCORE
S1D0-E-S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000303-0465--S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000304-0365,S1D0-DISCOVERY-GM_RM017-PV002,bidirectional,S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000303-0465,S1D0-BIDIRECTIONAL-S1D0-DISCOVERY-GM_RM017-PV002-000304-0365,303,304,2.2449260537272844,0.14393939393939395,19,72.64597511291504,-18.53234100341797,-6.976519584655762,-0.8113858699798584,DIRECTION_COMPATIBLE,DIRECTION_UNRESOLVED,CLEARLY_INCOMPATIBLE_BACKGROUND_STRUCTURE,SCALE_UNRESOLVED,NO_OTHER_ACTIVE_SHELL_OVERLAP,NO_OTHER_ACTIVE_SHELL_OVERLAP,ADJACENT_FRAME_RELATION_NOT_WEIGHTED_SCORE
