case_id,artifact_type,research_unit_id,research_unit_type,scene,canonical_vehicle_id,anchor_variant,perturbation_family,artifact_path,review_status,notes
S0MV-GM_RM017-PV002-SEG02-raw_gt-center_shift,separate_metric_parameter_surfaces,S0MV-GM_RM017-PV002-SEG02,vehicle_thread,GM_RM017,GM_RM017:PV002,raw_gt,center_shift,D:\profile\research\workspace\output\oty2_s1l_body_support_attribution_20260715\gt_neighborhood_surfaces\S0MV-GM_RM017-PV002-SEG02\raw_gt\center_shift_separate_metric_surfaces.png,directly_reviewed_complete,white circle is GT-derived baseline; colours are per-metric only; no combined score or automatic winner
S0MV-GM_RM017-PV002-SEG02-raw_gt-scale_surface,separate_metric_parameter_surfaces,S0MV-GM_RM017-PV002-SEG02,vehicle_thread,GM_RM017,GM_RM017:PV002,raw_gt,scale_surface,D:\profile\research\workspace\output\oty2_s1l_body_support_attribution_20260715\gt_neighborhood_surfaces\S0MV-GM_RM017-PV002-SEG02\raw_gt\scale_surface_separate_metric_surfaces.png,directly_reviewed_complete,white circle is GT-derived baseline; colours are per-metric only; no combined score or automatic winner
S0MV-GM_RM017-PV002-SEG02-raw_gt-axis_rotation,separate_metric_rotation_curves,S0MV-GM_RM017-PV002-SEG02,vehicle_thread,GM_RM017,GM_RM017:PV002,raw_gt,axis_rotation,D:\profile\research\workspace\output\oty2_s1l_body_support_attribution_20260715\gt_neighborhood_surfaces\S0MV-GM_RM017-PV002-SEG02\raw_gt\axis_rotation_separate_metric_curves.png,directly_reviewed_complete,zero-degree vertical line is GT-derived baseline; no combined score or automatic winner
S0MV-GM_RM017-PV002-SEG02-smoothed_gt-center_shift,separate_metric_parameter_surfaces,S0MV-GM_RM017-PV002-SEG02,vehicle_thread,GM_RM017,GM_RM017:PV002,smoothed_gt,center_shift,D:\profile\research\workspace\output\oty2_s1l_body_support_attribution_20260715\gt_neighborhood_surfaces\S0MV-GM_RM017-PV002-SEG02\smoothed_gt\center_shift_separate_metric_surfaces.png,directly_reviewed_complete,white circle is GT-derived baseline; colours are per-metric only; no combined score or automatic winner
S0MV-GM_RM017-PV002-SEG02-smoothed_gt-scale_surface,separate_metric_parameter_surfaces,S0MV-GM_RM017-PV002-SEG02,vehicle_thread,GM_RM017,GM_RM017:PV002,smoothed_gt,scale_surface,D:\profile\research\workspace\output\oty2_s1l_body_support_attribution_20260715\gt_neighborhood_surfaces\S0MV-GM_RM017-PV002-SEG02\smoothed_gt\scale_surface_separate_metric_surfaces.png,directly_reviewed_complete,white circle is GT-derived baseline; colours are per-metric only; no combined score or automatic winner
S0MV-GM_RM017-PV002-SEG02-smoothed_gt-axis_rotation,separate_metric_rotation_curves,S0MV-GM_RM017-PV002-SEG02,vehicle_thread,GM_RM017,GM_RM017:PV002,smoothed_gt,axis_rotation,D:\profile\research\workspace\output\oty2_s1l_body_support_attribution_20260715\gt_neighborhood_surfaces\S0MV-GM_RM017-PV002-SEG02\smoothed_gt\axis_rotation_separate_metric_curves.png,directly_reviewed_complete,zero-degree vertical line is GT-derived baseline; no combined score or automatic winner
S0MV-GM_RM017-PV002-SEG02-smoothed_gt-rotation_-12_coherence_gain_but_baseline_alignment_loss,baseline_vs_tempting_perturbation_failure_probe,S0MV-GM_RM017-PV002-SEG02,vehicle_thread,GM_RM017,GM_RM017:PV002,smoothed_gt,failure_probe,D:\profile\research\workspace\output\oty2_s1l_body_support_attribution_20260715\gt_neighborhood_surfaces\S0MV-GM_RM017-PV002-SEG02\smoothed_gt\rotation_-12_coherence_gain_but_baseline_alignment_loss_frame_comparison.png,directly_reviewed_complete,"nonadjacent coherence and outer-mass diagnostics improve, but overlap with the baseline canonical high-occupancy support falls to about 0.158; this is coordinate-support alignment loss, not proof that physical response disappeared; this is not a selected relative optimum"
S0MV-GM_RM017-PV003-SEG01-raw_gt-center_shift,separate_metric_parameter_surfaces,S0MV-GM_RM017-PV003-SEG01,vehicle_thread,GM_RM017,GM_RM017:PV003,raw_gt,center_shift,D:\profile\research\workspace\output\oty2_s1l_body_support_attribution_20260715\gt_neighborhood_surfaces\S0MV-GM_RM017-PV003-SEG01\raw_gt\center_shift_separate_metric_surfaces.png,directly_reviewed_complete,white circle is GT-derived baseline; colours are per-metric only; no combined score or automatic winner
S0MV-GM_RM017-PV003-SEG01-raw_gt-scale_surface,separate_metric_parameter_surfaces,S0MV-GM_RM017-PV003-SEG01,vehicle_thread,GM_RM017,GM_RM017:PV003,raw_gt,scale_surface,D:\profile\research\workspace\output\oty2_s1l_body_support_attribution_20260715\gt_neighborhood_surfaces\S0MV-GM_RM017-PV003-SEG01\raw_gt\scale_surface_separate_metric_surfaces.png,directly_reviewed_complete,white circle is GT-derived baseline; colours are per-metric only; no combined score or automatic winner
S0MV-GM_RM017-PV003-SEG01-raw_gt-axis_rotation,separate_metric_rotation_curves,S0MV-GM_RM017-PV003-SEG01,vehicle_thread,GM_RM017,GM_RM017:PV003,raw_gt,axis_rotation,D:\profile\research\workspace\output\oty2_s1l_body_support_attribution_20260715\gt_neighborhood_surfaces\S0MV-GM_RM017-PV003-SEG01\raw_gt\axis_rotation_separate_metric_curves.png,directly_reviewed_complete,zero-degree vertical line is GT-derived baseline; no combined score or automatic winner
