scene,canonical_vehicle_id,frame,anchor_id,anchor_role,fit_or_holdout,reference_center_x_px,reference_center_y_px,template_size_px,rough_background_step_dx_px,rough_background_step_dy_px,rough_background_cumulative_dx_px,rough_background_cumulative_dy_px,rough_background_phase_response,structure_center_x_px,structure_center_y_px,structure_dx_from_reference_px,structure_dy_from_reference_px,structure_step_dx_px,structure_step_dy_px,structure_match_quality,phase_center_x_px,phase_center_y_px,phase_dx_from_reference_px,phase_dy_from_reference_px,phase_step_dx_px,phase_step_dy_px,phase_response,method_disagreement_px,valid_fraction,algorithmic_structure_switch_suspected,direct_identity_status,direct_mixing_status,anchor_description,vehicle_region_used_for_fit
GM_RM017,GM_RM017:PV002,330,BG_A_VERTICAL_STRONG_LINE,VERTICAL_STRONG_LINE,FIT,1277.0,875.0,96,0.0,0.0,0.0,0.0,1.0,1277.0,875.0,0.0,0.0,0.0,0.0,1.0,1277.0,875.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,false,CONFIRMED_CONTINUOUS_330_350,NO_VEHICLE_MIXING_OBSERVED,bright vertical line above/right of the discovery shell,false
GM_RM017,GM_RM017:PV002,330,BG_B_FAN_ARC_CENTRAL,FAN_ARC,FIT,1105.0,674.0,112,0.0,0.0,0.0,0.0,1.0,1105.0,674.0,0.0,0.0,0.0,0.0,1.0,1105.0,674.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,false,CONFIRMED_CONTINUOUS_330_350,NO_VEHICLE_MIXING_OBSERVED,central bright fan arc with adjacent arc texture,false
GM_RM017,GM_RM017:PV002,330,BG_C_ISOLATED_HOTSPOT,ISOLATED_HOTSPOT,FIT,893.0,918.0,88,0.0,0.0,0.0,0.0,1.0,893.0,918.0,0.0,0.0,0.0,0.0,1.0,893.0,918.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,false,CONFIRMED_CONTINUOUS_330_350,NO_VEHICLE_MIXING_OBSERVED,isolated bright point and short local ridge left of the shell,false
GM_RM017,GM_RM017:PV002,330,BG_D_NEARBY_NONVEHICLE_CURVE,NEARBY_NONVEHICLE_REGION,HOLDOUT,760.0,970.0,104,0.0,0.0,0.0,0.0,1.0,760.0,970.0,0.0,0.0,0.0,0.0,1.0,760.0,970.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,false,CONFIRMED_CONTINUOUS_330_350,NO_VEHICLE_MIXING_OBSERVED,nearby curved response outside the frozen discovery shell,false
GM_RM017,GM_RM017:PV002,330,BG_E_LEFT_ARC_BRANCH,ADDITIONAL_SPATIAL_BACKGROUND_1,HOLDOUT,617.0,770.0,112,0.0,0.0,0.0,0.0,1.0,617.0,770.0,0.0,0.0,0.0,0.0,1.0,617.0,770.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,false,CONFIRMED_CONTINUOUS_330_350,NO_VEHICLE_MIXING_OBSERVED,left fan-arc branch spatially separated from the vehicle,false
GM_RM017,GM_RM017:PV002,330,BG_F_RIGHT_DIAGONAL_FRAGMENT,ADDITIONAL_SPATIAL_BACKGROUND_2,FIT,1396.0,968.0,112,0.0,0.0,0.0,0.0,1.0,1396.0,968.0,0.0,0.0,0.0,0.0,1.0,1396.0,968.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,false,CONFIRMED_CONTINUOUS_330_350,NO_VEHICLE_MIXING_OBSERVED,right diagonal bright background fragment,false
GM_RM017,GM_RM017:PV002,330,BG_G_UPPER_DIAGONAL_FRAGMENT,ADDITIONAL_SPATIAL_BACKGROUND_3,FIT,1277.0,805.0,88,0.0,0.0,0.0,0.0,1.0,1277.0,805.0,0.0,0.0,0.0,0.0,1.0,1277.0,805.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,false,CONFIRMED_CONTINUOUS_330_350,NO_VEHICLE_MIXING_OBSERVED,"upper diagonal background fragment, spatially separate from the vehicle shell",false
GM_RM017,GM_RM017:PV002,330,BG_H_FAN_ARC_LEFT,ADDITIONAL_FAN_ARC_SECTION,FIT,980.0,674.0,96,0.0,0.0,0.0,0.0,1.0,980.0,674.0,0.0,0.0,0.0,0.0,1.0,980.0,674.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,false,CONFIRMED_CONTINUOUS_330_350,NO_VEHICLE_MIXING_OBSERVED,"left section of the central fan arc, spatially separate from the main arc template",false
GM_RM017,GM_RM017:PV002,331,BG_A_VERTICAL_STRONG_LINE,VERTICAL_STRONG_LINE,FIT,1277.0,875.0,96,6.141953946623289,0.028800368426914247,6.141953946623289,0.028800368426914247,0.5189872674835907,1283.0,875.0,6.0,0.0,6.0,0.0,0.4094105362892151,1283.3962803324648,875.0674616493213,6.396280332464812,0.0674616493213307,6.396280332464805,0.06746164932138043,0.5436990816767017,0.40198156180051003,1.0,false,CONFIRMED_CONTINUOUS_330_350,NO_VEHICLE_MIXING_OBSERVED,bright vertical line above/right of the discovery shell,false
GM_RM017,GM_RM017:PV002,331,BG_B_FAN_ARC_CENTRAL,FAN_ARC,FIT,1105.0,674.0,112,6.141953946623289,0.028800368426914247,6.141953946623289,0.028800368426914247,0.5189872674835907,1111.0,674.0,6.0,0.0,6.0,0.0,0.3785552978515625,1111.7524571172742,673.7435046836778,6.752457117274162,-0.2564953163222299,6.75245711727424,-0.2564953163222654,0.384818119737837,0.7949726791732644,1.0,false,CONFIRMED_CONTINUOUS_330_350,NO_VEHICLE_MIXING_OBSERVED,central bright fan arc with adjacent arc texture,false
