region_id,region_role,stage,frame_count,main_band_present_fraction,main_band_span_median_px,main_band_mean_robust_z_median,lower_side_bias_fraction,upper_relation_present_fraction,upper_to_main_dy_median_px,multi_part_relation_fraction,positive_response_fraction_mean,local_background_median_mean,local_background_mad_mean,edge_density_mean,radial_distance_mean_px,weighted_score,ranking
EXPANDED_NEIGHBORHOOD,EXPANDED_VEHICLE_DISCOVERY_NEIGHBORHOOD,WEAK_DISTRIBUTED_330_338,9,1.0,268.0,4.852963924407959,1.0,1.0,-37.62643190870165,1.0,0.05779700854700856,37.666666666666664,3.4444444444444446,0.8560491452991452,324.9703068835675,NOT_COMPUTED,NOT_COMPUTED
EXPANDED_NEIGHBORHOOD,EXPANDED_VEHICLE_DISCOVERY_NEIGHBORHOOD,TRANSITION_ONSET_339,1,1.0,269.0,4.881778240203857,1.0,1.0,-71.95569911819162,1.0,0.055955128205128206,51.0,5.0,0.918198717948718,324.9703068835675,NOT_COMPUTED,NOT_COMPUTED
EXPANDED_NEIGHBORHOOD,EXPANDED_VEHICLE_DISCOVERY_NEIGHBORHOOD,STRONG_COMPACT_340_350,11,1.0,276.0,5.522192001342773,1.0,1.0,-51.22663111206654,1.0,0.07409149184149183,50.63636363636363,4.363636363636363,0.9132861305361306,324.9703068835675,NOT_COMPUTED,NOT_COMPUTED
FROZEN_COARSE_CENTER_CORRIDOR,VEHICLE_DISCOVERY_CORRIDOR,WEAK_DISTRIBUTED_330_338,9,1.0,159.0,5.895786285400391,0.6666666666666666,1.0,-18.466395219222193,1.0,0.08210123456790125,38.333333333333336,3.4444444444444446,0.8597604938271606,312.6679394437492,NOT_COMPUTED,NOT_COMPUTED
FROZEN_COARSE_CENTER_CORRIDOR,VEHICLE_DISCOVERY_CORRIDOR,TRANSITION_ONSET_339,1,1.0,223.0,5.375334739685059,1.0,1.0,-17.27683388711671,1.0,0.09231111111111111,51.0,5.0,0.9104,312.6679394437492,NOT_COMPUTED,NOT_COMPUTED
FROZEN_COARSE_CENTER_CORRIDOR,VEHICLE_DISCOVERY_CORRIDOR,STRONG_COMPACT_340_350,11,1.0,163.0,6.253750324249268,0.6363636363636364,1.0,-15.960722395496283,1.0,0.09668888888888888,51.63636363636363,4.7272727272727275,0.9006767676767677,312.6679394437492,NOT_COMPUTED,NOT_COMPUTED
MATCHED_BG_FAN_ARC,MATCHED_BACKGROUND,WEAK_DISTRIBUTED_330_338,9,1.0,172.0,3.2012832164764404,1.0,0.8888888888888888,-67.8266420297611,1.0,0.021637037037037038,39.22222222222222,3.7777777777777777,0.8857259259259259,581.5126825788067,NOT_COMPUTED,NOT_COMPUTED
MATCHED_BG_FAN_ARC,MATCHED_BACKGROUND,TRANSITION_ONSET_339,1,1.0,169.0,3.2776010036468506,1.0,1.0,-37.0171948624411,1.0,0.023955555555555556,52.0,5.0,0.9358666666666666,581.5126825788067,NOT_COMPUTED,NOT_COMPUTED
MATCHED_BG_FAN_ARC,MATCHED_BACKGROUND,STRONG_COMPACT_340_350,11,1.0,194.0,3.6271026134490967,1.0,1.0,-26.320404443752466,1.0,0.025541414141414143,51.81818181818182,4.909090909090909,0.9335232323232323,581.5126825788067,NOT_COMPUTED,NOT_COMPUTED
MATCHED_BG_LEFT_CURVE,MATCHED_BACKGROUND,WEAK_DISTRIBUTED_330_338,9,0.0,,,0.0,0.0,,0.0,0.013370370370370371,36.55555555555556,3.5555555555555554,0.8173827160493827,535.8329963710709,NOT_COMPUTED,NOT_COMPUTED
