scene,canonical_vehicle_id,segment_id,sar_frame_index,direct_review_stage,raw_anchor_center_x_px,raw_anchor_center_y_px,raw_anchor_width_px,raw_anchor_height_px,raw_anchor_angle_deg,response_raw_mean,response_raw_p95,local_background_median,local_background_mad,response_z_mean,response_z_p95,response_positive_fraction,response_horizontal_run_px,response_weighted_centroid_x_rel_px,response_weighted_centroid_y_rel_px,response_long_axis_deg,response_structure_anisotropy,upper_band_z_mean,gt_inside_used_as_vehicle_label,stage_boundary_reselected_by_metric
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,330,WEAK_DISTRIBUTED_330_338,1050.984,1010.79,164.0,66.194,179.0,39.812799623540485,58.0,38.0,5.0,0.24454329907894135,2.697962999343872,0.05696891267903885,39,58.974605608247515,16.786066481605012,167.56896129270456,0.08553519059742834,0.09842906147241592,False,False
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,331,WEAK_DISTRIBUTED_330_338,1060.746,1009.975,158.375,68.39,178.0,36.63680479985883,52.0,34.0,4.0,0.4446251094341278,3.0352084636688232,0.06576277168318578,42,52.92031967033259,17.62105209214922,165.25957521528494,0.06914110641963067,0.2851240932941437,False,False
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,332,WEAK_DISTRIBUTED_330_338,1062.413,1009.621,157.981,66.648,178.0,35.03914590747331,50.0,33.0,4.0,0.34384626150131226,2.8665857315063477,0.06255698361812888,37,60.80515499753699,17.100524994425967,175.20019558541935,0.0692046835722756,0.22358612716197968,False,False
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,333,WEAK_DISTRIBUTED_330_338,1073.125,1009.103,155.122,69.3,179.0,36.861651127908004,52.0,36.0,4.0,0.1452939212322235,2.697962999343872,0.06085115143672245,35,62.80294809447912,19.352669294888067,163.9139235957062,0.0378991626362085,0.010379419662058353,False,False
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,334,WEAK_DISTRIBUTED_330_338,1077.382,1010.473,158.132,64.442,178.0,39.90394400164701,58.0,38.0,5.0,0.25683853030204773,2.697962999343872,0.057527719772947856,32,67.63673942001336,21.42480835855109,177.4693698862235,0.07516161814334987,0.09913069754838943,False,False
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,335,WEAK_DISTRIBUTED_330_338,1084.338,1004.145,153.285,74.297,177.0,42.49954413105497,60.0,40.0,4.0,0.42147985100746155,3.3724539279937744,0.08202699920590571,43,61.0294821604445,26.95329949287401,177.79058800413347,0.092249136808198,0.180129736661911,False,False
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,336,WEAK_DISTRIBUTED_330_338,1095.41,1010.403,163.96,74.565,177.0,42.00235287197435,61.0,40.0,4.0,0.3376421332359314,3.54107666015625,0.08605629246198641,41,51.6419067397058,22.099338596663927,175.15092830488965,0.08244782741255895,0.12268023937940598,False,False
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,337,WEAK_DISTRIBUTED_330_338,1095.721,1005.685,151.119,75.466,174.0,44.82935796006,65.0,43.0,5.0,0.2467770129442215,2.967759370803833,0.06343931060851152,38,48.23411957000678,23.35374883466531,177.23765027010387,0.08961192098753551,0.07243172824382782,False,False
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,338,WEAK_DISTRIBUTED_330_338,1103.718,1009.292,148.39,62.896,178.0,47.376135996000116,69.0,45.0,5.0,0.320536345243454,3.237555503845215,0.07835063674597806,45,42.8145886662426,21.40380571316267,178.78112109698927,0.03634126054417276,0.11395994573831558,False,False
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,339,TRANSITION_ONSET_339,1111.398,1005.798,158.313,78.952,175.0,55.455192494338405,82.0,52.0,6.0,0.3884159028530121,3.3724536895751953,0.07776241875238964,44,42.67975685096073,24.555220516125523,1.1563851641731162,0.056995198298469586,0.1352621614933014,False,False
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,340,STRONG_COMPACT_340_350,1115.084,1010.773,144.738,65.413,179.0,57.94723684597512,86.0,54.0,6.0,0.44372913241386414,3.5972838401794434,0.08308579159436487,63,40.057567380280176,21.552929451065033,16.840507341235124,0.02516781409884959,0.1726430058479309,False,False
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,341,STRONG_COMPACT_340_350,1129.371,1008.903,169.245,68.755,177.0,56.69939119437664,83.0,52.0,6.0,0.528282642364502,3.4848687648773193,0.08499750007352724,59,36.63747485725423,22.31104534218086,6.470782323352452,0.04168628446496575,0.21780513226985931,False,False
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,342,STRONG_COMPACT_340_350,1127.16,1008.93,149.05,69.7,178.0,57.01402899914709,86.0,53.0,6.0,0.4512375593185425,3.7096991539001465,0.08367400958795329,73,35.00059756531542,22.181285226271733,172.63979938864753,0.03147318283785521,0.19242148101329803,False,False
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,343,STRONG_COMPACT_340_350,1138.871,1011.29,162.161,76.742,177.0,56.950972030234404,86.0,53.0,6.0,0.44414904713630676,3.7096991539001465,0.07999764712802565,67,29.55432777332817,19.511591648297134,1.6642151825753047,0.045938292278952596,0.2116020917892456,False,False
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,344,STRONG_COMPACT_340_350,1140.293,1009.731,160.347,74.382,178.0,55.09552660215876,83.0,51.0,6.0,0.4603990912437439,3.5972838401794434,0.08349754418987677,69,28.30696974905871,19.421054323332157,4.619136220482645,0.05612171513188579,0.3142004907131195,False,False
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,345,STRONG_COMPACT_340_350,1147.065,1010.129,162.935,72.032,177.0,57.12858445339843,86.0,53.0,6.0,0.4641153812408447,3.7096991539001465,0.08573277256551277,61,23.951607490134307,18.602458742735138,5.025370823396756,0.06964690211690475,0.34630152583122253,False,False
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,346,STRONG_COMPACT_340_350,1156.725,1010.95,156.76,76.36,176.0,57.18387694479574,86.0,53.0,6.0,0.470331072807312,3.7096991539001465,0.08770330284403399,47,16.514082898553482,18.63818254290183,2.0513083591207533,0.06516203705231612,0.30343860387802124,False,False
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,347,STRONG_COMPACT_340_350,1160.194,1011.129,155.871,70.484,174.0,55.253669009735006,81.0,51.0,6.0,0.47817668318748474,3.3724536895751953,0.08029175612481985,63,15.991015194639942,20.183137602845505,178.60620055068813,0.0823511237578645,0.3269055187702179,False,False
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,348,STRONG_COMPACT_340_350,1164.61,1011.088,138.26,77.023,178.0,53.698597100085294,79.0,50.0,5.0,0.49893391132354736,3.912046432495117,0.09814417223022852,71,13.390603726378288,20.756760935588197,1.110840842293399,0.06710238215543068,0.3368048667907715,False,False
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,349,STRONG_COMPACT_340_350,1175.342,1006.066,168.613,78.79,176.0,53.99650010293815,79.0,50.0,5.0,0.5391204953193665,3.912046432495117,0.09735007793888414,58,9.492328960506399,25.177508887346065,7.5169265691583576,0.049072017807596846,0.2969647943973541,False,False
