merge_edge_id,scene,from_tracklet_candidate_id,to_tracklet_candidate_id,from_frame_start,from_frame_end,to_frame_start,to_frame_end,temporal_relation,temporal_offset_frames,forward_gap_frames,overlap_or_interleave_offset_frames,frame_gap,frame_overlap_count,from_detection_count,to_detection_count,endpoint_center_distance_px,motion_predicted_center_distance_px,bridge_iou_proxy,area_ratio_endpoint,aspect_ratio_endpoint,bottom_y_delta_px,class_consistent,confidence_bridge_min,from_boundary_contact_count,to_boundary_contact_count,from_neighbor_ambiguity_count,to_neighbor_ambiguity_count,shape_transition_proxy,partial_to_full_box_transition_proxy,competing_merge_count_from,competing_merge_count_to,merge_candidate_score_not_selector,merge_candidate_status,merge_policy
oty1_tracklet_0039__oty1_tracklet_0045,GM_RM019,oty1_tracklet_0039,oty1_tracklet_0045,162,172,171,183,overlap_or_interleave,-1,0,-1,-1,1,8,13,80.151171039759,80.151171039759,0.541249116302846,0.6950541452364177,0.48056218334963036,123.60043334960938,True,0.2549740970134735,6,11,6,1,area_transition_review,partial_to_full_box_transition_review,3,2,0.6807770449052162,partial_to_full_box_transition_candidate,oty1a_runtime_optical_geometry_only_candidate_not_confirmed_identity
oty1_tracklet_0025__oty1_tracklet_0027,GM_RM019,oty1_tracklet_0025,oty1_tracklet_0027,77,80,77,77,overlap_or_interleave,-3,0,-3,-3,1,4,1,3.563856422076751,3.563856422076751,0.6563360545864594,0.7119644629440423,0.7803889336826507,3.50042724609375,True,0.26318439841270447,0,0,3,1,area_transition_review,not_indicated,4,7,0.829741186402803,overlap_shape_transition_candidate,oty1a_runtime_optical_geometry_only_candidate_not_confirmed_identity
oty1_tracklet_0015__oty1_tracklet_0020,GM_RM019,oty1_tracklet_0015,oty1_tracklet_0020,50,62,62,66,overlap_or_interleave,0,0,0,0,1,11,4,9.098824555368784,9.098824555368784,0.5796531603967716,0.6014909485557028,0.8260804586877679,4.141815185546875,True,0.2675548493862152,0,0,3,1,area_transition_review,not_indicated,3,4,0.8044828722127638,overlap_shape_transition_candidate,oty1a_runtime_optical_geometry_only_candidate_not_confirmed_identity
oty1_tracklet_0008__oty1_tracklet_0009,GM_RM019,oty1_tracklet_0008,oty1_tracklet_0009,22,25,24,28,overlap_or_interleave,-1,0,-1,-1,2,4,5,88.45721707930585,88.45721707930585,0.6864626662534487,0.7383655866800416,0.8318167792483592,29.990997314453125,True,0.27278876304626465,2,3,2,5,area_transition_review,partial_to_full_box_transition_review,1,2,0.7837798121017734,partial_to_full_box_transition_candidate,oty1a_runtime_optical_geometry_only_candidate_not_confirmed_identity
oty1_tracklet_0010__oty1_tracklet_0011,GM_RM019,oty1_tracklet_0010,oty1_tracklet_0011,34,34,37,52,forward_gap,3,3,,3,0,1,13,11.509862604443514,11.509862604443514,0.2154688342903809,0.8765984883244147,0.5777686828853966,2.496490478515625,True,0.30180978775024414,0,0,0,7,aspect_transition_review,not_indicated,2,1,0.7135231083018869,ambiguous_competing_merge,oty1a_runtime_optical_geometry_only_candidate_not_confirmed_identity
oty1_tracklet_0022__oty1_tracklet_0024,GM_RM019,oty1_tracklet_0022,oty1_tracklet_0024,72,87,72,72,overlap_or_interleave,-15,0,-15,-15,1,12,1,78.2688044268581,78.2688044268581,0.29909887070655317,0.4218007299404726,0.9324709629150272,4.143402099609375,True,0.25410565733909607,0,0,6,1,large_shape_transition_review,not_indicated,7,5,0.7041901766879447,overlap_shape_transition_candidate,oty1a_runtime_optical_geometry_only_candidate_not_confirmed_identity
oty1_tracklet_0021__oty1_tracklet_0023,GM_RM019,oty1_tracklet_0021,oty1_tracklet_0023,70,72,72,74,overlap_or_interleave,0,0,0,0,1,3,2,22.1125254283345,22.1125254283345,0.0,0.6856333086767603,0.7679885931748731,0.601287841796875,True,0.2513252794742584,0,0,3,2,area_transition_review,not_indicated,5,2,0.6974646397420308,overlap_shape_transition_candidate,oty1a_runtime_optical_geometry_only_candidate_not_confirmed_identity
oty1_tracklet_0013__oty1_tracklet_0029,GM_RM019,oty1_tracklet_0013,oty1_tracklet_0029,43,100,86,88,overlap_or_interleave,-14,0,-14,-14,3,52,3,93.86323171664937,93.86323171664937,0.19817715311715298,0.8303721412538292,0.6116943587042033,12.698822021484375,True,0.2986879050731659,0,0,21,3,aspect_transition_review,not_indicated,14,5,0.6912529103257835,overlap_shape_transition_candidate,oty1a_runtime_optical_geometry_only_candidate_not_confirmed_identity
oty1_tracklet_0018__oty1_tracklet_0019,GM_RM019,oty1_tracklet_0018,oty1_tracklet_0019,57,57,59,59,forward_gap,2,2,,2,0,1,1,19.594221321939575,19.594221321939575,0.0,0.5078568948318102,0.9826700392686608,6.110076904296875,True,0.2754901051521301,0,0,0,1,area_transition_review,not_indicated,2,5,0.6787095846404949,ambiguous_competing_merge,oty1a_runtime_optical_geometry_only_candidate_not_confirmed_identity
oty1_tracklet_0004__oty1_tracklet_0008,GM_RM017,oty1_tracklet_0004,oty1_tracklet_0008,143,185,170,170,overlap_or_interleave,-15,0,-15,-15,1,43,1,49.42886040627373,49.42886040627373,0.0,0.6963531998184763,0.8701898739725518,46.627197265625,True,0.28988420963287354,23,1,7,0,area_transition_review,partial_to_full_low_overlap_review,3,3,0.6783781238953239,overlap_shape_transition_candidate,oty1a_runtime_optical_geometry_only_candidate_not_confirmed_identity
