azimuth_shift_triage_id,source_mode_name,shift_deg,shift_magnitude_deg,shift_sign,azimuth_overlap_bucket,n_rows,median_azimuth_overlap_ratio_vs_true,median_support_iou_proxy,topk_contains_near_gt_rate_posthoc,top1_near_gt_rate_posthoc,gt_inside_support_rate_posthoc,median_peak_background_ratio,median_support_area_px,scatter_cluster_type_mix,temporal_stability_label_mix,interpretation,provenance_labels
AZ0001,broad_fan_baseline,-10,10,negative_shift,high_overlap_ge_0p75,84,0.7921,0.6558,0.0833,0.0238,0.9762,1.8409,745520,diffuse_clutter=59;range_spread_cluster=14;weak_no_structure=6;azimuth_spread_cluster=4;compact_cluster=1,jumping_peak=81;diffuse_or_unstable_cluster_tube=3,shifted support drops; azimuth gate has discriminative value at this magnitude,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
AZ0002,broad_fan_baseline,-10,10,negative_shift,medium_overlap_0p25_0p75,131,0.6619,0.4946,0,0,0.9008,2.0132,458415,diffuse_clutter=91;range_spread_cluster=18;azimuth_spread_cluster=12;weak_no_structure=10,jumping_peak=127;diffuse_or_unstable_cluster_tube=3;insufficient_temporal_samples=1,shifted support drops; azimuth gate has discriminative value at this magnitude,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
AZ0003,broad_fan_baseline,-20,20,negative_shift,low_overlap_lt_0p25,31,0.2,0.1111,0,0,0.0323,2.0294,387468,diffuse_clutter=26;range_spread_cluster=5,diffuse_or_unstable_cluster_tube=27;jumping_peak=3;insufficient_temporal_samples=1,shifted support drops; azimuth gate has discriminative value at this magnitude,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
AZ0004,broad_fan_baseline,-20,20,negative_shift,medium_overlap_0p25_0p75,180,0.4718,0.3087,0.0333,0.0111,0.4944,1.9804,573282,diffuse_clutter=126;range_spread_cluster=30;azimuth_spread_cluster=13;weak_no_structure=11,jumping_peak=141;diffuse_or_unstable_cluster_tube=39,shifted support drops; azimuth gate has discriminative value at this magnitude,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
AZ0005,broad_fan_baseline,-20,20,negative_shift,no_overlap,4,0,0,0,0,0,2.1697,226899,weak_no_structure=2;diffuse_clutter=2,jumping_peak=3;diffuse_or_unstable_cluster_tube=1,shifted support drops; azimuth gate has discriminative value at this magnitude,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
AZ0006,broad_fan_baseline,10,10,positive_shift,high_overlap_ge_0p75,84,0.7921,0.6558,0.0595,0.0119,0.9762,1.8278,745488,diffuse_clutter=49;azimuth_spread_cluster=23;range_spread_cluster=8;weak_no_structure=4,jumping_peak=78;diffuse_or_unstable_cluster_tube=5;stable_cluster_tube=1,shifted support drops; azimuth gate has discriminative value at this magnitude,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
AZ0007,broad_fan_baseline,10,10,positive_shift,medium_overlap_0p25_0p75,131,0.6619,0.4946,0,0,0.9618,2.0042,458415,diffuse_clutter=79;weak_no_structure=25;azimuth_spread_cluster=20;range_spread_cluster=7,jumping_peak=71;diffuse_or_unstable_cluster_tube=58;insufficient_temporal_samples=1;stable_cluster_tube=1,shifted support drops; azimuth gate has discriminative value at this magnitude,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
AZ0008,broad_fan_baseline,20,20,positive_shift,low_overlap_lt_0p25,31,0.2,0.1111,0,0,0.129,2.0476,387495,diffuse_clutter=24;range_spread_cluster=5;weak_no_structure=2,diffuse_or_unstable_cluster_tube=26;jumping_peak=4;insufficient_temporal_samples=1,shifted support drops; azimuth gate has discriminative value at this magnitude,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
AZ0009,broad_fan_baseline,20,20,positive_shift,medium_overlap_0p25_0p75,180,0.4718,0.3087,0.0167,0.0056,0.4556,1.8994,586566,diffuse_clutter=82;azimuth_spread_cluster=39;weak_no_structure=38;range_spread_cluster=21,jumping_peak=142;diffuse_or_unstable_cluster_tube=36;stable_cluster_tube=2,shifted support drops; azimuth gate has discriminative value at this magnitude,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
AZ0010,broad_fan_baseline,20,20,positive_shift,no_overlap,4,0,0,0,0,0,2.1657,226976,diffuse_clutter=4,jumping_peak=3;diffuse_or_unstable_cluster_tube=1,shifted support drops; azimuth gate has discriminative value at this magnitude,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
