scene,object_hypothesis_id,sar_gt_id,sar_frame,gt_azimuth_deg,azimuth_prior_center_deg,azimuth_prior_start_deg,azimuth_prior_end_deg,azimuth_prior_width_deg,azimuth_error_to_center_deg,azimuth_prior_contains_gt,azimuth_failure_context,size_shell_mode,gt_long_axis_px,gt_short_axis_px,gt_axis_aspect,vehicle_size_shell_contains_gt,base_vehicle_size_shell_contains_gt,size_shell_angular_width_at_gt_radius_deg,size_shell_to_azimuth_width_ratio,size_shell_compression_effect,shape_range_shell_mode,shape_range_shell_radius_min_px,shape_range_shell_radius_max_px,shape_range_shell_width_px,range_shell_contains_gt,range_shell_note
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,95,302,-41.387,-7.005,-48.408,37.581,85.989,-34.382,true,,relaxed_state_size_shell,137.225,68.218,2.0116,true,true,34.909,0.4060,posthoc_size_shell_much_narrower_than_azimuth_sector,small_optical_area_posthoc_bin,452.027,576.167,124.140,false,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,98,310,-36.062,-7.005,-48.408,37.581,85.989,-29.057,true,,relaxed_state_size_shell,167.826,66.700,2.5161,true,true,37.650,0.4378,posthoc_size_shell_much_narrower_than_azimuth_sector,medium_optical_area_posthoc_bin,366.393,455.063,88.670,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,99,315,-42.951,-7.958,-45.411,34.588,79.999,-34.993,true,,relaxed_state_size_shell,143.983,70.213,2.0507,true,true,28.430,0.3554,posthoc_size_shell_much_narrower_than_azimuth_sector,small_optical_area_posthoc_bin,452.027,576.167,124.140,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,100,315,-31.685,-7.005,-48.408,37.581,85.989,-24.680,true,,relaxed_state_size_shell,157.500,65.100,2.4194,true,true,39.490,0.4592,posthoc_size_shell_much_narrower_than_azimuth_sector,medium_optical_area_posthoc_bin,366.393,455.063,88.670,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,101,317,-28.675,-7.005,-48.408,37.581,85.989,-21.670,true,,relaxed_state_size_shell,149.812,68.644,2.1824,true,true,40.220,0.4677,posthoc_size_shell_much_narrower_than_azimuth_sector,medium_optical_area_posthoc_bin,366.393,455.063,88.670,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,102,317,-42.557,-7.958,-45.411,34.588,79.999,-34.599,true,,relaxed_state_size_shell,163.847,68.644,2.3869,true,true,28.652,0.3582,posthoc_size_shell_much_narrower_than_azimuth_sector,small_optical_area_posthoc_bin,452.027,576.167,124.140,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,103,319,-41.011,-7.958,-45.411,34.588,79.999,-33.053,true,,relaxed_state_size_shell,151.000,72.822,2.0735,true,true,29.191,0.3649,posthoc_size_shell_much_narrower_than_azimuth_sector,small_optical_area_posthoc_bin,452.027,576.167,124.140,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,104,319,-28.122,-7.005,-48.408,37.581,85.989,-21.117,true,,relaxed_state_size_shell,159.155,70.137,2.2692,true,true,40.621,0.4724,posthoc_size_shell_much_narrower_than_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,105,321,-26.176,-7.005,-48.408,37.581,85.989,-19.171,true,,relaxed_state_size_shell,154.423,74.500,2.0728,true,true,40.792,0.4744,posthoc_size_shell_much_narrower_than_azimuth_sector,medium_optical_area_posthoc_bin,366.393,455.063,88.670,false,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,106,321,-40.232,-7.958,-45.411,34.588,79.999,-32.274,true,,relaxed_state_size_shell,148.297,65.897,2.2504,true,true,29.860,0.3732,posthoc_size_shell_much_narrower_than_azimuth_sector,small_optical_area_posthoc_bin,452.027,576.167,124.140,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,107,323,-23.750,-7.005,-48.408,37.581,85.989,-16.745,true,,relaxed_state_size_shell,152.033,76.979,1.9750,true,true,41.455,0.4821,posthoc_size_shell_much_narrower_than_azimuth_sector,medium_optical_area_posthoc_bin,366.393,455.063,88.670,false,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,108,323,-39.439,-7.958,-45.411,34.588,79.999,-31.481,true,,relaxed_state_size_shell,163.729,67.703,2.4183,true,true,30.167,0.3771,posthoc_size_shell_much_narrower_than_azimuth_sector,small_optical_area_posthoc_bin,452.027,576.167,124.140,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,109,325,-22.320,-7.005,-48.408,37.581,85.989,-15.315,true,,relaxed_state_size_shell,146.473,67.871,2.1581,true,true,42.361,0.4926,posthoc_size_shell_much_narrower_than_azimuth_sector,medium_optical_area_posthoc_bin,366.393,455.063,88.670,false,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,110,325,-37.565,-7.958,-45.411,34.588,79.999,-29.607,true,,relaxed_state_size_shell,172.013,78.939,2.1791,true,true,30.595,0.3824,posthoc_size_shell_much_narrower_than_azimuth_sector,small_optical_area_posthoc_bin,452.027,576.167,124.140,true,posthoc optical-shape bin only; not runtime rule
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,111,327,-20.747,-7.005,-48.408,37.581,85.989,-13.742,true,,relaxed_state_size_shell,148.762,71.222,2.0887,true,true,42.777,0.4975,posthoc_size_shell_much_narrower_than_azimuth_sector,large_optical_area_posthoc_bin,152.418,402.483,250.066,true,posthoc optical-shape bin only; not runtime rule
