scene,sar_gt_id,optical_frame,sar_frame,expected_sar_frame_raw,temporal_error_sar_frames,gt_in_software_sync_window,sar_gt_center,sar_gt_width,sar_gt_height,sar_gt_heading_deg,sar_gt_axis_aligned_bbox,sar_box_mean,sar_background_mean,sar_box_to_background_ratio,sar_peak_to_background_ratio,sar_scatter_support_status,sar_posthoc_support_status,sar_posthoc_support_reason,sar_image_path,notes
GM_RM017,97,149,310,310.4167,-0.4167,true,"756.11,941.093",151.235,69.393,176,"678.256,901.206,833.964,980.98",57.395994,55.591539,1.032459,3.183938,sar_gt_crop_has_local_scatter_support,sar_posthoc_supported_detection_dropout,"SAR GT and SAR image are posthoc-only; support confirms target presence mechanism, not runtime identity truth.",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000310.png,SAR crop statistics are posthoc-only and not a runtime detector or scoring rule.
GM_RM017,263,183,381,381.25,-0.25,true,"1375.737,1009.311",146.953,71.356,176,"1299.951,968.594,1451.523,1050.028",60.819198,57.582291,1.056214,3.47329,sar_gt_crop_has_local_scatter_support,sar_posthoc_supported_detection_dropout,"SAR GT and SAR image are posthoc-only; support confirms target presence mechanism, not runtime identity truth.",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000381.png,SAR crop statistics are posthoc-only and not a runtime detector or scoring rule.
GM_RM017,266,183,382,381.25,0.75,true,"1378.2,1008.2",149.8,77.8,-3,"1301.367,965.433,1455.033,1050.967",61.012753,57.913838,1.053509,3.332537,sar_gt_crop_has_local_scatter_support,sar_posthoc_supported_detection_dropout,"SAR GT and SAR image are posthoc-only; support confirms target presence mechanism, not runtime identity truth.",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000382.png,SAR crop statistics are posthoc-only and not a runtime detector or scoring rule.
GM_RM017,275,185,385,385.4167,-0.4167,true,"1400.5,1008.513",158,70.449,176,"1319.235,967.864,1481.765,1049.162",51.502624,49.625736,1.037821,3.606999,sar_gt_crop_has_local_scatter_support,sar_posthoc_supported_detection_dropout,"SAR GT and SAR image are posthoc-only; support confirms target presence mechanism, not runtime identity truth.",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000385.png,SAR crop statistics are posthoc-only and not a runtime detector or scoring rule.
GM_RM017,278,185,386,385.4167,0.5833,true,"1407.05,1006.303",159.248,76.935,-3,"1325.522,963.721,1488.578,1048.885",59.962067,58.111111,1.031852,3.286807,sar_gt_crop_has_local_scatter_support,sar_posthoc_supported_detection_dropout,"SAR GT and SAR image are posthoc-only; support confirms target presence mechanism, not runtime identity truth.",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000386.png,SAR crop statistics are posthoc-only and not a runtime detector or scoring rule.
GM_RM017,308,214,446,445.8333,0.1667,true,"1473.541,869.331",180.842,76.979,178,"1381.832,827.709,1565.25,910.953",67.183333,65.534875,1.025154,2.792406,sar_gt_crop_has_local_scatter_support,sar_posthoc_supported_detection_dropout,"SAR GT and SAR image are posthoc-only; support confirms target presence mechanism, not runtime identity truth.",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000446.png,SAR crop statistics are posthoc-only and not a runtime detector or scoring rule.
GM_RM019,313,4,8,8.3333,-0.3333,true,"991.506,1197.553",140.322,69.546,13,"915.321,1147.888,1067.691,1247.218",107.558079,116.837614,0.920578,2.182516,sar_gt_crop_has_local_scatter_support,sar_posthoc_supported_detection_dropout,"SAR GT and SAR image are posthoc-only; support confirms target presence mechanism, not runtime identity truth.",D:\profile\research\data\GM_RM019\GM_RM019_SARframes\000008.png,SAR crop statistics are posthoc-only and not a runtime detector or scoring rule.
GM_RM019,321,42,88,87.5,0.5,true,"1302.806,1202.648",147.538,77.98,4,"1226.497,1158.607,1379.115,1246.689",95.822195,110.089147,0.870405,2.316305,sar_gt_crop_has_local_scatter_support,sar_posthoc_supported_detection_dropout,"SAR GT and SAR image are posthoc-only; support confirms target presence mechanism, not runtime identity truth.",D:\profile\research\data\GM_RM019\GM_RM019_SARframes\000088.png,SAR crop statistics are posthoc-only and not a runtime detector or scoring rule.
GM_RM019,322,97,202,202.0833,-0.0833,true,"991.761,1199.468",150.903,69.671,-2,"915.14,1162.021,1068.382,1236.915",109.161732,117.553384,0.928614,2.169227,sar_gt_crop_has_local_scatter_support,sar_posthoc_supported_detection_dropout,"SAR GT and SAR image are posthoc-only; support confirms target presence mechanism, not runtime identity truth.",D:\profile\research\data\GM_RM019\GM_RM019_SARframes\000202.png,SAR crop statistics are posthoc-only and not a runtime detector or scoring rule.
GM_RM019,329,147,306,306.25,-0.25,true,"1005.573,1223.134",133.853,69.339,2,"937.477,1186.15,1073.669,1260.118",85.631144,99.804225,0.857991,2.555002,sar_gt_crop_has_local_scatter_support,sar_posthoc_supported_detection_dropout,"SAR GT and SAR image are posthoc-only; support confirms target presence mechanism, not runtime identity truth.",D:\profile\research\data\GM_RM019\GM_RM019_SARframes\000306.png,SAR crop statistics are posthoc-only and not a runtime detector or scoring rule.
GM_RM019,332,168,350,350,0,true,"1165.96,1230.925",146.12,69.099,176,"1090.668,1191.363,1241.252,1270.487",66.901727,60.235503,1.110669,3.569324,sar_gt_crop_has_local_scatter_support,sar_posthoc_supported_detection_dropout,"SAR GT and SAR image are posthoc-only; support confirms target presence mechanism, not runtime identity truth.",D:\profile\research\data\GM_RM019\GM_RM019_SARframes\000350.png,SAR crop statistics are posthoc-only and not a runtime detector or scoring rule.
GM_RM019,333,170,354,354.1667,-0.1667,true,"1180.72,1231.275",141,79.006,176,"1107.636,1186.95,1253.804,1275.6",50.050869,52.07499,0.961131,3.859818,sar_gt_crop_has_local_scatter_support,sar_posthoc_supported_detection_dropout,"SAR GT and SAR image are posthoc-only; support confirms target presence mechanism, not runtime identity truth.",D:\profile\research\data\GM_RM019\GM_RM019_SARframes\000354.png,SAR crop statistics are posthoc-only and not a runtime detector or scoring rule.
