scene,sar_gt_id,optical_frame,sar_frame,target_identity,review_bbox,current_frame_primary_available,current_frame_secondary_available,current_primary_iou,current_secondary_iou,previous_support_frame_count,next_support_frame_count,nearest_previous_support_frame,nearest_next_support_frame,same_track_support,same_track_ids,spatial_continuity_support,bbox_size_continuity_support,edge_truncation_status,temporal_continuation_status,temporal_continuation_confidence,continuation_reason,propagation_source,propagated_bbox_diagnostic,propagated_bbox_iou_with_review,propagated_bbox_review_containment,propagation_diagnostic_status,sample_use_categories,existence_recovered_by_temporal_continuation,temporal_continuation_with_detection_dropout,secondary_supported_truncated_same_vehicle,sar_posthoc_supported_dropout_case,yolo_upgrade_candidate,manual_review_required,exclude_from_clean_shape_statistics,blockers,local_visualization_path,repo_sample_visualization_path,notes
GM_RM017,97,149,310,gm_rm017_00016,"0.102,315.387,18.4,334.214",false,true,0.018733,0.918612,6,10,148,150,true,oty1t_obj_GM_RM017_bytetrack_bt_0008;oty1t_obj_GM_RM017_bytetrack_bt_0010,true,bbox_size_changes_heavily_due_to_truncation_or_handoff,review_bbox_edge_truncated;boundary_truncation_present;mixed_partial_full_observations;visible_main_observation;partial_to_full_transition;edge_truncated_observation;none;partial_secondary_observation,temporal_continuation_with_current_secondary_support,high,prev_support_frames=6;next_support_frames=10;current_secondary=True;propagation=temporal_propagation_can_recover_review_target;software_sync_error_sar_frames=-0.417,linear_interpolation_between_nearest_support_frames,"0.192,315.835,89.309,375.844",0.06246,0.971394,temporal_propagation_can_recover_review_target,existence_recovered_by_temporal_continuation;temporal_continuation_with_detection_dropout;secondary_supported_truncated_same_vehicle;yolo_upgrade_candidate;manual_review_required;exclude_from_clean_shape_statistics;sar_posthoc_supported_dropout_case,true,true,true,true,true,true,true,current_frame_primary_target_missing,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_detection_dropout_temporal_sar_support_20260702_200455\detection_dropout_pages\detection_dropout_gm_rm017_gt97_of149_sar310_20260702_200455.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\detection_dropout_temporal_sar_support\detection_dropout_temporal_sar_support_20260702_200455\detection_dropout_gm_rm017_gt97_of149_sar310_20260702_200455.png,Propagation bbox is diagnostic only; not a final label or runtime prior.
GM_RM017,263,183,381,gm_rm017_00107,"723.566,317.239,799.71,382.68",false,true,0,0.961969,10,10,182,184,true,oty1t_obj_GM_RM017_bytetrack_bt_0008;oty1t_obj_GM_RM017_bytetrack_bt_0010,true,bbox_size_changes_heavily_due_to_truncation_or_handoff,review_bbox_edge_truncated;none;visible_main_observation;boundary_truncation_present,temporal_continuation_with_current_secondary_support,high,prev_support_frames=10;next_support_frames=10;current_secondary=True;propagation=temporal_propagation_can_recover_review_target;software_sync_error_sar_frames=-0.25,linear_interpolation_between_nearest_support_frames,"723.52,309.447,799.721,386.202",0.851967,1,temporal_propagation_can_recover_review_target,existence_recovered_by_temporal_continuation;temporal_continuation_with_detection_dropout;secondary_supported_truncated_same_vehicle;yolo_upgrade_candidate;manual_review_required;exclude_from_clean_shape_statistics;sar_posthoc_supported_dropout_case,true,true,true,true,true,true,true,current_frame_primary_target_missing,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_detection_dropout_temporal_sar_support_20260702_200455\detection_dropout_pages\detection_dropout_gm_rm017_gt263_of183_sar381_20260702_200455.png,,Propagation bbox is diagnostic only; not a final label or runtime prior.
GM_RM017,266,183,382,gm17supp_000183_000382_det3,"723.568,317.239,799.711,382.683",false,true,0,0.961937,10,10,182,184,true,oty1t_obj_GM_RM017_bytetrack_bt_0008;oty1t_obj_GM_RM017_bytetrack_bt_0010,true,bbox_size_changes_heavily_due_to_truncation_or_handoff,review_bbox_edge_truncated;none;visible_main_observation;boundary_truncation_present,temporal_continuation_with_current_secondary_support,high,prev_support_frames=10;next_support_frames=10;current_secondary=True;propagation=temporal_propagation_can_recover_review_target;software_sync_error_sar_frames=0.75,linear_interpolation_between_nearest_support_frames,"723.52,309.447,799.721,386.202",0.851995,1,temporal_propagation_can_recover_review_target,existence_recovered_by_temporal_continuation;temporal_continuation_with_detection_dropout;secondary_supported_truncated_same_vehicle;yolo_upgrade_candidate;manual_review_required;exclude_from_clean_shape_statistics;sar_posthoc_supported_dropout_case,true,true,true,true,true,true,true,current_frame_primary_target_missing,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_detection_dropout_temporal_sar_support_20260702_200455\detection_dropout_pages\detection_dropout_gm_rm017_gt266_of183_sar382_20260702_200455.png,,Propagation bbox is diagnostic only; not a final label or runtime prior.
GM_RM017,275,185,385,gm_rm017_00113,"778.198,321.015,799.655,366.693",false,true,0,0.938827,10,8,184,188,true,oty1t_obj_GM_RM017_bytetrack_bt_0008;oty1t_obj_GM_RM017_bytetrack_bt_0010,true,bbox_size_changes_heavily_due_to_truncation_or_handoff,review_bbox_edge_truncated;none;visible_main_observation;boundary_truncation_present,temporal_continuation_with_current_secondary_support,high,prev_support_frames=10;next_support_frames=8;current_secondary=True;propagation=temporal_propagation_can_recover_review_target;software_sync_error_sar_frames=-0.417,linear_interpolation_between_nearest_support_frames,"693.862,309.338,796.163,380.206",0.110751,0.837236,temporal_propagation_can_recover_review_target,existence_recovered_by_temporal_continuation;temporal_continuation_with_detection_dropout;secondary_supported_truncated_same_vehicle;yolo_upgrade_candidate;manual_review_required;exclude_from_clean_shape_statistics;sar_posthoc_supported_dropout_case,true,true,true,true,true,true,true,current_frame_primary_target_missing,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_detection_dropout_temporal_sar_support_20260702_200455\detection_dropout_pages\detection_dropout_gm_rm017_gt275_of185_sar385_20260702_200455.png,,Propagation bbox is diagnostic only; not a final label or runtime prior.
GM_RM017,278,185,386,gm17supp_000185_000386_det3,"778.199,321.016,799.656,366.696",false,true,0,0.938747,10,8,184,188,true,oty1t_obj_GM_RM017_bytetrack_bt_0008;oty1t_obj_GM_RM017_bytetrack_bt_0010,true,bbox_size_changes_heavily_due_to_truncation_or_handoff,review_bbox_edge_truncated;none;visible_main_observation;boundary_truncation_present,temporal_continuation_with_current_secondary_support,high,prev_support_frames=10;next_support_frames=8;current_secondary=True;propagation=temporal_propagation_can_recover_review_target;software_sync_error_sar_frames=0.583,linear_interpolation_between_nearest_support_frames,"693.862,309.338,796.163,380.206",0.110749,0.83719,temporal_propagation_can_recover_review_target,existence_recovered_by_temporal_continuation;temporal_continuation_with_detection_dropout;secondary_supported_truncated_same_vehicle;yolo_upgrade_candidate;manual_review_required;exclude_from_clean_shape_statistics;sar_posthoc_supported_dropout_case,true,true,true,true,true,true,true,current_frame_primary_target_missing,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_detection_dropout_temporal_sar_support_20260702_200455\detection_dropout_pages\detection_dropout_gm_rm017_gt278_of185_sar386_20260702_200455.png,,Propagation bbox is diagnostic only; not a final label or runtime prior.
GM_RM017,308,214,446,gm_rm017_00157,"782.382,318.251,799.634,349.376",false,true,0,0.824701,10,0,213,,true,oty1t_obj_GM_RM017_bytetrack_bt_0012;oty1t_obj_GM_RM017_bytetrack_bt_0014,true,bbox_size_changes_heavily_due_to_truncation_or_handoff,review_bbox_edge_truncated;none;partial_secondary_observation;visible_main_observation,temporal_continuation_with_detection_dropout,medium_high,prev_support_frames=10;next_support_frames=0;current_secondary=True;propagation=temporal_propagation_can_recover_review_target;software_sync_error_sar_frames=0.167,nearest_previous_support_copy,"761.766,315.457,799.705,357.865",0.333748,1,temporal_propagation_can_recover_review_target,existence_recovered_by_temporal_continuation;temporal_continuation_with_detection_dropout;secondary_supported_truncated_same_vehicle;yolo_upgrade_candidate;manual_review_required;exclude_from_clean_shape_statistics;sar_posthoc_supported_dropout_case,true,true,true,true,true,true,true,current_frame_primary_target_missing,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_detection_dropout_temporal_sar_support_20260702_200455\detection_dropout_pages\detection_dropout_gm_rm017_gt308_of214_sar446_20260702_200455.png,,Propagation bbox is diagnostic only; not a final label or runtime prior.
GM_RM019,313,4,8,gm_rm019_00006,"0,333.834,60.884,499.289",false,false,0,0,0,10,,5,true,oty1t_obj_GM_RM019_bytetrack_bt_0005,true,bbox_size_continuity_with_truncation_variation,review_bbox_edge_truncated;none;visible_main_observation,one_sided_temporal_continuation_hypothesis,low_medium,prev_support_frames=0;next_support_frames=10;current_secondary=False;propagation=temporal_propagation_can_recover_review_target;software_sync_error_sar_frames=-0.333,nearest_next_support_copy,"0.341,334.168,95.64,521.336",0.558067,0.99239,temporal_propagation_can_recover_review_target,temporal_continuation_with_detection_dropout;yolo_upgrade_candidate;manual_review_required;exclude_from_clean_shape_statistics;sar_posthoc_supported_dropout_case,false,true,false,true,true,true,true,current_frame_primary_target_missing;current_frame_secondary_missing,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_detection_dropout_temporal_sar_support_20260702_200455\detection_dropout_pages\detection_dropout_gm_rm019_gt313_of4_sar8_20260702_200455.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\detection_dropout_temporal_sar_support\detection_dropout_temporal_sar_support_20260702_200455\detection_dropout_gm_rm019_gt313_of4_sar8_20260702_200455.png,Propagation bbox is diagnostic only; not a final label or runtime prior.
GM_RM019,321,42,88,gm_rm019_00057,"740.334,404.986,799.574,552.373",false,false,0,0,10,0,41,,true,oty1t_obj_GM_RM019_bytetrack_bt_0005,true,bbox_size_continuity_with_truncation_variation,review_bbox_edge_truncated;none;visible_main_observation,one_sided_temporal_continuation_hypothesis,low_medium,prev_support_frames=10;next_support_frames=0;current_secondary=False;propagation=temporal_propagation_can_recover_review_target;software_sync_error_sar_frames=0.5,nearest_previous_support_copy,"703.394,402.239,799.646,579.614",0.511419,1,temporal_propagation_can_recover_review_target,temporal_continuation_with_detection_dropout;yolo_upgrade_candidate;manual_review_required;exclude_from_clean_shape_statistics;sar_posthoc_supported_dropout_case,false,true,false,true,true,true,true,current_frame_primary_target_missing;current_frame_secondary_missing,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_detection_dropout_temporal_sar_support_20260702_200455\detection_dropout_pages\detection_dropout_gm_rm019_gt321_of42_sar88_20260702_200455.png,,Propagation bbox is diagnostic only; not a final label or runtime prior.
GM_RM019,322,97,202,gm_rm019_00129,"0,339.93,34.313,481.61",false,true,0,0.897788,0,10,,98,true,oty1t_obj_GM_RM019_bytetrack_bt_0080,true,bbox_size_changes_heavily_due_to_truncation_or_handoff,review_bbox_edge_truncated;none;partial_secondary_observation;visible_main_observation,temporal_continuation_with_detection_dropout,medium_high,prev_support_frames=0;next_support_frames=10;current_secondary=True;propagation=temporal_propagation_can_recover_review_target;software_sync_error_sar_frames=-0.083,nearest_next_support_copy,"0.323,304.164,58.818,493.422",0.433207,0.990578,temporal_propagation_can_recover_review_target,existence_recovered_by_temporal_continuation;temporal_continuation_with_detection_dropout;secondary_supported_truncated_same_vehicle;yolo_upgrade_candidate;manual_review_required;exclude_from_clean_shape_statistics;sar_posthoc_supported_dropout_case,true,true,true,true,true,true,true,current_frame_primary_target_missing,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_detection_dropout_temporal_sar_support_20260702_200455\detection_dropout_pages\detection_dropout_gm_rm019_gt322_of97_sar202_20260702_200455.png,,Propagation bbox is diagnostic only; not a final label or runtime prior.
GM_RM019,329,147,306,gm_rm019_00189,"0.067,373.819,30.53,505.03",false,false,0,0,1,9,145,149,true,oty1t_obj_GM_RM019_bytetrack_bt_0098,true,bbox_size_changes_heavily_due_to_truncation_or_handoff,review_bbox_edge_truncated;none;partial_secondary_observation;boundary_truncation_present;visible_main_observation,temporal_continuation_hypothesis_supported,medium,prev_support_frames=1;next_support_frames=9;current_secondary=False;propagation=temporal_propagation_can_recover_review_target;software_sync_error_sar_frames=-0.25,linear_interpolation_between_nearest_support_frames,"0.227,343.417,90.94,485.828",0.251025,0.84917,temporal_propagation_can_recover_review_target,temporal_continuation_with_detection_dropout;yolo_upgrade_candidate;manual_review_required;exclude_from_clean_shape_statistics;sar_posthoc_supported_dropout_case,false,true,false,true,true,true,true,current_frame_primary_target_missing;current_frame_secondary_missing,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_detection_dropout_temporal_sar_support_20260702_200455\detection_dropout_pages\detection_dropout_gm_rm019_gt329_of147_sar306_20260702_200455.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\detection_dropout_temporal_sar_support\detection_dropout_temporal_sar_support_20260702_200455\detection_dropout_gm_rm019_gt329_of147_sar306_20260702_200455.png,Propagation bbox is diagnostic only; not a final label or runtime prior.
