probe_id,sample_pool,scene,object_hypothesis_id,n_samples,optical_frame_span,sar_frame_span,optical_trajectory_signal,sar_gt_center_drift_signal,sar_peak_or_centroid_drift_signal,dropout_or_temporal_support,runtime_support_region_conversion,dynamic_model_need,limits,provenance_labels
D01,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,61,145-182,302-380,area=opposite_sign_consistent; height=same_sign_conflict; bottom_y=opposite_sign_consistent; center_az=same_sign_consistent,x_slope=6.346444; y_slope=0.001042,local_peak_drift_consistent_with_sar_gt_center_posthoc,not_dropout_pool,"Replace GT-crop peak/centroid drift with peak/centroid tracking inside C_o,1:T.",object_level_dynamic_model_needed,review-only/state-mixed object; keep as explanation evidence unless reviewed,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
D02,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,75,151-189,315-394,area=opposite_sign_consistent; height=opposite_sign_consistent; bottom_y=same_sign_conflict; center_az=same_sign_consistent,x_slope=6.791187; y_slope=0.092493,local_peak_drift_consistent_with_sar_gt_center_posthoc,not_dropout_pool,"Replace GT-crop peak/centroid drift with peak/centroid tracking inside C_o,1:T.",object_level_dynamic_model_needed,review-only/state-mixed object; keep as explanation evidence unless reviewed,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
D03,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,60,162-210,337-438,area=opposite_sign_consistent; height=opposite_sign_consistent; bottom_y=same_sign_conflict; center_az=same_sign_consistent,x_slope=6.79927; y_slope=-0.053651,local_peak_drift_consistent_with_sar_gt_center_posthoc,not_dropout_pool,"Replace GT-crop peak/centroid drift with peak/centroid tracking inside C_o,1:T.",object_level_dynamic_model_needed,review-only/state-mixed object; keep as explanation evidence unless reviewed,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
D04,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,3,184-212,383-442,area=same_sign_conflict; height=opposite_sign_consistent; bottom_y=opposite_sign_consistent; center_az=same_sign_consistent,x_slope=0.878312; y_slope=-2.301015,local_peak_drift_consistent_with_sar_gt_center_posthoc,not_dropout_pool,"Replace GT-crop peak/centroid drift with peak/centroid tracking inside C_o,1:T.",object_level_dynamic_model_needed,none_for_current_posthoc_report,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
D05,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,3,0-4,0-8,area=opposite_sign_consistent; height=opposite_sign_consistent; bottom_y=same_sign_conflict; center_az=same_sign_consistent,x_slope=2.418125; y_slope=-0.371625,local_peak_drift_partial_or_axis_weak_posthoc,not_dropout_pool,"Replace GT-crop peak/centroid drift with peak/centroid tracking inside C_o,1:T.",dynamic_model_plus_manual_review_needed,GM_RM019 state-mixed trajectory; review complete morphology frames,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
D06,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,4,13-39,27-81,area=opposite_sign_consistent; height=opposite_sign_consistent; bottom_y=opposite_sign_consistent; center_az=same_sign_consistent,x_slope=4.110343; y_slope=0.118125,local_peak_drift_partial_or_axis_weak_posthoc,not_dropout_pool,"Replace GT-crop peak/centroid drift with peak/centroid tracking inside C_o,1:T.",dynamic_model_plus_manual_review_needed,GM_RM019 low azimuth coverage; review object continuity and complete frames,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
D07,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0009,1,13,27,area=insufficient_temporal_pairs; height=insufficient_temporal_pairs; bottom_y=insufficient_temporal_pairs; center_az=insufficient_temporal_pairs,x_slope=; y_slope=,insufficient_sar_temporal_samples,not_dropout_pool,"Replace GT-crop peak/centroid drift with peak/centroid tracking inside C_o,1:T.",dynamic_model_plus_manual_review_needed,GM_RM019 sparse object; optical GT / identity review recommended,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
D08,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,6,102-139,212-290,area=same_sign_conflict; height=same_sign_conflict; bottom_y=opposite_sign_consistent; center_az=same_sign_consistent,x_slope=3.239466; y_slope=0.071828,local_peak_drift_consistent_with_sar_gt_center_posthoc,not_dropout_pool,"Replace GT-crop peak/centroid drift with peak/centroid tracking inside C_o,1:T.",dynamic_model_plus_manual_review_needed,GM_RM019 low azimuth coverage; review object continuity and complete frames,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
D09,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,2,151-152,315-317,area=opposite_sign_consistent; height=opposite_sign_consistent; bottom_y=opposite_sign_consistent; center_az=same_sign_consistent,x_slope=4.555; y_slope=0.35,insufficient_sar_temporal_samples,not_dropout_pool,"Replace GT-crop peak/centroid drift with peak/centroid tracking inside C_o,1:T.",dynamic_model_plus_manual_review_needed,GM_RM019 sparse object; optical GT / identity review recommended,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
D_dropout,detection_dropout_temporal_continuation,GM_RM017=6;GM_RM019=6,,12,4-214,8-446,optical temporal continuation supports existence despite current-frame dropout,not_object_track_drift,dropout_pool_temporal_existence_support_not_clean_morphology,temporal_continuation=12/12; sar_posthoc_support=12/12,Use optical continuation tube plus SAR support-region persistence; keep out of clean morphology.,special_pool_dynamic_existence_model_needed,manual review required; propagation boxes diagnostic only,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;manual_or_review_anchor;hypothesis_to_validate
D_sar_only,sar_only_gt_reference,GM_RM017=11;GM_RM011=6;GM_RM019=3,,20,,0-438,none,SAR morphology reference only,sar_only_reference_not_optical_correspondence,no optical object counterpart,Use only to design SAR observation descriptors.,not_optical_sar_dynamic_correspondence,excluded from optical-SAR correspondence,SAR_image_observation;SAR_GT_posthoc_evidence
