sample_role,scene,object_hypothesis_id,sar_gt_id,sar_frame,vehicle_research_eligibility,azimuth_prior_contains_gt,vehicle_size_shell_contains_gt,range_shell_contains_gt,local_visualization_path,repo_sample_visualization_path
仅审阅车辆后验样本,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,95,302,review_only_vehicle,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0008_sar000302_95_20260702_190435.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\gt_correspondence_mechanism_visualizations\gt_mechanism_20260702_190435\oty2_gt_mechanism_review_only_gm_rm017_0008_sar000302_95_20260702_190435.png
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,98,310,review_only_vehicle,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0008_sar000310_98_20260702_190435.png,
弱车覆盖样本,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,99,315,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000315_99_20260702_190435.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\gt_correspondence_mechanism_visualizations\gt_mechanism_20260702_190435\oty2_gt_mechanism_weak_vehicle_covered_gm_rm017_0010_sar000315_99_20260702_190435.png
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,100,315,review_only_vehicle,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0008_sar000315_100_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,101,317,review_only_vehicle,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0008_sar000317_101_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,102,317,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000317_102_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,103,319,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000319_103_20260702_190435.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,104,319,review_only_vehicle,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0008_sar000319_104_20260702_190435.png,
范围壳失败样本,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,105,321,review_only_vehicle,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0008_sar000321_105_20260702_190435.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\gt_correspondence_mechanism_visualizations\gt_mechanism_20260702_190435\oty2_gt_mechanism_range_shell_fail_gm_rm017_0008_sar000321_105_20260702_190435.png
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,106,321,weak_vehicle_layer,true,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_gt_correspondence_mechanism_audit_20260702_190435\gt_mechanism_pages\oty2_gt_mechanism_gm_rm017_0010_sar000321_106_20260702_190435.png,
