review_id,gt_id,case_id,scene,sar_frame,pool_type,gt_quality_label,image_available,gt_crop_primary_coordinate_frame,gt_local_width_px,gt_local_height_px,ridge_like_energy_band,ridge_band_mean,ridge_band_occupancy,opposite_side,weak_opposite_side_return,weak_opposite_side_mean,endpoint_hotspot_count,endpoint_hotspot_summary,boundary_occupancy,vehicle_scale_shell_contour,shell_contour_span_x_ratio,shell_contour_span_y_ratio,support_internal_components_drawn,small_component_boxes_drawn_as_shell,posthoc_only,notes
R0001,10,GTREF_GM_RM011_s5_10,GM_RM011,5,gm011_waiting_object_stream,review_too_small,yes,yes,132,63,upper,0.3737,0.2189,lower,yes,0.3522,0,,0.1365,yes,0.6439,0.6508,no,no,yes,"Corrected GT-local field: no support-internal components, no small component boxes, no final box. largest GT-local energy contour spans vehicle-scale crop extent"
R0002,12,GTREF_GM_RM011_s6_12,GM_RM011,6,gm011_waiting_object_stream,review_too_small,yes,yes,134,63,upper,0.3727,0.2433,lower,yes,0.3374,0,,0.1351,yes,0.6418,0.5714,no,no,yes,"Corrected GT-local field: no support-internal components, no small component boxes, no final box. largest GT-local energy contour spans vehicle-scale crop extent"
R0003,132,GTREF_PAIRED_GM_RM017_s338_132,GM_RM017,338,paired_215,review_too_small,yes,yes,148,63,upper,0.5078,0.5561,lower,uncertain,0.1384,6,"x=30.9,y=3.7,e=0.96;x=31,y=11.5,e=0.94;x=27.7,y=8.2,e=0.92;x=22.8,y=12.6,e=0.92",0.2076,yes,0.9865,0.4921,no,no,yes,"Corrected GT-local field: no support-internal components, no small component boxes, no final box. largest GT-local energy contour spans vehicle-scale crop extent"
R0004,18,GTREF_GM_RM011_s10_18,GM_RM011,10,gm011_waiting_object_stream,review_too_small,yes,yes,130,63,lower,0.4409,0.3485,upper,uncertain,0.2807,1,"x=108.7,y=51.7,e=0.97",0.1262,yes,0.6846,0.5079,no,no,yes,"Corrected GT-local field: no support-internal components, no small component boxes, no final box. largest GT-local energy contour spans vehicle-scale crop extent"
R0005,217,GTREF_PAIRED_GM_RM017_s366_217,GM_RM017,366,paired_215,review_too_large,yes,yes,183,84,lower,0.3254,0.2888,upper,uncertain,0.0986,2,"x=31,y=65.5,e=0.92;x=37,y=67.5,e=0.9",0.107,yes,0.9617,0.5833,no,no,yes,"Corrected GT-local field: no support-internal components, no small component boxes, no final box. largest GT-local energy contour spans vehicle-scale crop extent"
R0006,255,GTREF_PAIRED_GM_RM017_s379_255,GM_RM017,379,paired_215,review_too_large,yes,yes,176,90,upper,0.3256,0.3681,lower,uncertain,0.1309,6,"x=24.2,y=12.2,e=0.93;x=139,y=20,e=0.82;x=9,y=13.5,e=0.8;x=38,y=20.5,e=0.78",0.1698,yes,0.9375,0.4778,no,no,yes,"Corrected GT-local field: no support-internal components, no small component boxes, no final box. largest GT-local energy contour spans vehicle-scale crop extent"
R0007,282,GTREF_PAIRED_GM_RM017_s388_282,GM_RM017,388,paired_215,review_too_large,yes,yes,193,83,upper,0.3618,0.2834,lower,uncertain,0.2185,6,"x=156.9,y=11.6,e=0.98;x=190.2,y=77.9,e=0.97;x=169.9,y=10.8,e=0.96;x=25.3,y=15.6,e=0.96",0.1672,yes,0.9223,0.6265,no,no,yes,"Corrected GT-local field: no support-internal components, no small component boxes, no final box. largest GT-local energy contour spans vehicle-scale crop extent"
R0008,303,GTREF_PAIRED_GM_RM017_s429_303,GM_RM017,429,paired_215,review_too_large,yes,yes,198,86,upper,0.3987,0.3149,lower,uncertain,0.2057,6,"x=174.7,y=27.7,e=0.96;x=159.7,y=10.3,e=0.96;x=35.2,y=8.9,e=0.96;x=175.8,y=16.3,e=0.95",0.1791,yes,0.9293,0.7326,no,no,yes,"Corrected GT-local field: no support-internal components, no small component boxes, no final box. largest GT-local energy contour spans vehicle-scale crop extent"
R0009,123,GTREF_PAIRED_GM_RM017_s334_123,GM_RM017,334,paired_215,review_extreme_aspect,yes,yes,163,64,lower,0.4563,0.5736,upper,uncertain,0.1257,5,"x=141.3,y=55.6,e=0.93;x=32.2,y=58.4,e=0.91;x=151,y=37.1,e=0.84;x=153.5,y=46.5,e=0.84",0.2253,yes,0.9264,0.5625,no,no,yes,"Corrected GT-local field: no support-internal components, no small component boxes, no final box. largest GT-local energy contour spans vehicle-scale crop extent"
R0010,236,GTREF_PAIRED_GM_RM017_s372_236,GM_RM017,372,paired_215,review_extreme_aspect,yes,yes,195,70,lower,0.4239,0.4942,upper,yes,0.1782,6,"x=157,y=65.1,e=0.95;x=32.1,y=59.4,e=0.86;x=162.5,y=62,e=0.81;x=166.3,y=64.3,e=0.8",0.1956,yes,0.959,0.4714,no,no,yes,"Corrected GT-local field: no support-internal components, no small component boxes, no final box. largest GT-local energy contour spans vehicle-scale crop extent"
