scene,sar_gt_id,sar_frame,target_identity,optical_frame,gt_source_type,is_sar_only,has_review_optical_bbox,has_oty_object_frame,has_oty_object_hypothesis,matched_object_hypothesis_id,match_status,skip_reason,usable_for_optical_sar_correspondence,usable_for_sar_only_morphology,usable_after_gm011_object_stream_built,needs_matching_triage,best_oty_iou,best_oty_object_hypothesis_id,oty_frame_candidate_count,review_optical_bbox,gt_box,optical_path,sar_pseudocolor_path,notes
GM_RM011,336,0,GM_RM011|000000.png|000000.png|1|O1:car:0.95,0,optical_review_linked_gt,false,true,false,false,,blocked_missing_gm011_object_stream,gm_rm011_has_sar_gt_and_review_optical_bbox_but_no_current_oty_object_frame,false,true,true,false,0,,0,"1.669,291.281,644.477,599.315",cx=1140.347;cy=1244.238;w=136.103;h=69.358;heading=-12,D:\profile\research\data\GM_RM011\GM_RM011_frames\000000.png,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000000.png,"GM_RM011 has SAR GT and review optical bbox, but current OTY object stream has no frame-level object rows for this scene."
GM_RM011,2,0,GM_RM011|000000.png|000000.png|2|O2:car:0.87,0,optical_review_linked_gt,false,true,false,false,,blocked_missing_gm011_object_stream,gm_rm011_has_sar_gt_and_review_optical_bbox_but_no_current_oty_object_frame,false,true,true,false,0,,0,"710.731,319.801,799.548,509.427",cx=1272.217;cy=1152.23;w=145.119;h=70.695;heading=48,D:\profile\research\data\GM_RM011\GM_RM011_frames\000000.png,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000000.png,"GM_RM011 has SAR GT and review optical bbox, but current OTY object stream has no frame-level object rows for this scene."
GM_RM011,3,1,GM_RM011|000001.png|000000.png|1|O1:car:0.95,0,optical_review_linked_gt,false,true,false,false,,blocked_missing_gm011_object_stream,gm_rm011_has_sar_gt_and_review_optical_bbox_but_no_current_oty_object_frame,false,true,true,false,0,,0,"1.669,291.281,644.477,599.315",cx=1146.642;cy=1243.802;w=143.942;h=75.44;heading=-8,D:\profile\research\data\GM_RM011\GM_RM011_frames\000000.png,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000001.png,"GM_RM011 has SAR GT and review optical bbox, but current OTY object stream has no frame-level object rows for this scene."
GM_RM011,4,1,GM_RM011|000001.png|000000.png|2|O2:car:0.87,0,optical_review_linked_gt,false,true,false,false,,blocked_missing_gm011_object_stream,gm_rm011_has_sar_gt_and_review_optical_bbox_but_no_current_oty_object_frame,false,true,true,false,0,,0,"710.731,319.801,799.548,509.427",cx=1282.522;cy=1152.115;w=80.74;h=149.827;heading=-40,D:\profile\research\data\GM_RM011\GM_RM011_frames\000000.png,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000001.png,"GM_RM011 has SAR GT and review optical bbox, but current OTY object stream has no frame-level object rows for this scene."
GM_RM011,336,2,GM_RM011|000002.png|000001.png|1|O1:car:0.96,1,optical_review_linked_gt,false,true,false,false,,blocked_missing_gm011_object_stream,gm_rm011_has_sar_gt_and_review_optical_bbox_but_no_current_oty_object_frame,false,true,true,false,0,,0,"1.679,289.085,699.715,598.995",cx=1148.642;cy=1241.802;w=143.942;h=75.44;heading=-8,D:\profile\research\data\GM_RM011\GM_RM011_frames\000001.png,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000002.png,"GM_RM011 has SAR GT and review optical bbox, but current OTY object stream has no frame-level object rows for this scene."
GM_RM011,5,2,GM_RM011|000002.png|000001.png|2|O2:car:0.86,1,optical_review_linked_gt,false,true,false,false,,blocked_missing_gm011_object_stream,gm_rm011_has_sar_gt_and_review_optical_bbox_but_no_current_oty_object_frame,false,true,true,false,0,,0,"734.415,337.671,799.555,501.97",cx=1286.522;cy=1150.115;w=78.74;h=147.827;heading=-30,D:\profile\research\data\GM_RM011\GM_RM011_frames\000001.png,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000002.png,"GM_RM011 has SAR GT and review optical bbox, but current OTY object stream has no frame-level object rows for this scene."
GM_RM011,6,3,GM_RM011|000003.png|000001.png|1|O1:car:0.96,1,optical_review_linked_gt,false,true,false,false,,blocked_missing_gm011_object_stream,gm_rm011_has_sar_gt_and_review_optical_bbox_but_no_current_oty_object_frame,false,true,true,false,0,,0,"1.679,289.085,699.715,598.995",cx=1150.642;cy=1246.802;w=133.942;h=65.44;heading=0,D:\profile\research\data\GM_RM011\GM_RM011_frames\000001.png,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000003.png,"GM_RM011 has SAR GT and review optical bbox, but current OTY object stream has no frame-level object rows for this scene."
GM_RM011,7,3,GM_RM011|000003.png|000001.png|2|O2:car:0.86,1,optical_review_linked_gt,false,true,false,false,,blocked_missing_gm011_object_stream,gm_rm011_has_sar_gt_and_review_optical_bbox_but_no_current_oty_object_frame,false,true,true,false,0,,0,"734.415,337.671,799.555,501.97",cx=1292.522;cy=1152.115;w=74.74;h=143.827;heading=-30,D:\profile\research\data\GM_RM011\GM_RM011_frames\000001.png,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000003.png,"GM_RM011 has SAR GT and review optical bbox, but current OTY object stream has no frame-level object rows for this scene."
GM_RM011,8,4,GM_RM011|000004.png|000002.png|1|O1:car:0.96,2,optical_review_linked_gt,false,true,false,false,,blocked_missing_gm011_object_stream,gm_rm011_has_sar_gt_and_review_optical_bbox_but_no_current_oty_object_frame,false,true,true,false,0,,0,"2.379,278.506,729.62,599.001",cx=1151.642;cy=1247.802;w=133.942;h=65.44;heading=3,D:\profile\research\data\GM_RM011\GM_RM011_frames\000002.png,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000004.png,"GM_RM011 has SAR GT and review optical bbox, but current OTY object stream has no frame-level object rows for this scene."
GM_RM011,9,4,GM_RM011|000004.png|000002.png|2|O2:car:0.81,2,optical_review_linked_gt,false,true,false,false,,blocked_missing_gm011_object_stream,gm_rm011_has_sar_gt_and_review_optical_bbox_but_no_current_oty_object_frame,false,true,true,false,0,,0,"744.312,339.301,799.566,486.081",cx=1294.522;cy=1151.115;w=78.74;h=147.827;heading=-30,D:\profile\research\data\GM_RM011\GM_RM011_frames\000002.png,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000004.png,"GM_RM011 has SAR GT and review optical bbox, but current OTY object stream has no frame-level object rows for this scene."
