scene,sar_gt_id,sar_frame,target_identity,optical_frame,review_optical_bbox,review_bbox_width,review_bbox_height,review_bbox_area_ratio,review_bbox_edge_contact,oty_frame_candidate_count,oty_primary_candidate_count,oty_frame_candidate_ids,best_primary_iou,best_primary_object_hypothesis_id,best_primary_det_id,best_primary_bbox,best_primary_center_dx,best_primary_center_dy,best_primary_center_distance_px,best_primary_size_ratio,best_secondary_iou,best_secondary_object_hypothesis_id,best_secondary_det_id,best_secondary_bbox,best_secondary_center_dx,best_secondary_center_dy,best_secondary_center_distance_px,neighbor_best_iou,neighbor_best_frame_delta,neighbor_best_match_type,neighbor_best_object_hypothesis_id,neighbor_best_bbox,temporal_expected_sar_frame_raw,temporal_error_sar_frames,temporal_alignment_status,position_difference_summary,size_distance_status,oty_stream_status,track_context_status,primary_secondary_consistency_status,triage_reason,recommendation,include_as_weak_correspondence_candidate,needs_manual_review,exclude_from_current_mechanism_sample,local_visualization_path,repo_sample_visualization_path,notes
GM_RM017,97,310,gm_rm017_00016,149,"0.102,315.387,18.4,334.214",18.298,18.827,0.000718,true,4,2,oty1t_obj_GM_RM017_bytetrack_bt_0001;oty1t_obj_GM_RM017_bytetrack_bt_0008;oty1t_obj_GM_RM017_bytetrack_bt_0010;oty1t_obj_GM_RM017_bytetrack_bt_0012,0.018733,oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017_000149_002,"0.177,318.947,166.76,407.702",74.217,38.524,83.62,42.9181,0.918612,oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017_000149_003,"0.06,315.62,19.01,334.94",0.284,0.479,0.557,0.312833,1,secondary,oty1t_obj_GM_RM017_bytetrack_bt_0008,"0.1,311.99,34.47,344.03",310.4167,-0.4167,software_sync_24_to_50_ratio_consistent_no_temporal_misalignment,partial_overlap_primary_iou_below_gate_dx=74.2_dy=38.5_dist=83.6,unresolved_tiny_or_far_small_review_box_edge_contact,review_target_present_as_secondary_observation_not_primary,candidate_object=oty1t_obj_GM_RM017_bytetrack_bt_0008;track=bt_0008;frames=145-200;stability=ambiguous_main_track;review_required=True;secondary_role=mixed_secondary_observations;duplicate=True;partial=True,secondary_bbox_matches_review_bbox_primary_gate_missed,primary_secondary_observation_mismatch,需要人工审阅；可作为 secondary-supported weak correspondence 候选，不应直接进 primary-only paired 子集。,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_no_oty_iou_match_triage_20260702_194129\no_oty_iou_match_pages\no_oty_iou_match_gm_rm017_gt97_of149_sar310_20260702_194129.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\no_oty_iou_match_triage\no_oty_iou_match_triage_20260702_194129\no_oty_iou_match_gm_rm017_gt97_of149_sar310_20260702_194129.png,"small triage only; does not alter accounting, runtime priors, thresholds, or identity truth."
GM_RM017,263,381,gm_rm017_00107,183,"723.566,317.239,799.71,382.68",76.144,65.441,0.010381,true,4,2,oty1t_obj_GM_RM017_bytetrack_bt_0008;oty1t_obj_GM_RM017_bytetrack_bt_0010;oty1t_obj_GM_RM017_bytetrack_bt_0012;oty1t_obj_GM_RM017_bytetrack_bt_0014,0,oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017_000183_001,"416.3,282.014,663.058,385.827",-221.959,-16.039,222.538,5.1409,0.961969,oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017_000183_003,"723.66,318.8,799.71,381.83",0.047,0.356,0.359,0.571638,1,primary,oty1t_obj_GM_RM017_bytetrack_bt_0014,"751.277,320.074,799.701,378.897",381.25,-0.25,software_sync_24_to_50_ratio_consistent_no_temporal_misalignment,no_overlap_primary_center_gap_dx=-222_dy=-16_dist=222.5,resolvable_review_box_edge_contact,review_target_present_as_secondary_observation_not_primary,candidate_object=oty1t_obj_GM_RM017_bytetrack_bt_0010;track=bt_0010;frames=143-214;stability=stable_main_track;review_required=True;secondary_role=mixed_secondary_observations;duplicate=True;partial=True,secondary_bbox_matches_review_bbox_primary_gate_missed,primary_secondary_observation_mismatch,需要人工审阅；可作为 secondary-supported weak correspondence 候选，不应直接进 primary-only paired 子集。,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_no_oty_iou_match_triage_20260702_194129\no_oty_iou_match_pages\no_oty_iou_match_gm_rm017_gt263_of183_sar381_20260702_194129.png,,"small triage only; does not alter accounting, runtime priors, thresholds, or identity truth."
GM_RM017,266,382,gm17supp_000183_000382_det3,183,"723.568,317.239,799.711,382.683",76.143,65.444,0.010381,true,4,2,oty1t_obj_GM_RM017_bytetrack_bt_0008;oty1t_obj_GM_RM017_bytetrack_bt_0010;oty1t_obj_GM_RM017_bytetrack_bt_0012;oty1t_obj_GM_RM017_bytetrack_bt_0014,0,oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017_000183_001,"416.3,282.014,663.058,385.827",-221.961,-16.04,222.539,5.1408,0.961937,oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017_000183_003,"723.66,318.8,799.71,381.83",0.045,0.354,0.357,0.571619,1,primary,oty1t_obj_GM_RM017_bytetrack_bt_0014,"751.277,320.074,799.701,378.897",381.25,0.75,software_sync_24_to_50_ratio_consistent_no_temporal_misalignment,no_overlap_primary_center_gap_dx=-222_dy=-16_dist=222.5,resolvable_review_box_edge_contact,review_target_present_as_secondary_observation_not_primary,candidate_object=oty1t_obj_GM_RM017_bytetrack_bt_0010;track=bt_0010;frames=143-214;stability=stable_main_track;review_required=True;secondary_role=mixed_secondary_observations;duplicate=True;partial=True,secondary_bbox_matches_review_bbox_primary_gate_missed,primary_secondary_observation_mismatch,需要人工审阅；可作为 secondary-supported weak correspondence 候选，不应直接进 primary-only paired 子集。,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_no_oty_iou_match_triage_20260702_194129\no_oty_iou_match_pages\no_oty_iou_match_gm_rm017_gt266_of183_sar382_20260702_194129.png,,"small triage only; does not alter accounting, runtime priors, thresholds, or identity truth."
GM_RM017,275,385,gm_rm017_00113,185,"778.198,321.015,799.655,366.693",21.457,45.678,0.002042,true,4,2,oty1t_obj_GM_RM017_bytetrack_bt_0008;oty1t_obj_GM_RM017_bytetrack_bt_0010;oty1t_obj_GM_RM017_bytetrack_bt_0012;oty1t_obj_GM_RM017_bytetrack_bt_0014,0,oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017_000185_001,"457.582,276.637,709.499,382.142",-205.386,-14.464,205.895,27.1177,0.938827,oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017_000185_003,"777.56,320.36,799.8,366.08",-0.247,-0.634,0.68,0.344088,-1,primary,oty1t_obj_GM_RM017_bytetrack_bt_0014,"751.277,320.074,799.701,378.897",385.4167,-0.4167,software_sync_24_to_50_ratio_consistent_no_temporal_misalignment,no_overlap_primary_center_gap_dx=-205.4_dy=-14.5_dist=205.9,unresolved_tiny_or_far_small_review_box_edge_contact,review_target_present_as_secondary_observation_not_primary,candidate_object=oty1t_obj_GM_RM017_bytetrack_bt_0010;track=bt_0010;frames=143-214;stability=stable_main_track;review_required=True;secondary_role=mixed_secondary_observations;duplicate=True;partial=True,secondary_bbox_matches_review_bbox_primary_gate_missed,primary_secondary_observation_mismatch,需要人工审阅；可作为 secondary-supported weak correspondence 候选，不应直接进 primary-only paired 子集。,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_no_oty_iou_match_triage_20260702_194129\no_oty_iou_match_pages\no_oty_iou_match_gm_rm017_gt275_of185_sar385_20260702_194129.png,,"small triage only; does not alter accounting, runtime priors, thresholds, or identity truth."
GM_RM017,278,386,gm17supp_000185_000386_det3,185,"778.199,321.016,799.656,366.696",21.457,45.68,0.002042,true,4,2,oty1t_obj_GM_RM017_bytetrack_bt_0008;oty1t_obj_GM_RM017_bytetrack_bt_0010;oty1t_obj_GM_RM017_bytetrack_bt_0012;oty1t_obj_GM_RM017_bytetrack_bt_0014,0,oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017_000185_001,"457.582,276.637,709.499,382.142",-205.387,-14.466,205.896,27.1165,0.938747,oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017_000185_003,"777.56,320.36,799.8,366.08",-0.248,-0.636,0.682,0.344103,-1,primary,oty1t_obj_GM_RM017_bytetrack_bt_0014,"751.277,320.074,799.701,378.897",385.4167,0.5833,software_sync_24_to_50_ratio_consistent_no_temporal_misalignment,no_overlap_primary_center_gap_dx=-205.4_dy=-14.5_dist=205.9,unresolved_tiny_or_far_small_review_box_edge_contact,review_target_present_as_secondary_observation_not_primary,candidate_object=oty1t_obj_GM_RM017_bytetrack_bt_0010;track=bt_0010;frames=143-214;stability=stable_main_track;review_required=True;secondary_role=mixed_secondary_observations;duplicate=True;partial=True,secondary_bbox_matches_review_bbox_primary_gate_missed,primary_secondary_observation_mismatch,需要人工审阅；可作为 secondary-supported weak correspondence 候选，不应直接进 primary-only paired 子集。,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_no_oty_iou_match_triage_20260702_194129\no_oty_iou_match_pages\no_oty_iou_match_gm_rm017_gt278_of185_sar386_20260702_194129.png,,"small triage only; does not alter accounting, runtime priors, thresholds, or identity truth."
GM_RM017,308,446,gm_rm017_00157,214,"782.382,318.251,799.634,349.376",17.252,31.125,0.001119,true,1,0,oty1t_obj_GM_RM017_bytetrack_bt_0010,0,,,,,,,,0.824701,oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017_000214_001,"783.97,319.05,799.7,351.73",0.827,1.577,1.78,0.333748,-1,primary,oty1t_obj_GM_RM017_bytetrack_bt_0014,"761.766,315.457,799.705,357.865",445.8333,0.1667,software_sync_24_to_50_ratio_consistent_no_temporal_misalignment,no_primary_bbox_available_on_same_frame,unresolved_tiny_or_far_small_review_box_edge_contact,review_target_present_as_secondary_observation_not_primary,candidate_object=oty1t_obj_GM_RM017_bytetrack_bt_0010;track=bt_0010;frames=143-214;stability=stable_main_track;review_required=True;secondary_role=mixed_secondary_observations;duplicate=True;partial=True,secondary_bbox_matches_review_bbox_primary_gate_missed,primary_secondary_observation_mismatch,需要人工审阅；可作为 secondary-supported weak correspondence 候选，不应直接进 primary-only paired 子集。,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_no_oty_iou_match_triage_20260702_194129\no_oty_iou_match_pages\no_oty_iou_match_gm_rm017_gt308_of214_sar446_20260702_194129.png,,"small triage only; does not alter accounting, runtime priors, thresholds, or identity truth."
GM_RM019,313,8,gm_rm019_00006,4,"0,333.834,60.884,499.289",60.884,165.455,0.020987,true,3,1,oty1t_obj_GM_RM019_bytetrack_bt_0001;oty1t_obj_GM_RM019_bytetrack_bt_0002;oty1t_obj_GM_RM019_bytetrack_bt_0009,0,oty1t_obj_GM_RM019_bytetrack_bt_0001,GM_RM019_000004_001,"285.192,374.535,799.344,594.957",511.826,68.184,516.348,11.2503,0,,,,,,,0.558067,1,primary,oty1t_obj_GM_RM019_bytetrack_bt_0005,"0.341,334.168,95.64,521.336",8.3333,-0.3333,software_sync_24_to_50_ratio_consistent_no_temporal_misalignment,no_overlap_primary_center_gap_dx=511.8_dy=68.2_dist=516.3,resolvable_review_box_edge_contact,nearby_frame_has_better_oty_support_current_frame_failed,candidate_object=oty1t_obj_GM_RM019_bytetrack_bt_0001;track=bt_0001;frames=0-11;stability=ambiguous_main_track;review_required=True;secondary_role=wide_unstable_observation;duplicate=False;partial=True,neighbor_frame_support_current_frame_no_match,possible_optical_frame_offset_or_track_gap,需要人工审阅相邻帧；先不要进入当前机制样本，除非确认帧号或对象流断裂。,false,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_no_oty_iou_match_triage_20260702_194129\no_oty_iou_match_pages\no_oty_iou_match_gm_rm019_gt313_of4_sar8_20260702_194129.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\no_oty_iou_match_triage\no_oty_iou_match_triage_20260702_194129\no_oty_iou_match_gm_rm019_gt313_of4_sar8_20260702_194129.png,"small triage only; does not alter accounting, runtime priors, thresholds, or identity truth."
GM_RM019,321,88,gm_rm019_00057,42,"740.334,404.986,799.574,552.373",59.24,147.387,0.01819,true,6,1,oty1t_obj_GM_RM019_bytetrack_bt_0024;oty1t_obj_GM_RM019_bytetrack_bt_0029;oty1t_obj_GM_RM019_bytetrack_bt_0036;oty1t_obj_GM_RM019_bytetrack_bt_0042;oty1t_obj_GM_RM019_bytetrack_bt_0053;oty1t_obj_GM_RM019_bytetrack_bt_0069,0,oty1t_obj_GM_RM019_bytetrack_bt_0024,GM_RM019_000042_002,"124.041,332.708,171.094,357.684",-622.386,-133.483,636.54,0.1346,0,,,,,,,0.511419,-1,primary,oty1t_obj_GM_RM019_bytetrack_bt_0005,"703.394,402.239,799.646,579.614",87.5,0.5,software_sync_24_to_50_ratio_consistent_no_temporal_misalignment,no_overlap_primary_center_gap_dx=-622.4_dy=-133.5_dist=636.5,resolvable_review_box_edge_contact,nearby_frame_has_better_oty_support_current_frame_failed,candidate_object=oty1t_obj_GM_RM019_bytetrack_bt_0024;track=bt_0024;frames=37-52;stability=short_main_track;review_required=True;secondary_role=partial_observation;duplicate=False;partial=False,neighbor_frame_support_current_frame_no_match,possible_optical_frame_offset_or_track_gap,需要人工审阅相邻帧；先不要进入当前机制样本，除非确认帧号或对象流断裂。,false,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_no_oty_iou_match_triage_20260702_194129\no_oty_iou_match_pages\no_oty_iou_match_gm_rm019_gt321_of42_sar88_20260702_194129.png,,"small triage only; does not alter accounting, runtime priors, thresholds, or identity truth."
GM_RM019,322,202,gm_rm019_00129,97,"0,339.93,34.313,481.61",34.313,141.68,0.010128,true,3,1,oty1t_obj_GM_RM019_bytetrack_bt_0069;oty1t_obj_GM_RM019_bytetrack_bt_0073;oty1t_obj_GM_RM019_bytetrack_bt_0093,0,oty1t_obj_GM_RM019_bytetrack_bt_0069,GM_RM019_000097_002,"608.425,324.616,637.48,351.944",605.796,-72.49,610.118,0.1633,0.897788,oty1t_obj_GM_RM019_bytetrack_bt_0093,GM_RM019_000097_001,"0.12,345.44,33.45,476.39",-0.372,0.145,0.399,0.433207,1,primary,oty1t_obj_GM_RM019_bytetrack_bt_0080,"0.323,304.164,58.818,493.422",202.0833,-0.0833,software_sync_24_to_50_ratio_consistent_no_temporal_misalignment,no_overlap_primary_center_gap_dx=605.8_dy=-72.5_dist=610.1,low_resolvable_far_or_small_review_box_edge_contact,review_target_present_as_secondary_observation_not_primary,candidate_object=oty1t_obj_GM_RM019_bytetrack_bt_0093;track=bt_0093;frames=97-141;stability=ambiguous_main_track;review_required=True;secondary_role=edge_truncated_observation;duplicate=False;partial=True,secondary_bbox_matches_review_bbox_primary_gate_missed,primary_secondary_observation_mismatch,需要人工审阅；可作为 secondary-supported weak correspondence 候选，不应直接进 primary-only paired 子集。,true,true,false,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_no_oty_iou_match_triage_20260702_194129\no_oty_iou_match_pages\no_oty_iou_match_gm_rm019_gt322_of97_sar202_20260702_194129.png,,"small triage only; does not alter accounting, runtime priors, thresholds, or identity truth."
GM_RM019,329,306,gm_rm019_00189,147,"0.067,373.819,30.53,505.03",30.463,131.211,0.008327,true,1,0,oty1t_obj_GM_RM019_bytetrack_bt_0098,0,,,,,,,,0,,,,,,,0.20592,-2,secondary,oty1t_obj_GM_RM019_bytetrack_bt_0098,"0.03,359.89,87.81,431.42",306.25,-0.25,software_sync_24_to_50_ratio_consistent_no_temporal_misalignment,no_primary_bbox_available_on_same_frame,low_resolvable_far_or_small_review_box_edge_contact,nearby_frame_has_better_oty_support_current_frame_failed,no_candidate_track_context_for_review_target,neighbor_frame_support_current_frame_no_match,possible_optical_frame_offset_or_track_gap,需要人工审阅相邻帧；先不要进入当前机制样本，除非确认帧号或对象流断裂。,false,true,true,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_no_oty_iou_match_triage_20260702_194129\no_oty_iou_match_pages\no_oty_iou_match_gm_rm019_gt329_of147_sar306_20260702_194129.png,,"small triage only; does not alter accounting, runtime priors, thresholds, or identity truth."
