scene,object_hypothesis_id,optical_start_frame,optical_end_frame,optical_frame_count,optical_start_time_sec,optical_end_time_sec,sar_start_raw,sar_end_raw,sar_start_frame,sar_end_frame,sar_window_frame_count,optical_fps,sar_fps,fps_ratio,sync_mode,offset_seconds,software_sync_jitter_ms,padding_sar_frames,padding_reason,object_state_category,uses_primary_observations,uses_secondary_observations,readiness_status,confidence_status,blockers,notes
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0001,118,164,47,4.916667,6.875000,245.833333,343.750000,242,347,106,24,50,2.083333,software_sync_zero_offset_assumption,0,20,3,base_rounding_padding=1;software_sync_jitter_padding=1;stable_primary_padding=1,stable_primary_continuity,true,false,ready_primary_sar_temporal_window,software_sync_with_small_padding,,sar_frame_mapping_uses_optical_time_times_50_not_optical_frame_times_2;no_sar_image_content_or_spatial_search_used
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0002,121,129,9,5.041667,5.416667,252.083333,270.833333,249,274,26,24,50,2.083333,software_sync_zero_offset_assumption,0,20,3,base_rounding_padding=1;software_sync_jitter_padding=1;stable_primary_padding=1,stable_primary_continuity,true,false,ready_primary_sar_temporal_window,software_sync_with_small_padding,,sar_frame_mapping_uses_optical_time_times_50_not_optical_frame_times_2;no_sar_image_content_or_spatial_search_used
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,145,200,56,6.041667,8.375000,302.083333,418.750000,297,424,128,24,50,2.083333,software_sync_zero_offset_assumption,0,20,5,base_rounding_padding=1;software_sync_jitter_padding=1;ambiguous_review_padding=3,ambiguous_review_required,true,true,low_confidence_sar_temporal_window,software_sync_low_confidence_review_window,,sar_frame_mapping_uses_optical_time_times_50_not_optical_frame_times_2;no_sar_image_content_or_spatial_search_used
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,143,214,72,5.958333,8.958333,297.916667,447.916667,293,452,160,24,50,2.083333,software_sync_zero_offset_assumption,0,20,4,base_rounding_padding=1;software_sync_jitter_padding=1;secondary_or_edge_handoff_padding=2,secondary_edge_handoff_uncertainty,true,true,ready_uncertainty_expanded_sar_temporal_window,software_sync_with_uncertainty_padding,,sar_frame_mapping_uses_optical_time_times_50_not_optical_frame_times_2;no_sar_image_content_or_spatial_search_used
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,149,210,62,6.208333,8.791667,310.416667,439.583333,306,444,139,24,50,2.083333,software_sync_zero_offset_assumption,0,20,4,base_rounding_padding=1;software_sync_jitter_padding=1;secondary_or_edge_handoff_padding=2,secondary_edge_handoff_uncertainty,true,true,ready_uncertainty_expanded_sar_temporal_window,software_sync_with_uncertainty_padding,,sar_frame_mapping_uses_optical_time_times_50_not_optical_frame_times_2;no_sar_image_content_or_spatial_search_used
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,152,213,62,6.333333,8.916667,316.666667,445.833333,312,450,139,24,50,2.083333,software_sync_zero_offset_assumption,0,20,4,base_rounding_padding=1;software_sync_jitter_padding=1;secondary_or_edge_handoff_padding=2,secondary_edge_handoff_uncertainty,true,true,ready_uncertainty_expanded_sar_temporal_window,software_sync_with_uncertainty_padding,,sar_frame_mapping_uses_optical_time_times_50_not_optical_frame_times_2;no_sar_image_content_or_spatial_search_used
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,0,11,12,0.000000,0.500000,0.000000,25.000000,0,30,31,24,50,2.083333,software_sync_zero_offset_assumption,0,20,5,base_rounding_padding=1;software_sync_jitter_padding=1;ambiguous_review_padding=3,ambiguous_review_required,true,true,low_confidence_sar_temporal_window,software_sync_low_confidence_review_window,,sar_frame_mapping_uses_optical_time_times_50_not_optical_frame_times_2;no_sar_image_content_or_spatial_search_used;window_clamped_to_sar_frame_inventory
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0002,0,12,13,0.000000,0.541667,0.000000,27.083333,0,33,34,24,50,2.083333,software_sync_zero_offset_assumption,0,20,5,base_rounding_padding=1;software_sync_jitter_padding=1;ambiguous_review_padding=3,ambiguous_review_required,true,false,low_confidence_sar_temporal_window,software_sync_low_confidence_review_window,,sar_frame_mapping_uses_optical_time_times_50_not_optical_frame_times_2;no_sar_image_content_or_spatial_search_used;window_clamped_to_sar_frame_inventory
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,5,41,37,0.208333,1.750000,10.416667,87.500000,6,92,87,24,50,2.083333,software_sync_zero_offset_assumption,0,20,4,base_rounding_padding=1;software_sync_jitter_padding=1;secondary_or_edge_handoff_padding=2,secondary_edge_handoff_uncertainty,true,true,ready_uncertainty_expanded_sar_temporal_window,software_sync_with_uncertainty_padding,,sar_frame_mapping_uses_optical_time_times_50_not_optical_frame_times_2;no_sar_image_content_or_spatial_search_used
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0009,1,14,14,0.041667,0.625000,,,,,,24,50,2.083333,software_sync_zero_offset_assumption,0,20,,base_rounding_padding=1;software_sync_jitter_padding=1;not_ready_no_state_padding=0,short_noise_not_ready,false,true,not_ready_for_sar_temporal_window,blocked_short_or_noise,object_gate_exclude_from_oty2;short_or_noise_not_ready,sar_frame_mapping_uses_optical_time_times_50_not_optical_frame_times_2;no_sar_image_content_or_spatial_search_used;no_main_sar_temporal_window_generated_for_short_or_noise_object
