probe_id,relationship_type,sample_pool,clean_morphology_inclusion,scene,object_hypothesis_id,state_condition,optical_frame,tau0_sar_frame,sar_window_start,sar_window_end,sar_window_frames,n_sar_frames_observed,support_region_mode,range_prior_mode,best_peak_frame,best_peak_to_background_ratio,median_peak_to_background_ratio,peak_frame_to_frame_step_mean_px,centroid_frame_to_frame_step_mean_px,centroid_drift_x,centroid_drift_y,short_window_stability_label,gt_frame_in_window_posthoc,single_frame_peak_to_background_ratio,window_vs_single_observation,notes,provenance_labels
W0001,optical_single_frame_to_sar_temporal_short_window,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,165,343.75,342,345,342;343;344;345,4,coarse_optical_azimuth_sector_broad_range,broad_unknown_range_prior,344,1.8648,1.8274,867.57,4.728,-0.54714,-1.51254,short_window_peak_or_centroid_stable,true,1.8263,window_contains_equal_or_stronger_peak_observation,Short-window extraction reuses the optical-derived support region across tau in W_sar.,runtime_safe_temporal_evidence;SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence
W0002,optical_single_frame_to_sar_temporal_short_window,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,165,343.75,342,345,342;343;344;345,4,coarse_optical_azimuth_sector_broad_range,broad_unknown_range_prior,344,1.8648,1.8274,867.57,4.728,-0.54714,-1.51254,short_window_peak_or_centroid_stable,true,1.8648,window_contains_equal_or_stronger_peak_observation,Short-window extraction reuses the optical-derived support region across tau in W_sar.,runtime_safe_temporal_evidence;SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence
W0003,optical_single_frame_to_sar_temporal_short_window,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,166,345.8333,344,347,344;345;346;347,4,coarse_optical_azimuth_sector_broad_range,broad_unknown_range_prior,344,1.8642,1.849,433.785,4.531,-0.57499,-1.72896,short_window_peak_or_centroid_stable,true,1.828,window_contains_equal_or_stronger_peak_observation,Short-window extraction reuses the optical-derived support region across tau in W_sar.,runtime_safe_temporal_evidence;SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence
W0004,optical_single_frame_to_sar_temporal_short_window,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,166,345.8333,344,347,344;345;346;347,4,coarse_optical_azimuth_sector_broad_range,broad_unknown_range_prior,344,1.8642,1.849,433.785,4.531,-0.57499,-1.72896,short_window_peak_or_centroid_stable,true,1.834,window_contains_equal_or_stronger_peak_observation,Short-window extraction reuses the optical-derived support region across tau in W_sar.,runtime_safe_temporal_evidence;SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence
W0005,optical_single_frame_to_sar_temporal_short_window,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,167,347.9167,346,349,346;347;348;349,4,coarse_optical_azimuth_sector_broad_range,broad_unknown_range_prior,348,1.8904,1.8746,0,10.013,-3.88774,-5.90939,short_window_peak_or_centroid_stable,true,1.8649,window_contains_equal_or_stronger_peak_observation,Short-window extraction reuses the optical-derived support region across tau in W_sar.,runtime_safe_temporal_evidence;SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence
W0006,optical_single_frame_to_sar_temporal_short_window,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,167,347.9167,346,349,346;347;348;349,4,coarse_optical_azimuth_sector_broad_range,broad_unknown_range_prior,348,1.8904,1.8746,0,10.013,-3.88774,-5.90939,short_window_peak_or_centroid_stable,true,1.8904,single_frame_peak_observation_stronger_than_window_best,Short-window extraction reuses the optical-derived support region across tau in W_sar.,runtime_safe_temporal_evidence;SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence
W0007,optical_single_frame_to_sar_temporal_short_window,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,168,350,349,351,349;350;351,3,coarse_optical_azimuth_sector_broad_range,broad_unknown_range_prior,350,1.9155,1.9034,650.996,3.549,0.38569,-2.13597,short_window_peak_or_centroid_stable,true,1.8839,window_contains_equal_or_stronger_peak_observation,Short-window extraction reuses the optical-derived support region across tau in W_sar.,runtime_safe_temporal_evidence;SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence
W0008,optical_single_frame_to_sar_temporal_short_window,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,168,350,349,351,349;350;351,3,coarse_optical_azimuth_sector_broad_range,broad_unknown_range_prior,350,1.9155,1.9034,650.996,3.549,0.38569,-2.13597,short_window_peak_or_centroid_stable,true,1.9155,single_frame_peak_observation_stronger_than_window_best,Short-window extraction reuses the optical-derived support region across tau in W_sar.,runtime_safe_temporal_evidence;SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence
W0009,optical_single_frame_to_sar_temporal_short_window,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,168,350,349,351,349;350;351,3,coarse_optical_azimuth_sector_broad_range,broad_unknown_range_prior,350,1.9155,1.9034,650.996,3.549,0.38569,-2.13597,short_window_peak_or_centroid_stable,true,1.9034,window_contains_equal_or_stronger_peak_observation,Short-window extraction reuses the optical-derived support region across tau in W_sar.,runtime_safe_temporal_evidence;SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence
W0010,optical_single_frame_to_sar_temporal_short_window,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,169,352.0833,351,354,351;352;353;354,4,coarse_optical_azimuth_sector_broad_range,broad_unknown_range_prior,354,1.9327,1.9064,0,6.832,-1.99073,-2.11169,short_window_peak_or_centroid_stable,true,1.9001,window_contains_equal_or_stronger_peak_observation,Short-window extraction reuses the optical-derived support region across tau in W_sar.,runtime_safe_temporal_evidence;SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence
