probe_id,relationship_type,sample_pool,scene,object_hypothesis_id,state_condition,sar_frame,inverse_optical_time,bracket_optical_frames,tracklet_state_mode,interpolated_bbox,support_region_mode,support_azimuth_center_deg,support_azimuth_start_deg,support_azimuth_end_deg,support_azimuth_width_deg,range_prior_mode,support_area_px,local_peak_x,local_peak_y,peak_to_background_ratio,scatter_centroid_x,scatter_centroid_y,centroid_residual_px,gt_inside_support_posthoc,gt_center_to_peak_distance_posthoc_px,single_frame_gt_inside_support_posthoc,tracklet_vs_single_support_note,notes,provenance_labels
T0001,optical_tracklet_to_sar_single_frame,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,ambiguous_or_review_only,302,144.96,145-145,exact_or_nearest_tracklet_frame,"0.132,324.965,76.365,410.683",coarse_optical_azimuth_sector_broad_range,-37.0662,-52.402,-21.7304,30.6716,broad_unknown_range_prior,475392,1139,1302,2.1756,734.1396,748.603,53.491,true,398.049,true,tracklet_and_single_support_same_posthoc_containment_state,Tracklet interpolation uses optical object rows only; SAR GT validates support after extraction.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence
T0002,optical_tracklet_to_sar_single_frame,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,duplicate_or_handoff,310,148.8,148-149,linear_tracklet_interpolation,"0.198,319.093,162.237,407.694",coarse_optical_azimuth_sector_broad_range,-33.3057,-55.3962,-11.2153,44.1809,broad_unknown_range_prior,684776,1144,1299,1.9042,783.6976,731.7979,42.1294,true,364.718,true,tracklet_and_single_support_same_posthoc_containment_state,Tracklet interpolation uses optical object rows only; SAR GT validates support after extraction.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence
T0003,optical_tracklet_to_sar_single_frame,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,edge_or_truncated,315,151.2,151-152,linear_tracklet_interpolation,"0.08,308.409,52.7,352.373",coarse_optical_azimuth_sector_broad_range,-38.104,-52.4066,-23.8015,28.6051,broad_unknown_range_prior,443361,1133,1314,2.0982,660.9753,704.85,130.3012,true,506.488,true,tracklet_and_single_support_same_posthoc_containment_state,Tracklet interpolation uses optical object rows only; SAR GT validates support after extraction.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence
T0004,optical_tracklet_to_sar_single_frame,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,315,151.2,151-152,linear_tracklet_interpolation,"0.433,316.09,220.065,406.945",coarse_optical_azimuth_sector_broad_range,-30.7651,-52.3757,-9.1545,43.2212,broad_unknown_range_prior,669901,1144,1299,1.9677,805.138,709.0079,49.6667,true,344.062,true,tracklet_and_single_support_same_posthoc_containment_state,Tracklet interpolation uses optical object rows only; SAR GT validates support after extraction.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence
T0005,optical_tracklet_to_sar_single_frame,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,duplicate_or_handoff,317,152.16,152-153,linear_tracklet_interpolation,"0.476,314.787,243.705,406.397",coarse_optical_azimuth_sector_broad_range,-29.7287,-55.3719,-4.0856,51.2863,broad_unknown_range_prior,794913,1150,1298,1.8203,817.0813,701.5387,50.8291,true,338.407,true,tracklet_and_single_support_same_posthoc_containment_state,Tracklet interpolation uses optical object rows only; SAR GT validates support after extraction.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence
T0006,optical_tracklet_to_sar_single_frame,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,duplicate_or_handoff,317,152.16,152-153,linear_tracklet_interpolation,"0.105,306.897,68.638,356.43",coarse_optical_azimuth_sector_broad_range,-37.4055,-55.4043,-19.4067,35.9976,broad_unknown_range_prior,557941,1132,1314,1.9466,688.109,712.3473,107.9084,true,501.539,true,tracklet_and_single_support_same_posthoc_containment_state,Tracklet interpolation uses optical object rows only; SAR GT validates support after extraction.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence
T0007,optical_tracklet_to_sar_single_frame,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,edge_or_truncated,319,153.12,153-154,linear_tracklet_interpolation,"0.222,307.607,86.609,371.076",coarse_optical_azimuth_sector_broad_range,-36.614,-52.3941,-20.8339,31.5602,broad_unknown_range_prior,489162,1133,1314,1.8167,674.2977,690.5412,133.5524,true,492.154,true,tracklet_and_single_support_same_posthoc_containment_state,Tracklet interpolation uses optical object rows only; SAR GT validates support after extraction.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence
T0008,optical_tracklet_to_sar_single_frame,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,319,153.12,153-154,linear_tracklet_interpolation,"3.803,314.274,265.155,406.976",coarse_optical_azimuth_sector_broad_range,-28.6446,-52.0808,-5.2084,46.8724,broad_unknown_range_prior,726494,1150,1298,1.7234,815.9699,686.0441,62.5875,true,334.322,true,tracklet_and_single_support_same_posthoc_containment_state,Tracklet interpolation uses optical object rows only; SAR GT validates support after extraction.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence
T0009,optical_tracklet_to_sar_single_frame,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,321,154.08,154-155,linear_tracklet_interpolation,"24.951,315.566,285.347,408.221",coarse_optical_azimuth_sector_broad_range,-26.8356,-50.2299,-3.4413,46.7886,broad_unknown_range_prior,725191,1150,1298,1.7753,842.6296,683.245,53.8134,true,332.24,true,tracklet_and_single_support_same_posthoc_containment_state,Tracklet interpolation uses optical object rows only; SAR GT validates support after extraction.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence
T0010,optical_tracklet_to_sar_single_frame,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,edge_or_truncated,321,154.08,154-155,linear_tracklet_interpolation,"0.173,309.207,103.091,390.775",coarse_optical_azimuth_sector_broad_range,-35.895,-52.3985,-19.3915,33.0069,broad_unknown_range_prior,511586,1135,1308,1.8689,691.2969,696.2727,118.8336,true,476.781,true,tracklet_and_single_support_same_posthoc_containment_state,Tracklet interpolation uses optical object rows only; SAR GT validates support after extraction.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence
