panel_index,case_id,scene,sar_frame,old_atlas_path,old_panel_path,old_crop_width,old_crop_height,old_resize_ratio,previous_overlay_coordinate_risk,previous_overlay_risk_reason,new_panel_path,new_overlay_method,new_scale_x,new_scale_y,qa_status,qa_warning_reason,support_render_method,support_judgment_allowed,gt_judgment_allowed
1,PAIR_GM_RM017_o184_s383_oty1t_obj_GM_RM017_bytetrack_bt_0014,GM_RM017,383,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\oty2_gt_support_energy_overlay_atlas_20260703_163000.html,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\01_possible_compact_vehicle_structure_PAIR_GM_RM017_o184_s383_oty1t_obj_GM_RM017_bytetrack_bt_0014_gt_support_energy_panel.png,329,403,1,low_for_resize_specific_issue,"old crop width did not trigger the 520px image resize branch, but the old atlas still lacked coordinate QA metadata and Chinese review guidance",D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\01_PAIR_GM_RM017_o184_s383_oty1t_obj_GM_RM017_bytetrack_bt_0014_gt_support_energy_panel_cn.png,static PNG rendered from one crop-local matplotlib axes,1,1,pass,,reconstructed_from_sector_radius_and_azimuth_fields,yes,yes
2,PAIR_GM_RM017_o153_s319_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,319,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\oty2_gt_support_energy_overlay_atlas_20260703_163000.html,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\02_possible_multi-peak_vehicle_structure_PAIR_GM_RM017_o153_s319_oty1t_obj_GM_RM017_bytetrack_bt_0008_gt_support_energy_panel.png,593,601,0.876897,yes,"previous generator resized the image crop to width 520 before drawing overlays, but overlay coordinates were only crop-shifted and not scaled",D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\02_PAIR_GM_RM017_o153_s319_oty1t_obj_GM_RM017_bytetrack_bt_0008_gt_support_energy_panel_cn.png,static PNG rendered from one crop-local matplotlib axes,1,1,pass,,reconstructed_from_sector_radius_and_azimuth_fields,yes,yes
3,PAIR_GM_RM019_o13_s27_oty1t_obj_GM_RM019_bytetrack_bt_0005,GM_RM019,27,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\oty2_gt_support_energy_overlay_atlas_20260703_163000.html,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\03_possible_range-spread_vehicle_structure_PAIR_GM_RM019_o13_s27_oty1t_obj_GM_RM019_bytetrack_bt_0005_gt_support_energy_panel.png,553,620,0.940325,yes,"previous generator resized the image crop to width 520 before drawing overlays, but overlay coordinates were only crop-shifted and not scaled",D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\03_PAIR_GM_RM019_o13_s27_oty1t_obj_GM_RM019_bytetrack_bt_0005_gt_support_energy_panel_cn.png,static PNG rendered from one crop-local matplotlib axes,1,1,pass,,reconstructed_from_sector_radius_and_azimuth_fields,yes,yes
4,PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,343,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\oty2_gt_support_energy_overlay_atlas_20260703_163000.html,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\04_possible_azimuth-spread_vehicle_structure_PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010_gt_support_energy_panel.png,395,358,1,low_for_resize_specific_issue,"old crop width did not trigger the 520px image resize branch, but the old atlas still lacked coordinate QA metadata and Chinese review guidance",D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\04_PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010_gt_support_energy_panel_cn.png,static PNG rendered from one crop-local matplotlib axes,1,1,pass,,reconstructed_from_sector_radius_and_azimuth_fields,yes,yes
5,PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,343,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\oty2_gt_support_energy_overlay_atlas_20260703_163000.html,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\05_possible_stable_vehicle_tube_PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010_gt_support_energy_panel.png,395,358,1,low_for_resize_specific_issue,"old crop width did not trigger the 520px image resize branch, but the old atlas still lacked coordinate QA metadata and Chinese review guidance",D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\05_PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010_gt_support_energy_panel_cn.png,static PNG rendered from one crop-local matplotlib axes,1,1,pass,,reconstructed_from_sector_radius_and_azimuth_fields,yes,yes
6,PAIR_GM_RM019_o15_s31_oty1t_obj_GM_RM019_bytetrack_bt_0005,GM_RM019,31,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\oty2_gt_support_energy_overlay_atlas_20260703_163000.html,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\06_diffuse_reject_exemplar_PAIR_GM_RM019_o15_s31_oty1t_obj_GM_RM019_bytetrack_bt_0005_gt_support_energy_panel.png,592,622,0.878378,yes,"previous generator resized the image crop to width 520 before drawing overlays, but overlay coordinates were only crop-shifted and not scaled",D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\06_PAIR_GM_RM019_o15_s31_oty1t_obj_GM_RM019_bytetrack_bt_0005_gt_support_energy_panel_cn.png,static PNG rendered from one crop-local matplotlib axes,1,1,pass,,reconstructed_from_sector_radius_and_azimuth_fields,yes,yes
7,PAIR_GM_RM019_o13_s27_oty1t_obj_GM_RM019_bytetrack_bt_0005,GM_RM019,27,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\oty2_gt_support_energy_overlay_atlas_20260703_163000.html,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\07_background-stable_wrong-frame_exemplar_PAIR_GM_RM019_o13_s27_oty1t_obj_GM_RM019_bytetrack_bt_0005_gt_support_energy_panel.png,553,620,0.940325,yes,"previous generator resized the image crop to width 520 before drawing overlays, but overlay coordinates were only crop-shifted and not scaled",D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\07_PAIR_GM_RM019_o13_s27_oty1t_obj_GM_RM019_bytetrack_bt_0005_gt_support_energy_panel_cn.png,static PNG rendered from one crop-local matplotlib axes,1,1,pass,,reconstructed_from_sector_radius_and_azimuth_fields,yes,yes
8,PAIR_GM_RM017_o149_s310_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,310,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\oty2_gt_support_energy_overlay_atlas_20260703_163000.html,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\08_neighboring-object_wrong-object_exemplar_PAIR_GM_RM017_o149_s310_oty1t_obj_GM_RM017_bytetrack_bt_0008_gt_support_energy_panel.png,646,687,0.804954,yes,"previous generator resized the image crop to width 520 before drawing overlays, but overlay coordinates were only crop-shifted and not scaled",D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\08_PAIR_GM_RM017_o149_s310_oty1t_obj_GM_RM017_bytetrack_bt_0008_gt_support_energy_panel_cn.png,static PNG rendered from one crop-local matplotlib axes,1,1,pass,,reconstructed_from_sector_radius_and_azimuth_fields,yes,yes
9,PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,343,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\oty2_gt_support_energy_overlay_atlas_20260703_163000.html,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\09_support-overlap_azimuth-shift_exemplar_PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010_gt_support_energy_panel.png,395,358,1,low_for_resize_specific_issue,"old crop width did not trigger the 520px image resize branch, but the old atlas still lacked coordinate QA metadata and Chinese review guidance",D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\09_PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010_gt_support_energy_panel_cn.png,static PNG rendered from one crop-local matplotlib axes,1,1,pass,,reconstructed_from_sector_radius_and_azimuth_fields,yes,yes
10,PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,343,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\oty2_gt_support_energy_overlay_atlas_20260703_163000.html,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\10_statistics_say_vehicle-like_but_visual_review_likely_needed_PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010_gt_support_energy_panel.png,395,358,1,low_for_resize_specific_issue,"old crop width did not trigger the 520px image resize branch, but the old atlas still lacked coordinate QA metadata and Chinese review guidance",D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\10_PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010_gt_support_energy_panel_cn.png,static PNG rendered from one crop-local matplotlib axes,1,1,pass,,reconstructed_from_sector_radius_and_azimuth_fields,yes,yes
