case_id,graph_variant,n_nodes,n_edges,n_connected_components,dominant_component_size,n_competing_components,graph_fragmentation_level,possible_vehicle_component_count,neighboring_object_confounder_signal,wrong_object_confounder_signal,wrong_frame_confounder_signal,human_review_needed,mechanism_interpretation
PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o165_s344_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o166_s345_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o166_s346_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o167_s347_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o167_s348_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o168_s349_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o168_s350_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o168_s351_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o169_s353_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o171_s356_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o171_s357_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o172_s358_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o172_s359_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o173_s360_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o173_s361_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o174_s362_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o174_s363_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o175_s364_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o175_s365_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o176_s366_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o176_s367_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o177_s368_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o177_s369_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o178_s370_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o178_s371_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o179_s372_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
