crosscheck_id,source_mode_name,control_type,structure_type,temporal_stability_label,support_overlap_bucket,n_rows,near_gt_topk_rate_posthoc,top1_near_gt_rate_posthoc,gt_inside_support_rate_posthoc,median_best_topk_distance_to_gt_px_posthoc,median_peak_background_ratio,support_hit_status_posthoc,likely_confounder_type,negative_control_cleanliness,mechanism_interpretation,provenance_labels
CFX00001,state_conditioned_range_band,azimuth_shifted_support,azimuth_spread_cluster,diffuse_or_unstable_cluster_tube,not_available_in_counterfactual_rows,1,0,0,0,179.538,0.996,topk_near_gt_rate=0,azimuth_overlap_or_margin_confounder,partly_confounded_negative_control,azimuth-shift remains high under current margins; do not promote azimuth as a strong gate,SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
CFX00002,state_conditioned_range_band,azimuth_shifted_support,azimuth_spread_cluster,insufficient_temporal_samples,not_available_in_counterfactual_rows,3,0.6667,0,0,125.877,1.05,topk_near_gt_rate=0.6667,azimuth_overlap_or_margin_confounder,partly_confounded_negative_control,azimuth-shift remains high under current margins; do not promote azimuth as a strong gate,SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
CFX00003,state_conditioned_range_band,azimuth_shifted_support,azimuth_spread_cluster,stable_cluster_tube,not_available_in_counterfactual_rows,545,0.967,0.7266,0.6294,40.139,1.699,topk_near_gt_rate=0.967,azimuth_overlap_or_margin_confounder,partly_confounded_negative_control,azimuth-shift remains high under current margins; do not promote azimuth as a strong gate,SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
CFX00004,state_conditioned_range_band,azimuth_shifted_support,compact_cluster,stable_cluster_tube,not_available_in_counterfactual_rows,7,1,1,0.4286,43.078,1.512,topk_near_gt_rate=1,azimuth_overlap_or_margin_confounder,partly_confounded_negative_control,azimuth-shift remains high under current margins; do not promote azimuth as a strong gate,SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
CFX00005,state_conditioned_range_band,azimuth_shifted_support,diffuse_clutter,diffuse_or_unstable_cluster_tube,not_available_in_counterfactual_rows,26,0.0769,0,0,352.763,2.107,topk_near_gt_rate=0.0769,azimuth_overlap_or_margin_confounder,partly_confounded_negative_control,azimuth-shift remains high under current margins; do not promote azimuth as a strong gate,SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
CFX00006,state_conditioned_range_band,azimuth_shifted_support,diffuse_clutter,jumping_peak,not_available_in_counterfactual_rows,2,0,0,0,380.13,2.1,topk_near_gt_rate=0,azimuth_overlap_or_margin_confounder,partly_confounded_negative_control,azimuth-shift remains high under current margins; do not promote azimuth as a strong gate,SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
CFX00007,state_conditioned_range_band,azimuth_shifted_support,diffuse_clutter,stable_cluster_tube,not_available_in_counterfactual_rows,61,0.2131,0.1311,0.6066,241.229,1.954,topk_near_gt_rate=0.2131,azimuth_overlap_or_margin_confounder,partly_confounded_negative_control,azimuth-shift remains high under current margins; do not promote azimuth as a strong gate,SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
CFX00008,state_conditioned_range_band,azimuth_shifted_support,multi_peak_nearby_cluster,diffuse_or_unstable_cluster_tube,not_available_in_counterfactual_rows,2,0,0,0,168.757,2.277,topk_near_gt_rate=0,azimuth_overlap_or_margin_confounder,partly_confounded_negative_control,azimuth-shift remains high under current margins; do not promote azimuth as a strong gate,SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
CFX00009,state_conditioned_range_band,azimuth_shifted_support,multi_peak_nearby_cluster,insufficient_temporal_samples,not_available_in_counterfactual_rows,1,0,0,0,237.549,0.972,topk_near_gt_rate=0,azimuth_overlap_or_margin_confounder,partly_confounded_negative_control,azimuth-shift remains high under current margins; do not promote azimuth as a strong gate,SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
CFX00010,state_conditioned_range_band,azimuth_shifted_support,multi_peak_nearby_cluster,stable_cluster_tube,not_available_in_counterfactual_rows,61,0.6721,0.3607,0.7377,56.113,1.725,topk_near_gt_rate=0.6721,azimuth_overlap_or_margin_confounder,partly_confounded_negative_control,azimuth-shift remains high under current margins; do not promote azimuth as a strong gate,SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
