tube_probe_id,structure_id_or_proxy_id,mode_name,sample_pool,scene,object_hypothesis_id,frame_window,stability_label,drift_or_centroid_change_px,peak_consistency,range_extent_stability,azimuth_extent_stability,scatter_structure_mix,whether_temporal_evidence_strengthens_association,whether_temporal_evidence_only_supports_existence,whether_temporal_evidence_is_confounded_by_wrong_frame_control,provenance_labels,notes
TUBE0001,T0001,broad_fan_baseline,detection_dropout_temporal_continuation,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008;oty1t_obj_GM_RM017_bytetrack_bt_0010,310-386,jumping_peak,273.742,0.5,partial_not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,azimuth_spread_cluster=3;range_spread_cluster=2,no,yes,yes_needs_motion_or_change_gate,SAR_temporal_observation;SAR_image_observation;hypothesis_to_validate,Dropout/no-match rows are temporal continuation/existence support only; they are not clean morphology.
TUBE0002,T0002,broad_fan_baseline,detection_dropout_temporal_continuation,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012;oty1t_obj_GM_RM017_bytetrack_bt_0014,446-446,insufficient_temporal_samples,,0,partial_not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,range_spread_cluster=1,no,yes,yes_needs_motion_or_change_gate,SAR_temporal_observation;SAR_image_observation;hypothesis_to_validate,Dropout/no-match rows are temporal continuation/existence support only; they are not clean morphology.
TUBE0003,T0003,broad_fan_baseline,detection_dropout_temporal_continuation,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,8-88,jumping_peak,790.401,0,partial_not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,azimuth_spread_cluster=1;range_spread_cluster=1,no,yes,yes_needs_motion_or_change_gate,SAR_temporal_observation;SAR_image_observation;hypothesis_to_validate,Dropout/no-match rows are temporal continuation/existence support only; they are not clean morphology.
TUBE0004,T0004,broad_fan_baseline,detection_dropout_temporal_continuation,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,202-202,insufficient_temporal_samples,,0,partial_not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,range_spread_cluster=1,no,yes,yes_needs_motion_or_change_gate,SAR_temporal_observation;SAR_image_observation;hypothesis_to_validate,Dropout/no-match rows are temporal continuation/existence support only; they are not clean morphology.
TUBE0005,T0005,broad_fan_baseline,detection_dropout_temporal_continuation,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,306-354,jumping_peak,141.207,0,partial_not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,range_spread_cluster=2,no,yes,yes_needs_motion_or_change_gate,SAR_temporal_observation;SAR_image_observation;hypothesis_to_validate,Dropout/no-match rows are temporal continuation/existence support only; they are not clean morphology.
TUBE0006,T0006,broad_fan_baseline,detection_dropout_temporal_continuation,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098;oty1t_obj_GM_RM019_bytetrack_bt_0111,350-350,insufficient_temporal_samples,,0,partial_not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,range_spread_cluster=1,no,yes,yes_needs_motion_or_change_gate,SAR_temporal_observation;SAR_image_observation;hypothesis_to_validate,Dropout/no-match rows are temporal continuation/existence support only; they are not clean morphology.
TUBE0007,T0007,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,302-380,jumping_peak,204.051,0.4,partial_not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,diffuse_clutter=37;azimuth_spread_cluster=18;weak_no_structure=6,no,no,yes_needs_motion_or_change_gate,SAR_temporal_observation;SAR_image_observation;hypothesis_to_validate,Dropout/no-match rows are temporal continuation/existence support only; they are not clean morphology.
TUBE0008,T0008,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,315-394,diffuse_or_unstable_cluster_tube,167.279,0.527,partial_not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,diffuse_clutter=52;azimuth_spread_cluster=15;weak_no_structure=8,no,no,yes_needs_motion_or_change_gate,SAR_temporal_observation;SAR_image_observation;hypothesis_to_validate,Dropout/no-match rows are temporal continuation/existence support only; they are not clean morphology.
TUBE0009,T0009,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,337-438,diffuse_or_unstable_cluster_tube,199.746,0.5254,partial_not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,diffuse_clutter=43;weak_no_structure=9;azimuth_spread_cluster=8,no,no,yes_needs_motion_or_change_gate,SAR_temporal_observation;SAR_image_observation;hypothesis_to_validate,Dropout/no-match rows are temporal continuation/existence support only; they are not clean morphology.
TUBE0010,T0010,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,383-442,stable_cluster_tube,0,1,partial_not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,weak_no_structure=3,partial_posthoc_support,no,yes_needs_motion_or_change_gate,SAR_temporal_observation;SAR_image_observation;hypothesis_to_validate,Dropout/no-match rows are temporal continuation/existence support only; they are not clean morphology.
TUBE0011,T0011,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,0-8,diffuse_or_unstable_cluster_tube,377.997,0,partial_not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,range_spread_cluster=3,no,no,yes_needs_motion_or_change_gate,SAR_temporal_observation;SAR_image_observation;hypothesis_to_validate,Dropout/no-match rows are temporal continuation/existence support only; they are not clean morphology.
TUBE0012,T0012,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,27-81,jumping_peak,185.161,0.3333,partial_not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,range_spread_cluster=4,no,no,yes_needs_motion_or_change_gate,SAR_temporal_observation;SAR_image_observation;hypothesis_to_validate,Dropout/no-match rows are temporal continuation/existence support only; they are not clean morphology.
TUBE0013,T0013,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0009,27-27,insufficient_temporal_samples,,0,partial_not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,range_spread_cluster=1,no,no,yes_needs_motion_or_change_gate,SAR_temporal_observation;SAR_image_observation;hypothesis_to_validate,Dropout/no-match rows are temporal continuation/existence support only; they are not clean morphology.
TUBE0014,T0014,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,212-290,jumping_peak,182.08,0.4,partial_not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,range_spread_cluster=6,no,no,yes_needs_motion_or_change_gate,SAR_temporal_observation;SAR_image_observation;hypothesis_to_validate,Dropout/no-match rows are temporal continuation/existence support only; they are not clean morphology.
TUBE0015,T0015,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,315-317,stable_cluster_tube,1.418,1,partial_not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,range_spread_cluster=2,partial_posthoc_support,no,yes_needs_motion_or_change_gate,SAR_temporal_observation;SAR_image_observation;hypothesis_to_validate,Dropout/no-match rows are temporal continuation/existence support only; they are not clean morphology.
TUBE0016,T0016,complete_shape_quantile_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,343-394,stable_cluster_tube,13.473,1,partial_not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,azimuth_spread_cluster=46,partial_posthoc_support,no,yes_needs_motion_or_change_gate,SAR_temporal_observation;SAR_image_observation;hypothesis_to_validate,Dropout/no-match rows are temporal continuation/existence support only; they are not clean morphology.
TUBE0017,T0017,complete_shape_quantile_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,352-438,stable_cluster_tube,18.533,0.9762,partial_not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,azimuth_spread_cluster=43,partial_posthoc_support,no,yes_needs_motion_or_change_gate,SAR_temporal_observation;SAR_image_observation;hypothesis_to_validate,Dropout/no-match rows are temporal continuation/existence support only; they are not clean morphology.
TUBE0018,T0018,complete_shape_quantile_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,383-442,stable_cluster_tube,26.714,1,partial_not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,compact_cluster=2;azimuth_spread_cluster=1,partial_posthoc_support,no,yes_needs_motion_or_change_gate,SAR_temporal_observation;SAR_image_observation;hypothesis_to_validate,Dropout/no-match rows are temporal continuation/existence support only; they are not clean morphology.
TUBE0019,T0019,complete_shape_quantile_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,27-81,stable_cluster_tube,46.299,1,partial_not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,azimuth_spread_cluster=3;range_spread_cluster=1,partial_posthoc_support,no,yes_needs_motion_or_change_gate,SAR_temporal_observation;SAR_image_observation;hypothesis_to_validate,Dropout/no-match rows are temporal continuation/existence support only; they are not clean morphology.
TUBE0020,T0020,complete_shape_quantile_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0009,27-27,insufficient_temporal_samples,,0,partial_not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,azimuth_spread_cluster=1,no,no,yes_needs_motion_or_change_gate,SAR_temporal_observation;SAR_image_observation;hypothesis_to_validate,Dropout/no-match rows are temporal continuation/existence support only; they are not clean morphology.
