peak_audit_id,mode_name,relationship_type,sample_pool,clean_morphology_inclusion,scene,object_hypothesis_id,state_condition,optical_frame,sar_frame,support_azimuth_start_deg,support_azimuth_end_deg,support_radius_min_px,support_radius_max_px,radius_band_width_px,range_band_source,support_area_px,area_ratio_vs_broad,gt_radius_px_posthoc,gt_azimuth_deg_posthoc,gt_inside_support_posthoc,gt_radius_inside_posthoc,top1_peak_value,top2_peak_value,top1_top2_ratio,top1_background_ratio,top2_background_ratio,top1_x,top1_y,top2_x,top2_y,top1_top2_distance_px,local_peak_count_above_bg_p95,scatter_centroid_x,scatter_centroid_y,centroid_residual_px,short_window_frames,short_window_observed_frames,short_window_top1_persistence_rate,short_window_peak_persistence_label,tube_peak_continuity_label,peak_competition_label,sar_image_path,notes,provenance_labels
P00001,broad_fan_baseline,support_region_range_band_peak_competition_diagnostic,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,165,343,-39.2014,-10.0864,0,1332.7,1332.7,previous_broad_unknown_range_prior,451287,1,430.919,-25.256,true,true,0.9961,0.9961,1,1.8146,1.8146,852,33,693,81,166.087,4,1105.862,1175.036,505.324,342;343;344;345,4,0.25,top1_peak_not_persistent_in_short_window,tube_peak_or_centroid_continuity_observed,serious_peak_competition_or_clutter,D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000343.png,SAR image observation diagnostic inside optical-derived support; not a selector score.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
P00002,complete_shape_quantile_range_band,support_region_range_band_peak_competition_diagnostic,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,165,343,-39.2014,-10.0864,362.555,447.325,84.77,posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,17442,0.0386,430.919,-25.256,true,true,0.8078,0.7686,1.051,1.588,1.5109,1020,969,1002,960,20.125,25,1020,969,35.444,,,,not_recomputed_for_secondary_posthoc_mode,tube_peak_or_centroid_continuity_observed,serious_peak_competition_or_clutter,D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000343.png,SAR image observation diagnostic inside optical-derived support; not a selector score.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
P00003,state_conditioned_range_band,support_region_range_band_peak_competition_diagnostic,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,165,343,-39.2014,-10.0864,330.611,460.611,130,posthoc_state_conditioned_range_band;posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,26154,0.058,430.919,-25.256,true,true,0.8078,0.7686,1.051,1.5858,1.5088,1020,969,1002,960,20.125,34,1020,969,31.027,342;343;344;345,4,0.75,top1_peak_persistent_in_short_window,tube_peak_variable_or_competing,serious_peak_competition_or_clutter,D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000343.png,SAR image observation diagnostic inside optical-derived support; not a selector score.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
P00004,object_smoothed_range_band,support_region_range_band_peak_competition_diagnostic,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,165,343,-39.2014,-10.0864,376.321,506.321,130,posthoc_object_smoothed_range_trend_plus_local_median,29160,0.0646,430.919,-25.256,true,true,0.8078,0.7686,1.051,1.5853,1.5083,1020,969,1002,960,20.125,35,1020,969,63.752,,,,not_recomputed_for_secondary_posthoc_mode,tube_peak_variable_or_competing,serious_peak_competition_or_clutter,D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000343.png,SAR image observation diagnostic inside optical-derived support; not a selector score.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
P00005,scene_residual_range_band,support_region_range_band_peak_competition_diagnostic,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,165,343,-39.2014,-10.0864,322.984,475.548,152.564,posthoc_scene_residual_diagnostic;scene=GM_RM017;median_residual=3.655,30942,0.0686,430.919,-25.256,true,true,0.8078,0.7804,1.0352,1.5846,1.5308,1020,969,1074,1017,72.25,39,1020,969,32.511,,,,not_recomputed_for_secondary_posthoc_mode,tube_peak_variable_or_competing,serious_peak_competition_or_clutter,D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000343.png,SAR image observation diagnostic inside optical-derived support; not a selector score.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
P00006,broad_fan_baseline,support_region_range_band_peak_competition_diagnostic,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,165,344,-39.2014,-10.0864,0,1332.7,1332.7,previous_broad_unknown_range_prior,451287,1,427.999,-24.415,true,true,0.9961,0.9922,1.004,1.8529,1.8456,1146,1299,1152,1326,27.659,3,1110.714,1247.306,572.612,342;343;344;345,4,0.75,top1_peak_persistent_in_short_window,tube_peak_or_centroid_continuity_observed,serious_peak_competition_or_clutter,D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000344.png,SAR image observation diagnostic inside optical-derived support; not a selector score.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
P00007,complete_shape_quantile_range_band,support_region_range_band_peak_competition_diagnostic,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,165,344,-39.2014,-10.0864,362.555,447.325,84.77,posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,17442,0.0386,427.999,-24.415,true,true,0.8353,0.7569,1.1036,1.6827,1.5247,1041,966,969,972,72.25,27,1041,966,55.957,,,,not_recomputed_for_secondary_posthoc_mode,tube_peak_or_centroid_continuity_observed,serious_peak_competition_or_clutter,D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000344.png,SAR image observation diagnostic inside optical-derived support; not a selector score.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
P00008,state_conditioned_range_band,support_region_range_band_peak_competition_diagnostic,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,165,344,-39.2014,-10.0864,330.611,460.611,130,posthoc_state_conditioned_range_band;posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,26154,0.058,427.999,-24.415,true,true,0.8353,0.7569,1.1036,1.6803,1.5225,1041,966,969,972,72.25,33,1041,966,52.203,342;343;344;345,4,1,top1_peak_persistent_in_short_window,tube_peak_variable_or_competing,serious_peak_competition_or_clutter,D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000344.png,SAR image observation diagnostic inside optical-derived support; not a selector score.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
P00009,object_smoothed_range_band,support_region_range_band_peak_competition_diagnostic,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,165,344,-39.2014,-10.0864,374.499,504.499,130,posthoc_object_smoothed_range_trend_plus_local_median,29034,0.0643,427.999,-24.415,true,true,0.8353,0.7569,1.1036,1.6796,1.5219,1041,966,1008,969,33.136,33,1041,966,78.437,,,,not_recomputed_for_secondary_posthoc_mode,tube_peak_variable_or_competing,serious_peak_competition_or_clutter,D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000344.png,SAR image observation diagnostic inside optical-derived support; not a selector score.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
P00010,scene_residual_range_band,support_region_range_band_peak_competition_diagnostic,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,165,344,-39.2014,-10.0864,322.984,475.548,152.564,posthoc_scene_residual_diagnostic;scene=GM_RM017;median_residual=3.655,30942,0.0686,427.999,-24.415,true,true,0.8353,0.7569,1.1036,1.6789,1.5213,1041,966,1008,969,33.136,37,1041,966,53.512,,,,not_recomputed_for_secondary_posthoc_mode,tube_peak_variable_or_competing,serious_peak_competition_or_clutter,D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000344.png,SAR image observation diagnostic inside optical-derived support; not a selector score.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
