case_id,scene,sar_frame,object_hypothesis_id,support_available,support_source,gt_available,support_area_px,n_support_energy_atoms,n_support_connected_components,n_gt_inside_atoms,n_outside_gt_inside_support_atoms,n_competing_components_inside_support,dominant_component_area,dominant_component_range_extent,dominant_component_azimuth_extent,dominant_component_shape_type,energy_atoms_form_vehicle_structure,peaks_alone_sufficient,support_wide_structure_note,posthoc_gt_relation_validation_only,notes,support_image_available,atom_threshold_rule,component_threshold_rule,top_atom_points_support_wide,component_shape_mix
PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,343,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,state_conditioned_range_band;posthoc_state_conditioned_range_band;posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,yes,26131,16,20,15,1,0,2580,76.7033,22.1907,strip_like,yes,no,"Support-wide atoms/components form a strip_like structure; atoms=16, components=20, competing=0.",GT relation columns use SAR GT only for posthoc validation; they are not runtime prediction logic.,Fixed thresholds: atoms=support p97 local maxima; components=support p85 connected regions.,yes,fixed support p97 local maxima,fixed support p85 connected components,"1037,962,0.8549;1018,969,0.8353;1003,971,0.8;962,972,0.7804;1002,959,0.7686;920,972,0.7647;932,974,0.7569;1038,938,0.7059;1027,951,0.7059;947,976,0.702;903,971,0.6784;973,965,0.651;991,964,0.6431;1052,958,0.6078;1028,924,0.5804;1006,923,0.5725",uncertain=9;point_like=9;strip_like=1;block_like=1
PAIR_GM_RM017_o165_s344_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,344,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,state_conditioned_range_band;posthoc_state_conditioned_range_band;posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,yes,26131,16,21,13,3,0,2818,75.8344,24.4709,strip_like,yes,no,"Support-wide atoms/components form a strip_like structure; atoms=16, components=21, competing=0.",GT relation columns use SAR GT only for posthoc validation; they are not runtime prediction logic.,Fixed thresholds: atoms=support p97 local maxima; components=support p85 connected regions.,yes,fixed support p97 local maxima,fixed support p85 connected components,"1042,965,0.8627;1025,969,0.7922;1008,968,0.7882;1043,944,0.7686;969,972,0.7569;939,975,0.7412;918,973,0.7294;953,977,0.698;1058,961,0.6706;994,967,0.6706;1006,956,0.6392;1016,922,0.6314;1028,951,0.6078;982,966,0.5725;1034,924,0.5647;1080,956,0.5608",point_like=12;uncertain=6;block_like=2;strip_like=1
PAIR_GM_RM017_o166_s345_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,345,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,state_conditioned_range_band;posthoc_state_conditioned_range_band;posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,yes,26265,16,19,15,1,0,2866,75.7892,25.4291,strip_like,yes,no,"Support-wide atoms/components form a strip_like structure; atoms=16, components=19, competing=0.",GT relation columns use SAR GT only for posthoc validation; they are not runtime prediction logic.,Fixed thresholds: atoms=support p97 local maxima; components=support p85 connected regions.,yes,fixed support p97 local maxima,fixed support p85 connected components,"1044,968,0.851;1015,969,0.8118;1051,947,0.7922;1031,970,0.7922;924,973,0.7725;946,974,0.749;1010,956,0.7294;975,968,0.7059;1062,960,0.702;988,966,0.6745;1040,924,0.6745;1021,923,0.6667;1040,952,0.6588;960,977,0.6392;1024,958,0.6196;1077,958,0.5922",point_like=13;uncertain=3;block_like=2;strip_like=1
PAIR_GM_RM017_o166_s346_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,346,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,state_conditioned_range_band;posthoc_state_conditioned_range_band;posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,yes,26265,16,22,16,0,0,2863,81.6979,24.57,strip_like,yes,no,"Support-wide atoms/components form a strip_like structure; atoms=16, components=22, competing=0.",GT relation columns use SAR GT only for posthoc validation; they are not runtime prediction logic.,Fixed thresholds: atoms=support p97 local maxima; components=support p85 connected regions.,yes,fixed support p97 local maxima,fixed support p85 connected components,"1051,968,0.8667;1058,948,0.8;953,974,0.7882;1020,968,0.7843;1033,969,0.7725;937,970,0.7608;981,968,0.7098;1006,968,0.698;994,967,0.6941;1046,924,0.6824;1070,960,0.6706;1017,956,0.6706;1049,956,0.6588;966,967,0.6275;1027,923,0.6235;1038,950,0.5961",point_like=13;uncertain=7;strip_like=1;block_like=1
PAIR_GM_RM017_o167_s347_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,347,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,state_conditioned_range_band;posthoc_state_conditioned_range_band;posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,yes,26173,16,18,15,1,0,2959,82.7906,22.8198,shell_like,yes,no,"Support-wide atoms/components form a shell_like structure; atoms=16, components=18, competing=0.",GT relation columns use SAR GT only for posthoc validation; they are not runtime prediction logic.,Fixed thresholds: atoms=support p97 local maxima; components=support p85 connected regions.,yes,fixed support p97 local maxima,fixed support p85 connected components,"1055,969,0.8588;962,971,0.8;1065,946,0.8;1039,969,0.7804;1066,963,0.7686;944,970,0.7647;989,970,0.7569;1024,961,0.7137;1012,967,0.6745;1036,920,0.6314;1028,975,0.6235;1052,949,0.6235;1052,924,0.6039;1093,1003,0.6039;1079,961,0.5882;977,969,0.5843",point_like=8;uncertain=5;block_like=4;shell_like=1
PAIR_GM_RM017_o167_s348_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,348,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,state_conditioned_range_band;posthoc_state_conditioned_range_band;posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,yes,26173,16,23,14,2,0,2918,81.5514,24.6786,strip_like,yes,no,"Support-wide atoms/components form a strip_like structure; atoms=16, components=23, competing=0.",GT relation columns use SAR GT only for posthoc validation; they are not runtime prediction logic.,Fixed thresholds: atoms=support p97 local maxima; components=support p85 connected regions.,yes,fixed support p97 local maxima,fixed support p85 connected components,"1060,965,0.8627;1071,946,0.8;968,971,0.7765;955,970,0.7569;1046,969,0.7569;1073,962,0.749;1028,969,0.749;994,970,0.7294;1008,965,0.702;1104,1002,0.6588;981,969,0.6549;1026,954,0.6157;937,971,0.6039;1031,921,0.5882;1043,920,0.5765;1101,958,0.5725",point_like=13;uncertain=7;block_like=2;strip_like=1
PAIR_GM_RM017_o168_s349_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,349,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,state_conditioned_range_band;posthoc_state_conditioned_range_band;posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,yes,26288,15,20,14,1,0,2785,78.9903,23.1464,strip_like,yes,no,"Support-wide atoms/components form a strip_like structure; atoms=15, components=20, competing=0.",GT relation columns use SAR GT only for posthoc validation; they are not runtime prediction logic.,Fixed thresholds: atoms=support p97 local maxima; components=support p85 connected regions.,yes,fixed support p97 local maxima,fixed support p85 connected components,"1068,969,0.898;973,974,0.7765;1079,948,0.7765;1047,965,0.7686;1035,969,0.7608;959,971,0.7569;1014,965,0.749;1001,971,0.7333;1080,964,0.7294;986,969,0.6863;1067,950,0.6667;1111,1002,0.6549;1038,921,0.5843;945,962,0.5804;1040,950,0.5765",point_like=10;uncertain=6;block_like=3;strip_like=1
PAIR_GM_RM017_o168_s350_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,350,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,state_conditioned_range_band;posthoc_state_conditioned_range_band;posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,yes,26288,14,17,14,0,0,2774,73.8418,25.0566,strip_like,yes,no,"Support-wide atoms/components form a strip_like structure; atoms=14, components=17, competing=0.",GT relation columns use SAR GT only for posthoc validation; they are not runtime prediction logic.,Fixed thresholds: atoms=support p97 local maxima; components=support p85 connected regions.,yes,fixed support p97 local maxima,fixed support p85 connected components,"1076,967,0.8706;970,970,0.7686;983,971,0.7647;1056,967,0.7647;1086,945,0.7294;1020,965,0.7255;957,972,0.7216;1090,964,0.7216;1008,971,0.702;1073,950,0.6745;1033,967,0.6667;1044,959,0.6353;996,969,0.6275;1045,920,0.5686",uncertain=8;point_like=7;strip_like=1;shell_like=1
PAIR_GM_RM017_o168_s351_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,351,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,state_conditioned_range_band;posthoc_state_conditioned_range_band;posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,yes,26288,15,19,14,1,0,2967,73.1141,24.2914,strip_like,yes,no,"Support-wide atoms/components form a strip_like structure; atoms=15, components=19, competing=0.",GT relation columns use SAR GT only for posthoc validation; they are not runtime prediction logic.,Fixed thresholds: atoms=support p97 local maxima; components=support p85 connected regions.,yes,fixed support p97 local maxima,fixed support p85 connected components,"1088,967,0.8471;1073,969,0.8392;1015,971,0.7608;976,971,0.7569;1060,967,0.7529;1027,965,0.7451;995,970,0.7216;1091,945,0.7176;964,972,0.7137;1050,959,0.7098;1040,967,0.6588;1104,963,0.6275;1052,920,0.6235;1079,949,0.6;954,958,0.5529",point_like=11;uncertain=6;strip_like=1;block_like=1
PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,352,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,state_conditioned_range_band;posthoc_state_conditioned_range_band;posthoc_complete_shape_quantile_neighborhood;feature=bbox_height_px;neighbors=26,yes,26361,17,14,17,0,0,3049,75.248,24.822,strip_like,yes,no,"Support-wide atoms/components form a strip_like structure; atoms=17, components=14, competing=0.",GT relation columns use SAR GT only for posthoc validation; they are not runtime prediction logic.,Fixed thresholds: atoms=support p97 local maxima; components=support p85 connected regions.,yes,fixed support p97 local maxima,fixed support p85 connected components,"1088,968,0.8706;1073,969,0.7804;1022,970,0.7647;1060,970,0.749;985,970,0.7451;1097,943,0.7373;997,971,0.7255;1095,958,0.7098;971,971,0.702;1054,957,0.702;1106,965,0.6824;960,958,0.6706;1011,965,0.6667;1036,928,0.6431;1059,920,0.6314;1044,967,0.6235;...+1",point_like=7;uncertain=5;strip_like=1;shell_like=1
