diagnosis_id,mode_name,scene,object_hypothesis_id,sample_pool,clean_morphology_inclusion,state_condition,optical_frame,sar_frame,gt_center_x_posthoc,gt_center_y_posthoc,gt_size_proxy_px_posthoc,near_gt_threshold_px_posthoc,extended_gt_threshold_px_posthoc,topk_peak_count,topk_peaks_xy_value_distance,top1_distance_to_gt_px_posthoc,top2_distance_to_gt_px_posthoc,top3_distance_to_gt_px_posthoc,best_topk_rank_to_gt_posthoc,best_topk_distance_to_gt_px_posthoc,top1_near_gt_posthoc,top2_or_top3_nearer_than_top1_posthoc,topk_contains_peak_near_gt_posthoc,multiple_topk_peaks_near_gt_posthoc,all_topk_far_from_gt_posthoc,topk_gt_relationship_label,provenance_labels,notes
K00001,broad_fan_baseline,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,paired_optical_object_sar_gt,true,complete,165,343,970.145,940.871,162.071,121.553,243.106,4,"1:852,33,v=0.9961,d_gt=915.53;2:693,81,v=0.9961,d_gt=903.43;3:1146,1299,v=0.9961,d_gt=398.98;4:1152,1323,v=0.9922,d_gt=423.19",915.526,903.431,398.975,3,398.975,false,true,false,false,true,all_topk_peaks_far_from_gt_posthoc,SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Top-k distances to GT are posthoc diagnostics only; no peak is promoted to a final target center.
K00002,complete_shape_quantile_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,paired_optical_object_sar_gt,true,complete,165,343,970.145,940.871,162.071,121.553,243.106,5,"1:1020,969,v=0.8078,d_gt=57.24;2:1002,960,v=0.7686,d_gt=37.16;3:918,975,v=0.749,d_gt=62.32;4:1041,963,v=0.7098,d_gt=74.23;5:969,969,v=0.702,d_gt=28.15",57.243,37.157,62.321,5,28.152,true,true,true,true,false,top1_peak_near_gt_posthoc,SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Top-k distances to GT are posthoc diagnostics only; no peak is promoted to a final target center.
K00003,state_conditioned_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,paired_optical_object_sar_gt,true,complete,165,343,970.145,940.871,162.071,121.553,243.106,5,"1:1020,969,v=0.8078,d_gt=57.24;2:1002,960,v=0.7686,d_gt=37.16;3:918,975,v=0.749,d_gt=62.32;4:1041,963,v=0.7098,d_gt=74.23;5:969,969,v=0.702,d_gt=28.15",57.243,37.157,62.321,5,28.152,true,true,true,true,false,top1_peak_near_gt_posthoc,SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Top-k distances to GT are posthoc diagnostics only; no peak is promoted to a final target center.
K00004,object_smoothed_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,paired_optical_object_sar_gt,true,complete,165,343,970.145,940.871,162.071,121.553,243.106,5,"1:1020,969,v=0.8078,d_gt=57.24;2:1002,960,v=0.7686,d_gt=37.16;3:918,975,v=0.749,d_gt=62.32;4:1041,963,v=0.7098,d_gt=74.23;5:969,969,v=0.702,d_gt=28.15",57.243,37.157,62.321,5,28.152,true,true,true,true,false,top1_peak_near_gt_posthoc,SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Top-k distances to GT are posthoc diagnostics only; no peak is promoted to a final target center.
K00005,scene_residual_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,paired_optical_object_sar_gt,true,complete,165,343,970.145,940.871,162.071,121.553,243.106,5,"1:1020,969,v=0.8078,d_gt=57.24;2:1074,1017,v=0.7804,d_gt=128.77;3:1002,960,v=0.7686,d_gt=37.16;4:918,975,v=0.749,d_gt=62.32;5:1041,963,v=0.7098,d_gt=74.23",57.243,128.769,37.157,3,37.157,true,true,true,true,false,top1_peak_near_gt_posthoc,SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Top-k distances to GT are posthoc diagnostics only; no peak is promoted to a final target center.
K00006,broad_fan_baseline,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,paired_optical_object_sar_gt,true,complete,165,344,977.092,940.874,152.28,114.21,228.42,3,"1:1146,1299,v=0.9961,d_gt=395.96;2:1152,1326,v=0.9922,d_gt=422.98;3:519,159,v=0.9922,d_gt=906.19",395.96,422.983,906.187,1,395.96,false,false,false,false,true,all_topk_peaks_far_from_gt_posthoc,SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Top-k distances to GT are posthoc diagnostics only; no peak is promoted to a final target center.
K00007,complete_shape_quantile_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,paired_optical_object_sar_gt,true,complete,165,344,977.092,940.874,152.28,114.21,228.42,5,"1:1041,966,v=0.8353,d_gt=68.67;2:1008,969,v=0.7569,d_gt=41.79;3:969,972,v=0.7569,d_gt=32.16;4:939,975,v=0.7412,d_gt=51.14;5:1062,960,v=0.6235,d_gt=87.04",68.67,41.79,32.161,3,32.161,true,true,true,true,false,top1_peak_near_gt_posthoc,SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Top-k distances to GT are posthoc diagnostics only; no peak is promoted to a final target center.
K00008,state_conditioned_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,paired_optical_object_sar_gt,true,complete,165,344,977.092,940.874,152.28,114.21,228.42,5,"1:1041,966,v=0.8353,d_gt=68.67;2:1008,969,v=0.7569,d_gt=41.79;3:969,972,v=0.7569,d_gt=32.16;4:939,975,v=0.7412,d_gt=51.14;5:1062,960,v=0.6235,d_gt=87.04",68.67,41.79,32.161,3,32.161,true,true,true,true,false,top1_peak_near_gt_posthoc,SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Top-k distances to GT are posthoc diagnostics only; no peak is promoted to a final target center.
K00009,object_smoothed_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,paired_optical_object_sar_gt,true,complete,165,344,977.092,940.874,152.28,114.21,228.42,5,"1:1041,966,v=0.8353,d_gt=68.67;2:969,972,v=0.7569,d_gt=32.16;3:1008,969,v=0.7569,d_gt=41.79;4:939,975,v=0.7412,d_gt=51.14;5:1062,960,v=0.6235,d_gt=87.04",68.67,32.161,41.79,2,32.161,true,true,true,true,false,top1_peak_near_gt_posthoc,SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Top-k distances to GT are posthoc diagnostics only; no peak is promoted to a final target center.
K00010,scene_residual_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,paired_optical_object_sar_gt,true,complete,165,344,977.092,940.874,152.28,114.21,228.42,5,"1:1041,966,v=0.8353,d_gt=68.67;2:1008,969,v=0.7569,d_gt=41.79;3:969,972,v=0.7569,d_gt=32.16;4:939,975,v=0.7412,d_gt=51.14;5:1062,960,v=0.6235,d_gt=87.04",68.67,41.79,32.161,3,32.161,true,true,true,true,false,top1_peak_near_gt_posthoc,SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Top-k distances to GT are posthoc diagnostics only; no peak is promoted to a final target center.
