scene,object_hypothesis_id,class_name,class_group,is_vehicle_like,bbox_width,bbox_height,bbox_area,bbox_area_ratio,median_bbox_width,median_bbox_height,median_bbox_area,median_bbox_area_ratio,min_bbox_width,max_bbox_width,min_bbox_height,max_bbox_height,min_bbox_area_ratio,max_bbox_area_ratio,visible_frame_count,track_frame_span,optical_start_frame,optical_end_frame,median_confidence,edge_contact,partial_or_occluded,duplicate_or_handoff,ambiguity_status,resolvability_tier,vehicle_research_eligibility,downstream_recommendation,spatial_prior_status,spatial_prior_mode,spatial_prior_vehicle_admission_consistency,sar_start_frame,sar_end_frame,sar_window_frame_count,range_prior_mode,azimuth_prior_available,degradation_reason,notes,local_visualization_path,repo_sample_visualization_path
GM_RM011,,,no_object_flow,false,,,,,,,,,,,,,,,,,,,,false,false,false,not_applicable_no_object_flow,no_object_flow,blocked_no_object_flow,block_no_object_level_input,blocked_missing_object_level_flow,blocked_no_object_level_spatial_prior,consistent_blocked,,,,not_generated_no_object_flow,false,第十一场景时间元数据可用，但缺光学目标流，不能生成对象级车辆准入。,所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm011_sceneonly_20260702_180326.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\vehicle_research_eligibility_visualizations\vehicle_eligibility_20260702_180326\oty2_vehicle_eligibility_gmrm011_no_object_flow_gm_rm011_sceneonly_20260702_180326.png
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,car,vehicle_like:car,true,220.124,97.559,20853.440,0.043445,220.124,97.559,20853.440,0.043445,49.395,263.931,43.118,108.375,0.004437,0.058834,72,72,143,214,0.931287,true,true,true,ambiguous_or_review_required,high_resolvable_vehicle,weak_vehicle_layer,keep_as_weak_vehicle_review_layer,loose_spatial_prior_generated,expanded_azimuth_interval_with_broad_unknown_range,consistent_but_needs_weak_vehicle_layer,293,452,160,broad_unknown_range_prior,true,光学上较清晰：如果空间先验和状态稳定，可进入主研究流。 | 存在边缘接触/截断风险，会扩大或降低空间先验可信度。 | 存在 partial/遮挡类状态，不直接删除，但需要更保守处理。 | 存在 duplicate/handoff/多观测风险，保留弱层或审阅层。 | 对象含混或 upstream 已转为 review-only，不混入正常主结果。,距离向仍是 broad_unknown_range_prior：时间窗和方位弱约束不能解决距离收敛。 | 所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm017_bt0010_20260702_180326.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\vehicle_research_eligibility_visualizations\vehicle_eligibility_20260702_180326\oty2_vehicle_eligibility_relaxed_spatial_vehicle_gm_rm017_bt0010_20260702_180326.png
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,car,vehicle_like:car,true,188.335,70.974,13029.398,0.027145,188.335,70.974,13029.398,0.027145,65.114,245.620,50.053,78.069,0.006790,0.038344,62,62,149,210,0.912498,true,true,true,ambiguous_or_review_required,high_resolvable_vehicle,weak_vehicle_layer,keep_as_weak_vehicle_review_layer,loose_spatial_prior_generated,expanded_azimuth_interval_with_broad_unknown_range,consistent_but_needs_weak_vehicle_layer,306,444,139,broad_unknown_range_prior,true,光学上较清晰：如果空间先验和状态稳定，可进入主研究流。 | 存在边缘接触/截断风险，会扩大或降低空间先验可信度。 | 存在 partial/遮挡类状态，不直接删除，但需要更保守处理。 | 存在 duplicate/handoff/多观测风险，保留弱层或审阅层。 | 对象含混或 upstream 已转为 review-only，不混入正常主结果。,距离向仍是 broad_unknown_range_prior：时间窗和方位弱约束不能解决距离收敛。 | 所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm017_bt0012_20260702_180326.png,
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,car,vehicle_like:car,true,53.047,59.417,2764.950,0.005760,53.047,59.417,2764.950,0.005760,37.939,77.077,42.408,70.396,0.003352,0.009792,62,62,152,213,0.834883,true,true,true,ambiguous_or_review_required,medium_resolvable_vehicle,weak_vehicle_layer,keep_as_weak_vehicle_review_layer,loose_spatial_prior_generated,expanded_azimuth_interval_with_broad_unknown_range,consistent_but_needs_weak_vehicle_layer,312,450,139,broad_unknown_range_prior,true,中等可解析车辆：可进入弱车层或主研究候选，但需要状态约束共同判断。 | 存在边缘接触/截断风险，会扩大或降低空间先验可信度。 | 存在 duplicate/handoff/多观测风险，保留弱层或审阅层。 | 对象含混或 upstream 已转为 review-only，不混入正常主结果。,距离向仍是 broad_unknown_range_prior：时间窗和方位弱约束不能解决距离收敛。 | 所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm017_bt0014_20260702_180326.png,
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0001,truck,vehicle_like:truck,true,156.570,149.428,23902.798,0.049797,156.570,149.428,23902.798,0.049797,67.139,219.574,107.683,172.941,0.015062,0.068289,47,47,118,164,0.914921,true,true,false,not_ambiguous,high_resolvable_vehicle,main_research_vehicle,enter_vehicle_main_research_input,normal_spatial_prior_generated,azimuth_interval_with_broad_unknown_range,consistent_main_vehicle,242,347,106,broad_unknown_range_prior,true,光学上较清晰：如果空间先验和状态稳定，可进入主研究流。 | 存在边缘接触/截断风险，会扩大或降低空间先验可信度。,距离向仍是 broad_unknown_range_prior：时间窗和方位弱约束不能解决距离收敛。 | 所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm017_bt0001_20260702_180326.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\vehicle_research_eligibility_visualizations\vehicle_eligibility_20260702_180326\oty2_vehicle_eligibility_clear_main_vehicle_gm_rm017_bt0001_20260702_180326.png
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0002,truck,vehicle_like:truck,true,235.991,174.460,41170.885,0.085773,235.991,174.460,41170.885,0.085773,192.704,266.479,167.181,183.835,0.067500,0.102059,9,9,121,129,0.504584,true,false,false,not_ambiguous,high_resolvable_vehicle,main_research_vehicle,enter_vehicle_main_research_input,normal_spatial_prior_generated,azimuth_interval_with_broad_unknown_range,consistent_main_vehicle,249,274,26,broad_unknown_range_prior,true,光学上较清晰：如果空间先验和状态稳定，可进入主研究流。 | 存在边缘接触/截断风险，会扩大或降低空间先验可信度。,距离向仍是 broad_unknown_range_prior：时间窗和方位弱约束不能解决距离收敛。 | 所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm017_bt0002_20260702_180326.png,
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,car,vehicle_like:car,true,263.976,98.538,25447.643,0.053016,263.976,98.538,25447.643,0.053016,76.234,315.212,85.718,108.461,0.013614,0.068964,56,56,145,200,0.936113,true,true,true,ambiguous_or_review_required,high_resolvable_vehicle,review_only_vehicle,review_only_do_not_use_as_main_input,review_only_spatial_context_generated,review_only_azimuth_context_with_broad_unknown_range,consistent_review_only,297,424,128,broad_unknown_range_prior_review_only,true,光学上较清晰：如果空间先验和状态稳定，可进入主研究流。 | 存在边缘接触/截断风险，会扩大或降低空间先验可信度。 | 存在 partial/遮挡类状态，不直接删除，但需要更保守处理。 | 存在 duplicate/handoff/多观测风险，保留弱层或审阅层。 | 对象含混或 upstream 已转为 review-only，不混入正常主结果。,距离向仍是 broad_unknown_range_prior：时间窗和方位弱约束不能解决距离收敛。 | 所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm017_bt0008_20260702_180326.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0009,car,vehicle_like:car,true,107.445,135.300,14777.490,0.030786,107.445,135.300,14777.490,0.030786,81.312,133.579,126.112,144.489,0.021363,0.040210,14,14,1,14,0.650761,true,true,true,ambiguous_or_review_required,blocked_noise_or_short_track,blocked_vehicle_or_noise,block_from_vehicle_research_flow,blocked_no_spatial_prior,blocked_no_spatial_prior,consistent_blocked,,,,not_generated_for_blocked_object,false,对象被现有空间先验或短轨迹/not-ready 状态阻断。 | 存在边缘接触/截断风险，会扩大或降低空间先验可信度。 | 存在 duplicate/handoff/多观测风险，保留弱层或审阅层。 | 对象含混或 upstream 已转为 review-only，不混入正常主结果。,所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0009_20260702_180326.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\vehicle_research_eligibility_visualizations\vehicle_eligibility_20260702_180326\oty2_vehicle_eligibility_blocked_target_gm_rm019_bt0009_20260702_180326.png
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0024,car,vehicle_like:car,true,47.052,24.977,1175.204,0.002448,47.052,24.977,1175.204,0.002448,47.052,47.052,24.977,24.977,0.002448,0.002448,16,16,37,52,0.407205,false,true,true,ambiguous_or_review_required,blocked_noise_or_short_track,blocked_vehicle_or_noise,block_from_vehicle_research_flow,blocked_no_spatial_prior,blocked_no_spatial_prior,consistent_blocked,,,,not_generated_for_blocked_object,false,对象被现有空间先验或短轨迹/not-ready 状态阻断。 | 存在 duplicate/handoff/多观测风险，保留弱层或审阅层。 | 对象含混或 upstream 已转为 review-only，不混入正常主结果。,所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0024_20260702_180326.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0029,car,vehicle_like:car,true,16.956,26.014,441.114,0.000919,16.956,26.014,441.114,0.000919,16.956,16.956,26.014,26.014,0.000919,0.000919,57,57,37,93,0.622726,false,true,true,ambiguous_or_review_required,blocked_noise_or_short_track,blocked_vehicle_or_noise,block_from_vehicle_research_flow,blocked_no_spatial_prior,blocked_no_spatial_prior,consistent_blocked,,,,not_generated_for_blocked_object,false,对象被现有空间先验或短轨迹/not-ready 状态阻断。 | 存在 duplicate/handoff/多观测风险，保留弱层或审阅层。 | 对象含混或 upstream 已转为 review-only，不混入正常主结果。,所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0029_20260702_180326.png,
