sample_role,scene,object_hypothesis_id,class_name,resolvability_tier,vehicle_research_eligibility,spatial_prior_status,local_visualization_path,repo_sample_visualization_path
第十一场景说明,GM_RM011,,,no_object_flow,blocked_no_object_flow,blocked_missing_object_level_flow,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm011_sceneonly_20260702_180326.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\vehicle_research_eligibility_visualizations\vehicle_eligibility_20260702_180326\oty2_vehicle_eligibility_gmrm011_no_object_flow_gm_rm011_sceneonly_20260702_180326.png
宽松空间先验车辆,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,car,high_resolvable_vehicle,weak_vehicle_layer,loose_spatial_prior_generated,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm017_bt0010_20260702_180326.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\vehicle_research_eligibility_visualizations\vehicle_eligibility_20260702_180326\oty2_vehicle_eligibility_relaxed_spatial_vehicle_gm_rm017_bt0010_20260702_180326.png
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,car,high_resolvable_vehicle,weak_vehicle_layer,loose_spatial_prior_generated,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm017_bt0012_20260702_180326.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,car,medium_resolvable_vehicle,weak_vehicle_layer,loose_spatial_prior_generated,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm017_bt0014_20260702_180326.png,
清晰主研究车辆,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0001,truck,high_resolvable_vehicle,main_research_vehicle,normal_spatial_prior_generated,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm017_bt0001_20260702_180326.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\vehicle_research_eligibility_visualizations\vehicle_eligibility_20260702_180326\oty2_vehicle_eligibility_clear_main_vehicle_gm_rm017_bt0001_20260702_180326.png
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0002,truck,high_resolvable_vehicle,main_research_vehicle,normal_spatial_prior_generated,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm017_bt0002_20260702_180326.png,
,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,car,high_resolvable_vehicle,review_only_vehicle,review_only_spatial_context_generated,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm017_bt0008_20260702_180326.png,
阻断目标,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0009,car,blocked_noise_or_short_track,blocked_vehicle_or_noise,blocked_no_spatial_prior,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0009_20260702_180326.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\vehicle_research_eligibility_visualizations\vehicle_eligibility_20260702_180326\oty2_vehicle_eligibility_blocked_target_gm_rm019_bt0009_20260702_180326.png
,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0024,car,blocked_noise_or_short_track,blocked_vehicle_or_noise,blocked_no_spatial_prior,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0024_20260702_180326.png,
,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0029,car,blocked_noise_or_short_track,blocked_vehicle_or_noise,blocked_no_spatial_prior,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0029_20260702_180326.png,
,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0036,car,blocked_noise_or_short_track,blocked_vehicle_or_noise,blocked_no_spatial_prior,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0036_20260702_180326.png,
,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0057,car,blocked_noise_or_short_track,blocked_vehicle_or_noise,blocked_no_spatial_prior,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0057_20260702_180326.png,
,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0067,car,blocked_noise_or_short_track,blocked_vehicle_or_noise,blocked_no_spatial_prior,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0067_20260702_180326.png,
,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0070,car,blocked_noise_or_short_track,blocked_vehicle_or_noise,blocked_no_spatial_prior,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0070_20260702_180326.png,
,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0073,car,blocked_noise_or_short_track,blocked_vehicle_or_noise,blocked_no_spatial_prior,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0073_20260702_180326.png,
,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0111,car,blocked_noise_or_short_track,blocked_vehicle_or_noise,blocked_no_spatial_prior,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0111_20260702_180326.png,
,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,car,high_resolvable_vehicle,weak_vehicle_layer,loose_spatial_prior_generated,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0005_20260702_180326.png,
远小车辆,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0042,car,low_resolvable_far_vehicle,far_small_vehicle_layer,loose_spatial_prior_generated,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0042_20260702_180326.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\vehicle_research_eligibility_visualizations\vehicle_eligibility_20260702_180326\oty2_vehicle_eligibility_far_small_vehicle_gm_rm019_bt0042_20260702_180326.png
,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,car,high_resolvable_vehicle,weak_vehicle_layer,loose_spatial_prior_generated,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0080_20260702_180326.png,
,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,car,high_resolvable_vehicle,weak_vehicle_layer,loose_spatial_prior_generated,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0098_20260702_180326.png,
,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0094,car,low_resolvable_far_vehicle,far_small_vehicle_layer,normal_spatial_prior_generated,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0094_20260702_180326.png,
,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0124,car,blocked_noise_or_short_track,blocked_vehicle_or_noise,normal_spatial_prior_generated,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0124_20260702_180326.png,
