shuffle_id,observable_frame_count,actual_abs_corr_response_index_aspect,shuffled_abs_corr_response_index_aspect,shuffled_q90_abs_corr,actual_exceeds_shuffle_q90,threshold_source
cyclic_shift_1,71,0.601984,0.609707,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_2,71,0.601984,0.641808,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_3,71,0.601984,0.63274,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_4,71,0.601984,0.647737,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_5,71,0.601984,0.667187,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_6,71,0.601984,0.675147,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_7,71,0.601984,0.684608,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_8,71,0.601984,0.660578,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_9,71,0.601984,0.601692,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_10,71,0.601984,0.555893,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_11,71,0.601984,0.537298,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_12,71,0.601984,0.533068,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_13,71,0.601984,0.541658,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_14,71,0.601984,0.53511,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_15,71,0.601984,0.510248,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_16,71,0.601984,0.472873,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_17,71,0.601984,0.451528,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_18,71,0.601984,0.428379,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_19,71,0.601984,0.401442,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_20,71,0.601984,0.372374,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_21,71,0.601984,0.282143,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_22,71,0.601984,0.179093,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_23,71,0.601984,0.095803,0.665204,false,deterministic_cyclic_aspect_shuffle
cyclic_shift_24,71,0.601984,0.008034,0.665204,false,deterministic_cyclic_aspect_shuffle
