corridor_region_id,pair_id,sar_frame,split,offset_axis,offset_m,relative_aspect_angle_deg,aspect_observability_status,absolute_range_m_grid,corridor_validity_status,vehicle_overlap_policy,total_energy,mean_energy,local_background_normalized_energy,high_energy_pixel_fraction,response_occupancy_ratio,inside_vs_ring_contrast,energy_entropy_proxy,range_energy90_width_m,azimuth_energy90_width_m,body_long_energy90_width_m,body_short_energy90_width_m,range_second_moment_width_m,azimuth_second_moment_width_m,body_long_second_moment_width_m,body_short_second_moment_width_m,energy_centroid_range_offset_m,energy_centroid_azimuth_offset_m,energy_centroid_body_long_offset_m,energy_centroid_body_short_offset_m,response_principal_axis_deg,principal_minus_body_axial_deg,principal_minus_range_axial_deg,response_compactness,response_linearity,response_fragment_count,response_fragmentation_index,radar_near_half_energy,radar_far_half_energy,near_far_energy_ratio
E0_R1_REG_000315_0005,WGV35A_PAIR_0003,315,calibration,local_range,-0.9,45.846796,OBSERVABLE_MEDIUM,36.86557,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,450637,40.630871,0.976204,0.083581,0.083581,1.487481,0.841466,2.405996,3.26489,3.948128,1.490461,0,0,5.175092,1.705872,-0.879636,-0.00332,0.644904,0.598221,174.654112,171.305981,-52.394802,0.181391,3.310892,165,16.529919,337600.008634,113036.991366,2.986633
E0_R1_REG_000315_0006,WGV35A_PAIR_0003,315,calibration,local_range,-0.45,45.846796,OBSERVABLE_MEDIUM,36.86557,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,450553,40.774029,0.979644,0.086244,0.086244,3.40092,0.841571,2.596034,3.254272,3.925497,1.652381,0,0,5.281498,1.922987,-0.450528,-0.007435,0.32642,0.310613,177.236359,174.176825,-49.812555,0.170109,2.778639,174,17.496229,282646.030016,167906.969984,1.683349
E0_R1_REG_000315_0008,WGV35A_PAIR_0003,315,calibration,local_range,0.45,45.846796,OBSERVABLE_MEDIUM,36.86557,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,438984,39.5802,0.950961,0.044631,0.044631,3.120523,0.850762,3.677252,2.327628,4.295861,1.873424,0,0,5.618573,2.507189,0.432322,0.014094,-0.308515,-0.303181,-160.124984,-169.810981,-27.173898,0.142247,2.428594,132,13.223935,165901.973496,273082.026504,0.607517
E0_R1_REG_000315_0009,WGV35A_PAIR_0003,315,calibration,local_range,0.9,45.846796,OBSERVABLE_MEDIUM,36.86557,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,430739,38.836803,0.9331,0.020918,0.020918,1.320617,0.87013,3.805245,3.129386,4.358225,1.893512,0,0,5.530626,2.389179,0.924739,0.001249,-0.679489,-0.627246,-169.262718,-177.833639,-36.311633,0.142323,2.320583,123,12.322303,102551.903816,328187.096184,0.31248
E0_R1_REG_000315_0010,WGV35A_PAIR_0003,315,calibration,local_azimuth,-0.9,45.846796,OBSERVABLE_MEDIUM,36.86557,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,443473,40.16238,0.964948,0.068375,0.068375,1.416628,0.851303,3.036639,2.778057,4.065579,1.558728,0,0,5.149753,1.724857,-0.005509,-0.886535,-0.596398,0.65596,-179.155942,178.010741,-46.204856,0.182354,2.961033,162,16.301395,222533.979395,220939.020605,1.007219
E0_R1_REG_000315_0011,WGV35A_PAIR_0003,315,calibration,local_azimuth,-0.45,45.846796,OBSERVABLE_MEDIUM,36.86557,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,448422,40.610577,0.975717,0.080964,0.080964,3.198354,0.841383,2.644573,3.04986,3.936696,1.661271,0,0,5.342816,1.916749,-0.027044,-0.442462,-0.279784,0.343839,178.874183,176.026027,-48.174731,0.161286,2.750823,165,16.603272,227550.031977,220871.968023,1.030235
E0_R1_REG_000315_0013,WGV35A_PAIR_0003,315,calibration,local_azimuth,0.45,45.846796,OBSERVABLE_MEDIUM,36.86557,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,437663,39.636208,0.952306,0.047636,0.047636,2.926673,0.850723,3.082218,2.493397,4.121248,1.863951,0,0,5.224081,2.42054,-0.007164,0.463729,0.319355,-0.336316,-164.206844,-172.706908,-31.255758,0.155588,2.25708,141,14.188251,219435.988821,218227.011179,1.00554
E0_R1_REG_000315_0014,WGV35A_PAIR_0003,315,calibration,local_azimuth,0.9,45.846796,OBSERVABLE_MEDIUM,36.86557,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,431997,38.981861,0.936585,0.028605,0.028605,1.294183,0.864448,3.416789,2.784197,4.304633,1.88047,0,0,5.435449,2.454332,0.012824,0.900834,0.600702,-0.671434,-166.353107,-175.251236,-33.402021,0.162328,2.258227,132,13.234675,213356.004934,218640.995066,0.975828
E0_R1_REG_000315_0015,WGV35A_PAIR_0003,315,calibration,body_long,-0.9,45.846796,OBSERVABLE_MEDIUM,36.86557,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,438931,39.751041,0.955065,0.051983,0.051983,2.944454,0.856058,3.092041,2.631862,4.047217,1.888077,0,0,5.109198,2.516103,0.656761,-0.603301,-0.8918,-0.000973,-172.503557,-173.65202,-39.552471,0.168659,2.084495,138,13.886373,137911.900456,301019.099544,0.45815
E0_R1_REG_000315_0016,WGV35A_PAIR_0003,315,calibration,body_long,-0.45,45.846796,OBSERVABLE_MEDIUM,36.86557,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,446506,40.142586,0.964473,0.064731,0.064731,4.926232,0.850365,3.301653,2.859822,4.206128,1.774102,0,0,5.226569,2.342359,0.311379,-0.295561,-0.429267,0.006548,-175.141237,-176.512091,-42.190151,0.151727,2.220681,152,15.183753,184499.946656,262006.053344,0.704182
E0_R1_REG_000315_0018,WGV35A_PAIR_0003,315,calibration,body_long,0.45,45.846796,OBSERVABLE_MEDIUM,36.86557,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,448941,40.51083,0.97332,0.078776,0.078776,5.095022,0.842372,2.652807,3.19071,3.950438,1.645102,0,0,5.180145,2.068452,-0.345188,0.283939,0.446269,0.024901,178.579457,176.0215,-48.469457,0.156627,2.488013,165,16.543344,268536.036082,180404.963918,1.488518
E0_R1_REG_000315_0019,WGV35A_PAIR_0003,315,calibration,body_long,0.9,45.846796,OBSERVABLE_MEDIUM,36.86557,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,448117,40.436474,0.971534,0.075438,0.075438,3.011826,0.844081,2.357529,3.177058,3.819245,1.686795,0,0,4.849231,2.143051,-0.662278,0.586046,0.884171,0.017405,176.634725,173.413976,-50.414189,0.193487,2.309493,172,17.245182,308709.99084,139407.00916,2.214451
E0_R1_REG_000315_0020,WGV35A_PAIR_0003,315,calibration,body_short,-0.9,45.846796,OBSERVABLE_MEDIUM,36.86557,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,432975,38.783142,0.93181,0.022573,0.022573,1.051557,0.868255,3.930204,3.308012,4.286505,1.892347,0,0,5.528643,2.472704,0.625831,0.657543,-0.015072,-0.907634,-169.469931,-177.479047,-36.518845,0.148344,2.242984,126,12.540308,138722.031136,294252.968864,0.471438
E0_R1_REG_000315_0021,WGV35A_PAIR_0003,315,calibration,body_short,-0.45,45.846796,OBSERVABLE_MEDIUM,36.86557,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,434123,39.287148,0.94392,0.038462,0.038462,2.450734,0.85692,3.646988,2.422899,4.26133,1.858865,0,0,5.548749,2.448888,0.299541,0.339762,0.009747,-0.452845,-162.624914,-170.666906,-29.673829,0.133729,2.44248,132,13.273002,179770.051103,254352.948897,0.706774
E0_R1_REG_000315_0023,WGV35A_PAIR_0003,315,calibration,body_short,0.45,45.846796,OBSERVABLE_MEDIUM,36.86557,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,450966,40.660534,0.976917,0.084032,0.084032,2.649153,0.840983,2.592278,3.278469,3.84939,1.597062,0,0,5.376306,1.822135,-0.313927,-0.322796,0.012328,0.450106,176.838146,173.90305,-50.210768,0.177432,3.014773,161,16.129194,265397.0298,185568.9702,1.43018
E0_R1_REG_000315_0024,WGV35A_PAIR_0003,315,calibration,body_short,0.9,45.846796,OBSERVABLE_MEDIUM,36.86557,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,449554,40.533226,0.973858,0.081868,0.081868,1.176279,0.840554,2.470353,3.21794,3.805503,1.564842,0,0,5.283511,1.651627,-0.609253,-0.63345,0.019194,0.878681,176.763707,173.657439,-50.285207,0.176977,3.324657,160,16.029013,302458.019541,147095.980459,2.056195
E0_R1_REG_000317_0005,WGV35A_PAIR_0006,317,calibration,local_range,-0.9,44.300205,OBSERVABLE_MEDIUM,36.989747,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,503954,45.299236,0.99627,0.104989,0.104989,1.662394,0.837291,2.536599,3.280369,3.938498,1.196524,0,0,5.199982,1.399697,-0.890653,0.010135,0.61927,0.640211,174.747904,173.909225,-52.695281,0.223066,3.937272,192,19.17603,389036.00968,114917.99032,3.385336
E0_R1_REG_000317_0006,WGV35A_PAIR_0006,317,calibration,local_range,-0.45,44.300205,OBSERVABLE_MEDIUM,36.989747,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,503607,45.268044,0.995584,0.106247,0.106247,4.160807,0.836947,2.576783,3.305066,3.889483,1.455352,0,0,5.214665,1.631164,-0.47443,0.013971,0.336099,0.335136,174.795347,173.956668,-52.647838,0.187932,3.318321,181,18.077403,325256.015382,178350.984618,1.823685
E0_R1_REG_000317_0008,WGV35A_PAIR_0006,317,calibration,local_range,0.45,44.300205,OBSERVABLE_MEDIUM,36.989747,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,474779,42.989769,0.945478,0.0364,0.0364,3.783427,0.86506,3.4836,3.111213,4.264511,1.894189,0,0,5.426593,2.569087,0.450587,0.010633,-0.301841,-0.334714,-168.186394,-173.147058,-35.62958,0.157097,2.181175,160,16.097227,172435.928599,302343.071401,0.570332
E0_R1_REG_000317_0009,WGV35A_PAIR_0006,317,calibration,local_range,0.9,44.300205,OBSERVABLE_MEDIUM,36.989747,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,469277,42.491581,0.934521,0.020011,0.020011,1.470087,0.872816,3.847628,3.321966,4.380409,1.889963,0,0,5.420876,2.460555,0.91486,0.010185,-0.621136,-0.671761,-174.103212,-179.794099,-41.546397,0.167415,2.201795,141,14.185682,103238.004367,366038.995633,0.282041
E0_R1_REG_000317_0010,WGV35A_PAIR_0006,317,calibration,local_azimuth,-0.9,44.300205,OBSERVABLE_MEDIUM,36.989747,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,488882,44.25473,0.973298,0.075858,0.075858,1.701319,0.853985,2.627423,2.886841,3.976262,1.5676,0,0,5.044185,1.678286,-0.013172,-0.875921,-0.627419,0.611355,178.242556,177.816209,-49.20063,0.189582,2.975136,173,17.4004,248269.032014,240612.967986,1.031819
E0_R1_REG_000317_0011,WGV35A_PAIR_0006,317,calibration,local_azimuth,-0.45,44.300205,OBSERVABLE_MEDIUM,36.989747,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,494751,44.472,0.978076,0.085124,0.085124,4.275262,0.849727,2.578196,2.819528,3.711258,1.486803,0,0,4.995308,1.657117,-0.025553,-0.43112,-0.295708,0.31476,178.606345,178.95294,-48.836841,0.187897,2.960413,178,17.777778,252990.035753,241760.964247,1.046447
E0_R1_REG_000317_0013,WGV35A_PAIR_0006,317,calibration,local_azimuth,0.45,44.300205,OBSERVABLE_MEDIUM,36.989747,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,483363,43.767021,0.962572,0.058584,0.058584,4.118744,0.849087,2.990037,2.788782,4.106925,1.860679,0,0,5.378118,2.41511,-0.0179,0.460388,0.346829,-0.303294,-174.314271,-174.028997,-41.757456,0.16571,2.284634,165,16.600266,244092.982868,239270.017132,1.020157
E0_R1_REG_000317_0014,WGV35A_PAIR_0006,317,calibration,local_azimuth,0.9,44.300205,OBSERVABLE_MEDIUM,36.989747,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,474625,42.975822,0.945171,0.032959,0.032959,1.607973,0.866822,3.486031,3.387243,4.235255,1.887602,0,0,5.610357,2.49921,0.00699,0.900709,0.649679,-0.623894,-171.191501,-174.857619,-38.634686,0.152768,2.291355,163,16.39905,235696.026027,238928.973973,0.986469
E0_R1_REG_000317_0015,WGV35A_PAIR_0006,317,calibration,body_long,-0.9,44.300205,OBSERVABLE_MEDIUM,36.989747,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,486766,43.754246,0.962291,0.063101,0.063101,4.45916,0.856287,3.171231,2.399662,4.169114,1.783862,0,0,5.077225,2.307669,0.609927,-0.658238,-0.897333,0.009039,-172.741715,-171.667106,-40.184901,0.173051,2.304923,148,14.781523,155144.93555,331621.06445,0.467838
E0_R1_REG_000317_0016,WGV35A_PAIR_0006,317,calibration,body_long,-0.45,44.300205,OBSERVABLE_MEDIUM,36.989747,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,486109,44.015663,0.96804,0.074248,0.074248,10.635247,0.852305,2.742717,2.72571,3.692679,1.613103,0,0,4.944332,2.01206,0.286713,-0.327227,-0.434753,0.016481,-177.910098,-176.8021,-45.353284,0.187655,2.447734,161,16.197835,201881.935957,284227.064043,0.710284
E0_R1_REG_000317_0018,WGV35A_PAIR_0006,317,calibration,body_long,0.45,44.300205,OBSERVABLE_MEDIUM,36.989747,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,500338,44.974201,0.989121,0.100764,0.100764,10.349651,0.835581,2.595659,3.287998,3.926505,1.490042,0,0,5.148639,1.716407,-0.335841,0.330411,0.47082,0.017029,176.181457,175.342778,-51.261728,0.172442,3.031317,171,17.078652,301914.008503,198423.991497,1.52156
E0_R1_REG_000317_0019,WGV35A_PAIR_0006,317,calibration,body_long,0.9,44.300205,OBSERVABLE_MEDIUM,36.989747,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,499399,44.889797,0.987265,0.100045,0.100045,4.741802,0.834722,2.383157,3.276752,3.863877,1.507002,0,0,4.917638,1.749694,-0.627655,0.630386,0.889274,0.022978,173.490279,172.6516,-53.952906,0.172029,2.957479,186,18.576779,346082.989712,153316.010288,2.257318
E0_R1_REG_000317_0020,WGV35A_PAIR_0006,317,calibration,body_short,-0.9,44.300205,OBSERVABLE_MEDIUM,36.989747,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,472838,42.767548,0.94059,0.025054,0.025054,1.273555,0.869576,3.915731,3.092109,4.429727,1.89696,0,0,5.755705,2.531883,0.662037,0.626939,0.000712,-0.911781,-167.651448,-176.880924,-35.094634,0.128739,2.286622,139,13.969288,140401.077438,332436.922562,0.422339
E0_R1_REG_000317_0021,WGV35A_PAIR_0006,317,calibration,body_short,-0.45,44.300205,OBSERVABLE_MEDIUM,36.989747,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,480135,43.158203,0.949182,0.04,0.04,3.51119,0.862208,3.394812,2.942284,4.233938,1.908377,0,0,5.639744,2.524408,0.321423,0.318058,0.010282,-0.452071,-169.29797,-172.810002,-36.741155,0.12609,2.316843,157,15.6804,193223.965815,286911.034185,0.673463
E0_R1_REG_000317_0023,WGV35A_PAIR_0006,317,calibration,body_short,0.45,44.300205,OBSERVABLE_MEDIUM,36.989747,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,499604,45.237595,0.994914,0.101684,0.101684,3.918234,0.838416,2.569549,3.240185,3.851582,1.276414,0,0,5.194252,1.515521,-0.350311,-0.276546,0.039728,0.444542,175.688147,174.849468,-51.755038,0.205585,3.489991,180,18.109381,304119.973531,195484.026469,1.555728
E0_R1_REG_000317_0024,WGV35A_PAIR_0006,317,calibration,body_short,0.9,44.300205,OBSERVABLE_MEDIUM,36.989747,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,495365,45.131649,0.992584,0.100765,0.100765,1.456327,0.837435,2.541629,3.214469,3.888165,1.28871,0,0,5.248164,1.374809,-0.651922,-0.573658,0.031054,0.867826,174.255007,173.416328,-53.188178,0.198654,4.107245,177,17.917881,347460.015811,147904.984189,2.349211
E0_R1_REG_000319_0005,WGV35A_PAIR_0007,319,calibration,local_range,-0.9,48.375314,OBSERVABLE_HIGH,37.286259,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,592851,53.593472,1.020148,0.119689,0.119689,1.643623,0.825944,2.335778,3.22639,3.754128,1.228616,0,0,4.834176,1.478709,-0.891146,0.010192,0.617278,0.642816,175.94517,173.253935,-53.043713,0.224006,3.422722,218,21.896784,459256.013077,133594.986923,3.437674
E0_R1_REG_000319_0006,WGV35A_PAIR_0007,319,calibration,local_range,-0.45,48.375314,OBSERVABLE_HIGH,37.286259,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,595351,53.819473,1.02445,0.123667,0.123667,3.935716,0.826355,2.526672,3.31694,3.768185,1.439194,0,0,5.004901,1.721706,-0.474311,0.002366,0.326315,0.344232,176.898944,174.395164,-52.089938,0.196657,2.960768,226,22.700335,385629.018982,209721.981018,1.838763
E0_R1_REG_000319_0008,WGV35A_PAIR_0007,319,calibration,local_range,0.45,48.375314,OBSERVABLE_HIGH,37.286259,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,567089,51.292419,0.976347,0.05644,0.05644,3.745952,0.850881,3.405609,3.047269,4.342733,1.861846,0,0,5.773072,2.416983,0.436937,0.014756,-0.288254,-0.328697,-168.581893,-174.084061,-37.570775,0.147152,2.459814,193,19.396205,208554.95283,358534.04717,0.581688
E0_R1_REG_000319_0009,WGV35A_PAIR_0007,319,calibration,local_range,0.9,48.375314,OBSERVABLE_HIGH,37.286259,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,554251,50.267639,0.956841,0.029204,0.029204,1.511992,0.866175,3.597574,3.17317,4.288373,1.850612,0,0,5.504935,2.354545,0.906561,-0.001973,-0.621834,-0.659681,-172.687131,-175.99922,-41.676014,0.143005,2.365308,171,17.231997,123396.007999,430854.992001,0.286398
E0_R1_REG_000319_0010,WGV35A_PAIR_0007,319,calibration,local_azimuth,-0.9,48.375314,OBSERVABLE_HIGH,37.286259,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,579855,52.589787,1.001043,0.093778,0.093778,1.671417,0.846632,2.779673,2.81003,3.978762,1.577165,0,0,5.088845,1.670282,-0.01225,-0.875523,-0.630017,0.608087,-179.841319,178.378741,-48.830201,0.183294,3.01477,205,20.658242,294112.062449,285742.937551,1.029289
E0_R1_REG_000319_0011,WGV35A_PAIR_0007,319,calibration,local_azimuth,-0.45,48.375314,OBSERVABLE_HIGH,37.286259,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,590332,53.365757,1.015813,0.111282,0.111282,4.095878,0.829192,2.784571,3.232261,3.820181,1.596818,0,0,5.10376,1.836627,-0.028517,-0.422826,-0.288794,0.31015,179.5117,177.339135,-49.477182,0.181619,2.732875,214,21.495008,302290.982606,288041.017394,1.049472
E0_R1_REG_000319_0013,WGV35A_PAIR_0007,319,calibration,local_azimuth,0.45,48.375314,OBSERVABLE_HIGH,37.286259,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,580276,51.879841,0.987529,0.071614,0.071614,3.909231,0.840098,3.111322,2.886828,4.105499,1.845654,0,0,5.21679,2.382074,-0.023154,0.465219,0.355066,-0.301484,-170.660122,-173.169073,-39.649005,0.150013,2.283538,214,21.25863,294732.958622,285543.041378,1.032184
E0_R1_REG_000319_0014,WGV35A_PAIR_0007,319,calibration,local_azimuth,0.9,48.375314,OBSERVABLE_HIGH,37.286259,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,562141,50.817303,0.967304,0.046285,0.046285,1.646615,0.860061,3.287525,3.441901,4.18479,1.850612,0,0,5.46977,2.354115,-0.00234,0.894683,0.653971,-0.610561,-173.487737,-175.752081,-42.47662,0.134807,2.361403,209,20.992788,281311.030869,280829.969131,1.001713
E0_R1_REG_000319_0015,WGV35A_PAIR_0007,319,calibration,body_long,-0.9,48.375314,OBSERVABLE_HIGH,37.286259,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,571840,51.862869,0.987206,0.075095,0.075095,3.685523,0.85044,3.059172,2.608303,3.921489,1.815675,0,0,5.024271,2.37163,0.60043,-0.643197,-0.879894,0.002354,-170.121878,-172.924513,-39.11076,0.164575,2.19058,190,19.146663,183106.10434,388733.89566,0.471032
E0_R1_REG_000319_0016,WGV35A_PAIR_0007,319,calibration,body_long,-0.45,48.375314,OBSERVABLE_HIGH,37.286259,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,578852,52.498821,0.999311,0.093688,0.093688,7.25175,0.842247,3.076912,2.850375,3.897925,1.729561,0,0,5.047461,2.188721,0.274978,-0.324291,-0.424639,0.021421,-173.422562,-175.271925,-42.411445,0.169942,2.320697,199,20.053611,242766.005015,336085.994985,0.722333
E0_R1_REG_000319_0018,WGV35A_PAIR_0007,319,calibration,body_long,0.45,48.375314,OBSERVABLE_HIGH,37.286259,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,588718,53.393616,1.016344,0.115545,0.115545,7.749617,0.825921,2.63493,3.194867,3.726833,1.606963,0,0,4.70615,1.920218,-0.3383,0.328818,0.471274,0.021653,178.314207,175.568562,-50.674675,0.165907,2.450076,212,21.363646,357203.04106,231514.95894,1.542894
E0_R1_REG_000319_0019,WGV35A_PAIR_0007,319,calibration,body_long,0.9,48.375314,OBSERVABLE_HIGH,37.286259,GT_ATTACHED_OFFSET_HAS_OVERLAP_RISK,not_claimed_clean_background_when_offset_smaller_than_subject_extent,595611,53.250874,1.013627,0.112919,0.112919,3.921835,0.826367,2.492197,3.191948,3.52722,1.670422,0,0,4.518989,2.046091,-0.624799,0.639247,0.89369,0.018119,175.922101,173.749536,-53.066781,0.192924,2.236465,218,21.655988,413732.994648,181878.005352,2.274783
