pair_id,sar_frame,split,selected_center_x,selected_center_y,body_axis_proxy_deg,body_axis_axial_ci_low_deg,body_axis_axial_ci_high_deg,body_axis_axial_ci_width_deg,method_consensus_axial_mad_deg,speed_px_per_sar_frame,along_track_residual_px,cross_track_residual_px,total_residual_px,support_frame_count,support_frames,trajectory_gap_size,local_displacement_sign_stability,duplicate_conflict_status,identity_consistency_status,heading_observability_status,observability_thresholds,threshold_source,diagnostic_scope
WGV35A_PAIR_0003,315,calibration,790.875,940.529,1.202118,1.641141,6.036713,4.395572,2.96215,6.034914,2.43374,1.275559,2.747752,5,315;317;319;321;323,2,1,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_MEDIUM,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0006,317,calibration,796.4825,941.214,3.14298,177.918581,4.936736,7.018155,3.41548,6.318055,2.511148,1.882573,3.138462,6,315;317;319;321;323;325,2,1,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_MEDIUM,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0007,319,calibration,813.8,939.398,0.613569,0.631782,3.041618,2.409835,1.546362,6.126931,2.5081,1.919843,3.158538,7,315;317;319;321;323;325;327,2,1,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0010,321,calibration,826.9845,944.068,2.325888,0.775704,3.617305,2.841601,0.763574,6.126931,2.5081,1.919843,3.158538,7,315;317;319;321;323;325;327,2,1,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0012,323,calibration,835.794,943.7485,1.198229,179.696713,2.293109,2.596396,1.468895,6.276623,2.514002,1.925983,3.166957,8,315;317;319;321;323;325;327;331,2,1,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0014,325,calibration,853.0945,939.369,179.382358,179.471654,0.838679,1.367025,1.292311,6.564818,2.179209,2.078113,3.01123,9,317;319;321;323;325;327;331;332;333,2,1,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0016,327,calibration,860.0895,944.6445,0.012221,178.648875,0.585411,1.936536,0.933977,6.580243,2.726156,2.161965,3.479371,10,319;321;323;325;327;331;332;333;334;335,4,1,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0021,331,calibration,890.023,941.182,0.793851,178.593521,0.573889,1.980368,2.085651,6.783021,2.396879,1.814124,3.006006,12,323;325;327;331;332;333;334;335;336;337;338;339,4,0.909091,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_HIGH,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0023,332,calibration,898.926,944.3575,3.891959,0.141865,2.587767,2.445902,3.257351,6.743539,2.36939,2.112689,3.174502,12,325;327;331;332;333;334;335;336;337;338;339;340,1,0.909091,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_MEDIUM,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
WGV35A_PAIR_0025,333,calibration,903.311,939.939,3.185713,179.785685,2.24531,2.459624,3.275079,6.654384,2.464542,2.05153,3.206671,13,325;327;331;332;333;334;335;336;337;338;339;340;341,1,0.916667,UNIQUE_GT_CENTER,single_pair_single_gt,OBSERVABLE_MEDIUM,max_ci_high=6;max_mad_high=2.5;max_cross_high=2.308516;max_total_high=3.738784;min_support_high=7;min_sign_high=0.7;max_ci_medium=30;max_mad_medium=16;max_total_medium=11;min_support_medium=4;min_speed_medium=3.063465;max_gap_medium=4;min_sign_medium=0.58,calibration_sar_le_360,posthoc_two_sided_tangent_audit_not_runtime_state
