frame_a,frame_b,split_a,split_b,frame_gap,aspect_delta_deg,response_descriptor_distance,local_aspect_smoothness,abrupt_change_without_aspect_change_count,large_aspect_change_response_count,threshold_source
315,317,calibration,calibration,2,1.546591,0.279562,-0.006206,16,0,calibration_descriptor_distance_q75
317,319,calibration,calibration,2,4.075109,0.514143,-0.006206,16,0,calibration_descriptor_distance_q75
319,321,calibration,calibration,2,0.933238,0.224302,-0.006206,16,0,calibration_descriptor_distance_q75
321,323,calibration,calibration,2,1.920575,0.58202,-0.006206,16,0,calibration_descriptor_distance_q75
323,325,calibration,calibration,2,3.69021,0.906571,-0.006206,16,0,calibration_descriptor_distance_q75
325,327,calibration,calibration,2,0.35486,1.115295,-0.006206,16,0,calibration_descriptor_distance_q75
327,331,calibration,calibration,4,2.375757,0.477333,-0.006206,16,0,calibration_descriptor_distance_q75
331,332,calibration,calibration,1,2.406433,1.248446,-0.006206,16,0,calibration_descriptor_distance_q75
332,333,calibration,calibration,1,1.458482,0.404747,-0.006206,16,0,calibration_descriptor_distance_q75
333,334,calibration,calibration,1,2.386207,0.278518,-0.006206,16,0,calibration_descriptor_distance_q75
334,335,calibration,calibration,1,2.718701,0.378737,-0.006206,16,0,calibration_descriptor_distance_q75
335,336,calibration,calibration,1,0.209292,1.444119,-0.006206,16,0,calibration_descriptor_distance_q75
336,337,calibration,calibration,1,1.266435,1.684565,-0.006206,16,0,calibration_descriptor_distance_q75
337,338,calibration,calibration,1,1.027647,0.259032,-0.006206,16,0,calibration_descriptor_distance_q75
338,339,calibration,calibration,1,0.283731,0.282726,-0.006206,16,0,calibration_descriptor_distance_q75
339,340,calibration,calibration,1,0.040012,1.516585,-0.006206,16,0,calibration_descriptor_distance_q75
340,341,calibration,calibration,1,0.051931,0.150947,-0.006206,16,0,calibration_descriptor_distance_q75
341,342,calibration,calibration,1,1.400454,1.54929,-0.006206,16,0,calibration_descriptor_distance_q75
342,343,calibration,calibration,1,0.578174,0.25127,-0.006206,16,0,calibration_descriptor_distance_q75
343,344,calibration,calibration,1,0.967294,0.273435,-0.006206,16,0,calibration_descriptor_distance_q75
344,345,calibration,calibration,1,0.698269,0.372002,-0.006206,16,0,calibration_descriptor_distance_q75
345,346,calibration,calibration,1,1.138725,0.20065,-0.006206,16,0,calibration_descriptor_distance_q75
346,347,calibration,calibration,1,1.513124,0.364797,-0.006206,16,0,calibration_descriptor_distance_q75
347,348,calibration,calibration,1,0.135686,0.18188,-0.006206,16,0,calibration_descriptor_distance_q75
348,349,calibration,calibration,1,0.49401,0.072964,-0.006206,16,0,calibration_descriptor_distance_q75
349,350,calibration,calibration,1,1.608608,1.949009,-0.006206,16,0,calibration_descriptor_distance_q75
350,351,calibration,calibration,1,0.751451,0.385759,-0.006206,16,0,calibration_descriptor_distance_q75
351,352,calibration,calibration,1,0.767047,0.436903,-0.006206,16,0,calibration_descriptor_distance_q75
352,353,calibration,calibration,1,0.50342,2.163301,-0.006206,16,0,calibration_descriptor_distance_q75
353,354,calibration,calibration,1,1.117774,0.575234,-0.006206,16,0,calibration_descriptor_distance_q75
354,355,calibration,calibration,1,1.830225,0.235063,-0.006206,16,0,calibration_descriptor_distance_q75
355,356,calibration,calibration,1,1.493543,0.245632,-0.006206,16,0,calibration_descriptor_distance_q75
356,357,calibration,calibration,1,2.245729,0.139212,-0.006206,16,0,calibration_descriptor_distance_q75
357,358,calibration,calibration,1,0.731795,0.281285,-0.006206,16,0,calibration_descriptor_distance_q75
358,359,calibration,calibration,1,0.361868,0.525233,-0.006206,16,0,calibration_descriptor_distance_q75
359,360,calibration,calibration,1,1.871862,0.278734,-0.006206,16,0,calibration_descriptor_distance_q75
360,361,calibration,guard,1,1.303949,0.57179,-0.006206,16,0,calibration_descriptor_distance_q75
361,362,guard,guard,1,0.153316,0.370295,-0.006206,16,0,calibration_descriptor_distance_q75
362,363,guard,guard,1,1.92316,0.433495,-0.006206,16,0,calibration_descriptor_distance_q75
363,364,guard,guard,1,0.941524,0.613662,-0.006206,16,0,calibration_descriptor_distance_q75
364,365,guard,guard,1,0.474606,0.500116,-0.006206,16,0,calibration_descriptor_distance_q75
365,366,guard,guard,1,2.392342,0.440018,-0.006206,16,0,calibration_descriptor_distance_q75
366,367,guard,guard,1,0.842481,0.314251,-0.006206,16,0,calibration_descriptor_distance_q75
367,368,guard,guard,1,0.678111,2.196731,-0.006206,16,0,calibration_descriptor_distance_q75
368,369,guard,guard,1,0.088376,0.743275,-0.006206,16,0,calibration_descriptor_distance_q75
369,370,guard,guard,1,0.909765,1.886431,-0.006206,16,0,calibration_descriptor_distance_q75
370,371,guard,posthoc_diagnosis,1,0.255476,0.317687,-0.006206,16,0,calibration_descriptor_distance_q75
371,372,posthoc_diagnosis,posthoc_diagnosis,1,2.360321,0.416516,-0.006206,16,0,calibration_descriptor_distance_q75
372,373,posthoc_diagnosis,posthoc_diagnosis,1,1.106504,0.456616,-0.006206,16,0,calibration_descriptor_distance_q75
373,374,posthoc_diagnosis,posthoc_diagnosis,1,1.774555,0.293086,-0.006206,16,0,calibration_descriptor_distance_q75
374,375,posthoc_diagnosis,posthoc_diagnosis,1,0.60867,2.4131,-0.006206,16,0,calibration_descriptor_distance_q75
375,376,posthoc_diagnosis,posthoc_diagnosis,1,0.249989,0.716622,-0.006206,16,0,calibration_descriptor_distance_q75
376,377,posthoc_diagnosis,posthoc_diagnosis,1,3.876101,0.992448,-0.006206,16,0,calibration_descriptor_distance_q75
377,378,posthoc_diagnosis,posthoc_diagnosis,1,0.453165,0.408999,-0.006206,16,0,calibration_descriptor_distance_q75
378,379,posthoc_diagnosis,posthoc_diagnosis,1,2.267936,0.53935,-0.006206,16,0,calibration_descriptor_distance_q75
379,380,posthoc_diagnosis,posthoc_diagnosis,1,0.302205,0.089122,-0.006206,16,0,calibration_descriptor_distance_q75
380,381,posthoc_diagnosis,posthoc_diagnosis,1,1.919274,0.522227,-0.006206,16,0,calibration_descriptor_distance_q75
381,382,posthoc_diagnosis,posthoc_diagnosis,1,0.831359,0.495876,-0.006206,16,0,calibration_descriptor_distance_q75
382,383,posthoc_diagnosis,posthoc_diagnosis,1,3.993228,0.519099,-0.006206,16,0,calibration_descriptor_distance_q75
383,384,posthoc_diagnosis,posthoc_diagnosis,1,1.927538,0.503205,-0.006206,16,0,calibration_descriptor_distance_q75
384,385,posthoc_diagnosis,posthoc_diagnosis,1,2.428707,1.790128,-0.006206,16,0,calibration_descriptor_distance_q75
385,386,posthoc_diagnosis,posthoc_diagnosis,1,0.422643,0.733992,-0.006206,16,0,calibration_descriptor_distance_q75
386,387,posthoc_diagnosis,posthoc_diagnosis,1,0.590668,0.550446,-0.006206,16,0,calibration_descriptor_distance_q75
387,388,posthoc_diagnosis,posthoc_diagnosis,1,2.472657,1.705215,-0.006206,16,0,calibration_descriptor_distance_q75
388,389,posthoc_diagnosis,posthoc_diagnosis,1,0.818808,0.31142,-0.006206,16,0,calibration_descriptor_distance_q75
389,390,posthoc_diagnosis,posthoc_diagnosis,1,0.476647,0.152453,-0.006206,16,0,calibration_descriptor_distance_q75
390,391,posthoc_diagnosis,posthoc_diagnosis,1,0.356885,0.203065,-0.006206,16,0,calibration_descriptor_distance_q75
391,392,posthoc_diagnosis,posthoc_diagnosis,1,0.029431,1.252676,-0.006206,16,0,calibration_descriptor_distance_q75
392,393,posthoc_diagnosis,posthoc_diagnosis,1,0.684327,1.347173,-0.006206,16,0,calibration_descriptor_distance_q75
393,394,posthoc_diagnosis,posthoc_diagnosis,1,0.981186,1.360629,-0.006206,16,0,calibration_descriptor_distance_q75
