subject_frame_id,subject_name,pair_id,sar_frame,split,source_region_id,posthoc_evaluation_label,subject_motion_model,persistent_subject_status,relative_aspect_angle_deg,aspect_angle_ci_width_deg,aspect_observability_status,absolute_range_m_grid,center_x,center_y,total_energy,mean_energy,local_background_normalized_energy,high_energy_pixel_fraction,response_occupancy_ratio,inside_vs_ring_contrast,energy_entropy_proxy,range_energy90_width_m,azimuth_energy90_width_m,body_long_energy90_width_m,body_short_energy90_width_m,range_second_moment_width_m,azimuth_second_moment_width_m,body_long_second_moment_width_m,body_short_second_moment_width_m,energy_centroid_range_offset_m,energy_centroid_azimuth_offset_m,energy_centroid_body_long_offset_m,energy_centroid_body_short_offset_m,response_principal_axis_deg,principal_minus_body_axial_deg,principal_minus_range_axial_deg,response_compactness,response_linearity,response_fragment_count,response_fragmentation_index,radar_near_half_energy,radar_far_half_energy,near_far_energy_ratio,counterfactual_role
fixed_strong_scatterer_sar000315,fixed_strong_scatterer,WGV35A_PAIR_0003,315,calibration,E0_R1_REG_000315_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,45.846796,4.395572,OBSERVABLE_MEDIUM,36.86557,1132.158395,1164.457828,436996,39.400955,0.946654,0.026057,0.026057,0,0.869479,3.637959,2.909011,4.288465,1.893512,0,0,5.427599,2.449706,-11.869234,2.919115,10.709382,5.891442,-170.325985,5.258234,72.836638,0.124466,2.222552,228,22.841343,0,436996,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000317,fixed_strong_scatterer,WGV35A_PAIR_0006,317,calibration,E0_R1_REG_000317_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,44.300205,7.018155,OBSERVABLE_MEDIUM,36.989747,1132.158395,1164.457828,482365,43.35865,0.95359,0.034157,0.034157,0,0.869362,3.455681,3.230747,4.31295,1.886861,0,0,5.549252,2.440324,-11.726895,2.906885,10.168959,6.52398,-175.040771,4.12055,77.551424,0.12486,2.284314,289,28.86392,0,482365,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000319,fixed_strong_scatterer,WGV35A_PAIR_0007,319,calibration,E0_R1_REG_000319_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,48.375314,2.409835,OBSERVABLE_HIGH,37.286259,1132.158395,1164.457828,568708,50.845596,0.967842,0.033795,0.033795,0,0.867578,3.418452,3.303092,4.309253,1.89351,0,0,5.580239,2.418244,-11.3457,2.781849,9.792733,6.369141,-177.249187,0.578248,79.75984,0.154971,2.30925,274,27.218994,0,568708,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000321,fixed_strong_scatterer,WGV35A_PAIR_0010,321,calibration,E0_R1_REG_000321_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,47.442076,2.841601,OBSERVABLE_HIGH,37.651706,1132.158395,1164.457828,536400,47.957085,0.969537,0.032097,0.032097,0,0.869521,2.862534,3.602716,4.183743,1.911387,0,0,5.290808,2.419944,-10.943883,2.724402,9.391837,6.243744,176.571363,5.601202,85.93929,0.156551,2.194986,251,24.934188,0,536400,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000323,fixed_strong_scatterer,WGV35A_PAIR_0012,323,calibration,E0_R1_REG_000323_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,49.362651,2.596396,OBSERVABLE_HIGH,37.819196,1132.158395,1164.457828,522671,47.313389,0.973549,0.038472,0.038472,0,0.86706,3.118016,3.978689,4.452455,1.858312,0,0,5.973449,2.355408,-10.746888,2.666103,8.991195,6.462362,175.464027,5.457676,87.046626,0.125416,2.535757,258,25.94973,0,522671,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000325,fixed_strong_scatterer,WGV35A_PAIR_0014,325,calibration,E0_R1_REG_000325_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,53.052861,1.367025,OBSERVABLE_HIGH,38.067912,1132.158395,1164.457828,596157,53.366486,0.997914,0.05568,0.05568,0,0.86336,4.150247,1.876436,4.201608,1.887547,0,0,5.614963,2.393397,-10.472408,2.517211,-10.472408,2.517211,63.405173,63.066555,19.10548,0.154904,2.484486,337,33.519331,0,596157,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000327,fixed_strong_scatterer,WGV35A_PAIR_0016,327,calibration,E0_R1_REG_000327_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,52.698001,1.936536,OBSERVABLE_HIGH,38.326185,1132.158395,1164.457828,545883,49.589661,0.976371,0.03234,0.03234,0,0.865366,2.837244,3.869432,4.24131,1.823744,0,0,5.507938,2.295768,-10.174434,2.501526,8.101772,6.643646,176.320396,3.224268,86.190257,0.15603,2.406307,237,23.921996,0,545883,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000331,fixed_strong_scatterer,WGV35A_PAIR_0021,331,calibration,E0_R1_REG_000331_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,55.073758,1.980368,OBSERVABLE_HIGH,38.860881,1132.158395,1164.457828,382018,34.443962,0.988111,0.045082,0.045082,0,0.862015,2.353793,3.644854,4.248391,1.740871,0,0,5.584471,2.134653,-9.60446,2.240748,6.677041,7.258355,172.050972,7.300574,89.540319,0.190322,2.597015,267,26.748415,0,382018,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000332,fixed_strong_scatterer,WGV35A_PAIR_0023,332,calibration,E0_R1_REG_000332_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,52.667325,2.445902,OBSERVABLE_MEDIUM,39.113823,1132.158395,1164.457828,365353,32.988983,0.976081,0.040542,0.040542,0,0.856396,3.623295,1.860552,4.231692,1.879937,0,0,5.398594,2.389069,-9.379462,2.189437,-9.379462,2.189437,67.761945,66.870726,14.748708,0.186555,2.32257,269,26.98771,0,365353,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000333,fixed_strong_scatterer,WGV35A_PAIR_0025,333,calibration,E0_R1_REG_000333_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,54.125807,2.459624,OBSERVABLE_MEDIUM,39.108956,1132.158395,1164.457828,387907,34.671703,0.987595,0.053003,0.053003,0,0.864946,4.015193,1.862054,4.308722,1.872699,0,0,5.441498,2.403837,-9.399222,2.136919,-9.399222,2.136919,66.262004,65.639478,16.248649,0.15292,2.31614,317,31.482144,0,387907,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000334,fixed_strong_scatterer,WGV35A_PAIR_0027,334,calibration,E0_R1_REG_000334_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,56.512014,1.97731,OBSERVABLE_HIGH,39.260261,1132.158395,1164.457828,416691,37.334557,0.966815,0.056715,0.056715,0,0.853575,4.442959,1.87491,4.39181,1.90803,0,0,5.573173,2.437835,-9.239229,2.101474,-9.239229,2.101474,63.032103,63.365651,19.47855,0.139301,2.332061,311,30.960985,0,416691,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000335,fixed_strong_scatterer,WGV35A_PAIR_0030,335,calibration,E0_R1_REG_000335_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,59.230715,1.0447,OBSERVABLE_HIGH,39.484789,1132.158395,1164.457828,449207,40.007748,0.997051,0.0684,0.0684,0,0.868312,4.301794,1.792553,4.285604,1.867623,0,0,5.445656,2.345788,-9.045977,1.952131,-9.045977,1.952131,63.481064,64.010104,19.029589,0.153038,2.339066,315,31.17207,0,449207,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000336,fixed_strong_scatterer,WGV35A_PAIR_0033,336,calibration,E0_R1_REG_000336_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,59.440007,1.169179,OBSERVABLE_HIGH,39.508037,1132.158395,1164.457828,437966,39.342976,0.996212,0.063511,0.063511,0,0.849531,4.185607,1.830478,4.198179,1.869317,0,0,5.176857,2.468103,-13.744458,2.706828,-13.744458,2.706828,58.471259,65.074639,17.300269,0.150808,2.177936,307,30.642392,0,437966,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000337,fixed_strong_scatterer,WGV35A_PAIR_0035,337,calibration,E0_R1_REG_000337_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,60.706442,1.021267,OBSERVABLE_HIGH,39.724662,1132.158395,1164.457828,466436,42.188496,1.000056,0.055897,0.055897,0,0.853302,1.874765,3.564614,4.040754,1.697859,0,0,4.664803,2.192298,-8.791026,1.91085,6.224553,6.495261,170.056478,9.697978,87.545825,0.146532,2.242102,238,23.918636,0,466436,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000338,fixed_strong_scatterer,WGV35A_PAIR_0038,338,calibration,E0_R1_REG_000338_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,61.734089,0.752018,OBSERVABLE_HIGH,39.902256,1132.158395,1164.457828,501069,45.003502,1.000105,0.091881,0.091881,0,0.830925,1.860872,3.464716,3.830475,1.572419,0,0,4.347799,1.888728,-8.64079,1.851078,5.963206,6.521497,173.617596,5.895426,88.893057,0.152861,2.446409,336,33.530926,0,501069,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000339,fixed_strong_scatterer,WGV35A_PAIR_0041,339,calibration,E0_R1_REG_000339_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,61.450358,0.745194,OBSERVABLE_HIGH,40.036052,1132.158395,1164.457828,587047,52.35881,0.998042,0.080628,0.080628,0,0.825522,1.58052,3.129722,3.651986,1.53868,0,0,3.976359,1.911311,-8.521777,1.822257,5.831651,6.475581,170.344757,9.064055,87.834104,0.1757,2.251751,244,24.180442,0,587047,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000340,fixed_strong_scatterer,WGV35A_PAIR_0044,340,calibration,E0_R1_REG_000340_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,61.410346,1.070497,OBSERVABLE_HIGH,40.237186,1132.158395,1164.457828,606889,54.783264,0.991224,0.103539,0.103539,0,0.820854,3.547444,1.926376,3.547444,1.926376,0,0,4.239741,2.552447,-8.373678,1.74025,-8.373678,1.74025,77.016634,77.314695,5.494019,0.15106,1.944956,360,36.107601,0,606889,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000341,fixed_strong_scatterer,WGV35A_PAIR_0048,341,calibration,E0_R1_REG_000341_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,61.462277,0.921609,OBSERVABLE_HIGH,40.210739,1132.158395,1164.457828,587814,52.676224,1.003315,0.085581,0.085581,0,0.845093,3.489775,1.916173,3.895068,1.917708,0,0,4.498446,2.304653,-8.431238,1.688446,-8.431238,1.688446,78.314473,77.605518,4.19618,0.141574,2.243695,315,31.364818,0,587814,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000342,fixed_strong_scatterer,WGV35A_PAIR_0051,342,calibration,E0_R1_REG_000342_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,62.862731,1.048169,OBSERVABLE_HIGH,40.356349,1132.158395,1164.457828,580476,52.451069,0.995991,0.064155,0.064155,0,0.836018,1.805025,3.355069,3.933118,1.691126,0,0,4.545023,2.142294,-8.279371,1.649515,5.604383,6.31346,172.252617,7.993854,89.741964,0.154389,2.22147,275,27.60961,0,580476,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000343,fixed_strong_scatterer,WGV35A_PAIR_0053,343,calibration,E0_R1_REG_000343_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,63.440905,1.068399,OBSERVABLE_HIGH,40.543527,1132.158395,1164.457828,579105,52.213959,0.995577,0.048057,0.048057,0,0.85315,1.807216,3.437077,4.131208,1.807936,0,0,4.823128,2.210097,-8.144123,1.554788,5.405866,6.286551,174.442311,5.977349,88.068342,0.137128,2.212896,242,24.243881,0,579105,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000344,fixed_strong_scatterer,WGV35A_PAIR_0056,344,calibration,E0_R1_REG_000344_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,64.408199,0.603346,OBSERVABLE_HIGH,40.693456,1132.158395,1164.457828,555219,49.934258,0.993725,0.048296,0.048296,0,0.846125,2.035289,3.471818,4.149592,1.802946,0,0,5.027142,2.266002,-8.035788,1.479513,5.271537,6.242895,176.993072,3.769129,85.517581,0.144477,2.258705,249,24.882334,0,555219,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000345,fixed_strong_scatterer,WGV35A_PAIR_0060,345,calibration,E0_R1_REG_000345_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,65.106468,1.026535,OBSERVABLE_HIGH,40.744603,1132.158395,1164.457828,570402,51.634109,0.990308,0.042636,0.042636,0,0.850909,1.829124,3.389999,4.089146,1.743678,0,0,4.90436,2.219975,-8.010807,1.454045,4.688258,6.656389,172.726467,8.148592,89.784186,0.163587,2.230983,195,19.613168,0,570402,0,persistent_world_fixed_strong_scatterer
fixed_strong_scatterer_sar000346,fixed_strong_scatterer,WGV35A_PAIR_0063,346,calibration,E0_R1_REG_000346_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,66.245193,1.064734,OBSERVABLE_HIGH,40.947012,1132.158395,1164.457828,562645,51.08453,0.984209,0.040585,0.040585,0,0.842463,2.012043,3.47346,4.111586,1.804802,0,0,5.029208,2.287536,-7.86824,1.353822,4.437948,6.636765,178.229791,2.928187,84.280862,0.158033,2.211224,210,21.185158,0,562645,0,persistent_world_fixed_strong_scatterer
