pair_id,sar_frame,split,body_axis_proxy_deg,local_range_axis_deg,relative_aspect_angle_deg,aspect_angle_ci_width_deg,absolute_range_m_grid,aspect_observability_status,center_selection_status,diagnostic_scope
WGV35A_PAIR_0003,315,calibration,1.202118,47.048914,45.846796,4.395572,36.86557,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0006,317,calibration,3.14298,47.443185,44.300205,7.018155,36.989747,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0007,319,calibration,0.613569,48.988883,48.375314,2.409835,37.286259,OBSERVABLE_HIGH,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0010,321,calibration,2.325888,49.767964,47.442076,2.841601,37.651706,OBSERVABLE_HIGH,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0012,323,calibration,1.198229,50.56088,49.362651,2.596396,37.819196,OBSERVABLE_HIGH,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0014,325,calibration,179.382358,52.435219,53.052861,1.367025,38.067912,OBSERVABLE_HIGH,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0016,327,calibration,0.012221,52.710222,52.698001,1.936536,38.326185,OBSERVABLE_HIGH,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0021,331,calibration,0.793851,55.867609,55.073758,1.980368,38.860881,OBSERVABLE_HIGH,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0023,332,calibration,3.891959,56.559284,52.667325,2.445902,39.113823,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0025,333,calibration,3.185713,57.31152,54.125807,2.459624,39.108956,OBSERVABLE_MEDIUM,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0027,334,calibration,1.088342,57.600356,56.512014,1.97731,39.260261,OBSERVABLE_HIGH,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0030,335,calibration,0.167191,59.397906,59.230715,1.0447,39.484789,OBSERVABLE_HIGH,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0033,336,calibration,179.786847,59.226854,59.440007,1.169179,39.508037,OBSERVABLE_HIGH,WEAK_CORRESPONDENCE_EXCLUDED,2d_image_grid_relative_aspect_proxy
WGV35A_PAIR_0035,337,calibration,179.500937,60.207379,60.706442,1.021267,39.724662,OBSERVABLE_HIGH,UNIQUE_GT_CENTER,2d_image_grid_relative_aspect_proxy
