pair_plan_id,pair_type,physical_vehicle_id,frame_a,frame_b,split_a,split_b,aspect_difference_deg,range_difference_m,time_difference_frames,aspect_same_threshold_deg,aspect_different_threshold_deg,similar_range_threshold_m,minimum_time_separation_frames,pair_selection_basis,response_fields_reserved_for_evaluate
E0R3_PAIR_0001,time_nearby_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,317,calibration,calibration,1.546591,0.12929,2,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0002,time_nearby_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,319,calibration,calibration,2.528518,0.434866,4,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0003,same_aspect_similar_range,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,321,calibration,calibration,1.59528,0.798731,6,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0004,same_aspect_similar_range,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,323,calibration,calibration,3.515855,0.960673,8,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0005,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,335,calibration,calibration,13.383919,2.336045,20,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0006,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,336,calibration,calibration,13.593211,2.369954,21,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0007,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,337,calibration,calibration,14.859646,2.534564,22,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0008,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,338,calibration,calibration,15.887293,2.654237,23,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0009,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,339,calibration,calibration,15.603562,2.772337,24,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0010,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,340,calibration,calibration,15.56355,2.938218,25,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0011,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,341,calibration,calibration,15.615481,2.860737,26,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0012,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,342,calibration,calibration,17.015935,2.957191,27,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0013,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,343,calibration,calibration,17.594109,3.060346,28,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0014,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,344,calibration,calibration,18.561403,3.147964,29,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0015,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,345,calibration,calibration,19.259672,3.165268,30,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0016,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,346,calibration,calibration,20.398397,3.277145,31,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0017,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,347,calibration,calibration,21.911521,3.359202,32,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0018,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,348,calibration,calibration,22.047207,3.492446,33,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0019,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,349,calibration,calibration,22.541217,3.586012,34,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0020,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,350,calibration,calibration,24.149825,3.6122,35,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0021,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,351,calibration,calibration,23.398374,3.617607,36,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0022,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,352,calibration,calibration,24.165421,3.857108,37,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0023,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,353,calibration,calibration,24.668841,3.842689,38,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0024,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,354,calibration,calibration,25.786615,3.923112,39,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0025,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,355,calibration,calibration,27.61684,3.888646,40,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0026,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,356,calibration,calibration,29.110383,3.949275,41,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0027,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,357,calibration,calibration,31.356112,3.968808,42,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0028,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,358,calibration,calibration,32.087907,4.115199,43,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0029,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,359,calibration,calibration,32.449775,4.129468,44,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0030,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,360,calibration,calibration,34.321637,4.123994,45,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
E0R3_PAIR_0031,time_distant_control,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,361,calibration,guard,35.625586,4.184363,46,5,15,2,5,pre_registered_aspect_range_time_only_no_sar_response,energy_centroid_difference_m;peak_position_difference_m;support_width_difference_m;near_far_ratio_difference;component_layout_difference_deg
