pair_plan_id,pair_type,frame_a,frame_b,aspect_difference_deg,range_difference_m,time_difference_frames,energy_centroid_difference_m,peak_position_difference_m,support_width_difference_m,near_far_ratio_difference,component_layout_difference_deg,response_structure_distance,pair_result_scope
E0R3_PAIR_0001,time_nearby_control,315,317,1.546591,0.12929,2,0.148153,0.233848,0.164074,0.028027,1.345282,0.107119,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0002,time_nearby_control,315,319,2.528518,0.434866,4,0.166022,0.08389,0.2069,0.034328,3.70604,0.089994,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0003,same_aspect_similar_range,315,321,1.59528,0.798731,6,0.065322,0.114336,0.281353,0.030524,1.927354,0.092937,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0004,same_aspect_similar_range,315,323,3.515855,0.960673,8,0.181956,0.091145,0.49725,0.044802,1.173713,0.153802,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0005,time_distant_control,315,335,13.383919,2.336045,20,0.230513,0.276828,1.869758,0.060068,4.764777,0.553464,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0006,time_distant_control,315,336,13.593211,2.369954,21,0.430606,3.040166,3.194587,0.04395,4.764777,1.372823,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0007,time_distant_control,315,337,14.859646,2.534564,22,1.034315,4.110022,0.72471,0.098293,0.409007,1.515023,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0008,time_distant_control,315,338,15.887293,2.654237,23,0.984725,4.03693,0.72884,0.096701,1.053421,1.486257,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0009,time_distant_control,315,339,15.603562,2.772337,24,0.198414,0.048778,0.564538,0.123065,0.234982,0.214374,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0010,time_distant_control,315,340,15.56355,2.938218,25,0.063456,0.904437,1.781129,0.063931,10.337363,0.599675,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0011,time_distant_control,315,341,15.615481,2.860737,26,0.110582,0.398973,1.73112,0.065155,4.764777,0.517632,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0012,time_distant_control,315,342,17.015935,2.957191,27,0.306784,0.04353,0.842941,0.133056,0.215014,0.2501,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0013,time_distant_control,315,343,17.594109,3.060346,28,0.353874,0.107318,1.153984,0.119276,0.369656,0.320028,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0014,time_distant_control,315,344,18.561403,3.147964,29,0.384689,0.109202,1.273682,0.157917,0.376426,0.359647,posthoc_structural_comparison_no_selector_no_ranking
E0R3_PAIR_0015,time_distant_control,315,345,19.259672,3.165268,30,0.408936,0.055227,0.693138,0.165705,0.523323,0.244178,posthoc_structural_comparison_no_selector_no_ranking
