pair_id,sar_frame,timestamp_or_sequence_index,split,physical_vehicle_id,center_x,center_y,body_width_px,body_height_px,body_length_m_grid,body_width_m_grid,motion_tangent_image_deg,motion_tangent_uncertainty_deg,body_axis_proxy_deg,body_axis_proxy_source,body_axis_proxy_uncertainty_deg,local_range_axis_image_deg,relative_aspect_angle_deg,aspect_domain_status,aspect_observability_status,absolute_range_from_radar_m,absolute_azimuth_deg,gt_visible_fraction,gt_mask_contact_ratio,gt_boundary_contact_ratio,mask_observability_status,planned_anchor_class,plan_stage_input_role
WGV35A_PAIR_0003,315,315,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,790.875,940.529,158.83115,69.254939,4.764934,2.077648,4.415781,0,1.202118,E0_R2_two_sided_trajectory_body_axis_proxy,4.395572,47.048914,45.846796,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_MEDIUM,15.987922,-132.951086,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0006,317,317,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,796.4825,941.214,158.83115,69.254939,4.764934,2.077648,0.838679,3.577102,3.14298,E0_R2_two_sided_trajectory_body_axis_proxy,7.018155,47.443185,44.300205,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_MEDIUM,15.858632,-132.556815,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0007,319,319,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,813.8,939.398,158.83115,69.254939,4.764934,2.077648,2.172565,4.99695,0.613569,E0_R2_two_sided_trajectory_body_axis_proxy,2.409835,48.988883,48.375314,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,15.553056,-131.011117,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0010,321,321,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,826.9845,944.068,158.83115,69.254939,4.764934,2.077648,2.172565,1.834231,2.325888,E0_R2_two_sided_trajectory_body_axis_proxy,2.841601,49.767964,47.442076,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,15.189191,-130.232036,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0012,323,323,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,835.794,943.7485,158.83115,69.254939,4.764934,2.077648,0.921703,3.494077,1.198229,E0_R2_two_sided_trajectory_body_axis_proxy,2.596396,50.56088,49.362651,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,15.027249,-129.43912,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0014,325,325,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,853.0945,939.369,158.83115,69.254939,4.764934,2.077648,0.338618,0.058747,179.382358,E0_R2_two_sided_trajectory_body_axis_proxy,1.367025,52.435219,53.052861,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,14.806932,-127.564781,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0016,327,327,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,860.0895,944.6445,158.83115,69.254939,4.764934,2.077648,-0.455336,3.250105,0.012221,E0_R2_two_sided_trajectory_body_axis_proxy,1.936536,52.710222,52.698001,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,14.553712,-127.289778,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0021,331,331,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,890.023,941.182,158.83115,69.254939,4.764934,2.077648,-0.648454,0.479261,0.793851,E0_R2_two_sided_trajectory_body_axis_proxy,1.980368,55.867609,55.073758,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_HIGH,14.113724,-124.132391,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0023,332,332,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,898.926,944.3575,158.83115,69.254939,4.764934,2.077648,0.891219,1.98932,3.891959,E0_R2_two_sided_trajectory_body_axis_proxy,2.445902,56.559284,52.667325,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_MEDIUM,13.886015,-123.440716,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
WGV35A_PAIR_0025,333,333,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,903.311,939.939,158.83115,69.254939,4.764934,2.077648,0.622526,0.124363,3.185713,E0_R2_two_sided_trajectory_body_axis_proxy,2.459624,57.31152,54.125807,IN_CALIBRATION_ASPECT_DOMAIN,OBSERVABLE_MEDIUM,13.925333,-122.68848,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,geometry_identity_mask_metadata_aspect_proxy_only
