frame_a,frame_b,pair_type,time_delta_frames,aspect_delta_deg,corrected_range_delta_m,axis_pair_reliable,registration_pair_reliable,frame_a_axis_reliability,frame_b_axis_reliability,used_for_identifiability
319,332,non_adjacent_similar_aspect;similar_aspect_different_range,13,4.292011,1.667041,true,true,HIGH,MEDIUM,true
323,332,similar_aspect_different_range,9,3.304674,1.141234,true,true,HIGH,MEDIUM,true
323,333,non_adjacent_similar_aspect;similar_aspect_different_range,10,4.763156,1.101917,true,true,HIGH,MEDIUM,true
325,334,similar_aspect_different_range,9,3.459153,1.021904,true,true,MEDIUM,MEDIUM,true
339,393,different_aspect_similar_range,54,10.308095,0.710918,true,true,HIGH,MEDIUM,true
340,393,different_aspect_similar_range,53,10.348107,0.545037,true,true,MEDIUM,MEDIUM,true
340,394,different_aspect_similar_range,54,11.329293,0.631075,true,true,MEDIUM,MEDIUM,true
341,393,different_aspect_similar_range,52,10.296176,0.622518,true,true,MEDIUM,MEDIUM,true
341,394,different_aspect_similar_range,53,11.277362,0.708557,true,true,MEDIUM,MEDIUM,true
346,357,different_aspect_similar_range,11,10.957715,0.691663,true,true,HIGH,HIGH,true
346,389,non_adjacent_similar_aspect,43,4.67974,0.529101,true,true,HIGH,MEDIUM,true
346,391,non_adjacent_similar_aspect,45,4.799502,0.467443,true,true,HIGH,MEDIUM,true
346,392,non_adjacent_similar_aspect,46,4.828933,0.255248,true,true,HIGH,MEDIUM,true
347,389,non_adjacent_similar_aspect,42,3.166616,0.447044,true,true,HIGH,MEDIUM,true
347,390,non_adjacent_similar_aspect,43,3.643263,0.352681,true,true,HIGH,MEDIUM,true
347,391,non_adjacent_similar_aspect,44,3.286378,0.385386,true,true,HIGH,MEDIUM,true
347,392,non_adjacent_similar_aspect,45,3.315809,0.173191,true,true,HIGH,MEDIUM,true
347,393,non_adjacent_similar_aspect,46,4.000136,0.124052,true,true,HIGH,MEDIUM,true
347,394,non_adjacent_similar_aspect,47,4.981322,0.210091,true,true,HIGH,MEDIUM,true
348,358,different_aspect_similar_range,10,10.0407,0.622753,true,true,HIGH,HIGH,true
348,359,different_aspect_similar_range,11,10.402568,0.637022,true,true,HIGH,HIGH,true
348,360,different_aspect_similar_range,12,12.27443,0.631548,true,true,HIGH,HIGH,true
348,361,different_aspect_similar_range,13,13.578379,0.691918,true,true,HIGH,HIGH,true
348,362,different_aspect_similar_range,14,13.731695,0.699828,true,true,HIGH,HIGH,true
348,363,different_aspect_similar_range;similar_range_different_aspect,15,15.654855,0.67453,true,true,HIGH,HIGH,true
348,379,different_aspect_similar_range,31,12.856319,0.729749,true,true,HIGH,MEDIUM,true
348,380,different_aspect_similar_range,32,12.554114,0.7497,true,true,HIGH,MEDIUM,true
348,381,different_aspect_similar_range,33,10.63484,0.704767,true,true,HIGH,MEDIUM,true
348,389,non_adjacent_similar_aspect,41,3.03093,0.313801,true,true,HIGH,MEDIUM,true
348,390,non_adjacent_similar_aspect,42,3.507577,0.219438,true,true,HIGH,MEDIUM,true
348,391,non_adjacent_similar_aspect,43,3.150692,0.252142,true,true,HIGH,MEDIUM,true
