sar_frame,window_id,E_t_s_bins,s_peak_t,secondary_peak,peak_count,peak_width,peak_prominence,near_side_boundary_energy_fraction,far_side_boundary_energy_fraction,peak_inside_valid_mask,near_peak_location
321,W_SLIDE,1.033002;1.070211;1.53528;2.220251;2.50991;2.332117;2.066904;1.939253;1.535573;2.004722;1.999226;1.985381;2.683827;2.823164;3.974385;2.671912;3.265828;2.538463;1.800394;1.299857;1.326276;1.338565;1.60749;1.735908;1.46796;2.379747;2.454977;2.61289;1.695055;1.713366;2.21015;1.570436,0.451613,3.265828,6,0.5,1.982082,0.092956,0.018924,true,"near_boundary;body_long_positive_end;short_axis_middle;pixel=(132,65)"
323,W_SLIDE,0.939205;1.163046;1.856047;1.378624;2.137197;3.161272;3.805457;3.729699;3.638887;4.51593;4.636094;3.424098;3.605225;4.422377;4.077526;2.811203;1.85486;1.692078;1.59498;2.060366;2.465605;2.955352;2.437513;2.743351;1.802663;1.263679;0.987803;0.73758;1.145718;1.501395;1.812133;1.232329,0.322581,4.51593,5,0.46875,2.537313,0.116778,0.011932,true,"near_boundary;body_long_positive_end;body_short_positive_side;pixel=(133,67)"
325,W_SLIDE,0.842299;1.340124;0.97498;1.04851;1.594331;1.673799;1.838851;2.322524;3.373724;3.430942;2.64505;2.173378;2.181073;2.993578;3.478762;3.5944;5.27048;8.194721;7.340379;4.809835;3.592616;2.875358;3.029966;3.075093;3.476357;2.790512;3.440841;3.747343;2.413858;1.446569;1.941758;1.115673,0.548387,7.340379,4,0.125,5.361786,0.137112,0.015813,true,"near_boundary;body_long_positive_end;body_short_positive_side;pixel=(129,72)"
339,W_STABLE,1.094136;1.684185;2.324917;2.301599;1.761752;2.308013;2.212763;3.241135;4.800085;5.331444;3.89677;5.713367;7.339641;10.196576;7.090348;5.220551;3.691346;3.671073;3.428385;3.936728;4.067891;3.20611;1.936917;1.881146;1.717049;1.884209;2.849997;1.455633;2.864988;2.332595;3.301826;2.331777,0.419355,7.339641,4,0.1875,7.161027,0.113034,0.01081,true,"near_boundary;body_long_positive_end;body_short_positive_side;pixel=(130,69)"
340,W_STABLE,2.897469;1.707181;1.358143;1.932466;1.413743;1.347485;1.18511;2.360507;3.26222;3.185548;2.828042;2.67046;4.339667;6.503824;3.520925;2.253173;1.585067;2.018416;1.482596;1.154346;1.255324;1.333722;0.24432;0.298454;0.535639;0.597824;0.825845;0.660455;0.341751;0.184912;0.75191;1.466679,0.419355,4.339667,4,0.125,5.063613,0.062761,0.01237,true,"near_half;body_long_positive_end;short_axis_middle;pixel=(130,65)"
341,W_STABLE,1.82848;3.075437;2.816373;4.020308;2.778095;3.343514;3.197151;4.7396;5.98939;4.774374;4.766532;8.305922;9.820711;5.993213;3.541437;3.573836;4.942117;4.111927;4.004529;6.221327;5.375607;3.728561;3.474196;2.482349;3.246716;2.467702;1.804014;1.520341;3.008912;2.349715;2.569171;1.598708,0.387097,8.305922,5,0.21875,6.312894,0.12891,0.010059,true,"near_boundary;body_long_positive_end;body_short_positive_side;pixel=(132,69)"
351,W_SWITCH,5.465767;6.791696;4.8887;4.412338;5.765813;6.458835;7.923579;8.664337;8.65581;9.299254;9.060585;7.897243;8.148049;8.328723;6.557495;6.477159;6.147571;4.241195;2.954978;3.643606;2.395656;2.075358;2.81862;2.084702;2.178295;2.513598;2.648848;2.385378;2.794067;2.157151;4.016911;3.431877,0.290323,9.060585,4,0.5,4.648735,0.150525,0.006191,true,"near_boundary;body_long_positive_end;body_short_positive_side;pixel=(131,69)"
352,W_SWITCH,4.211052;2.860495;1.407109;2.11248;1.347167;2.079772;2.40521;3.151989;3.081063;4.165361;3.55556;3.737659;3.572682;3.526632;4.394892;2.482208;1.675061;1.040206;0.646963;0.947209;0.384949;0.359621;0.072387;0.08594;0.107774;0;0.08551;0.595159;0;0.032405;1.415153;0.063116,0.451613,4.211052,6,0.375,2.983761,0.054422,0.006823,true,"near_half;body_long_positive_end;short_axis_middle;pixel=(128,65)"
353,W_SWITCH,6.27495;4.235695;2.703092;2.832291;2.797371;3.195605;3.791858;4.190346;5.316093;6.359421;6.637477;10.877633;11.755232;10.989212;5.652916;5.045867;3.221081;2.138438;1.701657;2.189452;1.349238;0.793986;0.52176;0.285986;0.364866;0.939817;0.186203;0.217976;0.699581;0.180935;0.754741;0.024232,0.387097,10.989212,2,0.1875,9.005001,0.095818,0.005232,true,"near_boundary;body_long_positive_end;body_short_positive_side;pixel=(126,69)"
384,W_SPLIT,0.918844;1.388314;1.243138;3.738534;2.158833;1.442666;1.895904;1.303234;1.545033;3.603982;3.034912;2.200134;5.154311;6.858353;4.928894;5.500259;5.557918;7.146544;7.02327;8.213959;6.773818;5.028977;3.893231;3.170308;2.160052;1.528701;0.999652;1.04785;0.853789;0.689407;0.348318;0.333492,0.612903,7.146544,5,0.3125,6.033867,0.092089,0.008536,true,"near_boundary;body_long_negative_end;body_short_positive_side;pixel=(36,75)"
