map_id,subject_name,sar_frame,window_id,body_canonical_intensity_map,body_canonical_normalized_map,body_canonical_overlay,body_canonical_valid_mask,body_support_mask,background_reference_mask,body_canonical_transform,inverse_transform,interpolation_mode,border_fill_value,radar_direction_in_body_frame,relative_aspect_angle_deg,range_m_corrected,registration_reliability,canonical_core_grid,canonical_canvas_grid,body_length_m,body_width_m,axis_signed_for_registration_deg,local_background_median,local_background_mad,valid_support_fraction,mask_area_change_flag,near_peak_location,near_side_boundary_energy_fraction,far_side_boundary_energy_fraction,edge_or_interpolation_warning
vehicle_sar000321,vehicle,321,W_SLIDE,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000321_raw.png,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000321_norm.png,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000321_overlay.png,stored_in_overlay_and_manifest,core_128x64,outer_canvas_excluding_core,x=cx+u*cos(theta)-v*sin(theta);y=cy+u*sin(theta)+v*cos(theta);theta=2.172565,u=(x-cx)*cos(theta)+(y-cy)*sin(theta);v=-(x-cx)*sin(theta)+(y-cy)*cos(theta),bilinear_gray_intensity,0,"(0.674362,0.738401)",47.442076,15.189191,HIGH,128x64,160x96,4.764934,2.077648,2.172565,47.20184,3.763093,1,PASS,"near_boundary;body_long_positive_end;short_axis_middle;pixel=(132,65)",0.092956,0.018924,
vehicle_sar000323,vehicle,323,W_SLIDE,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000323_raw.png,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000323_norm.png,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000323_overlay.png,stored_in_overlay_and_manifest,core_128x64,outer_canvas_excluding_core,x=cx+u*cos(theta)-v*sin(theta);y=cy+u*sin(theta)+v*cos(theta);theta=0.921703,u=(x-cx)*cos(theta)+(y-cy)*sin(theta);v=-(x-cx)*sin(theta)+(y-cy)*cos(theta),bilinear_gray_intensity,0,"(0.647599,0.761981)",49.362651,15.027249,HIGH,128x64,160x96,4.764934,2.077648,0.921703,46.331469,3.746257,1,PASS,"near_boundary;body_long_positive_end;body_short_positive_side;pixel=(133,67)",0.116778,0.011932,
vehicle_sar000325,vehicle,325,W_SLIDE,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000325_raw.png,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000325_norm.png,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000325_overlay.png,stored_in_overlay_and_manifest,core_128x64,outer_canvas_excluding_core,x=cx+u*cos(theta)-v*sin(theta);y=cy+u*sin(theta)+v*cos(theta);theta=0.338618,u=(x-cx)*cos(theta)+(y-cy)*sin(theta);v=-(x-cx)*sin(theta)+(y-cy)*cos(theta),bilinear_gray_intensity,0,"(0.614332,0.789048)",53.052861,14.806932,HIGH,128x64,160x96,4.764934,2.077648,0.338618,52.445334,4.359842,1,PASS,"near_boundary;body_long_positive_end;body_short_positive_side;pixel=(129,72)",0.137112,0.015813,
vehicle_sar000339,vehicle,339,W_STABLE,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000339_raw.png,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000339_norm.png,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000339_overlay.png,stored_in_overlay_and_manifest,core_128x64,outer_canvas_excluding_core,x=cx+u*cos(theta)-v*sin(theta);y=cy+u*sin(theta)+v*cos(theta);theta=-0.591188,u=(x-cx)*cos(theta)+(y-cy)*sin(theta);v=-(x-cx)*sin(theta)+(y-cy)*cos(theta),bilinear_gray_intensity,0,"(0.46781,0.883829)",61.450358,13.215585,HIGH,128x64,160x96,4.764934,2.077648,-0.591188,50.086136,3.796795,1,PASS,"near_boundary;body_long_positive_end;body_short_positive_side;pixel=(130,69)",0.113034,0.01081,
vehicle_sar000340,vehicle,340,W_STABLE,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000340_raw.png,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000340_norm.png,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000340_overlay.png,stored_in_overlay_and_manifest,core_128x64,outer_canvas_excluding_core,x=cx+u*cos(theta)-v*sin(theta);y=cy+u*sin(theta)+v*cos(theta);theta=-0.298061,u=(x-cx)*cos(theta)+(y-cy)*sin(theta);v=-(x-cx)*sin(theta)+(y-cy)*cos(theta),bilinear_gray_intensity,0,"(0.462508,0.886615)",61.410346,13.049704,HIGH,128x64,160x96,4.764934,2.077648,-0.298061,52.226259,4.204783,1,PASS,"near_half;body_long_positive_end;short_axis_middle;pixel=(130,65)",0.062761,0.01237,
vehicle_sar000341,vehicle,341,W_STABLE,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000341_raw.png,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000341_norm.png,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000341_overlay.png,stored_in_overlay_and_manifest,core_128x64,outer_canvas_excluding_core,x=cx+u*cos(theta)-v*sin(theta);y=cy+u*sin(theta)+v*cos(theta);theta=0.708955,u=(x-cx)*cos(theta)+(y-cy)*sin(theta);v=-(x-cx)*sin(theta)+(y-cy)*cos(theta),bilinear_gray_intensity,0,"(0.46757,0.883956)",61.462277,13.127185,HIGH,128x64,160x96,4.764934,2.077648,0.708955,50.740131,3.969266,1,PASS,"near_boundary;body_long_positive_end;body_short_positive_side;pixel=(132,69)",0.12891,0.010059,
vehicle_sar000351,vehicle,351,W_SWITCH,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000351_raw.png,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000351_norm.png,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000351_overlay.png,stored_in_overlay_and_manifest,core_128x64,outer_canvas_excluding_core,x=cx+u*cos(theta)-v*sin(theta);y=cy+u*sin(theta)+v*cos(theta);theta=1.575819,u=(x-cx)*cos(theta)+(y-cy)*sin(theta);v=-(x-cx)*sin(theta)+(y-cy)*cos(theta),bilinear_gray_intensity,0,"(0.356789,0.934185)",69.24517,12.370315,HIGH,128x64,160x96,4.764934,2.077648,1.575819,48.218384,3.856675,1,PASS,"near_boundary;body_long_positive_end;body_short_positive_side;pixel=(131,69)",0.150525,0.006191,
vehicle_sar000352,vehicle,352,W_SWITCH,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000352_raw.png,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000352_norm.png,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000352_overlay.png,stored_in_overlay_and_manifest,core_128x64,outer_canvas_excluding_core,x=cx+u*cos(theta)-v*sin(theta);y=cy+u*sin(theta)+v*cos(theta);theta=1.172808,u=(x-cx)*cos(theta)+(y-cy)*sin(theta);v=-(x-cx)*sin(theta)+(y-cy)*cos(theta),bilinear_gray_intensity,0,"(0.332565,0.94308)",70.012217,12.130814,HIGH,128x64,160x96,4.764934,2.077648,1.172808,48.196093,4.116252,1,PASS,"near_half;body_long_positive_end;short_axis_middle;pixel=(128,65)",0.054422,0.006823,
vehicle_sar000353,vehicle,353,W_SWITCH,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000353_raw.png,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000353_norm.png,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000353_overlay.png,stored_in_overlay_and_manifest,core_128x64,outer_canvas_excluding_core,x=cx+u*cos(theta)-v*sin(theta);y=cy+u*sin(theta)+v*cos(theta);theta=0.820302,u=(x-cx)*cos(theta)+(y-cy)*sin(theta);v=-(x-cx)*sin(theta)+(y-cy)*cos(theta),bilinear_gray_intensity,0,"(0.312524,0.94991)",70.515637,12.145233,HIGH,128x64,160x96,4.764934,2.077648,0.820302,47.912365,3.584095,1,PASS,"near_boundary;body_long_positive_end;body_short_positive_side;pixel=(126,69)",0.095818,0.005232,
vehicle_sar000384,vehicle,384,W_SPLIT,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000384_raw.png,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000384_norm.png,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\vehicle_sar000384_overlay.png,stored_in_overlay_and_manifest,core_128x64,outer_canvas_excluding_core,x=cx+u*cos(theta)-v*sin(theta);y=cy+u*sin(theta)+v*cos(theta);theta=-2.574351,u=(x-cx)*cos(theta)+(y-cy)*sin(theta);v=-(x-cx)*sin(theta)+(y-cy)*cos(theta),bilinear_gray_intensity,0,"(-0.239448,0.970909)",75.631794,11.894562,MEDIUM,128x64,160x96,4.764934,2.077648,-2.574351,40.820001,3.490041,1,PASS,"near_boundary;body_long_negative_end;body_short_positive_side;pixel=(36,75)",0.092089,0.008536,
