sar_frame,split,static_interval_width_m,causal_interval_width_m,causal_contraction_ratio,gt_response_region_contained_causal,background_region_rejected_by_causal,background_region_total,causal_uses_future_frames,causal_basis
315,calibration,4.612986,4.612986,1,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
317,calibration,4.698367,4.032649,0.858309,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
319,calibration,4.584271,3.784271,0.82549,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
321,calibration,4.822263,4.022263,0.834103,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
323,calibration,4.617559,3.817559,0.826748,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
325,calibration,3.786305,3.380398,0.892796,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
327,calibration,4.602568,3.802568,0.826184,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
331,calibration,4.704865,3.904865,0.829963,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
332,calibration,3.864281,3.451989,0.893307,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
333,calibration,4.15393,3.35393,0.807411,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
334,calibration,3.980412,3.180412,0.799016,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
335,calibration,3.466887,2.857938,0.824353,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
336,calibration,6.087092,4.703728,0.772738,true,10,10,false,current_and_past_motion_structure_mask_constraints_only
337,calibration,4.80569,4.107057,0.854624,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
338,calibration,4.751846,3.951846,0.831644,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
339,calibration,4.824505,4.024505,0.83418,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
340,calibration,3.49007,3.49007,1,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
341,calibration,3.458235,3.111857,0.89984,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
342,calibration,4.745122,3.945122,0.831406,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
343,calibration,4.470762,3.670762,0.82106,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
344,calibration,4.431824,3.631824,0.819487,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
345,calibration,4.940706,4.140706,0.83808,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
346,calibration,4.954387,4.154387,0.838527,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
347,calibration,5.039593,4.239593,0.841257,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
348,calibration,5.00622,4.20622,0.840199,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
349,calibration,4.97052,4.17052,0.839051,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
350,calibration,3.220796,3.220796,1,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
351,calibration,3.261084,2.891053,0.886531,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
352,calibration,3.27251,2.620663,0.800811,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
353,calibration,4.889252,4.089252,0.836376,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
354,calibration,4.913638,4.113638,0.837188,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
355,calibration,4.964116,4.164116,0.838843,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
356,calibration,4.894536,4.094536,0.836552,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
357,calibration,4.947775,4.147775,0.838311,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
358,calibration,4.891779,4.091779,0.83646,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
359,calibration,4.798556,3.998556,0.833283,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
360,calibration,4.80757,4.00757,0.833596,true,4,5,false,current_and_past_motion_structure_mask_constraints_only
361,guard,4.656818,3.856818,0.828209,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
362,guard,4.710611,3.910611,0.830171,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
363,guard,4.556991,3.756991,0.824446,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
364,guard,4.328781,3.528781,0.81519,true,4,5,false,current_and_past_motion_structure_mask_constraints_only
365,guard,4.113854,3.313854,0.805535,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
366,guard,3.994219,3.194219,0.799711,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
367,guard,4.167342,3.367342,0.808031,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
368,guard,3.2,3.01122,0.941006,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
369,guard,3.2,2.719201,0.84975,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
370,guard,4.231097,3.431097,0.810924,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
371,posthoc_diagnosis,4.289819,3.489819,0.813512,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
372,posthoc_diagnosis,4.468232,3.668232,0.820958,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
373,posthoc_diagnosis,4.485382,3.685382,0.821643,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
374,posthoc_diagnosis,4.57283,3.77283,0.825054,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
375,posthoc_diagnosis,3.271683,3.271683,1,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
376,posthoc_diagnosis,3.317398,2.93278,0.88406,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
377,posthoc_diagnosis,3.300386,2.65488,0.804415,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
378,posthoc_diagnosis,3.297238,2.497238,0.757373,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
379,posthoc_diagnosis,3.289044,2.489044,0.756768,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
380,posthoc_diagnosis,3.318727,2.518727,0.758944,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
381,posthoc_diagnosis,3.282301,2.482301,0.756269,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
382,posthoc_diagnosis,3.319574,2.519574,0.759005,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
383,posthoc_diagnosis,3.311359,2.511359,0.758407,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
384,posthoc_diagnosis,3.426312,2.626312,0.766513,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
385,posthoc_diagnosis,5.11971,4.31971,0.843741,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
386,posthoc_diagnosis,5.215016,4.415016,0.846597,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
387,posthoc_diagnosis,5.108293,4.308293,0.843392,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
388,posthoc_diagnosis,4.009455,3.7828,0.94347,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
389,posthoc_diagnosis,4.054738,3.351896,0.826662,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
390,posthoc_diagnosis,4.019967,3.219967,0.800993,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
391,posthoc_diagnosis,4.105831,3.305831,0.805155,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
392,posthoc_diagnosis,4.970919,4.170919,0.839064,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
393,posthoc_diagnosis,4.104737,3.670154,0.894126,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
394,posthoc_diagnosis,4.645159,3.845159,0.827778,true,5,5,false,current_and_past_motion_structure_mask_constraints_only
