artifact_key,phase,frozen_sha256,replay_sha256,status
structured_response_timeline,generate,d29982ec215018632aef5fac223dc6dfe41bd0f7d25338a0807f4b8bea7f1b0a,d29982ec215018632aef5fac223dc6dfe41bd0f7d25338a0807f4b8bea7f1b0a,PASS
high_energy_sliding_timeline,generate,07663154e0fcf034cc199394fc0ce63a95adbfbf0c8e046b28468372035cca74,07663154e0fcf034cc199394fc0ce63a95adbfbf0c8e046b28468372035cca74,PASS
significant_components,generate,27b179c03fd0a147259c349fb1929721b2fd22a12e56a235132317a1b1f0e4bb,27b179c03fd0a147259c349fb1929721b2fd22a12e56a235132317a1b1f0e4bb,PASS
component_continuity_events,generate,6b03e804bec7a222030b11c73df886dbd2fb2e9a155716a08e636c12184b1d31,6b03e804bec7a222030b11c73df886dbd2fb2e9a155716a08e636c12184b1d31,PASS
vehicle_envelope_stability,generate,9ab44abbc5a9f21c07b9f9155dad535f198833f552a0c12c2062cb4f551b80ac,9ab44abbc5a9f21c07b9f9155dad535f198833f552a0c12c2062cb4f551b80ac,PASS
background_counterfactuals,generate,453dca96c0040bc17a24cd9c46903cbb838978059299cb81df71ad1d94904d51,453dca96c0040bc17a24cd9c46903cbb838978059299cb81df71ad1d94904d51,PASS
aspect_matched_pair_results,evaluate,292545d00de5db8c4f18896cc9ca074ea62283022815556189fbf0825c5a24c2,292545d00de5db8c4f18896cc9ca074ea62283022815556189fbf0825c5a24c2,PASS
static_feasible_intervals,evaluate,2baf34fb0e7d116740715b6d7693f3c17a4a66f726f0b3890a5f3411c11c5aac,2baf34fb0e7d116740715b6d7693f3c17a4a66f726f0b3890a5f3411c11c5aac,PASS
causal_interval_contraction,evaluate,036d99f97b41d43d7f9ff7d8d998c0ed05512deb27a7cb9b72ef10aedbe5502d,036d99f97b41d43d7f9ff7d8d998c0ed05512deb27a7cb9b72ef10aedbe5502d,PASS
smoothed_interval_contraction,evaluate,1b90671878777921e561f3e336fca18717d5f26750ab2b8ea3e860381e50948b,1b90671878777921e561f3e336fca18717d5f26750ab2b8ea3e860381e50948b,PASS
identity_break_controls,evaluate,518514545912ea96ce984135e65866049fc343b6018e87f60946b01f980868a7,518514545912ea96ce984135e65866049fc343b6018e87f60946b01f980868a7,PASS
factor_status_matrix,evaluate,0c8032bdcdb0756346b5692ba90f62bb661105baa71dcf57c942cb46226b31bd,0c8032bdcdb0756346b5692ba90f62bb661105baa71dcf57c942cb46226b31bd,PASS
failure_ledger,evaluate,3f62e4b0ca4072720f42187379603e0c992e08223f7d3a0ce8e1367c80087b3f,3f62e4b0ca4072720f42187379603e0c992e08223f7d3a0ce8e1367c80087b3f,PASS
integrity,evaluate,14ed8a80ade385dcaf2fac3f1f11dad8b7e0566dd042f4d5ee5ab5e936c34a71,14ed8a80ade385dcaf2fac3f1f11dad8b7e0566dd042f4d5ee5ab5e936c34a71,PASS
visual_review_manifest,evaluate,fc4c6313f7e570396647d305d2b0469044871fc281f71513277ebb6de00b35b4,fc4c6313f7e570396647d305d2b0469044871fc281f71513277ebb6de00b35b4,PASS
report,evaluate,7c93d91f8837e8629b361d7a89f8a6263a9d02525be9781aa1029f87e62d6874,7c93d91f8837e8629b361d7a89f8a6263a9d02525be9781aa1029f87e62d6874,PASS
