sar_frame,split,static_interval_width_m,smoothed_interval_width_m,smoothed_contraction_ratio,gt_response_region_contained_smoothed,background_region_rejected_by_smoothed,background_region_total,offline_forward_backward_feasible_interval,runtime_claim_allowed
315,calibration,4.612986,3.612986,0.783221,true,5,5,posthoc_only_uses_past_and_future_frames,false
317,calibration,4.698367,3.698367,0.78716,true,5,5,posthoc_only_uses_past_and_future_frames,false
319,calibration,4.584271,3.584271,0.781863,true,5,5,posthoc_only_uses_past_and_future_frames,false
321,calibration,4.822263,3.822263,0.792628,true,5,5,posthoc_only_uses_past_and_future_frames,false
323,calibration,4.617559,3.617559,0.783435,true,5,5,posthoc_only_uses_past_and_future_frames,false
325,calibration,3.786305,2.786305,0.73589,true,5,5,posthoc_only_uses_past_and_future_frames,false
327,calibration,4.602568,3.602568,0.78273,true,5,5,posthoc_only_uses_past_and_future_frames,false
331,calibration,4.704865,3.704865,0.787454,true,5,5,posthoc_only_uses_past_and_future_frames,false
332,calibration,3.864281,2.864281,0.74122,true,5,5,posthoc_only_uses_past_and_future_frames,false
333,calibration,4.15393,3.15393,0.759264,true,5,5,posthoc_only_uses_past_and_future_frames,false
334,calibration,3.980412,2.980412,0.74877,true,5,5,posthoc_only_uses_past_and_future_frames,false
335,calibration,3.466887,2.466887,0.711557,true,5,5,posthoc_only_uses_past_and_future_frames,false
336,calibration,6.087092,4.503728,0.739882,true,10,10,posthoc_only_uses_past_and_future_frames,false
337,calibration,4.80569,3.80569,0.791913,true,5,5,posthoc_only_uses_past_and_future_frames,false
338,calibration,4.751846,3.751846,0.789555,true,5,5,posthoc_only_uses_past_and_future_frames,false
339,calibration,4.824505,3.824505,0.792725,true,5,5,posthoc_only_uses_past_and_future_frames,false
340,calibration,3.49007,2.49007,0.713473,true,5,5,posthoc_only_uses_past_and_future_frames,false
341,calibration,3.458235,2.458235,0.710835,true,5,5,posthoc_only_uses_past_and_future_frames,false
342,calibration,4.745122,3.745122,0.789257,true,5,5,posthoc_only_uses_past_and_future_frames,false
343,calibration,4.470762,3.470762,0.776324,true,5,5,posthoc_only_uses_past_and_future_frames,false
344,calibration,4.431824,3.431824,0.774359,true,5,5,posthoc_only_uses_past_and_future_frames,false
345,calibration,4.940706,3.940706,0.7976,true,5,5,posthoc_only_uses_past_and_future_frames,false
346,calibration,4.954387,3.954387,0.798159,true,5,5,posthoc_only_uses_past_and_future_frames,false
347,calibration,5.039593,4.039593,0.801571,true,5,5,posthoc_only_uses_past_and_future_frames,false
348,calibration,5.00622,4.00622,0.800248,true,5,5,posthoc_only_uses_past_and_future_frames,false
349,calibration,4.97052,3.97052,0.798814,true,5,5,posthoc_only_uses_past_and_future_frames,false
350,calibration,3.220796,2.220796,0.689518,true,5,5,posthoc_only_uses_past_and_future_frames,false
351,calibration,3.261084,2.261084,0.693353,true,5,5,posthoc_only_uses_past_and_future_frames,false
352,calibration,3.27251,2.27251,0.694424,true,5,5,posthoc_only_uses_past_and_future_frames,false
353,calibration,4.889252,3.889252,0.79547,true,5,5,posthoc_only_uses_past_and_future_frames,false
354,calibration,4.913638,3.913638,0.796485,true,5,5,posthoc_only_uses_past_and_future_frames,false
355,calibration,4.964116,3.964116,0.798554,true,5,5,posthoc_only_uses_past_and_future_frames,false
356,calibration,4.894536,3.894536,0.795691,true,5,5,posthoc_only_uses_past_and_future_frames,false
357,calibration,4.947775,3.947775,0.797889,true,5,5,posthoc_only_uses_past_and_future_frames,false
358,calibration,4.891779,3.891779,0.795575,true,5,5,posthoc_only_uses_past_and_future_frames,false
359,calibration,4.798556,3.798556,0.791604,true,5,5,posthoc_only_uses_past_and_future_frames,false
360,calibration,4.80757,3.80757,0.791995,true,4,5,posthoc_only_uses_past_and_future_frames,false
361,guard,4.656818,3.656818,0.785261,true,5,5,posthoc_only_uses_past_and_future_frames,false
362,guard,4.710611,3.710611,0.787713,true,5,5,posthoc_only_uses_past_and_future_frames,false
363,guard,4.556991,3.556991,0.780557,true,5,5,posthoc_only_uses_past_and_future_frames,false
364,guard,4.328781,3.328781,0.768988,true,4,5,posthoc_only_uses_past_and_future_frames,false
365,guard,4.113854,3.113854,0.756919,true,5,5,posthoc_only_uses_past_and_future_frames,false
366,guard,3.994219,2.994219,0.749638,true,5,5,posthoc_only_uses_past_and_future_frames,false
367,guard,4.167342,3.167342,0.760039,true,5,5,posthoc_only_uses_past_and_future_frames,false
368,guard,3.2,2.031069,0.634709,true,5,5,posthoc_only_uses_past_and_future_frames,false
369,guard,3.2,2.157921,0.67435,true,5,5,posthoc_only_uses_past_and_future_frames,false
370,guard,4.231097,3.231097,0.763655,true,5,5,posthoc_only_uses_past_and_future_frames,false
371,posthoc_diagnosis,4.289819,3.289819,0.76689,true,5,5,posthoc_only_uses_past_and_future_frames,false
372,posthoc_diagnosis,4.468232,3.468232,0.776198,true,5,5,posthoc_only_uses_past_and_future_frames,false
373,posthoc_diagnosis,4.485382,3.485382,0.777054,true,5,5,posthoc_only_uses_past_and_future_frames,false
374,posthoc_diagnosis,4.57283,3.57283,0.781317,true,5,5,posthoc_only_uses_past_and_future_frames,false
375,posthoc_diagnosis,3.271683,2.271683,0.694347,true,5,5,posthoc_only_uses_past_and_future_frames,false
376,posthoc_diagnosis,3.317398,2.317398,0.698559,true,5,5,posthoc_only_uses_past_and_future_frames,false
377,posthoc_diagnosis,3.300386,2.300386,0.697005,true,5,5,posthoc_only_uses_past_and_future_frames,false
378,posthoc_diagnosis,3.297238,2.297238,0.696716,true,5,5,posthoc_only_uses_past_and_future_frames,false
379,posthoc_diagnosis,3.289044,2.289044,0.69596,true,5,5,posthoc_only_uses_past_and_future_frames,false
380,posthoc_diagnosis,3.318727,2.318727,0.69868,true,5,5,posthoc_only_uses_past_and_future_frames,false
381,posthoc_diagnosis,3.282301,2.282301,0.695336,true,5,5,posthoc_only_uses_past_and_future_frames,false
382,posthoc_diagnosis,3.319574,2.319574,0.698757,true,5,5,posthoc_only_uses_past_and_future_frames,false
383,posthoc_diagnosis,3.311359,2.311359,0.698009,true,5,5,posthoc_only_uses_past_and_future_frames,false
384,posthoc_diagnosis,3.426312,2.426312,0.708141,true,5,5,posthoc_only_uses_past_and_future_frames,false
385,posthoc_diagnosis,5.11971,4.11971,0.804676,true,5,5,posthoc_only_uses_past_and_future_frames,false
386,posthoc_diagnosis,5.215016,4.215016,0.808246,true,5,5,posthoc_only_uses_past_and_future_frames,false
387,posthoc_diagnosis,5.108293,4.108293,0.80424,true,5,5,posthoc_only_uses_past_and_future_frames,false
388,posthoc_diagnosis,4.009455,3.009455,0.75059,true,5,5,posthoc_only_uses_past_and_future_frames,false
389,posthoc_diagnosis,4.054738,3.054738,0.753375,true,5,5,posthoc_only_uses_past_and_future_frames,false
390,posthoc_diagnosis,4.019967,3.019967,0.751242,true,5,5,posthoc_only_uses_past_and_future_frames,false
391,posthoc_diagnosis,4.105831,3.105831,0.756444,true,5,5,posthoc_only_uses_past_and_future_frames,false
392,posthoc_diagnosis,4.970919,3.970919,0.79883,true,5,5,posthoc_only_uses_past_and_future_frames,false
393,posthoc_diagnosis,4.104737,3.104737,0.756379,true,5,5,posthoc_only_uses_past_and_future_frames,false
394,posthoc_diagnosis,4.645159,3.645159,0.784722,true,5,5,posthoc_only_uses_past_and_future_frames,false
