scene,case_id,detector_name,frames_checked,vehicle_detections,non_vehicle_false_positive_count,missing_vehicle_count,multi_box_same_vehicle_count,box_fit_status,edge_contact_status,timeline_fragment_risk,same_vehicle_support_status,forbidden_edge_safety_status,manual_override_pressure,overall_effect,reason
GM_RM017,GM017_bs_0008_leading_dark_sedan,baseline_oty0,41,125,0,0,1,baseline_reference,baseline_reference,baseline_reference,baseline_reference,not_applicable,same,neutral,matched=41; expected_vehicle_frames=41; median_iou=0.956; missing=0; multi_box=1; non_vehicle_fp=0; edge_ratio=0.512; case=leading dark sedan same-referent fragment; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0010_white_suv,baseline_oty0,50,141,0,0,0,baseline_reference,baseline_reference,baseline_reference,baseline_reference,not_applicable,same,neutral,matched=50; expected_vehicle_frames=50; median_iou=0.947; missing=0; multi_box=0; non_vehicle_fp=0; edge_ratio=0.440; case=white SUV same-referent fragment; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0012_trailing_dark_sedan,baseline_oty0,53,120,0,0,0,baseline_reference,baseline_reference,baseline_reference,baseline_reference,not_applicable,same,neutral,matched=53; expected_vehicle_frames=53; median_iou=0.953; missing=0; multi_box=0; non_vehicle_fp=0; edge_ratio=0.377; case=trailing dark sedan weak same-referent fragment; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0002_non_vehicle_barrier,baseline_oty0,9,21,12,0,0,baseline_reference,baseline_reference,baseline_reference,baseline_reference,baseline_or_same,same,neutral,matched=0; expected_vehicle_frames=0; median_iou=0.000; missing=0; multi_box=0; non_vehicle_fp=12; edge_ratio=0.000; case=foreground barrier should not be vehicle; detection-level only; tracker_replay_not_run
GM_RM011,GM011_bs0015_seg001_to_seg002,baseline_oty0,23,39,0,0,0,baseline_reference,baseline_reference,baseline_reference,baseline_reference,not_applicable,same,neutral,matched=22; expected_vehicle_frames=22; median_iou=0.965; missing=0; multi_box=0; non_vehicle_fp=0; edge_ratio=0.955; case=short-gap white vehicle connection; detection-level only; tracker_replay_not_run
GM_RM011,GM011_bs0061_seg002_to_seg003,baseline_oty0,14,26,0,0,0,baseline_reference,baseline_reference,baseline_reference,baseline_reference,not_applicable,same,neutral,matched=13; expected_vehicle_frames=13; median_iou=0.949; missing=0; multi_box=0; non_vehicle_fp=0; edge_ratio=0.923; case=short-gap central white vehicle connection; detection-level only; tracker_replay_not_run
GM_RM011,GM011_bs0061_seg001_to_seg002,baseline_oty0,20,23,0,0,0,baseline_reference,baseline_reference,baseline_reference,baseline_reference,not_applicable,same,neutral,matched=12; expected_vehicle_frames=12; median_iou=0.929; missing=0; multi_box=0; non_vehicle_fp=0; edge_ratio=0.750; case=weak rear/side to front/window transition; detection-level only; tracker_replay_not_run
GM_RM011,GM011_forbid_bs0061_to_bs0064,baseline_oty0,31,46,12,0,0,baseline_reference,baseline_reference,baseline_reference,baseline_reference,baseline_reference,same,neutral,matched=22; expected_vehicle_frames=22; median_iou=0.934; missing=0; multi_box=0; non_vehicle_fp=12; edge_ratio=0.864; case=left-edge competitor must remain separate; detection-level only; tracker_replay_not_run
GM_RM011,GM011_forbid_bs0056_to_bs0061,baseline_oty0,15,30,10,0,0,baseline_reference,baseline_reference,baseline_reference,baseline_reference,baseline_reference,same,neutral,matched=9; expected_vehicle_frames=9; median_iou=0.928; missing=0; multi_box=0; non_vehicle_fp=10; edge_ratio=0.778; case=proximity/part-switch bridge must remain blocked; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0008_leading_dark_sedan,ultralytics_yolo26l_probe,41,130,0,0,1,similar,similar,same,same,not_applicable,same,neutral,matched=41; expected_vehicle_frames=41; median_iou=0.955; missing=0; multi_box=1; non_vehicle_fp=0; edge_ratio=0.512; case=leading dark sedan same-referent fragment; detection-level only; tracker_replay_not_run
